Gene stable ID,50e43331-be8d-405b-8e45-a25dd8c1c0ca
ENSG00000000003,659
ENSG00000000005,8
ENSG00000000419,760
ENSG00000000457,1644
ENSG00000000460,271
ENSG00000000938,341
ENSG00000000971,1177
ENSG00000001036,2636
ENSG00000001084,533
ENSG00000001167,1190
ENSG00000001460,408
ENSG00000001461,1419
ENSG00000001497,1576
ENSG00000001561,924
ENSG00000001617,5862
ENSG00000001626,0
ENSG00000001629,1682
ENSG00000001630,13
ENSG00000001631,577
ENSG00000002016,287
ENSG00000002079,1
ENSG00000002330,1468
ENSG00000002549,2323
ENSG00000002586,7714
ENSG00000002587,103
ENSG00000002726,23
ENSG00000002745,4
ENSG00000002746,7
ENSG00000002822,916
ENSG00000002834,15207
ENSG00000002919,922
ENSG00000002933,1729
ENSG00000003056,1152
ENSG00000003096,175
ENSG00000003137,100
ENSG00000003147,2616
ENSG00000003249,961
ENSG00000003393,666
ENSG00000003400,181
ENSG00000003402,2793
ENSG00000003436,464
ENSG00000003509,307
ENSG00000003756,4213
ENSG00000003987,16
ENSG00000003989,829
ENSG00000004059,2891
ENSG00000004139,89
ENSG00000004142,3456
ENSG00000004399,4944
ENSG00000004455,3821
ENSG00000004468,23
ENSG00000004478,5599
ENSG00000004487,2696
ENSG00000004534,3652
ENSG00000004660,628
ENSG00000004700,297
ENSG00000004766,796
ENSG00000004776,371
ENSG00000004777,441
ENSG00000004779,1469
ENSG00000004799,1167
ENSG00000004809,3
ENSG00000004838,303
ENSG00000004846,5
ENSG00000004848,43
ENSG00000004864,394
ENSG00000004866,653
ENSG00000004897,1725
ENSG00000004939,2
ENSG00000004948,5
ENSG00000004961,640
ENSG00000004975,960
ENSG00000005001,405
ENSG00000005007,3155
ENSG00000005020,438
ENSG00000005022,4136
ENSG00000005059,716
ENSG00000005073,27
ENSG00000005075,1061
ENSG00000005100,684
ENSG00000005102,158
ENSG00000005108,185
ENSG00000005156,1406
ENSG00000005175,880
ENSG00000005187,82
ENSG00000005189,134
ENSG00000005194,790
ENSG00000005206,1701
ENSG00000005238,831
ENSG00000005243,836
ENSG00000005249,1075
ENSG00000005302,772
ENSG00000005339,3199
ENSG00000005379,935
ENSG00000005381,0
ENSG00000005421,6
ENSG00000005436,770
ENSG00000005448,570
ENSG00000005469,829
ENSG00000005471,76
ENSG00000005483,1916
ENSG00000005486,5246
ENSG00000005513,49
ENSG00000005700,1814
ENSG00000005801,1074
ENSG00000005810,970
ENSG00000005812,1767
ENSG00000005844,358
ENSG00000005882,694
ENSG00000005884,2281
ENSG00000005889,1881
ENSG00000005893,4808
ENSG00000005961,16
ENSG00000005981,3
ENSG00000006007,3534
ENSG00000006015,505
ENSG00000006016,171
ENSG00000006025,434
ENSG00000006042,2467
ENSG00000006047,38
ENSG00000006059,0
ENSG00000006062,454
ENSG00000006071,949
ENSG00000006116,0
ENSG00000006118,2806
ENSG00000006125,8617
ENSG00000006128,19
ENSG00000006194,1115
ENSG00000006210,674
ENSG00000006282,2208
ENSG00000006283,16
ENSG00000006327,2490
ENSG00000006377,0
ENSG00000006432,437
ENSG00000006451,2304
ENSG00000006453,511
