Gene stable ID,aaad18a4-17b4-43cb-984c-ad491c54b7f6
ENSG00000000003,6785
ENSG00000000005,465
ENSG00000000419,1920
ENSG00000000457,2214
ENSG00000000460,427
ENSG00000000938,573
ENSG00000000971,4900
ENSG00000001036,3253
ENSG00000001084,3911
ENSG00000001167,2822
ENSG00000001460,726
ENSG00000001461,4975
ENSG00000001497,3138
ENSG00000001561,2312
ENSG00000001617,3526
ENSG00000001626,238
ENSG00000001629,4902
ENSG00000001630,223
ENSG00000001631,2999
ENSG00000002016,652
ENSG00000002079,28
ENSG00000002330,1328
ENSG00000002549,8705
ENSG00000002586,8190
ENSG00000002587,672
ENSG00000002726,42
ENSG00000002745,5
ENSG00000002746,41
ENSG00000002822,1248
ENSG00000002834,16157
ENSG00000002919,2034
ENSG00000002933,2444
ENSG00000003056,5632
ENSG00000003096,2476
ENSG00000003137,516
ENSG00000003147,2232
ENSG00000003249,583
ENSG00000003393,2211
ENSG00000003400,1146
ENSG00000003402,12533
ENSG00000003436,6097
ENSG00000003509,845
ENSG00000003756,9623
ENSG00000003987,121
ENSG00000003989,4128
ENSG00000004059,5300
ENSG00000004139,582
ENSG00000004142,5759
ENSG00000004399,8737
ENSG00000004455,7128
ENSG00000004468,390
ENSG00000004478,9477
ENSG00000004487,5760
ENSG00000004534,7579
ENSG00000004660,851
ENSG00000004700,2190
ENSG00000004766,3360
ENSG00000004776,4587
ENSG00000004777,913
ENSG00000004779,1917
ENSG00000004799,11339
ENSG00000004809,14
ENSG00000004838,200
ENSG00000004846,364
ENSG00000004848,2
ENSG00000004864,1443
ENSG00000004866,1873
ENSG00000004897,4490
ENSG00000004939,3
ENSG00000004948,96
ENSG00000004961,1131
ENSG00000004975,2276
ENSG00000005001,552
ENSG00000005007,8045
ENSG00000005020,4231
ENSG00000005022,9434
ENSG00000005059,831
ENSG00000005073,17
ENSG00000005075,1005
ENSG00000005100,2014
ENSG00000005102,1418
ENSG00000005108,959
ENSG00000005156,2607
ENSG00000005175,2456
ENSG00000005187,995
ENSG00000005189,424
ENSG00000005194,2098
ENSG00000005206,2098
ENSG00000005238,1116
ENSG00000005243,1106
ENSG00000005249,9768
ENSG00000005302,2343
ENSG00000005339,10807
ENSG00000005379,3434
ENSG00000005381,39
ENSG00000005421,5
ENSG00000005436,1788
ENSG00000005448,550
ENSG00000005469,2499
ENSG00000005471,92
ENSG00000005483,11565
ENSG00000005486,3892
ENSG00000005513,319
ENSG00000005700,5363
ENSG00000005801,1995
ENSG00000005810,10708
ENSG00000005812,8864
ENSG00000005844,1834
ENSG00000005882,2206
ENSG00000005884,7951
ENSG00000005889,5744
ENSG00000005893,17313
ENSG00000005961,44
ENSG00000005981,16
ENSG00000006007,5081
ENSG00000006015,838
ENSG00000006016,270
ENSG00000006025,923
ENSG00000006042,5361
ENSG00000006047,417
ENSG00000006059,8
ENSG00000006062,2052
ENSG00000006071,147
ENSG00000006116,0
ENSG00000006118,1553
ENSG00000006125,20694
ENSG00000006128,62
ENSG00000006194,3099
ENSG00000006210,27442
ENSG00000006282,3909
ENSG00000006283,198
ENSG00000006327,1192
ENSG00000006377,39
ENSG00000006432,2106
ENSG00000006451,3876
ENSG00000006453,2013
ENSG00000006459,3211
ENSG00000006468,1608
ENSG00000006530,2216
ENSG00000006534,788
ENSG00000006555,911
ENSG00000006576,1584
ENSG00000006606,11
ENSG00000006607,2637
ENSG00000006611,32
ENSG00000006625,2151
ENSG00000006634,596
ENSG00000006638,131
ENSG00000006652,2672
ENSG00000006659,3
ENSG00000006695,840
ENSG00000006704,1577
ENSG00000006712,4604
ENSG00000006715,4523
ENSG00000006740,1012
ENSG00000006744,4272
ENSG00000006747,341
ENSG00000006756,10952
ENSG00000006757,1943
ENSG00000006788,12
ENSG00000006831,7550
ENSG00000006837,54
ENSG00000007001,16
ENSG00000007038,334
ENSG00000007047,2101
ENSG00000007062,11765
ENSG00000007080,1623
ENSG00000007129,131
ENSG00000007168,12381
ENSG00000007171,44
ENSG00000007174,52
ENSG00000007202,15802
ENSG00000007216,651
ENSG00000007237,3892
ENSG00000007255,1016
ENSG00000007264,194
ENSG00000007306,13
ENSG00000007312,287
ENSG00000007314,625
ENSG00000007341,1106
ENSG00000007350,12
ENSG00000007372,197
ENSG00000007376,720
ENSG00000007384,2993
ENSG00000007392,2663
ENSG00000007402,1234
ENSG00000007516,501
ENSG00000007520,1715
ENSG00000007541,2171
ENSG00000007545,2202
ENSG00000007866,2866
ENSG00000007908,280
ENSG00000007923,2013
ENSG00000007933,212
ENSG00000007944,4850
ENSG00000007952,44
ENSG00000007968,72
ENSG00000008018,7075
ENSG00000008056,28
ENSG00000008083,2148
ENSG00000008086,2169
ENSG00000008118,16
ENSG00000008128,381
ENSG00000008130,3628
ENSG00000008196,4927
ENSG00000008197,0
ENSG00000008226,293
ENSG00000008256,4593
ENSG00000008277,1011
ENSG00000008282,11431
ENSG00000008283,6553
ENSG00000008294,7658
ENSG00000008300,195
ENSG00000008311,1372
ENSG00000008323,1166
ENSG00000008324,1122
ENSG00000008382,838
ENSG00000008394,10378
ENSG00000008405,1716
ENSG00000008438,2
ENSG00000008441,15248
ENSG00000008513,4459
ENSG00000008516,168
ENSG00000008517,2021
ENSG00000008710,5660
ENSG00000008735,314
ENSG00000008838,4668
ENSG00000008853,1662
ENSG00000008869,4605
ENSG00000008952,13392
ENSG00000008988,46293
ENSG00000009307,60987
ENSG00000009335,5914
ENSG00000009413,4686
ENSG00000009694,178
ENSG00000009709,0
ENSG00000009724,289
ENSG00000009765,50
ENSG00000009780,1384
ENSG00000009790,706
ENSG00000009830,1686
ENSG00000009844,3120
ENSG00000009950,1232
ENSG00000009954,8613
ENSG00000010017,3484
ENSG00000010030,220
ENSG00000010072,948
ENSG00000010165,2647
ENSG00000010219,1045
ENSG00000010244,9180
ENSG00000010256,6243
ENSG00000010270,1787
ENSG00000010278,17561
ENSG00000010282,46
ENSG00000010292,4616
ENSG00000010295,844
ENSG00000010310,158
ENSG00000010318,626
ENSG00000010319,6118
ENSG00000010322,9888
ENSG00000010327,4054
ENSG00000010361,953
ENSG00000010379,3
ENSG00000010404,10607
ENSG00000010438,12
ENSG00000010539,809
ENSG00000010610,4041
ENSG00000010626,597
ENSG00000010671,510
ENSG00000010704,1639
ENSG00000010803,4039
ENSG00000010810,2885
ENSG00000010818,3143
ENSG00000010932,738
ENSG00000011007,4095
ENSG00000011009,2246
ENSG00000011021,2349
ENSG00000011028,6587
ENSG00000011052,19
ENSG00000011083,10
ENSG00000011105,7934
ENSG00000011114,5574
ENSG00000011132,728
ENSG00000011143,1212
ENSG00000011198,1634
ENSG00000011201,2035
ENSG00000011243,3113
