Gene stable ID,db17d43d-40e3-4fc3-9c3f-c01089b3521d
ENSG00000000003,1803
ENSG00000000005,132
ENSG00000000419,2239
ENSG00000000457,3377
ENSG00000000460,1166
ENSG00000000938,663
ENSG00000000971,6062
ENSG00000001036,3013
ENSG00000001084,1883
ENSG00000001167,3108
ENSG00000001460,722
ENSG00000001461,1897
ENSG00000001497,2545
ENSG00000001561,2408
ENSG00000001617,9716
ENSG00000001626,6
ENSG00000001629,5317
ENSG00000001630,409
ENSG00000001631,2249
ENSG00000002016,525
ENSG00000002079,12
ENSG00000002330,1735
ENSG00000002549,8850
ENSG00000002586,14086
ENSG00000002587,420
ENSG00000002726,45
ENSG00000002745,2
ENSG00000002746,35
ENSG00000002822,1262
ENSG00000002834,25543
ENSG00000002919,1517
ENSG00000002933,4731
ENSG00000003056,5609
ENSG00000003096,404
ENSG00000003137,638
ENSG00000003147,3483
ENSG00000003249,1177
ENSG00000003393,2407
ENSG00000003400,836
ENSG00000003402,7073
ENSG00000003436,1524
ENSG00000003509,721
ENSG00000003756,6137
ENSG00000003987,74
ENSG00000003989,25988
ENSG00000004059,6065
ENSG00000004139,334
ENSG00000004142,5761
ENSG00000004399,12653
ENSG00000004455,7283
ENSG00000004468,202
ENSG00000004478,15380
ENSG00000004487,7383
ENSG00000004534,4386
ENSG00000004660,1048
ENSG00000004700,2723
ENSG00000004766,2205
ENSG00000004776,1099
ENSG00000004777,877
ENSG00000004779,2597
ENSG00000004799,3870
ENSG00000004809,19
ENSG00000004838,1097
ENSG00000004846,85
ENSG00000004848,4
ENSG00000004864,1473
ENSG00000004866,1658
ENSG00000004897,5783
ENSG00000004939,1
ENSG00000004948,80
ENSG00000004961,1108
ENSG00000004975,2542
ENSG00000005001,1300
ENSG00000005007,8728
ENSG00000005020,2309
ENSG00000005022,9264
ENSG00000005059,1779
ENSG00000005073,73
ENSG00000005075,1190
ENSG00000005100,1779
ENSG00000005102,716
ENSG00000005108,1123
ENSG00000005156,2872
ENSG00000005175,2123
ENSG00000005187,135
ENSG00000005189,428
ENSG00000005194,1776
ENSG00000005206,2003
ENSG00000005238,1810
ENSG00000005243,1461
ENSG00000005249,3321
ENSG00000005302,1547
ENSG00000005339,12438
ENSG00000005379,799
ENSG00000005381,7
ENSG00000005421,8
ENSG00000005436,1528
ENSG00000005448,826
ENSG00000005469,2733
ENSG00000005471,254
ENSG00000005483,8061
ENSG00000005486,5825
ENSG00000005513,57
ENSG00000005700,5514
ENSG00000005801,1324
ENSG00000005810,6474
ENSG00000005812,4787
ENSG00000005844,4092
ENSG00000005882,1870
ENSG00000005884,7450
ENSG00000005889,3983
ENSG00000005893,12460
ENSG00000005961,46
ENSG00000005981,2
ENSG00000006007,6682
ENSG00000006015,947
ENSG00000006016,389
ENSG00000006025,838
ENSG00000006042,5607
ENSG00000006047,131
ENSG00000006059,20
ENSG00000006062,2009
ENSG00000006071,887
ENSG00000006116,0
ENSG00000006118,3058
ENSG00000006125,32685
ENSG00000006128,46
ENSG00000006194,2961
ENSG00000006210,3511
ENSG00000006282,5179
ENSG00000006283,156
ENSG00000006327,7033
ENSG00000006377,3
ENSG00000006432,581
ENSG00000006451,5147
ENSG00000006453,2403
ENSG00000006459,3620
ENSG00000006468,1392
ENSG00000006530,1573
ENSG00000006534,1500
ENSG00000006555,1511
ENSG00000006576,2618
ENSG00000006606,18
ENSG00000006607,2947
ENSG00000006611,1
ENSG00000006625,2262
ENSG00000006634,467
ENSG00000006638,242
ENSG00000006652,1425
ENSG00000006659,1
ENSG00000006695,937
ENSG00000006704,2612
ENSG00000006712,4455
ENSG00000006715,4976
ENSG00000006740,963
ENSG00000006744,4499
ENSG00000006747,298
ENSG00000006756,6701
