Gene stable ID,048e5e34-ab11-43d6-9788-771502d99152
ENSG00000000003,3219
ENSG00000000005,267
ENSG00000000419,2212
ENSG00000000457,2562
ENSG00000000460,1001
ENSG00000000938,398
ENSG00000000971,8523
ENSG00000001036,3115
ENSG00000001084,2185
ENSG00000001167,3108
ENSG00000001460,763
ENSG00000001461,2891
ENSG00000001497,2738
ENSG00000001561,1941
ENSG00000001617,9569
ENSG00000001626,18
ENSG00000001629,6009
ENSG00000001630,357
ENSG00000001631,3022
ENSG00000002016,598
ENSG00000002079,9
ENSG00000002330,1984
ENSG00000002549,5205
ENSG00000002586,10431
ENSG00000002587,205
ENSG00000002726,6
ENSG00000002745,3
ENSG00000002746,10
ENSG00000002822,1589
ENSG00000002834,41292
ENSG00000002919,1703
ENSG00000002933,1352
ENSG00000003056,4535
ENSG00000003096,917
ENSG00000003137,722
ENSG00000003147,4920
ENSG00000003249,575
ENSG00000003393,1862
ENSG00000003400,888
ENSG00000003402,6424
ENSG00000003436,3119
ENSG00000003509,738
ENSG00000003756,6345
ENSG00000003987,136
ENSG00000003989,4604
ENSG00000004059,7600
ENSG00000004139,328
ENSG00000004142,4676
ENSG00000004399,14269
ENSG00000004455,5778
ENSG00000004468,78
ENSG00000004478,12749
ENSG00000004487,4712
ENSG00000004534,6359
ENSG00000004660,594
ENSG00000004700,1900
ENSG00000004766,3052
ENSG00000004776,2152
ENSG00000004777,473
ENSG00000004779,2533
ENSG00000004799,9093
ENSG00000004809,2
ENSG00000004838,1004
ENSG00000004846,58
ENSG00000004848,1
ENSG00000004864,1341
ENSG00000004866,1485
ENSG00000004897,4880
ENSG00000004939,0
ENSG00000004948,26
ENSG00000004961,1030
ENSG00000004975,1626
ENSG00000005001,935
ENSG00000005007,7449
ENSG00000005020,2046
ENSG00000005022,8721
ENSG00000005059,951
ENSG00000005073,46
ENSG00000005075,1749
ENSG00000005100,1317
ENSG00000005102,1497
ENSG00000005108,853
ENSG00000005156,3538
ENSG00000005175,2226
ENSG00000005187,178
ENSG00000005189,616
ENSG00000005194,1420
ENSG00000005206,3141
ENSG00000005238,1103
ENSG00000005243,1221
ENSG00000005249,4861
ENSG00000005302,1240
ENSG00000005339,10331
ENSG00000005379,327
ENSG00000005381,7
ENSG00000005421,23
ENSG00000005436,1153
ENSG00000005448,650
ENSG00000005469,4307
ENSG00000005471,211
ENSG00000005483,7538
ENSG00000005486,6025
ENSG00000005513,61
ENSG00000005700,4701
ENSG00000005801,1341
ENSG00000005810,5377
ENSG00000005812,3986
ENSG00000005844,853
ENSG00000005882,2083
ENSG00000005884,6807
ENSG00000005889,2587
ENSG00000005893,14469
ENSG00000005961,40
ENSG00000005981,13
ENSG00000006007,8216
ENSG00000006015,499
ENSG00000006016,1338
ENSG00000006025,567
ENSG00000006042,6287
ENSG00000006047,415
ENSG00000006059,2
ENSG00000006062,1005
ENSG00000006071,179
ENSG00000006116,0
ENSG00000006118,12312
ENSG00000006125,24214
ENSG00000006128,63
ENSG00000006194,2964
ENSG00000006210,3008
ENSG00000006282,3903
ENSG00000006283,26
ENSG00000006327,2548
ENSG00000006377,16
ENSG00000006432,630
ENSG00000006451,4186
ENSG00000006453,1850
ENSG00000006459,5845
ENSG00000006468,559
ENSG00000006530,2015
ENSG00000006534,798
ENSG00000006555,300
ENSG00000006576,2327
ENSG00000006606,14
ENSG00000006607,2464
ENSG00000006611,3
ENSG00000006625,3994
ENSG00000006634,1244
ENSG00000006638,258
ENSG00000006652,1926
ENSG00000006659,0
ENSG00000006695,674
ENSG00000006704,2714
ENSG00000006712,4608
ENSG00000006715,4776
ENSG00000006740,234
ENSG00000006744,2238
ENSG00000006747,129
ENSG00000006756,3568
ENSG00000006757,866
ENSG00000006788,20
ENSG00000006831,7701
ENSG00000006837,43
ENSG00000007001,8
ENSG00000007038,137
ENSG00000007047,2109
ENSG00000007062,419
ENSG00000007080,2451
ENSG00000007129,50
ENSG00000007168,6979
ENSG00000007171,42
ENSG00000007174,64
ENSG00000007202,9779
ENSG00000007216,124
ENSG00000007237,4139
ENSG00000007255,1088
ENSG00000007264,98
ENSG00000007306,18
ENSG00000007312,162
ENSG00000007314,381
ENSG00000007341,774
ENSG00000007350,18
ENSG00000007372,134
ENSG00000007376,1511
ENSG00000007384,2705
ENSG00000007392,2849
ENSG00000007402,2592
ENSG00000007516,2006
ENSG00000007520,2024
ENSG00000007541,6674
ENSG00000007545,2098
ENSG00000007866,2399
ENSG00000007908,4077
ENSG00000007923,1859
ENSG00000007933,263
ENSG00000007944,3448
ENSG00000007952,22
ENSG00000007968,384
ENSG00000008018,6364
ENSG00000008056,62
ENSG00000008083,2369
ENSG00000008086,1699
ENSG00000008118,15
ENSG00000008128,287
ENSG00000008130,3649
ENSG00000008196,7905
ENSG00000008197,0
ENSG00000008226,39
ENSG00000008256,4239
ENSG00000008277,1041
ENSG00000008282,11723
ENSG00000008283,11359
ENSG00000008294,7155
ENSG00000008300,404
ENSG00000008311,328
ENSG00000008323,863
ENSG00000008324,887
ENSG00000008382,680
ENSG00000008394,7112
ENSG00000008405,1457
ENSG00000008438,1
ENSG00000008441,9454
ENSG00000008513,8136
ENSG00000008516,371
ENSG00000008517,887
ENSG00000008710,4900
ENSG00000008735,1048
ENSG00000008838,6544
ENSG00000008853,1202
ENSG00000008869,3722
ENSG00000008952,18507
ENSG00000008988,35113
ENSG00000009307,35923
ENSG00000009335,7471
ENSG00000009413,2065
ENSG00000009694,148
ENSG00000009709,1
ENSG00000009724,73
ENSG00000009765,74
ENSG00000009780,1085
ENSG00000009790,198
ENSG00000009830,1498
ENSG00000009844,3099
ENSG00000009950,306
ENSG00000009954,9784
ENSG00000010017,3558
ENSG00000010030,32
ENSG00000010072,963
ENSG00000010165,3637
ENSG00000010219,717
ENSG00000010244,6449
ENSG00000010256,5969
ENSG00000010270,1931
ENSG00000010278,19186
ENSG00000010282,1
ENSG00000010292,4327
ENSG00000010295,670
ENSG00000010310,161
ENSG00000010318,317
ENSG00000010319,5799
