Gene stable ID,fcfb627b-d8e2-4e0d-93f2-022de221e2d6
ENSG00000000003,3635
ENSG00000000005,35
ENSG00000000419,2441
ENSG00000000457,1700
ENSG00000000460,553
ENSG00000000938,580
ENSG00000000971,9086
ENSG00000001036,5519
ENSG00000001084,2189
ENSG00000001167,3938
ENSG00000001460,799
ENSG00000001461,1708
ENSG00000001497,3973
ENSG00000001561,930
ENSG00000001617,5291
ENSG00000001626,16
ENSG00000001629,6509
ENSG00000001630,246
ENSG00000001631,2431
ENSG00000002016,462
ENSG00000002079,41
ENSG00000002330,1358
ENSG00000002549,7346
ENSG00000002586,31553
ENSG00000002587,346
ENSG00000002726,3505
ENSG00000002745,4
ENSG00000002746,79
ENSG00000002822,1820
ENSG00000002834,25029
ENSG00000002919,1840
ENSG00000002933,4167
ENSG00000003056,4622
ENSG00000003096,384
ENSG00000003137,742
ENSG00000003147,2102
ENSG00000003249,5284
ENSG00000003393,2075
ENSG00000003400,675
ENSG00000003402,7041
ENSG00000003436,4773
ENSG00000003509,1042
ENSG00000003756,3683
ENSG00000003987,73
ENSG00000003989,1956
ENSG00000004059,12934
ENSG00000004139,526
ENSG00000004142,8131
ENSG00000004399,21172
ENSG00000004455,6461
ENSG00000004468,200
ENSG00000004478,15166
ENSG00000004487,5755
ENSG00000004534,4809
ENSG00000004660,589
ENSG00000004700,4103
ENSG00000004766,1821
ENSG00000004776,166
ENSG00000004777,568
ENSG00000004779,3321
ENSG00000004799,1081
ENSG00000004809,3
ENSG00000004838,222
ENSG00000004846,26
ENSG00000004848,48
ENSG00000004864,3186
ENSG00000004866,2128
ENSG00000004897,6143
ENSG00000004939,71
ENSG00000004948,29
ENSG00000004961,1161
ENSG00000004975,1954
ENSG00000005001,2058
ENSG00000005007,9237
ENSG00000005020,2347
ENSG00000005022,17330
ENSG00000005059,3192
ENSG00000005073,156
ENSG00000005075,2583
ENSG00000005100,2085
ENSG00000005102,67
ENSG00000005108,423
ENSG00000005156,2548
ENSG00000005175,2586
ENSG00000005187,137
ENSG00000005189,488
ENSG00000005194,4681
ENSG00000005206,2017
ENSG00000005238,3764
ENSG00000005243,3701
ENSG00000005249,1210
ENSG00000005302,1872
ENSG00000005339,8773
ENSG00000005379,779
ENSG00000005381,74
ENSG00000005421,23
ENSG00000005436,1462
ENSG00000005448,791
ENSG00000005469,1769
ENSG00000005471,574
ENSG00000005483,5242
ENSG00000005486,5800
ENSG00000005513,31
ENSG00000005700,7708
ENSG00000005801,1550
ENSG00000005810,6940
ENSG00000005812,4266
ENSG00000005844,1221
ENSG00000005882,861
ENSG00000005884,8267
ENSG00000005889,2670
ENSG00000005893,29509
ENSG00000005961,209
ENSG00000005981,6
ENSG00000006007,7250
ENSG00000006015,1127
ENSG00000006016,193
ENSG00000006025,982
ENSG00000006042,3956
ENSG00000006047,856
ENSG00000006059,5
ENSG00000006062,848
ENSG00000006071,131
ENSG00000006116,0
ENSG00000006118,32262
ENSG00000006125,23455
ENSG00000006128,7
ENSG00000006194,3496
ENSG00000006210,5523
ENSG00000006282,5027
ENSG00000006283,71
ENSG00000006327,10078
ENSG00000006377,6
ENSG00000006432,1160
ENSG00000006451,9022
ENSG00000006453,2814
ENSG00000006459,2741
ENSG00000006468,3793
ENSG00000006530,2705
ENSG00000006534,1670
ENSG00000006555,210
ENSG00000006576,6967
ENSG00000006606,34
ENSG00000006607,2073
ENSG00000006611,7
ENSG00000006625,5999
ENSG00000006634,1101
ENSG00000006638,254
ENSG00000006652,2072
ENSG00000006659,0
ENSG00000006695,1131
ENSG00000006704,4132
ENSG00000006712,3808
ENSG00000006715,5181
ENSG00000006740,998
ENSG00000006744,5189
ENSG00000006747,419
ENSG00000006756,6328
ENSG00000006757,1174
ENSG00000006788,188
ENSG00000006831,8414
ENSG00000006837,119
ENSG00000007001,4
ENSG00000007038,51
ENSG00000007047,2570
ENSG00000007062,290
ENSG00000007080,5266
ENSG00000007129,514
ENSG00000007168,12369
ENSG00000007171,189
ENSG00000007174,44
ENSG00000007202,15663
ENSG00000007216,29
ENSG00000007237,7966
ENSG00000007255,786
ENSG00000007264,172
ENSG00000007306,29
ENSG00000007312,172
ENSG00000007314,74
ENSG00000007341,417
ENSG00000007350,2
ENSG00000007372,153
ENSG00000007376,1172
ENSG00000007384,2968
ENSG00000007392,2087
ENSG00000007402,354
ENSG00000007516,880
ENSG00000007520,2174
ENSG00000007541,3886
ENSG00000007545,1517
ENSG00000007866,6105
ENSG00000007908,385
ENSG00000007923,1962
ENSG00000007933,491
ENSG00000007944,2369
ENSG00000007952,48
ENSG00000007968,328
ENSG00000008018,13965
ENSG00000008056,104
ENSG00000008083,3224
ENSG00000008086,3773
ENSG00000008118,24
ENSG00000008128,306
ENSG00000008130,3675
ENSG00000008196,80
ENSG00000008197,0
ENSG00000008226,58
ENSG00000008256,7063
ENSG00000008277,565
ENSG00000008282,7275
ENSG00000008283,12915
ENSG00000008294,7990
ENSG00000008300,642
ENSG00000008311,590
ENSG00000008323,1137
ENSG00000008324,773
ENSG00000008382,709
ENSG00000008394,8757
ENSG00000008405,1936
ENSG00000008438,0
ENSG00000008441,2421
ENSG00000008513,7198
ENSG00000008516,390
ENSG00000008517,3861
ENSG00000008710,10365
ENSG00000008735,751
ENSG00000008838,17528
ENSG00000008853,2818
ENSG00000008869,3323
ENSG00000008952,16045
ENSG00000008988,46857
ENSG00000009307,37268
ENSG00000009335,9592
ENSG00000009413,1691
ENSG00000009694,99
ENSG00000009709,1005
ENSG00000009724,21
ENSG00000009765,1133
ENSG00000009780,898
ENSG00000009790,571
ENSG00000009830,1821
ENSG00000009844,5512
ENSG00000009950,26
ENSG00000009954,10883
ENSG00000010017,7548
ENSG00000010030,237
ENSG00000010072,1326
ENSG00000010165,3839
ENSG00000010219,1429
ENSG00000010244,12847
ENSG00000010256,9374
ENSG00000010270,2542
ENSG00000010278,44435
ENSG00000010282,0
ENSG00000010292,6207
ENSG00000010295,2025
ENSG00000010310,94
ENSG00000010318,186
ENSG00000010319,985
ENSG00000010322,4401
ENSG00000010327,4570
ENSG00000010361,376
ENSG00000010379,3
ENSG00000010404,12420
ENSG00000010438,2
ENSG00000010539,917
ENSG00000010610,4330
ENSG00000010626,1080
ENSG00000010671,583
ENSG00000010704,2206
ENSG00000010803,2280
ENSG00000010810,3395
ENSG00000010818,5654
ENSG00000010932,1883
ENSG00000011007,3116
ENSG00000011009,5138
ENSG00000011021,969
ENSG00000011028,42592
ENSG00000011052,244
ENSG00000011083,53
ENSG00000011105,11912
ENSG00000011114,3246
ENSG00000011132,609
ENSG00000011143,1064
ENSG00000011198,1171
ENSG00000011201,1331
ENSG00000011243,5798
ENSG00000011258,1483
ENSG00000011260,1836
ENSG00000011275,4567
ENSG00000011295,3574
ENSG00000011304,16948
ENSG00000011332,98
ENSG00000011347,3814
ENSG00000011376,1336
ENSG00000011405,4415
ENSG00000011422,8792
ENSG00000011426,3955
ENSG00000011451,10986
ENSG00000011454,6360
ENSG00000011465,158276
ENSG00000011478,685
ENSG00000011485,3550
ENSG00000011523,2277
ENSG00000011566,3874
ENSG00000011590,35
ENSG00000011600,3977
ENSG00000011638,2654
ENSG00000011677,1277
ENSG00000012048,1145
ENSG00000012061,2668
ENSG00000012124,263
ENSG00000012171,488
ENSG00000012174,1854
ENSG00000012211,747
ENSG00000012223,2278
ENSG00000012232,3968
ENSG00000012504,0
ENSG00000012660,10175
ENSG00000012779,1284
ENSG00000012817,1
ENSG00000012822,6377
ENSG00000012963,4906
ENSG00000012983,6560
ENSG00000013016,3037
ENSG00000013275,4761
ENSG00000013288,6625
ENSG00000013293,0
ENSG00000013297,272
ENSG00000013306,8973
ENSG00000013364,24143
ENSG00000013374,4930
ENSG00000013375,5285
ENSG00000013392,864
ENSG00000013441,4479
ENSG00000013503,831
ENSG00000013523,1539
ENSG00000013561,5599
ENSG00000013563,1987
ENSG00000013573,1633
ENSG00000013583,2679
ENSG00000013588,15851
ENSG00000013619,519
ENSG00000013725,727
ENSG00000013810,2761
ENSG00000014123,4202
ENSG00000014138,1009
ENSG00000014164,1638
ENSG00000014216,11433
ENSG00000014257,89
ENSG00000014641,8980
ENSG00000014824,5507
ENSG00000014914,1562
ENSG00000014919,3075
ENSG00000015133,4052
ENSG00000015153,1385
ENSG00000015171,8039
ENSG00000015285,512
ENSG00000015413,153
ENSG00000015475,2028
ENSG00000015479,450
ENSG00000015520,48
ENSG00000015532,2303
ENSG00000015568,0
ENSG00000015592,0
ENSG00000015676,8860
ENSG00000016082,9
ENSG00000016391,550
ENSG00000016402,1393
ENSG00000016490,0
ENSG00000016602,1
ENSG00000016864,5196
ENSG00000017260,10186
ENSG00000017427,84
ENSG00000017483,2744
ENSG00000017797,5871
ENSG00000018189,2093
ENSG00000018236,3884
ENSG00000018280,513
ENSG00000018408,8721
ENSG00000018510,3472
ENSG00000018607,0
ENSG00000018610,1840
ENSG00000018625,23
ENSG00000018699,1603
ENSG00000018869,224
ENSG00000019102,1315
ENSG00000019144,12699
ENSG00000019169,99
ENSG00000019186,8
ENSG00000019485,557
ENSG00000019505,3489
ENSG00000019549,4155
ENSG00000019582,83449
ENSG00000019991,429
ENSG00000019995,1555
ENSG00000020129,3479
ENSG00000020181,7288
ENSG00000020219,4
ENSG00000020256,4266
ENSG00000020426,1093
ENSG00000020577,2122
ENSG00000020633,778
ENSG00000020922,1567
ENSG00000021300,307
ENSG00000021355,4410
ENSG00000021461,3
ENSG00000021488,6
ENSG00000021574,2308
ENSG00000021645,93
ENSG00000021762,5617
ENSG00000021776,5349
ENSG00000021826,306
ENSG00000021852,0
ENSG00000022267,4259
ENSG00000022277,32064
ENSG00000022355,2
ENSG00000022556,22
ENSG00000022567,1330
ENSG00000022840,14072
ENSG00000022976,461
ENSG00000023041,3208
ENSG00000023171,387
ENSG00000023191,10998
ENSG00000023228,7107
ENSG00000023287,6694
ENSG00000023318,5610
ENSG00000023330,3967
ENSG00000023445,928
ENSG00000023516,5472
ENSG00000023572,469
ENSG00000023608,718
ENSG00000023697,2072
ENSG00000023734,11394
ENSG00000023839,200
ENSG00000023892,1038
ENSG00000023902,4537
ENSG00000023909,1944
ENSG00000024048,4660
ENSG00000024422,11062
ENSG00000024526,427
ENSG00000024862,947
ENSG00000025039,797
ENSG00000025156,1074
ENSG00000025293,4242
ENSG00000025423,1782
ENSG00000025434,1680
ENSG00000025708,5516
ENSG00000025770,2626
ENSG00000025772,2858
ENSG00000025796,13914
ENSG00000025800,5818
ENSG00000026025,124095
ENSG00000026036,141
ENSG00000026103,1719
ENSG00000026297,2041
ENSG00000026508,21698
ENSG00000026559,248
ENSG00000026652,1671
ENSG00000026751,900
ENSG00000026950,2387
ENSG00000027001,2407
ENSG00000027075,1856
ENSG00000027644,84
ENSG00000027697,5251
ENSG00000027847,2047
ENSG00000027869,200
ENSG00000028116,1802
ENSG00000028137,1981
ENSG00000028203,7967
ENSG00000028277,587
ENSG00000028310,2557
ENSG00000028528,6996
ENSG00000028839,1235
ENSG00000029153,1415
ENSG00000029363,10019
ENSG00000029364,8697
ENSG00000029534,99
ENSG00000029559,704
ENSG00000029639,760
ENSG00000029725,5751
ENSG00000029993,10000
ENSG00000030066,4380
ENSG00000030110,2645
ENSG00000030304,1
ENSG00000030419,633
ENSG00000030582,28785
ENSG00000031003,3016
ENSG00000031081,5350
ENSG00000031691,641
ENSG00000031698,9174
ENSG00000031823,3609
ENSG00000032219,1705
ENSG00000032389,3226
ENSG00000032444,2832
ENSG00000032742,918
ENSG00000033011,2096
ENSG00000033030,1834
ENSG00000033050,5564
ENSG00000033100,9343
ENSG00000033122,36
ENSG00000033170,7824
ENSG00000033178,4270
ENSG00000033327,1747
ENSG00000033627,3650
ENSG00000033800,2523
ENSG00000033867,2346
ENSG00000034053,2154
ENSG00000034152,3960
ENSG00000034239,26
ENSG00000034510,133086
ENSG00000034533,757
ENSG00000034677,4829
ENSG00000034693,1067
ENSG00000034713,6801
ENSG00000034971,2
ENSG00000035115,4685
ENSG00000035141,3502
ENSG00000035403,27191
ENSG00000035499,304
ENSG00000035664,317
ENSG00000035681,2756
ENSG00000035687,6751
ENSG00000035720,42
ENSG00000035862,124331
ENSG00000035928,4067
ENSG00000036054,3487
ENSG00000036257,5191
ENSG00000036448,37
ENSG00000036473,0
ENSG00000036530,82
ENSG00000036549,2484
