Gene stable ID,bd031420-47b0-430e-acab-b7d411089b98
ENSG00000000003,1865
ENSG00000000005,61
ENSG00000000419,2764
ENSG00000000457,1678
ENSG00000000460,973
ENSG00000000938,858
ENSG00000000971,2858
ENSG00000001036,11866
ENSG00000001084,3740
ENSG00000001167,3737
ENSG00000001460,875
ENSG00000001461,2633
ENSG00000001497,5601
ENSG00000001561,758
ENSG00000001617,8669
ENSG00000001626,4
ENSG00000001629,4239
ENSG00000001630,157
ENSG00000001631,1715
ENSG00000002016,808
ENSG00000002079,26
ENSG00000002330,1853
ENSG00000002549,5402
ENSG00000002586,18718
ENSG00000002587,274
ENSG00000002726,40
ENSG00000002745,23
ENSG00000002746,6
ENSG00000002822,876
ENSG00000002834,12219
ENSG00000002919,1242
ENSG00000002933,1401
ENSG00000003056,7178
ENSG00000003096,136
ENSG00000003137,263
ENSG00000003147,1682
ENSG00000003249,1975
ENSG00000003393,2084
ENSG00000003400,1080
ENSG00000003402,6736
ENSG00000003436,788
ENSG00000003509,722
ENSG00000003756,6180
ENSG00000003987,69
ENSG00000003989,453
ENSG00000004059,7857
ENSG00000004139,123
ENSG00000004142,14242
ENSG00000004399,9565
ENSG00000004455,5382
ENSG00000004468,512
ENSG00000004478,26647
ENSG00000004487,10058
ENSG00000004534,7564
ENSG00000004660,426
ENSG00000004700,2323
ENSG00000004766,1217
ENSG00000004776,293
ENSG00000004777,507
ENSG00000004779,2036
ENSG00000004799,2877
ENSG00000004809,1
ENSG00000004838,270
ENSG00000004846,11
ENSG00000004848,86
ENSG00000004864,1418
ENSG00000004866,1412
ENSG00000004897,3976
ENSG00000004939,3
ENSG00000004948,7
ENSG00000004961,1344
ENSG00000004975,994
ENSG00000005001,251
ENSG00000005007,10570
ENSG00000005020,1027
ENSG00000005022,17090
ENSG00000005059,621
ENSG00000005073,410
ENSG00000005075,1829
ENSG00000005100,1280
ENSG00000005102,141
ENSG00000005108,251
ENSG00000005156,2039
ENSG00000005175,3705
ENSG00000005187,146
ENSG00000005189,721
ENSG00000005194,3372
ENSG00000005206,1496
ENSG00000005238,903
ENSG00000005243,597
ENSG00000005249,5863
ENSG00000005302,3382
ENSG00000005339,4002
ENSG00000005379,363
ENSG00000005381,17
ENSG00000005421,0
ENSG00000005436,2268
ENSG00000005448,397
ENSG00000005469,3360
ENSG00000005471,66
ENSG00000005483,3182
ENSG00000005486,4973
ENSG00000005513,58
ENSG00000005700,3948
ENSG00000005801,2163
ENSG00000005810,6535
ENSG00000005812,6781
ENSG00000005844,1781
ENSG00000005882,740
ENSG00000005884,2724
ENSG00000005889,3161
ENSG00000005893,45727
ENSG00000005961,54
ENSG00000005981,2
ENSG00000006007,5351
ENSG00000006015,714
ENSG00000006016,911
ENSG00000006025,566
ENSG00000006042,3804
ENSG00000006047,545
ENSG00000006059,10
ENSG00000006062,590
ENSG00000006071,57
ENSG00000006116,0
ENSG00000006118,2910
ENSG00000006125,8885
ENSG00000006128,1
ENSG00000006194,1690
ENSG00000006210,2131
ENSG00000006282,1849
ENSG00000006283,22
ENSG00000006327,2179
ENSG00000006377,3
ENSG00000006432,1617
ENSG00000006451,5388
ENSG00000006453,1337
ENSG00000006459,2722
ENSG00000006468,514
ENSG00000006530,2063
ENSG00000006534,686
ENSG00000006555,155
ENSG00000006576,2057
ENSG00000006606,6
ENSG00000006607,3069
ENSG00000006611,8
ENSG00000006625,8735
ENSG00000006634,858
ENSG00000006638,93
ENSG00000006652,2493
ENSG00000006659,3
ENSG00000006695,934
ENSG00000006704,2787
ENSG00000006712,4756
ENSG00000006715,2938
ENSG00000006740,881
ENSG00000006744,5102
ENSG00000006747,227
ENSG00000006756,10468
ENSG00000006757,2025
ENSG00000006788,48
ENSG00000006831,15377
ENSG00000006837,85
ENSG00000007001,7
ENSG00000007038,9
ENSG00000007047,3110
ENSG00000007062,204
ENSG00000007080,2187
ENSG00000007129,77
ENSG00000007168,6725
ENSG00000007171,46
ENSG00000007174,25
ENSG00000007202,23381
ENSG00000007216,15
ENSG00000007237,1299
ENSG00000007255,2693
ENSG00000007264,83
ENSG00000007306,65
ENSG00000007312,174
ENSG00000007314,69
ENSG00000007341,612
ENSG00000007350,7
ENSG00000007372,94
ENSG00000007376,664
ENSG00000007384,1582
ENSG00000007392,2514
ENSG00000007402,1749
ENSG00000007516,607
ENSG00000007520,996
ENSG00000007541,3321
ENSG00000007545,1247
ENSG00000007866,1622
ENSG00000007908,539
ENSG00000007923,2941
ENSG00000007933,100
ENSG00000007944,3167
ENSG00000007952,81
ENSG00000007968,799
ENSG00000008018,9040
ENSG00000008056,40
ENSG00000008083,4246
ENSG00000008086,1048
ENSG00000008118,11
ENSG00000008128,311
ENSG00000008130,3949
ENSG00000008196,3644
ENSG00000008197,0
ENSG00000008226,40
ENSG00000008256,2025
ENSG00000008277,317
ENSG00000008282,9429
ENSG00000008283,12286
ENSG00000008294,7197
ENSG00000008300,2820
ENSG00000008311,245
ENSG00000008323,775
ENSG00000008324,1475
ENSG00000008382,915
ENSG00000008394,26038
ENSG00000008405,1966
ENSG00000008438,7
ENSG00000008441,6563
ENSG00000008513,3287
ENSG00000008516,180
ENSG00000008517,2111
ENSG00000008710,1505
ENSG00000008735,4381
ENSG00000008838,3057
ENSG00000008853,824
ENSG00000008869,2802
ENSG00000008952,15565
ENSG00000008988,33911
ENSG00000009307,35272
ENSG00000009335,10713
ENSG00000009413,1147
ENSG00000009694,20
ENSG00000009709,6
ENSG00000009724,29
ENSG00000009765,1308
ENSG00000009780,1226
ENSG00000009790,631
ENSG00000009830,1491
ENSG00000009844,14967
ENSG00000009950,247
ENSG00000009954,10850
ENSG00000010017,7251
ENSG00000010030,128
ENSG00000010072,1274
ENSG00000010165,2829
ENSG00000010219,1302
ENSG00000010244,11330
ENSG00000010256,12381
ENSG00000010270,1922
ENSG00000010278,34980
ENSG00000010282,1
ENSG00000010292,13001
ENSG00000010295,474
ENSG00000010310,84
ENSG00000010318,334
ENSG00000010319,851
ENSG00000010322,4370
ENSG00000010327,1951
ENSG00000010361,616
ENSG00000010379,4
ENSG00000010404,5478
ENSG00000010438,13
ENSG00000010539,824
ENSG00000010610,4059
ENSG00000010626,1027
ENSG00000010671,691
ENSG00000010704,305
ENSG00000010803,2003
ENSG00000010810,1393
ENSG00000010818,4422
ENSG00000010932,694
