Gene stable ID,f88e823e-b332-46ab-8765-2684be47a4be
ENSG00000000003,3514
ENSG00000000005,21
ENSG00000000419,7020
ENSG00000000457,3998
ENSG00000000460,1449
ENSG00000000938,86
ENSG00000000971,1915
ENSG00000001036,4135
ENSG00000001084,4862
ENSG00000001167,5382
ENSG00000001460,568
ENSG00000001461,4853
ENSG00000001497,3320
ENSG00000001561,5789
ENSG00000001617,5342
ENSG00000001626,13
ENSG00000001629,6956
ENSG00000001630,148
ENSG00000001631,2722
ENSG00000002016,544
ENSG00000002079,8
ENSG00000002330,814
ENSG00000002549,3052
ENSG00000002586,4495
ENSG00000002587,272
ENSG00000002726,10
ENSG00000002745,3
ENSG00000002746,30
ENSG00000002822,890
ENSG00000002834,81246
ENSG00000002919,3070
ENSG00000002933,237
ENSG00000003056,6990
ENSG00000003096,321
ENSG00000003137,39
ENSG00000003147,5360
ENSG00000003249,1063
ENSG00000003393,3266
ENSG00000003400,1912
ENSG00000003402,5792
ENSG00000003436,551
ENSG00000003509,585
ENSG00000003756,3170
ENSG00000003987,181
ENSG00000003989,481
ENSG00000004059,4343
ENSG00000004139,721
ENSG00000004142,10288
ENSG00000004399,12834
ENSG00000004455,5782
ENSG00000004468,53
ENSG00000004478,77677
ENSG00000004487,3914
ENSG00000004534,2292
ENSG00000004660,317
ENSG00000004700,2251
ENSG00000004766,2430
ENSG00000004776,146
ENSG00000004777,196
ENSG00000004779,3401
ENSG00000004799,1313
ENSG00000004809,4
ENSG00000004838,211
ENSG00000004846,34
ENSG00000004848,36
ENSG00000004864,1661
ENSG00000004866,1249
ENSG00000004897,13299
ENSG00000004939,8
ENSG00000004948,271
ENSG00000004961,1378
ENSG00000004975,1098
ENSG00000005001,897
ENSG00000005007,9681
ENSG00000005020,4112
ENSG00000005022,11535
ENSG00000005059,374
ENSG00000005073,7
ENSG00000005075,930
ENSG00000005100,2225
ENSG00000005102,747
ENSG00000005108,344
ENSG00000005156,6992
ENSG00000005175,4515
ENSG00000005187,194
ENSG00000005189,876
ENSG00000005194,1546
ENSG00000005206,1931
ENSG00000005238,560
ENSG00000005243,298
ENSG00000005249,694
ENSG00000005302,1096
ENSG00000005339,12770
ENSG00000005379,213
ENSG00000005381,1
ENSG00000005421,11
ENSG00000005436,2949
ENSG00000005448,318
ENSG00000005469,2280
ENSG00000005471,113
ENSG00000005483,5941
ENSG00000005486,3121
ENSG00000005513,28
ENSG00000005700,12247
