Gene stable ID,dde9d855-d6fd-48de-89d3-8e96ef1fb175
ENSG00000000003,2919
ENSG00000000005,22
ENSG00000000419,3743
ENSG00000000457,945
ENSG00000000460,870
ENSG00000000938,1166
ENSG00000000971,1608
ENSG00000001036,2740
ENSG00000001084,2036
ENSG00000001167,5498
ENSG00000001460,1244
ENSG00000001461,2823
ENSG00000001497,7235
ENSG00000001561,1275
ENSG00000001617,3489
ENSG00000001626,4
ENSG00000001629,3673
ENSG00000001630,316
ENSG00000001631,1879
ENSG00000002016,739
ENSG00000002079,24
ENSG00000002330,3450
ENSG00000002549,6340
ENSG00000002586,16391
ENSG00000002587,440
ENSG00000002726,435
ENSG00000002745,2
ENSG00000002746,20
ENSG00000002822,2641
ENSG00000002834,10932
ENSG00000002919,1384
ENSG00000002933,3853
ENSG00000003056,5292
ENSG00000003096,244
ENSG00000003137,1695
ENSG00000003147,1563
ENSG00000003249,5489
ENSG00000003393,1710
ENSG00000003400,393
ENSG00000003402,7001
ENSG00000003436,659
ENSG00000003509,1497
ENSG00000003756,5992
ENSG00000003987,234
ENSG00000003989,586
ENSG00000004059,13241
ENSG00000004139,486
ENSG00000004142,10004
ENSG00000004399,11479
ENSG00000004455,12515
ENSG00000004468,127
ENSG00000004478,25847
ENSG00000004487,11347
ENSG00000004534,5475
ENSG00000004660,1141
ENSG00000004700,1774
ENSG00000004766,1198
ENSG00000004776,511
ENSG00000004777,5628
ENSG00000004779,4052
ENSG00000004799,293
ENSG00000004809,27
ENSG00000004838,166
ENSG00000004846,2
ENSG00000004848,0
ENSG00000004864,2271
ENSG00000004866,1786
ENSG00000004897,4341
ENSG00000004939,3
ENSG00000004948,5
ENSG00000004961,1507
ENSG00000004975,3813
ENSG00000005001,803
ENSG00000005007,11243
ENSG00000005020,1604
ENSG00000005022,14536
ENSG00000005059,1833
ENSG00000005073,121
ENSG00000005075,2501
ENSG00000005100,2650
ENSG00000005102,187
ENSG00000005108,138
ENSG00000005156,4137
ENSG00000005175,2202
ENSG00000005187,417
ENSG00000005189,432
ENSG00000005194,3500
ENSG00000005206,5243
ENSG00000005238,1958
ENSG00000005243,1256
ENSG00000005249,1404
ENSG00000005302,3443
ENSG00000005339,7643
ENSG00000005379,4071
ENSG00000005381,19
ENSG00000005421,22
ENSG00000005436,2226
ENSG00000005448,916
ENSG00000005469,553
ENSG00000005471,61
ENSG00000005483,3614
ENSG00000005486,6250
ENSG00000005513,1817
ENSG00000005700,2982
ENSG00000005801,1543
ENSG00000005810,1792
ENSG00000005812,1675
ENSG00000005844,1914
ENSG00000005882,1563
ENSG00000005884,3863
ENSG00000005889,3606
ENSG00000005893,13932
ENSG00000005961,357
ENSG00000005981,13
ENSG00000006007,3333
ENSG00000006015,3534
ENSG00000006016,1558
ENSG00000006025,657
ENSG00000006042,6413
ENSG00000006047,448
ENSG00000006059,0
ENSG00000006062,1775
ENSG00000006071,23
ENSG00000006116,0
ENSG00000006118,24712
ENSG00000006125,11148
ENSG00000006128,0
ENSG00000006194,2577
ENSG00000006210,12574
ENSG00000006282,3828
ENSG00000006283,40
ENSG00000006327,9988
ENSG00000006377,759
ENSG00000006432,579
ENSG00000006451,5380
ENSG00000006453,4072
ENSG00000006459,1541
ENSG00000006468,887
ENSG00000006530,2203
ENSG00000006534,1149
ENSG00000006555,1451
ENSG00000006576,2604
ENSG00000006606,114
ENSG00000006607,2692
ENSG00000006611,34
ENSG00000006625,2946
ENSG00000006634,1421
ENSG00000006638,311
ENSG00000006652,2965
ENSG00000006659,1
ENSG00000006695,1424
ENSG00000006704,3071
ENSG00000006712,11696
ENSG00000006715,2773
ENSG00000006740,795
ENSG00000006744,5779
ENSG00000006747,409
ENSG00000006756,3261
ENSG00000006757,1579
ENSG00000006788,42
ENSG00000006831,7335
ENSG00000006837,78
ENSG00000007001,1
ENSG00000007038,38
ENSG00000007047,3469
ENSG00000007062,4822
ENSG00000007080,6237
ENSG00000007129,142
ENSG00000007168,7998
ENSG00000007171,136
ENSG00000007174,4
ENSG00000007202,6287
ENSG00000007216,2
ENSG00000007237,1925
ENSG00000007255,1693
ENSG00000007264,625
ENSG00000007306,1
ENSG00000007312,398
ENSG00000007314,16
ENSG00000007341,632
ENSG00000007350,6
ENSG00000007372,108
ENSG00000007376,2303
ENSG00000007384,4072
ENSG00000007392,3489
ENSG00000007402,235
ENSG00000007516,157
ENSG00000007520,3511
ENSG00000007541,4865
ENSG00000007545,1703
ENSG00000007866,5828
ENSG00000007908,2441
ENSG00000007923,3211
ENSG00000007933,236
ENSG00000007944,1060
ENSG00000007952,62
ENSG00000007968,901
ENSG00000008018,11500
ENSG00000008056,736
ENSG00000008083,2870
ENSG00000008086,3802
ENSG00000008118,58
ENSG00000008128,546
ENSG00000008130,4842
ENSG00000008196,26
ENSG00000008197,0
ENSG00000008226,157
ENSG00000008256,3901
ENSG00000008277,466
ENSG00000008282,4779
ENSG00000008283,12298
ENSG00000008294,6114
ENSG00000008300,423
ENSG00000008311,155
ENSG00000008323,2864
ENSG00000008324,1359
ENSG00000008382,1301
ENSG00000008394,8386
ENSG00000008405,1317
ENSG00000008438,4
ENSG00000008441,16441
ENSG00000008513,11823
ENSG00000008516,655
ENSG00000008517,6977
ENSG00000008710,7529
ENSG00000008735,3888
ENSG00000008838,6480
ENSG00000008853,1313
ENSG00000008869,2456
ENSG00000008952,10965
ENSG00000008988,72155
ENSG00000009307,30298
ENSG00000009335,6293
ENSG00000009413,783
ENSG00000009694,29
ENSG00000009709,1
ENSG00000009724,16
ENSG00000009765,2
ENSG00000009780,1141
ENSG00000009790,2394
ENSG00000009830,2425
ENSG00000009844,1871
ENSG00000009950,100
ENSG00000009954,9434
ENSG00000010017,5811
ENSG00000010030,674
ENSG00000010072,1096
ENSG00000010165,3367
ENSG00000010219,1610
ENSG00000010244,10817
ENSG00000010256,14686
ENSG00000010270,1582
ENSG00000010278,33054
ENSG00000010282,9
ENSG00000010292,16466
ENSG00000010295,1222
ENSG00000010310,48
ENSG00000010318,398
ENSG00000010319,755
ENSG00000010322,5955
