Gene stable ID,eccf394c-7548-4564-830f-a2ff9a2fb2df
ENSG00000000003,1454
ENSG00000000005,11
ENSG00000000419,4174
ENSG00000000457,3958
ENSG00000000460,1251
ENSG00000000938,517
ENSG00000000971,3508
ENSG00000001036,5425
ENSG00000001084,4426
ENSG00000001167,4631
ENSG00000001460,1115
ENSG00000001461,4469
ENSG00000001497,5472
ENSG00000001561,2380
ENSG00000001617,19377
ENSG00000001626,17
ENSG00000001629,6970
ENSG00000001630,530
ENSG00000001631,3552
ENSG00000002016,880
ENSG00000002079,92
ENSG00000002330,2216
ENSG00000002549,14286
ENSG00000002586,6945
ENSG00000002587,362
ENSG00000002726,624
ENSG00000002745,9
ENSG00000002746,109
ENSG00000002822,2789
ENSG00000002834,31851
ENSG00000002919,2531
ENSG00000002933,4607
ENSG00000003056,8680
ENSG00000003096,328
ENSG00000003137,142
ENSG00000003147,5813
ENSG00000003249,6175
ENSG00000003393,2641
ENSG00000003400,503
ENSG00000003402,4331
ENSG00000003436,398
ENSG00000003509,691
ENSG00000003756,7989
ENSG00000003987,161
ENSG00000003989,13044
ENSG00000004059,8651
ENSG00000004139,1099
ENSG00000004142,13580
ENSG00000004399,12909
ENSG00000004455,8432
ENSG00000004468,138
ENSG00000004478,66436
ENSG00000004487,7876
ENSG00000004534,5214
ENSG00000004660,661
ENSG00000004700,2460
ENSG00000004766,3045
ENSG00000004776,105
ENSG00000004777,744
ENSG00000004779,4211
ENSG00000004799,775
ENSG00000004809,18
ENSG00000004838,1995
ENSG00000004846,39
ENSG00000004848,6
ENSG00000004864,3265
ENSG00000004866,2856
ENSG00000004897,8259
ENSG00000004939,18
ENSG00000004948,23
ENSG00000004961,1898
ENSG00000004975,1261
ENSG00000005001,2109
ENSG00000005007,11511
ENSG00000005020,4804
ENSG00000005022,16284
ENSG00000005059,926
ENSG00000005073,61
ENSG00000005075,2519
ENSG00000005100,1077
ENSG00000005102,31
ENSG00000005108,403
ENSG00000005156,5820
ENSG00000005175,3695
ENSG00000005187,97
ENSG00000005189,912
ENSG00000005194,2666
ENSG00000005206,3052
ENSG00000005238,1573
ENSG00000005243,860
ENSG00000005249,1409
ENSG00000005302,1667
ENSG00000005339,12658
ENSG00000005379,2622
ENSG00000005381,17
ENSG00000005421,34
ENSG00000005436,1741
ENSG00000005448,1191
ENSG00000005469,1814
ENSG00000005471,376
ENSG00000005483,7496
ENSG00000005486,10749
ENSG00000005513,24
ENSG00000005700,7474
ENSG00000005801,2790
ENSG00000005810,6862
ENSG00000005812,5317
ENSG00000005844,2102
ENSG00000005882,2249
ENSG00000005884,9813
ENSG00000005889,3977
ENSG00000005893,19187
ENSG00000005961,172
ENSG00000005981,39
ENSG00000006007,8222
ENSG00000006015,812
ENSG00000006016,72
ENSG00000006025,871
ENSG00000006042,1247
ENSG00000006047,391
ENSG00000006059,15
ENSG00000006062,1034
ENSG00000006071,580
ENSG00000006116,3
ENSG00000006118,5190
ENSG00000006125,48998
ENSG00000006128,43
ENSG00000006194,4481
ENSG00000006210,2293
ENSG00000006282,1397
ENSG00000006283,46
ENSG00000006327,2553
ENSG00000006377,13
ENSG00000006432,1591
ENSG00000006451,6124
ENSG00000006453,2316
ENSG00000006459,2227
ENSG00000006468,1029
ENSG00000006530,3053
ENSG00000006534,4651
ENSG00000006555,753
ENSG00000006576,3795
ENSG00000006606,13
ENSG00000006607,2653
ENSG00000006611,15
ENSG00000006625,4433
ENSG00000006634,1269
ENSG00000006638,172
ENSG00000006652,1905
ENSG00000006659,3
ENSG00000006695,1874
ENSG00000006704,5300
ENSG00000006712,6714
ENSG00000006715,7672
ENSG00000006740,404
ENSG00000006744,2415
ENSG00000006747,155
ENSG00000006756,12324
ENSG00000006757,1047
ENSG00000006788,38
ENSG00000006831,11596
ENSG00000006837,166
ENSG00000007001,39
ENSG00000007038,10
ENSG00000007047,4047
ENSG00000007062,79
ENSG00000007080,3311
ENSG00000007129,80
ENSG00000007168,21893
ENSG00000007171,42
ENSG00000007174,48
ENSG00000007202,35422
ENSG00000007216,49
ENSG00000007237,2355
ENSG00000007255,2265
ENSG00000007264,334
ENSG00000007306,4
ENSG00000007312,84
ENSG00000007314,56
ENSG00000007341,1115
ENSG00000007350,13
ENSG00000007372,206
ENSG00000007376,1799
ENSG00000007384,5558
ENSG00000007392,3476
ENSG00000007402,4324
ENSG00000007516,4621
ENSG00000007520,3433
ENSG00000007541,6898
ENSG00000007545,2862
ENSG00000007866,2398
ENSG00000007908,99
ENSG00000007923,2983
ENSG00000007933,274
ENSG00000007944,2985
ENSG00000007952,139
ENSG00000007968,934
ENSG00000008018,9305
ENSG00000008056,783
ENSG00000008083,2165
ENSG00000008086,1238
ENSG00000008118,15
ENSG00000008128,381
ENSG00000008130,7433
ENSG00000008196,15
ENSG00000008197,6
ENSG00000008226,47
ENSG00000008256,5818
ENSG00000008277,270
ENSG00000008282,14759
ENSG00000008283,43128
ENSG00000008294,7869
ENSG00000008300,5749
ENSG00000008311,492
ENSG00000008323,1363
ENSG00000008324,1195
ENSG00000008382,753
ENSG00000008394,14420
ENSG00000008405,2017
ENSG00000008438,1
ENSG00000008441,5804
ENSG00000008513,18620
ENSG00000008516,551
ENSG00000008517,1708
ENSG00000008710,5507
ENSG00000008735,5748
ENSG00000008838,11592
ENSG00000008853,1298
ENSG00000008869,4129
ENSG00000008952,11629
ENSG00000008988,29290
ENSG00000009307,62097
ENSG00000009335,12203
ENSG00000009413,2392
ENSG00000009694,44
ENSG00000009709,14
ENSG00000009724,116
