Gene stable ID,eee3ca02-4202-4311-88bd-3d7fd68256dd
ENSG00000000003,1629
ENSG00000000005,7
ENSG00000000419,2542
ENSG00000000457,3020
ENSG00000000460,1287
ENSG00000000938,901
ENSG00000000971,2761
ENSG00000001036,3504
ENSG00000001084,4887
ENSG00000001167,4111
ENSG00000001460,620
ENSG00000001461,3408
ENSG00000001497,4441
ENSG00000001561,1029
ENSG00000001617,11765
ENSG00000001626,3
ENSG00000001629,3681
ENSG00000001630,235
ENSG00000001631,1638
ENSG00000002016,839
ENSG00000002079,9
ENSG00000002330,1999
ENSG00000002549,11967
ENSG00000002586,8217
ENSG00000002587,323
ENSG00000002726,21
ENSG00000002745,1
ENSG00000002746,62
ENSG00000002822,2896
ENSG00000002834,48841
ENSG00000002919,2111
ENSG00000002933,6569
ENSG00000003056,7779
ENSG00000003096,45
ENSG00000003137,550
ENSG00000003147,5539
ENSG00000003249,3666
ENSG00000003393,3107
ENSG00000003400,397
ENSG00000003402,6465
ENSG00000003436,359
ENSG00000003509,874
ENSG00000003756,8731
ENSG00000003987,577
ENSG00000003989,97662
ENSG00000004059,4481
ENSG00000004139,1164
ENSG00000004142,8255
ENSG00000004399,8495
ENSG00000004455,8735
ENSG00000004468,79
ENSG00000004478,31647
ENSG00000004487,8731
ENSG00000004534,5417
ENSG00000004660,741
ENSG00000004700,2592
ENSG00000004766,1416
ENSG00000004776,123
ENSG00000004777,1832
ENSG00000004779,4469
ENSG00000004799,772
ENSG00000004809,3
ENSG00000004838,798
ENSG00000004846,5
ENSG00000004848,33
ENSG00000004864,768
ENSG00000004866,1583
ENSG00000004897,4776
ENSG00000004939,2
ENSG00000004948,7
ENSG00000004961,1697
ENSG00000004975,2961
ENSG00000005001,2028
ENSG00000005007,12915
ENSG00000005020,1692
ENSG00000005022,17421
ENSG00000005059,1719
ENSG00000005073,63
ENSG00000005075,1212
ENSG00000005100,2437
ENSG00000005102,34
ENSG00000005108,147
ENSG00000005156,3331
ENSG00000005175,2905
ENSG00000005187,55
ENSG00000005189,380
ENSG00000005194,2122
ENSG00000005206,4645
ENSG00000005238,1334
ENSG00000005243,936
ENSG00000005249,965
ENSG00000005302,1754
ENSG00000005339,18754
ENSG00000005379,1682
ENSG00000005381,4
ENSG00000005421,2
ENSG00000005436,1167
ENSG00000005448,853
ENSG00000005469,700
ENSG00000005471,106
ENSG00000005483,5355
ENSG00000005486,4157
ENSG00000005513,25
ENSG00000005700,6493
ENSG00000005801,1808
ENSG00000005810,4397
ENSG00000005812,4787
ENSG00000005844,1874
ENSG00000005882,1914
ENSG00000005884,7534
ENSG00000005889,3282
ENSG00000005893,13718
ENSG00000005961,43
ENSG00000005981,1
ENSG00000006007,10868
ENSG00000006015,1976
ENSG00000006016,339
ENSG00000006025,1518
ENSG00000006042,3100
ENSG00000006047,853
ENSG00000006059,2
ENSG00000006062,2081
ENSG00000006071,827
ENSG00000006116,0
ENSG00000006118,5334
ENSG00000006125,48669
ENSG00000006128,10
ENSG00000006194,4548
ENSG00000006210,1183
ENSG00000006282,3691
ENSG00000006283,71
ENSG00000006327,8644
ENSG00000006377,0
ENSG00000006432,1828
ENSG00000006451,5900
ENSG00000006453,3092
ENSG00000006459,1631
ENSG00000006468,568
ENSG00000006530,1660
ENSG00000006534,550
ENSG00000006555,781
ENSG00000006576,1831
ENSG00000006606,37
ENSG00000006607,3287
ENSG00000006611,1
ENSG00000006625,4778
ENSG00000006634,469
ENSG00000006638,150
ENSG00000006652,1019
ENSG00000006659,0
ENSG00000006695,895
ENSG00000006704,3462
