Gene stable ID,bf53da30-6b9a-41cc-ada0-3a2c7c0547be
ENSG00000000003,2637
ENSG00000000005,76
ENSG00000000419,2463
ENSG00000000457,1752
ENSG00000000460,507
ENSG00000000938,761
ENSG00000000971,1870
ENSG00000001036,7628
ENSG00000001084,3095
ENSG00000001167,4474
ENSG00000001460,702
ENSG00000001461,2041
ENSG00000001497,4530
ENSG00000001561,1316
ENSG00000001617,6429
ENSG00000001626,36
ENSG00000001629,4653
ENSG00000001630,129
ENSG00000001631,3029
ENSG00000002016,674
ENSG00000002079,24
ENSG00000002330,1081
ENSG00000002549,6796
ENSG00000002586,12053
ENSG00000002587,645
ENSG00000002726,31
ENSG00000002745,4
ENSG00000002746,10
ENSG00000002822,1556
ENSG00000002834,21060
ENSG00000002919,1440
ENSG00000002933,1503
ENSG00000003056,2706
ENSG00000003096,139
ENSG00000003137,127
ENSG00000003147,3645
ENSG00000003249,7956
ENSG00000003393,1524
ENSG00000003400,763
ENSG00000003402,7980
ENSG00000003436,1162
ENSG00000003509,1030
ENSG00000003756,9787
ENSG00000003987,173
ENSG00000003989,35323
ENSG00000004059,10941
ENSG00000004139,343
ENSG00000004142,8174
ENSG00000004399,11518
ENSG00000004455,7672
ENSG00000004468,391
ENSG00000004478,29938
ENSG00000004487,6784
ENSG00000004534,12654
ENSG00000004660,868
ENSG00000004700,916
ENSG00000004766,1732
ENSG00000004776,1119
ENSG00000004777,960
ENSG00000004779,3885
ENSG00000004799,1336
ENSG00000004809,7
ENSG00000004838,416
ENSG00000004846,16
ENSG00000004848,55
ENSG00000004864,2285
ENSG00000004866,1997
ENSG00000004897,6269
ENSG00000004939,6
ENSG00000004948,766
ENSG00000004961,1362
ENSG00000004975,1320
ENSG00000005001,1437
ENSG00000005007,7333
ENSG00000005020,1332
ENSG00000005022,16650
ENSG00000005059,1696
ENSG00000005073,8
ENSG00000005075,2700
ENSG00000005100,1162
ENSG00000005102,335
ENSG00000005108,413
ENSG00000005156,3753
ENSG00000005175,2793
ENSG00000005187,601
ENSG00000005189,562
ENSG00000005194,3495
ENSG00000005206,3257
ENSG00000005238,1265
ENSG00000005243,945
ENSG00000005249,3022
ENSG00000005302,1977
ENSG00000005339,6942
ENSG00000005379,4232
ENSG00000005381,36
ENSG00000005421,1
ENSG00000005436,1753
ENSG00000005448,1294
ENSG00000005469,1620
ENSG00000005471,190
ENSG00000005483,5753
ENSG00000005486,7002
ENSG00000005513,26
ENSG00000005700,6194
ENSG00000005801,2997
ENSG00000005810,3593
ENSG00000005812,3948
ENSG00000005844,2653
ENSG00000005882,913
ENSG00000005884,3430
ENSG00000005889,5116
ENSG00000005893,13024
ENSG00000005961,75
ENSG00000005981,0
ENSG00000006007,5020
ENSG00000006015,975
ENSG00000006016,177
ENSG00000006025,1150
ENSG00000006042,1363
ENSG00000006047,244
ENSG00000006059,8
ENSG00000006062,1065
ENSG00000006071,217
ENSG00000006116,0
ENSG00000006118,7551
ENSG00000006125,15384
ENSG00000006128,68
ENSG00000006194,3410
ENSG00000006210,1918
ENSG00000006282,5377
ENSG00000006283,12
ENSG00000006327,1783
ENSG00000006377,2
ENSG00000006432,1214
ENSG00000006451,5105
ENSG00000006453,1161
ENSG00000006459,4885
ENSG00000006468,519
ENSG00000006530,3206
ENSG00000006534,2055
ENSG00000006555,734
ENSG00000006576,2518
ENSG00000006606,7
ENSG00000006607,1701
ENSG00000006611,2
ENSG00000006625,4867
ENSG00000006634,1195
ENSG00000006638,229
ENSG00000006652,3189
ENSG00000006659,1
ENSG00000006695,703
ENSG00000006704,2669
ENSG00000006712,6446
ENSG00000006715,3647
ENSG00000006740,570
ENSG00000006744,3579
ENSG00000006747,391
ENSG00000006756,8316
ENSG00000006757,2637
ENSG00000006788,14
ENSG00000006831,5516
ENSG00000006837,89
ENSG00000007001,11
ENSG00000007038,42
ENSG00000007047,3218
ENSG00000007062,1084
ENSG00000007080,2274
ENSG00000007129,86
ENSG00000007168,5264
ENSG00000007171,48
ENSG00000007174,13
ENSG00000007202,9534
ENSG00000007216,24
ENSG00000007237,1618
ENSG00000007255,2236
ENSG00000007264,780
ENSG00000007306,44
ENSG00000007312,177
ENSG00000007314,173
ENSG00000007341,1510
ENSG00000007350,5
ENSG00000007372,151
ENSG00000007376,1789
ENSG00000007384,5580
ENSG00000007392,5409
ENSG00000007402,608
ENSG00000007516,1313
ENSG00000007520,1517
ENSG00000007541,3012
ENSG00000007545,2236
ENSG00000007866,3665
ENSG00000007908,1369
ENSG00000007923,2564
ENSG00000007933,121
ENSG00000007944,4451
ENSG00000007952,121
ENSG00000007968,467
ENSG00000008018,15554
ENSG00000008056,47
ENSG00000008083,4141
ENSG00000008086,528
ENSG00000008118,23
ENSG00000008128,573
ENSG00000008130,5716
ENSG00000008196,13001
ENSG00000008197,0
ENSG00000008226,46
ENSG00000008256,999
ENSG00000008277,419
ENSG00000008282,13701
ENSG00000008283,17806
ENSG00000008294,3877
ENSG00000008300,2983
ENSG00000008311,216
ENSG00000008323,1257
ENSG00000008324,1980
ENSG00000008382,1236
ENSG00000008394,24693
ENSG00000008405,2511
ENSG00000008438,0
ENSG00000008441,2726
ENSG00000008513,2983
ENSG00000008516,566
ENSG00000008517,2314
ENSG00000008710,3760
ENSG00000008735,3615
ENSG00000008838,3831
ENSG00000008853,1020
ENSG00000008869,5005
ENSG00000008952,12119
ENSG00000008988,60654
ENSG00000009307,49098
ENSG00000009335,6958
ENSG00000009413,2337
ENSG00000009694,46
ENSG00000009709,0
ENSG00000009724,88
ENSG00000009765,365
ENSG00000009780,1297
ENSG00000009790,728
ENSG00000009830,1778
ENSG00000009844,3477
ENSG00000009950,126
ENSG00000009954,10093
ENSG00000010017,4377
ENSG00000010030,466
ENSG00000010072,511
ENSG00000010165,1943
ENSG00000010219,1410
ENSG00000010244,15545
ENSG00000010256,13886
ENSG00000010270,1812
ENSG00000010278,33908
ENSG00000010282,1
ENSG00000010292,5825
ENSG00000010295,695
ENSG00000010310,183
ENSG00000010318,660
ENSG00000010319,5015
ENSG00000010322,6150
ENSG00000010327,5557
ENSG00000010361,1265
ENSG00000010379,5
ENSG00000010404,5839
ENSG00000010438,8
ENSG00000010539,871
ENSG00000010610,7473
ENSG00000010626,732
ENSG00000010671,963
ENSG00000010704,1336
ENSG00000010803,3094
ENSG00000010810,2009
ENSG00000010818,2385
ENSG00000010932,641
ENSG00000011007,4270
ENSG00000011009,4450
ENSG00000011021,1421
ENSG00000011028,4235
ENSG00000011052,56
ENSG00000011083,5
ENSG00000011105,4959
ENSG00000011114,2648
ENSG00000011132,796
ENSG00000011143,1484
ENSG00000011198,1447
ENSG00000011201,1165
ENSG00000011243,7765
ENSG00000011258,2269
ENSG00000011260,2387
ENSG00000011275,3130
ENSG00000011295,2896
ENSG00000011304,23155
ENSG00000011332,49
ENSG00000011347,4191
ENSG00000011376,1156
ENSG00000011405,5461
ENSG00000011422,3741
ENSG00000011426,2376
ENSG00000011451,4295
ENSG00000011454,5241
ENSG00000011465,18609
ENSG00000011478,1727
ENSG00000011485,3921
ENSG00000011523,2396
ENSG00000011566,3475
ENSG00000011590,47
ENSG00000011600,6865
ENSG00000011638,2284
ENSG00000011677,1
ENSG00000012048,1440
ENSG00000012061,3376
ENSG00000012124,1333
ENSG00000012171,6412
ENSG00000012174,1545
ENSG00000012211,837
ENSG00000012223,3281
ENSG00000012232,1148
ENSG00000012504,1
ENSG00000012660,14602
ENSG00000012779,1255
ENSG00000012817,1
ENSG00000012822,4087
ENSG00000012963,3853
ENSG00000012983,3474
ENSG00000013016,749
ENSG00000013275,10319
ENSG00000013288,5705
ENSG00000013293,2
ENSG00000013297,387
ENSG00000013306,17179
