Gene stable ID,6b3c3b8b-3158-4475-ad04-9001ffb1e775
ENSG00000000003,795
ENSG00000000005,114
ENSG00000000419,1996
ENSG00000000457,2977
ENSG00000000460,852
ENSG00000000938,793
ENSG00000000971,3010
ENSG00000001036,3727
ENSG00000001084,10451
ENSG00000001167,6430
ENSG00000001460,1135
ENSG00000001461,6340
ENSG00000001497,3647
ENSG00000001561,4944
ENSG00000001617,11663
ENSG00000001626,6
ENSG00000001629,6920
ENSG00000001630,295
ENSG00000001631,2922
ENSG00000002016,615
ENSG00000002079,23
ENSG00000002330,2224
ENSG00000002549,16247
ENSG00000002586,8391
ENSG00000002587,499
ENSG00000002726,65
ENSG00000002745,1
ENSG00000002746,80
ENSG00000002822,1143
ENSG00000002834,61544
ENSG00000002919,2892
ENSG00000002933,2760
ENSG00000003056,6081
ENSG00000003096,87
ENSG00000003137,483
ENSG00000003147,4652
ENSG00000003249,1809
ENSG00000003393,3028
ENSG00000003400,513
ENSG00000003402,8103
ENSG00000003436,724
ENSG00000003509,790
ENSG00000003756,7957
ENSG00000003987,268
ENSG00000003989,107447
ENSG00000004059,6987
ENSG00000004139,280
ENSG00000004142,12870
ENSG00000004399,10823
ENSG00000004455,8592
ENSG00000004468,134
ENSG00000004478,53906
ENSG00000004487,9094
ENSG00000004534,5499
ENSG00000004660,1098
ENSG00000004700,2134
ENSG00000004766,2671
ENSG00000004776,574
ENSG00000004777,665
ENSG00000004779,4438
ENSG00000004799,4723
ENSG00000004809,4
ENSG00000004838,2447
ENSG00000004846,13
ENSG00000004848,0
ENSG00000004864,1691
ENSG00000004866,3653
ENSG00000004897,8117
ENSG00000004939,3
ENSG00000004948,15
ENSG00000004961,1316
ENSG00000004975,1585
ENSG00000005001,1138
ENSG00000005007,10553
ENSG00000005020,2962
ENSG00000005022,12142
ENSG00000005059,937
ENSG00000005073,41
ENSG00000005075,1761
ENSG00000005100,3309
ENSG00000005102,137
ENSG00000005108,295
ENSG00000005156,5411
ENSG00000005175,2499
ENSG00000005187,186
ENSG00000005189,657
ENSG00000005194,1848
ENSG00000005206,2353
ENSG00000005238,2106
ENSG00000005243,885
ENSG00000005249,4200
ENSG00000005302,1587
ENSG00000005339,13678
ENSG00000005379,1174
ENSG00000005381,6
ENSG00000005421,2
ENSG00000005436,1853
ENSG00000005448,847
ENSG00000005469,1948
ENSG00000005471,122
ENSG00000005483,10348
ENSG00000005486,8354
ENSG00000005513,33
ENSG00000005700,9455
ENSG00000005801,1302
ENSG00000005810,7028
ENSG00000005812,4205
ENSG00000005844,3301
ENSG00000005882,3467
ENSG00000005884,7855
ENSG00000005889,4939
ENSG00000005893,24741
ENSG00000005961,26
ENSG00000005981,6
ENSG00000006007,9587
ENSG00000006015,769
ENSG00000006016,230
ENSG00000006025,1012
ENSG00000006042,3270
ENSG00000006047,176
ENSG00000006059,45
ENSG00000006062,1722
ENSG00000006071,2056
ENSG00000006116,0
ENSG00000006118,2638
ENSG00000006125,55633
ENSG00000006128,25
ENSG00000006194,3662
ENSG00000006210,1130
ENSG00000006282,9506
ENSG00000006283,159
ENSG00000006327,1895
ENSG00000006377,1
ENSG00000006432,1426
ENSG00000006451,4668
ENSG00000006453,3121
ENSG00000006459,2530
ENSG00000006468,1044
ENSG00000006530,2679
ENSG00000006534,1159
ENSG00000006555,342
ENSG00000006576,3584
ENSG00000006606,31
ENSG00000006607,2597
ENSG00000006611,1
ENSG00000006625,3073
ENSG00000006634,610
ENSG00000006638,171
ENSG00000006652,1601
ENSG00000006659,0
ENSG00000006695,734
ENSG00000006704,2880
ENSG00000006712,5820
ENSG00000006715,5927
ENSG00000006740,401
ENSG00000006744,3298
ENSG00000006747,234
ENSG00000006756,11229
ENSG00000006757,3231
ENSG00000006788,37
ENSG00000006831,25298
ENSG00000006837,93
ENSG00000007001,32
ENSG00000007038,13
ENSG00000007047,2666
ENSG00000007062,129
ENSG00000007080,2142
ENSG00000007129,94
ENSG00000007168,17769
ENSG00000007171,81
ENSG00000007174,12
ENSG00000007202,25266
ENSG00000007216,34
ENSG00000007237,2616
ENSG00000007255,1967
ENSG00000007264,199
ENSG00000007306,38
ENSG00000007312,75
ENSG00000007314,181
ENSG00000007341,956
ENSG00000007350,2
ENSG00000007372,117
ENSG00000007376,1213
ENSG00000007384,3266
ENSG00000007392,2698
ENSG00000007402,785
ENSG00000007516,242
ENSG00000007520,2382
ENSG00000007541,6881
ENSG00000007545,2308
ENSG00000007866,2347
ENSG00000007908,250
ENSG00000007923,2635
ENSG00000007933,412
ENSG00000007944,4965
ENSG00000007952,88
ENSG00000007968,444
ENSG00000008018,10315
ENSG00000008056,198
ENSG00000008083,6070
ENSG00000008086,959
ENSG00000008118,23
ENSG00000008128,345
ENSG00000008130,5052
ENSG00000008196,5085
ENSG00000008197,0
ENSG00000008226,40
ENSG00000008256,2277
ENSG00000008277,388
ENSG00000008282,14002
ENSG00000008283,14580
ENSG00000008294,9643
ENSG00000008300,982
ENSG00000008311,277
ENSG00000008323,787
ENSG00000008324,1135
ENSG00000008382,882
ENSG00000008394,14956
ENSG00000008405,2309
ENSG00000008438,4
ENSG00000008441,12484
ENSG00000008513,11505
ENSG00000008516,806
ENSG00000008517,1470
ENSG00000008710,4728
ENSG00000008735,3454
ENSG00000008838,15903
ENSG00000008853,1742
ENSG00000008869,4939
ENSG00000008952,15195
ENSG00000008988,29702
ENSG00000009307,56150
ENSG00000009335,9179
ENSG00000009413,2467
ENSG00000009694,29
ENSG00000009709,2
ENSG00000009724,137
ENSG00000009765,4
ENSG00000009780,1118
ENSG00000009790,414
ENSG00000009830,3128
ENSG00000009844,3955
ENSG00000009950,65
ENSG00000009954,12227
ENSG00000010017,6349
ENSG00000010030,354
ENSG00000010072,997
ENSG00000010165,4233
ENSG00000010219,926
