Gene stable ID,ce31c6d8-3fca-4eb4-8ec8-0612af14ccf5
ENSG00000000003,7190
ENSG00000000005,30
ENSG00000000419,2256
ENSG00000000457,1567
ENSG00000000460,587
ENSG00000000938,436
ENSG00000000971,5391
ENSG00000001036,4516
ENSG00000001084,2646
ENSG00000001167,2827
ENSG00000001460,822
ENSG00000001461,3919
ENSG00000001497,2574
ENSG00000001561,2892
ENSG00000001617,4861
ENSG00000001626,6
ENSG00000001629,5490
ENSG00000001630,285
ENSG00000001631,3182
ENSG00000002016,514
ENSG00000002079,1
ENSG00000002330,1289
ENSG00000002549,8236
ENSG00000002586,13809
ENSG00000002587,448
ENSG00000002726,34
ENSG00000002745,10
ENSG00000002746,54
ENSG00000002822,996
ENSG00000002834,19075
ENSG00000002919,1729
ENSG00000002933,1525
ENSG00000003056,4825
ENSG00000003096,224
ENSG00000003137,421
ENSG00000003147,4254
ENSG00000003249,2329
ENSG00000003393,2265
ENSG00000003400,896
ENSG00000003402,7252
ENSG00000003436,2718
ENSG00000003509,1014
ENSG00000003756,5543
ENSG00000003987,54
ENSG00000003989,3735
ENSG00000004059,7703
ENSG00000004139,826
ENSG00000004142,7714
ENSG00000004399,7184
ENSG00000004455,8332
ENSG00000004468,261
ENSG00000004478,27356
ENSG00000004487,6875
ENSG00000004534,4507
ENSG00000004660,1233
ENSG00000004700,1891
ENSG00000004766,2357
ENSG00000004776,1922
ENSG00000004777,1313
ENSG00000004779,2661
ENSG00000004799,4715
ENSG00000004809,0
ENSG00000004838,531
ENSG00000004846,225
ENSG00000004848,123
ENSG00000004864,1966
ENSG00000004866,2078
ENSG00000004897,6078
ENSG00000004939,2
ENSG00000004948,7
ENSG00000004961,1303
ENSG00000004975,1741
ENSG00000005001,515
ENSG00000005007,9534
ENSG00000005020,3071
ENSG00000005022,14126
ENSG00000005059,1488
ENSG00000005073,45
ENSG00000005075,1264
ENSG00000005100,1911
ENSG00000005102,890
ENSG00000005108,1137
ENSG00000005156,2631
ENSG00000005175,2399
ENSG00000005187,189
ENSG00000005189,724
ENSG00000005194,2996
ENSG00000005206,2367
ENSG00000005238,1258
ENSG00000005243,736
ENSG00000005249,1888
ENSG00000005302,1758
ENSG00000005339,7538
ENSG00000005379,1574
ENSG00000005381,7
ENSG00000005421,2
ENSG00000005436,1714
ENSG00000005448,661
ENSG00000005469,2057
ENSG00000005471,161
ENSG00000005483,7733
ENSG00000005486,4889
ENSG00000005513,45
ENSG00000005700,5352
ENSG00000005801,1698
ENSG00000005810,4000
ENSG00000005812,4090
ENSG00000005844,1524
ENSG00000005882,1832
ENSG00000005884,4443
ENSG00000005889,3458
ENSG00000005893,21767
ENSG00000005961,27
ENSG00000005981,4
ENSG00000006007,4912
ENSG00000006015,574
ENSG00000006016,92
ENSG00000006025,482
ENSG00000006042,4100
ENSG00000006047,918
ENSG00000006059,206
ENSG00000006062,1113
ENSG00000006071,698
ENSG00000006116,0
ENSG00000006118,2106
ENSG00000006125,39220
ENSG00000006128,45
ENSG00000006194,2042
ENSG00000006210,2575
ENSG00000006282,3425
ENSG00000006283,46
ENSG00000006327,1127
ENSG00000006377,5
ENSG00000006432,975
ENSG00000006451,5200
ENSG00000006453,1659
ENSG00000006459,2768
ENSG00000006468,1006
ENSG00000006530,3191
ENSG00000006534,417
