Gene stable ID,83078314-2ec8-4163-bf5a-ce2fc0928bb4
ENSG00000000003,4094
ENSG00000000005,14
ENSG00000000419,3050
ENSG00000000457,1906
ENSG00000000460,846
ENSG00000000938,102
ENSG00000000971,772
ENSG00000001036,2124
ENSG00000001084,9453
ENSG00000001167,3308
ENSG00000001460,277
ENSG00000001461,4931
ENSG00000001497,2509
ENSG00000001561,3074
ENSG00000001617,3401
ENSG00000001626,17
ENSG00000001629,9206
ENSG00000001630,882
ENSG00000001631,3320
ENSG00000002016,742
ENSG00000002079,48
ENSG00000002330,374
ENSG00000002549,5420
ENSG00000002586,1572
ENSG00000002587,34
ENSG00000002726,9
ENSG00000002745,3
ENSG00000002746,35
ENSG00000002822,1015
ENSG00000002834,15047
ENSG00000002919,1240
ENSG00000002933,50
ENSG00000003056,6640
ENSG00000003096,176
ENSG00000003137,60
ENSG00000003147,1495
ENSG00000003249,355
ENSG00000003393,3319
ENSG00000003400,260
ENSG00000003402,1796
ENSG00000003436,716
ENSG00000003509,749
ENSG00000003756,4233
ENSG00000003987,406
ENSG00000003989,10077
ENSG00000004059,2375
ENSG00000004139,183
ENSG00000004142,4089
ENSG00000004399,3737
ENSG00000004455,5920
ENSG00000004468,27
ENSG00000004478,29165
ENSG00000004487,7237
ENSG00000004534,2985
ENSG00000004660,331
ENSG00000004700,2835
ENSG00000004766,3105
ENSG00000004776,1
ENSG00000004777,160
ENSG00000004779,2997
ENSG00000004799,6758
ENSG00000004809,4
ENSG00000004838,352
ENSG00000004846,6
ENSG00000004848,0
ENSG00000004864,1263
ENSG00000004866,1521
ENSG00000004897,7781
ENSG00000004939,7
ENSG00000004948,6
ENSG00000004961,923
ENSG00000004975,1816
ENSG00000005001,72
ENSG00000005007,6766
ENSG00000005020,1037
ENSG00000005022,4049
ENSG00000005059,835
ENSG00000005073,7
ENSG00000005075,384
ENSG00000005100,2602
ENSG00000005102,11
ENSG00000005108,493
ENSG00000005156,7855
ENSG00000005175,3044
ENSG00000005187,130
ENSG00000005189,663
ENSG00000005194,1616
ENSG00000005206,604
ENSG00000005238,1093
ENSG00000005243,41
ENSG00000005249,7933
ENSG00000005302,638
ENSG00000005339,7975
ENSG00000005379,1830
ENSG00000005381,15
ENSG00000005421,9
ENSG00000005436,2917
ENSG00000005448,1288
ENSG00000005469,1241
ENSG00000005471,118
ENSG00000005483,7580
ENSG00000005486,1091
ENSG00000005513,19
ENSG00000005700,15908
ENSG00000005801,2225
