Gene stable ID,a85171d0-71e4-42b2-9d09-38eb164e9169
ENSG00000000003,6817
ENSG00000000005,2
ENSG00000000419,7023
ENSG00000000457,1847
ENSG00000000460,742
ENSG00000000938,163
ENSG00000000971,3818
ENSG00000001036,16617
ENSG00000001084,8670
ENSG00000001167,6219
ENSG00000001460,705
ENSG00000001461,1105
ENSG00000001497,3666
ENSG00000001561,5313
ENSG00000001617,4528
ENSG00000001626,2
ENSG00000001629,18599
ENSG00000001630,381
ENSG00000001631,5485
ENSG00000002016,678
ENSG00000002079,7
ENSG00000002330,936
ENSG00000002549,9588
ENSG00000002586,10697
ENSG00000002587,186
ENSG00000002726,19588
ENSG00000002745,8
ENSG00000002746,68
ENSG00000002822,313
ENSG00000002834,21715
ENSG00000002919,2859
ENSG00000002933,1357
ENSG00000003056,7748
ENSG00000003096,178
ENSG00000003137,131
ENSG00000003147,2706
ENSG00000003249,2364
ENSG00000003393,4384
ENSG00000003400,477
ENSG00000003402,9768
ENSG00000003436,771
ENSG00000003509,987
ENSG00000003756,3525
ENSG00000003987,100
ENSG00000003989,1196
ENSG00000004059,9429
ENSG00000004139,353
ENSG00000004142,12265
ENSG00000004399,4365
ENSG00000004455,9191
ENSG00000004468,246
ENSG00000004478,33821
ENSG00000004487,7519
ENSG00000004534,2463
ENSG00000004660,544
ENSG00000004700,4876
ENSG00000004766,4428
ENSG00000004776,149
ENSG00000004777,944
ENSG00000004779,7094
ENSG00000004799,786
ENSG00000004809,11
ENSG00000004838,190
ENSG00000004846,14
ENSG00000004848,342
ENSG00000004864,7492
ENSG00000004866,2678
ENSG00000004897,15275
ENSG00000004939,2
ENSG00000004948,27
ENSG00000004961,2521
ENSG00000004975,545
ENSG00000005001,263
ENSG00000005007,5083
ENSG00000005020,2981
ENSG00000005022,25642
ENSG00000005059,1656
ENSG00000005073,24
ENSG00000005075,2459
ENSG00000005100,5532
ENSG00000005102,43
ENSG00000005108,351
ENSG00000005156,7102
ENSG00000005175,5122
ENSG00000005187,261
ENSG00000005189,1763
ENSG00000005194,5897
ENSG00000005206,1013
ENSG00000005238,1535
ENSG00000005243,736
ENSG00000005249,17391
ENSG00000005302,3196
ENSG00000005339,7613
ENSG00000005379,328
ENSG00000005381,7
ENSG00000005421,44
ENSG00000005436,3628
ENSG00000005448,691
ENSG00000005469,11002
ENSG00000005471,112
