Gene stable ID,a1f1f52f-9a63-44b2-8089-5cd62fc436aa
ENSG00000000003,2269
ENSG00000000005,14
ENSG00000000419,1871
ENSG00000000457,3114
ENSG00000000460,1047
ENSG00000000938,494
ENSG00000000971,1605
ENSG00000001036,3291
ENSG00000001084,2784
ENSG00000001167,2016
ENSG00000001460,502
ENSG00000001461,1542
ENSG00000001497,3901
ENSG00000001561,5516
ENSG00000001617,23416
ENSG00000001626,10
ENSG00000001629,4022
ENSG00000001630,234
ENSG00000001631,2330
ENSG00000002016,1095
ENSG00000002079,26
ENSG00000002330,2590
ENSG00000002549,5800
ENSG00000002586,13875
ENSG00000002587,474
ENSG00000002726,29
ENSG00000002745,2
ENSG00000002746,37
ENSG00000002822,2110
ENSG00000002834,35354
ENSG00000002919,1216
ENSG00000002933,1306
ENSG00000003056,2752
ENSG00000003096,768
ENSG00000003137,113
ENSG00000003147,3829
ENSG00000003249,1831
ENSG00000003393,1396
ENSG00000003400,981
ENSG00000003402,6927
ENSG00000003436,816
ENSG00000003509,533
ENSG00000003756,10009
ENSG00000003987,92
ENSG00000003989,279
ENSG00000004059,12922
ENSG00000004139,459
ENSG00000004142,7075
ENSG00000004399,7213
ENSG00000004455,7482
ENSG00000004468,120
ENSG00000004478,29248
ENSG00000004487,2965
ENSG00000004534,8364
ENSG00000004660,1034
ENSG00000004700,970
ENSG00000004766,2007
ENSG00000004776,465
ENSG00000004777,3341
ENSG00000004779,3321
ENSG00000004799,456
ENSG00000004809,1
ENSG00000004838,1346
ENSG00000004846,5
ENSG00000004848,22
ENSG00000004864,652
ENSG00000004866,1949
ENSG00000004897,3800
ENSG00000004939,3
ENSG00000004948,13
ENSG00000004961,1343
ENSG00000004975,1841
ENSG00000005001,2517
ENSG00000005007,8923
ENSG00000005020,1341
ENSG00000005022,9128
ENSG00000005059,2055
ENSG00000005073,24
ENSG00000005075,3961
ENSG00000005100,1038
ENSG00000005102,159
ENSG00000005108,255
ENSG00000005156,2333
ENSG00000005175,1722
ENSG00000005187,246
ENSG00000005189,1142
ENSG00000005194,1232
ENSG00000005206,3667
ENSG00000005238,1849
ENSG00000005243,433
ENSG00000005249,3111
ENSG00000005302,1126
ENSG00000005339,8702
ENSG00000005379,4775
ENSG00000005381,5
ENSG00000005421,8
ENSG00000005436,1579
ENSG00000005448,602
ENSG00000005469,2541
ENSG00000005471,195
ENSG00000005483,6820
ENSG00000005486,8557
ENSG00000005513,71
ENSG00000005700,5350
ENSG00000005801,1838
ENSG00000005810,2611
ENSG00000005812,2174
ENSG00000005844,1223
ENSG00000005882,2347
ENSG00000005884,7086
ENSG00000005889,6593
ENSG00000005893,14494
ENSG00000005961,260
ENSG00000005981,24
ENSG00000006007,7457
ENSG00000006015,1735
ENSG00000006016,265
ENSG00000006025,1363
ENSG00000006042,6192
ENSG00000006047,1315
ENSG00000006059,22
ENSG00000006062,1578
ENSG00000006071,98
ENSG00000006116,0
ENSG00000006118,9104
ENSG00000006125,16565
ENSG00000006128,12
ENSG00000006194,3999
ENSG00000006210,1701
ENSG00000006282,12464
ENSG00000006283,8
ENSG00000006327,1773
ENSG00000006377,6
ENSG00000006432,1274
