Gene stable ID,e10a7e54-482e-47e9-b71e-a0155e03e141
ENSG00000000003,2527
ENSG00000000005,3
ENSG00000000419,2413
ENSG00000000457,3410
ENSG00000000460,1281
ENSG00000000938,240
ENSG00000000971,3574
ENSG00000001036,5694
ENSG00000001084,1691
ENSG00000001167,5431
ENSG00000001460,1388
ENSG00000001461,7106
ENSG00000001497,2563
ENSG00000001561,616
ENSG00000001617,5477
ENSG00000001626,4
ENSG00000001629,6682
ENSG00000001630,492
ENSG00000001631,3301
ENSG00000002016,690
ENSG00000002079,22
ENSG00000002330,1601
ENSG00000002549,17302
ENSG00000002586,13089
ENSG00000002587,116
ENSG00000002726,29
ENSG00000002745,4
ENSG00000002746,53
ENSG00000002822,962
ENSG00000002834,23873
ENSG00000002919,1778
ENSG00000002933,3641
ENSG00000003056,5266
ENSG00000003096,184
ENSG00000003137,256
ENSG00000003147,4347
ENSG00000003249,2391
ENSG00000003393,2472
ENSG00000003400,521
ENSG00000003402,8617
ENSG00000003436,641
ENSG00000003509,817
ENSG00000003756,5575
ENSG00000003987,91
ENSG00000003989,29412
ENSG00000004059,6658
ENSG00000004139,188
ENSG00000004142,8076
ENSG00000004399,5342
ENSG00000004455,10779
ENSG00000004468,546
ENSG00000004478,28922
ENSG00000004487,7616
ENSG00000004534,4557
ENSG00000004660,693
ENSG00000004700,2621
ENSG00000004766,2604
ENSG00000004776,176
ENSG00000004777,628
ENSG00000004779,5306
ENSG00000004799,529
ENSG00000004809,1
ENSG00000004838,3893
ENSG00000004846,9
ENSG00000004848,2
ENSG00000004864,1970
ENSG00000004866,3048
ENSG00000004897,9496
ENSG00000004939,1
ENSG00000004948,2
ENSG00000004961,1755
ENSG00000004975,2454
ENSG00000005001,455
ENSG00000005007,10203
ENSG00000005020,3549
ENSG00000005022,12689
ENSG00000005059,2194
ENSG00000005073,71
ENSG00000005075,1610
ENSG00000005100,1784
ENSG00000005102,39
ENSG00000005108,347
ENSG00000005156,4486
ENSG00000005175,4643
ENSG00000005187,159
ENSG00000005189,1332
ENSG00000005194,2521
ENSG00000005206,1584
ENSG00000005238,1032
ENSG00000005243,1740
ENSG00000005249,1477
ENSG00000005302,1291
ENSG00000005339,15496
ENSG00000005379,1190
ENSG00000005381,10
ENSG00000005421,2
ENSG00000005436,3205
ENSG00000005448,812
ENSG00000005469,2775
ENSG00000005471,166
ENSG00000005483,10231
ENSG00000005486,6795
ENSG00000005513,18
ENSG00000005700,12460
ENSG00000005801,1209
ENSG00000005810,5212
ENSG00000005812,3019
ENSG00000005844,2349
ENSG00000005882,1959
ENSG00000005884,2242
ENSG00000005889,18342
ENSG00000005893,18307
ENSG00000005961,94
ENSG00000005981,0
ENSG00000006007,9481
ENSG00000006015,587
ENSG00000006016,49
ENSG00000006025,522
ENSG00000006042,2082
ENSG00000006047,2469
ENSG00000006059,0
ENSG00000006062,831
ENSG00000006071,55
ENSG00000006116,1
ENSG00000006118,2374
ENSG00000006125,15208
ENSG00000006128,7
ENSG00000006194,2821
ENSG00000006210,2437
ENSG00000006282,4672
ENSG00000006283,38
ENSG00000006327,2469
ENSG00000006377,1
ENSG00000006432,1407
ENSG00000006451,5205
ENSG00000006453,4618
ENSG00000006459,6669
ENSG00000006468,817
ENSG00000006530,2393
ENSG00000006534,526
ENSG00000006555,820
ENSG00000006576,2561
ENSG00000006606,15
ENSG00000006607,3431
ENSG00000006611,9
ENSG00000006625,8497
ENSG00000006634,1170
ENSG00000006638,164
ENSG00000006652,1655
ENSG00000006659,0
ENSG00000006695,952
ENSG00000006704,2504
ENSG00000006712,4463
ENSG00000006715,5470
ENSG00000006740,171
ENSG00000006744,5057
ENSG00000006747,149
ENSG00000006756,6732
ENSG00000006757,4847
ENSG00000006788,52
ENSG00000006831,14157
ENSG00000006837,126
ENSG00000007001,15
ENSG00000007038,362
ENSG00000007047,2445
ENSG00000007062,352
ENSG00000007080,979
ENSG00000007129,49
ENSG00000007168,10307
ENSG00000007171,46
ENSG00000007174,14
ENSG00000007202,19424
ENSG00000007216,8
ENSG00000007237,3564
ENSG00000007255,1197
ENSG00000007264,68
ENSG00000007306,7
ENSG00000007312,110
ENSG00000007314,44
ENSG00000007341,815
ENSG00000007350,2
ENSG00000007372,1102
ENSG00000007376,1407
ENSG00000007384,5076
ENSG00000007392,2379
ENSG00000007402,523
ENSG00000007516,4610
ENSG00000007520,2379
ENSG00000007541,6008
ENSG00000007545,5448
ENSG00000007866,2107
ENSG00000007908,269
ENSG00000007923,2298
ENSG00000007933,110
ENSG00000007944,3015
ENSG00000007952,67
ENSG00000007968,1391
ENSG00000008018,9632
ENSG00000008056,27
ENSG00000008083,1518
ENSG00000008086,1874
ENSG00000008118,5
ENSG00000008128,204
ENSG00000008130,5390
ENSG00000008196,1440
ENSG00000008197,0
ENSG00000008226,147
ENSG00000008256,2343
ENSG00000008277,1034
ENSG00000008282,14433
