Gene stable ID,d3428a21-1cb3-4ad1-bd93-df9db2a71d51
ENSG00000000003,286
ENSG00000000005,5
ENSG00000000419,1585
ENSG00000000457,603
ENSG00000000460,337
ENSG00000000938,260
ENSG00000000971,1720
ENSG00000001036,2053
ENSG00000001084,2455
ENSG00000001167,1408
ENSG00000001460,498
ENSG00000001461,1440
ENSG00000001497,2922
ENSG00000001561,384
ENSG00000001617,1545
ENSG00000001626,5
ENSG00000001629,2109
ENSG00000001630,46
ENSG00000001631,1106
ENSG00000002016,141
ENSG00000002079,2
ENSG00000002330,696
ENSG00000002549,5216
ENSG00000002586,4605
ENSG00000002587,100
ENSG00000002726,2
ENSG00000002745,1
ENSG00000002746,17
ENSG00000002822,469
ENSG00000002834,6436
ENSG00000002919,1196
ENSG00000002933,1100
ENSG00000003056,3037
ENSG00000003096,55
ENSG00000003137,64
ENSG00000003147,1021
ENSG00000003249,1583
ENSG00000003393,655
ENSG00000003400,447
ENSG00000003402,1820
ENSG00000003436,222
ENSG00000003509,387
ENSG00000003756,1184
ENSG00000003987,319
ENSG00000003989,7901
ENSG00000004059,3954
ENSG00000004139,486
ENSG00000004142,4927
ENSG00000004399,4660
ENSG00000004455,5673
ENSG00000004468,671
ENSG00000004478,25709
ENSG00000004487,4868
ENSG00000004534,1514
ENSG00000004660,166
ENSG00000004700,706
ENSG00000004766,797
ENSG00000004776,177
ENSG00000004777,416
ENSG00000004779,2907
ENSG00000004799,464
ENSG00000004809,6
ENSG00000004838,242
ENSG00000004846,2
ENSG00000004848,5
ENSG00000004864,331
ENSG00000004866,1706
ENSG00000004897,3185
ENSG00000004939,3
ENSG00000004948,14
ENSG00000004961,1018
ENSG00000004975,959
ENSG00000005001,50
ENSG00000005007,2698
ENSG00000005020,482
ENSG00000005022,10234
ENSG00000005059,687
ENSG00000005073,4
ENSG00000005075,1281
ENSG00000005100,657
ENSG00000005102,80
ENSG00000005108,55
ENSG00000005156,1781
ENSG00000005175,1145
ENSG00000005187,48
ENSG00000005189,466
ENSG00000005194,1440
ENSG00000005206,798
ENSG00000005238,468
ENSG00000005243,307
ENSG00000005249,672
ENSG00000005302,850
ENSG00000005339,2731
ENSG00000005379,359
ENSG00000005381,1
ENSG00000005421,0
ENSG00000005436,923
ENSG00000005448,665
ENSG00000005469,279
ENSG00000005471,17
ENSG00000005483,1487
ENSG00000005486,3961
ENSG00000005513,6
ENSG00000005700,1853
ENSG00000005801,641
ENSG00000005810,1832
ENSG00000005812,2274
ENSG00000005844,1067
ENSG00000005882,818
ENSG00000005884,1335
ENSG00000005889,1507
ENSG00000005893,5960
ENSG00000005961,16
ENSG00000005981,2
ENSG00000006007,3736
ENSG00000006015,704
ENSG00000006016,34
ENSG00000006025,116
ENSG00000006042,1569
ENSG00000006047,339
ENSG00000006059,2
ENSG00000006062,776
ENSG00000006071,687
ENSG00000006116,0
ENSG00000006118,1816
ENSG00000006125,10923
ENSG00000006128,0
ENSG00000006194,1425
ENSG00000006210,578
ENSG00000006282,1187
ENSG00000006283,3
ENSG00000006327,346
ENSG00000006377,0
ENSG00000006432,180
ENSG00000006451,2474
ENSG00000006453,705
ENSG00000006459,697
ENSG00000006468,444
ENSG00000006530,865
