Gene stable ID,b89fb83b-66a1-470f-b038-9e56f8e1a046
ENSG00000000003,6999
ENSG00000000005,9
ENSG00000000419,2832
ENSG00000000457,4293
ENSG00000000460,1701
ENSG00000000938,292
ENSG00000000971,2752
ENSG00000001036,2210
ENSG00000001084,1878
ENSG00000001167,3760
ENSG00000001460,1521
ENSG00000001461,2303
ENSG00000001497,7394
ENSG00000001561,628
ENSG00000001617,20224
ENSG00000001626,22
ENSG00000001629,5559
ENSG00000001630,200
ENSG00000001631,3867
ENSG00000002016,1062
ENSG00000002079,43
ENSG00000002330,3298
ENSG00000002549,6389
ENSG00000002586,18730
ENSG00000002587,204
ENSG00000002726,21
ENSG00000002745,25
ENSG00000002746,60
ENSG00000002822,3191
ENSG00000002834,27355
ENSG00000002919,1585
ENSG00000002933,1596
ENSG00000003056,3769
ENSG00000003096,174
ENSG00000003137,211
ENSG00000003147,8952
ENSG00000003249,4039
ENSG00000003393,2096
ENSG00000003400,973
ENSG00000003402,6826
ENSG00000003436,1122
ENSG00000003509,1020
ENSG00000003756,10008
ENSG00000003987,137
ENSG00000003989,18323
ENSG00000004059,23263
ENSG00000004139,390
ENSG00000004142,12770
ENSG00000004399,11461
ENSG00000004455,14111
ENSG00000004468,39
ENSG00000004478,31464
ENSG00000004487,10996
ENSG00000004534,6720
ENSG00000004660,1000
ENSG00000004700,1174
ENSG00000004766,3526
ENSG00000004776,639
ENSG00000004777,2799
ENSG00000004779,4855
ENSG00000004799,3445
ENSG00000004809,3
ENSG00000004838,4681
ENSG00000004846,5
ENSG00000004848,114
ENSG00000004864,1406
ENSG00000004866,2864
ENSG00000004897,4841
ENSG00000004939,4
ENSG00000004948,29
ENSG00000004961,1765
ENSG00000004975,3199
ENSG00000005001,1650
ENSG00000005007,13344
ENSG00000005020,1046
ENSG00000005022,12180
ENSG00000005059,1129
ENSG00000005073,86
ENSG00000005075,5569
ENSG00000005100,2746
ENSG00000005102,61
ENSG00000005108,1193
ENSG00000005156,4528
ENSG00000005175,2615
