Gene stable ID,06d40347-b388-4293-ae71-db446e5a7b75
ENSG00000000003,2724
ENSG00000000005,5
ENSG00000000419,3712
ENSG00000000457,2316
ENSG00000000460,1261
ENSG00000000938,448
ENSG00000000971,7718
ENSG00000001036,2460
ENSG00000001084,4349
ENSG00000001167,2802
ENSG00000001460,1032
ENSG00000001461,3992
ENSG00000001497,3210
ENSG00000001561,3822
ENSG00000001617,3725
ENSG00000001626,12
ENSG00000001629,6597
ENSG00000001630,194
ENSG00000001631,2674
ENSG00000002016,393
ENSG00000002079,5
ENSG00000002330,950
ENSG00000002549,7811
ENSG00000002586,11983
ENSG00000002587,329
ENSG00000002726,13
ENSG00000002745,1
ENSG00000002746,103
ENSG00000002822,470
ENSG00000002834,23479
ENSG00000002919,2341
ENSG00000002933,2632
ENSG00000003056,5376
ENSG00000003096,60
ENSG00000003137,459
ENSG00000003147,4763
ENSG00000003249,1343
ENSG00000003393,2855
ENSG00000003400,670
ENSG00000003402,5923
ENSG00000003436,981
ENSG00000003509,878
ENSG00000003756,5638
ENSG00000003987,91
ENSG00000003989,10355
ENSG00000004059,4495
ENSG00000004139,433
ENSG00000004142,7907
ENSG00000004399,8164
ENSG00000004455,7080
ENSG00000004468,19
ENSG00000004478,10815
ENSG00000004487,6683
ENSG00000004534,3410
ENSG00000004660,643
ENSG00000004700,3407
ENSG00000004766,2432
ENSG00000004776,237
ENSG00000004777,365
ENSG00000004779,4253
ENSG00000004799,209
ENSG00000004809,1
ENSG00000004838,2797
ENSG00000004846,2
ENSG00000004848,3
ENSG00000004864,1460
ENSG00000004866,2756
ENSG00000004897,10082
ENSG00000004939,0
ENSG00000004948,45
ENSG00000004961,2585
ENSG00000004975,1108
ENSG00000005001,366
ENSG00000005007,5920
ENSG00000005020,2104
ENSG00000005022,29048
ENSG00000005059,1711
ENSG00000005073,90
ENSG00000005075,1187
ENSG00000005100,1957
ENSG00000005102,15
ENSG00000005108,282
ENSG00000005156,2874
ENSG00000005175,3711
ENSG00000005187,134
ENSG00000005189,718
ENSG00000005194,2744
ENSG00000005206,1179
ENSG00000005238,3815
ENSG00000005243,3190
ENSG00000005249,3894
ENSG00000005302,2363
ENSG00000005339,12885
ENSG00000005379,936
ENSG00000005381,5
ENSG00000005421,136
ENSG00000005436,2085
ENSG00000005448,1840
ENSG00000005469,2217
ENSG00000005471,194
ENSG00000005483,8431
ENSG00000005486,7421
ENSG00000005513,6
ENSG00000005700,8290
ENSG00000005801,1393
ENSG00000005810,9070
ENSG00000005812,7355
ENSG00000005844,1173
ENSG00000005882,1975
ENSG00000005884,4649
ENSG00000005889,7215
ENSG00000005893,35334
ENSG00000005961,40
ENSG00000005981,2
ENSG00000006007,12106
ENSG00000006015,294
ENSG00000006016,14
ENSG00000006025,644
ENSG00000006042,3719
ENSG00000006047,230
ENSG00000006059,1
ENSG00000006062,839
ENSG00000006071,2061
ENSG00000006116,0
ENSG00000006118,1283
ENSG00000006125,45623
ENSG00000006128,0
ENSG00000006194,2729
ENSG00000006210,1367
ENSG00000006282,4369
ENSG00000006283,18
ENSG00000006327,778
ENSG00000006377,4
ENSG00000006432,979
ENSG00000006451,5550
ENSG00000006453,1432
ENSG00000006459,1771
ENSG00000006468,2354
ENSG00000006530,1618
ENSG00000006534,915
