Gene stable ID,8525eb14-c1a7-421d-86a3-93fac9ece99f
ENSG00000000003,2920
ENSG00000000005,27
ENSG00000000419,1322
ENSG00000000457,2342
ENSG00000000460,851
ENSG00000000938,556
ENSG00000000971,2778
ENSG00000001036,1760
ENSG00000001084,1786
ENSG00000001167,1641
ENSG00000001460,628
ENSG00000001461,2837
ENSG00000001497,2516
ENSG00000001561,512
ENSG00000001617,5477
ENSG00000001626,22
ENSG00000001629,3981
ENSG00000001630,400
ENSG00000001631,1917
ENSG00000002016,390
ENSG00000002079,35
ENSG00000002330,1638
ENSG00000002549,4573
ENSG00000002586,8561
ENSG00000002587,247
ENSG00000002726,26
ENSG00000002745,3
ENSG00000002746,23
ENSG00000002822,1447
ENSG00000002834,13958
ENSG00000002919,1094
ENSG00000002933,872
ENSG00000003056,3875
ENSG00000003096,838
ENSG00000003137,542
ENSG00000003147,3979
ENSG00000003249,535
ENSG00000003393,1551
ENSG00000003400,388
ENSG00000003402,4798
ENSG00000003436,1048
ENSG00000003509,463
ENSG00000003756,3940
ENSG00000003987,94
ENSG00000003989,21085
ENSG00000004059,7008
ENSG00000004139,297
ENSG00000004142,5041
ENSG00000004399,5819
ENSG00000004455,4762
ENSG00000004468,106
ENSG00000004478,10360
ENSG00000004487,4876
ENSG00000004534,2516
ENSG00000004660,508
ENSG00000004700,1413
ENSG00000004766,2443
ENSG00000004776,688
ENSG00000004777,419
ENSG00000004779,3075
ENSG00000004799,6583
ENSG00000004809,3
ENSG00000004838,1805
ENSG00000004846,9
ENSG00000004848,4
ENSG00000004864,1315
ENSG00000004866,2348
ENSG00000004897,3785
ENSG00000004939,0
ENSG00000004948,34
ENSG00000004961,802
ENSG00000004975,1782
ENSG00000005001,891
ENSG00000005007,6091
ENSG00000005020,1552
ENSG00000005022,12975
ENSG00000005059,1719
ENSG00000005073,39
ENSG00000005075,1570
ENSG00000005100,970
ENSG00000005102,271
ENSG00000005108,444
ENSG00000005156,2345
ENSG00000005175,1476
ENSG00000005187,262
ENSG00000005189,328
ENSG00000005194,1493
ENSG00000005206,1576
ENSG00000005238,1005
ENSG00000005243,1308
ENSG00000005249,4484
ENSG00000005302,1152
ENSG00000005339,10122
ENSG00000005379,1080
ENSG00000005381,18
ENSG00000005421,18
ENSG00000005436,1093
ENSG00000005448,854
ENSG00000005469,2082
ENSG00000005471,98
ENSG00000005483,6357
ENSG00000005486,6089
ENSG00000005513,42
ENSG00000005700,3568
ENSG00000005801,1220
ENSG00000005810,4766
ENSG00000005812,6495
ENSG00000005844,1778
ENSG00000005882,1690
ENSG00000005884,5775
ENSG00000005889,2790
ENSG00000005893,14096
ENSG00000005961,42
ENSG00000005981,38
ENSG00000006007,8192
ENSG00000006015,936
ENSG00000006016,144
ENSG00000006025,546
ENSG00000006042,4192
ENSG00000006047,290
ENSG00000006059,12
ENSG00000006062,1163
ENSG00000006071,620
ENSG00000006116,0
ENSG00000006118,2268
ENSG00000006125,20162
ENSG00000006128,3
ENSG00000006194,3046
ENSG00000006210,5839
ENSG00000006282,3089
ENSG00000006283,39
ENSG00000006327,1904
ENSG00000006377,0
ENSG00000006432,734
ENSG00000006451,3641
ENSG00000006453,3286
ENSG00000006459,3652
ENSG00000006468,1097
ENSG00000006530,1723
ENSG00000006534,2543
ENSG00000006555,1026
ENSG00000006576,1886
ENSG00000006606,11
ENSG00000006607,2104
ENSG00000006611,1
ENSG00000006625,2989
ENSG00000006634,563
ENSG00000006638,117
ENSG00000006652,1456
ENSG00000006659,11
ENSG00000006695,626
ENSG00000006704,2144
ENSG00000006712,3176
ENSG00000006715,4011
ENSG00000006740,550
ENSG00000006744,2372
ENSG00000006747,1182
ENSG00000006756,7021
ENSG00000006757,2147
ENSG00000006788,21
ENSG00000006831,4972
ENSG00000006837,48
ENSG00000007001,22
ENSG00000007038,15
ENSG00000007047,2024
ENSG00000007062,2689
ENSG00000007080,1719
ENSG00000007129,32
ENSG00000007168,5981
ENSG00000007171,21
ENSG00000007174,40
ENSG00000007202,9850
ENSG00000007216,160
ENSG00000007237,4270
ENSG00000007255,1415
ENSG00000007264,168
ENSG00000007306,2
ENSG00000007312,194
ENSG00000007314,46
ENSG00000007341,595
ENSG00000007350,4
ENSG00000007372,127
ENSG00000007376,1714
ENSG00000007384,4209
ENSG00000007392,1443
ENSG00000007402,720
ENSG00000007516,655
ENSG00000007520,2770
ENSG00000007541,3656
ENSG00000007545,1303
ENSG00000007866,1638
ENSG00000007908,260
ENSG00000007923,1461
ENSG00000007933,191
ENSG00000007944,1899
ENSG00000007952,47
ENSG00000007968,186
ENSG00000008018,4857
ENSG00000008056,58
ENSG00000008083,1855
ENSG00000008086,1465
ENSG00000008118,2
ENSG00000008128,172
ENSG00000008130,2352
ENSG00000008196,6590
ENSG00000008197,0
ENSG00000008226,85
ENSG00000008256,2637
ENSG00000008277,719
ENSG00000008282,15361
ENSG00000008283,7272
ENSG00000008294,4719
ENSG00000008300,351
ENSG00000008311,872
ENSG00000008323,932
ENSG00000008324,653
ENSG00000008382,952
ENSG00000008394,11900
ENSG00000008405,1001
ENSG00000008438,5
ENSG00000008441,7855
ENSG00000008513,4791
ENSG00000008516,72
ENSG00000008517,1881
ENSG00000008710,4489
ENSG00000008735,1501
ENSG00000008838,3439
ENSG00000008853,1585
ENSG00000008869,2278
ENSG00000008952,10025
ENSG00000008988,49745
ENSG00000009307,38313
ENSG00000009335,6423
ENSG00000009413,1042
ENSG00000009694,49
ENSG00000009709,7
ENSG00000009724,44
ENSG00000009765,3
ENSG00000009780,863
ENSG00000009790,272
ENSG00000009830,1208
ENSG00000009844,2107
ENSG00000009950,100
ENSG00000009954,8181
ENSG00000010017,2024
ENSG00000010030,348
ENSG00000010072,974
ENSG00000010165,3401
ENSG00000010219,813
ENSG00000010244,7066
ENSG00000010256,5670
ENSG00000010270,1852
ENSG00000010278,11618
ENSG00000010282,0
ENSG00000010292,3413
ENSG00000010295,434
ENSG00000010310,110
ENSG00000010318,229
ENSG00000010319,1114
ENSG00000010322,4846
ENSG00000010327,2799
ENSG00000010361,1506
ENSG00000010379,2
ENSG00000010404,7176
ENSG00000010438,0
ENSG00000010539,544
ENSG00000010610,4175
ENSG00000010626,949
ENSG00000010671,422
ENSG00000010704,1149
ENSG00000010803,2308
ENSG00000010810,1599
ENSG00000010818,1317
ENSG00000010932,136
ENSG00000011007,2652
ENSG00000011009,2673
ENSG00000011021,802
ENSG00000011028,10002
ENSG00000011052,15
ENSG00000011083,3
ENSG00000011105,5229
ENSG00000011114,2235
ENSG00000011132,779
ENSG00000011143,914
ENSG00000011198,925
ENSG00000011201,2409
ENSG00000011243,1483
ENSG00000011258,1376
ENSG00000011260,2454
ENSG00000011275,4023
ENSG00000011295,2318
ENSG00000011304,13511
ENSG00000011332,22
ENSG00000011347,6636
ENSG00000011376,1077
ENSG00000011405,4407
ENSG00000011422,1491
ENSG00000011426,1596
ENSG00000011451,2746
ENSG00000011454,3580
ENSG00000011465,43806
ENSG00000011478,326
ENSG00000011485,2039
ENSG00000011523,2090
ENSG00000011566,2366
ENSG00000011590,21
ENSG00000011600,3135
ENSG00000011638,4285
ENSG00000011677,0
ENSG00000012048,861
ENSG00000012061,4194
ENSG00000012124,387
ENSG00000012171,790
ENSG00000012174,2473
ENSG00000012211,536
ENSG00000012223,23919
ENSG00000012232,3070
ENSG00000012504,0
ENSG00000012660,37172
ENSG00000012779,1111
ENSG00000012817,0
ENSG00000012822,5258
ENSG00000012963,3068
ENSG00000012983,2584
ENSG00000013016,1002
ENSG00000013275,3162
ENSG00000013288,4414
ENSG00000013293,3
ENSG00000013297,692
ENSG00000013306,5505
ENSG00000013364,17921
ENSG00000013374,6509
ENSG00000013375,1474
ENSG00000013392,243
ENSG00000013441,2187
ENSG00000013503,767
ENSG00000013523,1489
ENSG00000013561,3057
ENSG00000013563,1085
ENSG00000013573,771
ENSG00000013583,3125
ENSG00000013588,19643
ENSG00000013619,178
ENSG00000013725,537
ENSG00000013810,1017
ENSG00000014123,2467
ENSG00000014138,1162
ENSG00000014164,1958
ENSG00000014216,11907
ENSG00000014257,90
ENSG00000014641,5003
ENSG00000014824,4852
ENSG00000014914,1806
ENSG00000014919,2560
ENSG00000015133,2815
ENSG00000015153,686
ENSG00000015171,8464
ENSG00000015285,538
ENSG00000015413,97
ENSG00000015475,1115
ENSG00000015479,332
ENSG00000015520,29
ENSG00000015532,2679
