Gene stable ID,42afa501-db93-4611-ae86-14d6dd9e457c
ENSG00000000003,6180
ENSG00000000005,1
ENSG00000000419,2624
ENSG00000000457,1860
ENSG00000000460,2359
ENSG00000000938,335
ENSG00000000971,1596
ENSG00000001036,8022
ENSG00000001084,3032
ENSG00000001167,5598
ENSG00000001460,1516
ENSG00000001461,1436
ENSG00000001497,4472
ENSG00000001561,1245
ENSG00000001617,5992
ENSG00000001626,21
ENSG00000001629,2632
ENSG00000001630,136
ENSG00000001631,1397
ENSG00000002016,392
ENSG00000002079,12
ENSG00000002330,1365
ENSG00000002549,5500
ENSG00000002586,17616
ENSG00000002587,1213
ENSG00000002726,83
ENSG00000002745,1
ENSG00000002746,6
ENSG00000002822,1453
ENSG00000002834,16295
ENSG00000002919,2116
ENSG00000002933,1028
ENSG00000003056,6145
ENSG00000003096,38
ENSG00000003137,122
ENSG00000003147,2079
ENSG00000003249,3273
ENSG00000003393,1487
ENSG00000003400,607
ENSG00000003402,3468
ENSG00000003436,505
ENSG00000003509,1257
ENSG00000003756,2218
ENSG00000003987,156
ENSG00000003989,496
ENSG00000004059,6963
ENSG00000004139,163
ENSG00000004142,11448
ENSG00000004399,9064
ENSG00000004455,8040
ENSG00000004468,753
ENSG00000004478,17581
ENSG00000004487,14427
ENSG00000004534,2136
ENSG00000004660,344
ENSG00000004700,2679
ENSG00000004766,1170
ENSG00000004776,145
ENSG00000004777,1164
ENSG00000004779,5772
ENSG00000004799,602
ENSG00000004809,6
ENSG00000004838,519
ENSG00000004846,0
ENSG00000004848,1
ENSG00000004864,3047
ENSG00000004866,1566
ENSG00000004897,6389
ENSG00000004939,2
ENSG00000004948,7
ENSG00000004961,1368
ENSG00000004975,3993
ENSG00000005001,544
ENSG00000005007,14191
ENSG00000005020,1468
ENSG00000005022,33943
ENSG00000005059,937
ENSG00000005073,473
ENSG00000005075,1424
ENSG00000005100,2653
ENSG00000005102,128
ENSG00000005108,161
ENSG00000005156,6364
ENSG00000005175,1607
ENSG00000005187,134
ENSG00000005189,716
ENSG00000005194,5241
ENSG00000005206,1658
ENSG00000005238,775
ENSG00000005243,178
ENSG00000005249,2484
ENSG00000005302,2110
ENSG00000005339,9850
ENSG00000005379,430
ENSG00000005381,6
ENSG00000005421,0
ENSG00000005436,3326
ENSG00000005448,2002
ENSG00000005469,503
ENSG00000005471,63
ENSG00000005483,2362
ENSG00000005486,2252
ENSG00000005513,11
ENSG00000005700,2805
ENSG00000005801,684
ENSG00000005810,2490
ENSG00000005812,1352
ENSG00000005844,2267
ENSG00000005882,1731
ENSG00000005884,6078
ENSG00000005889,2507
ENSG00000005893,31780
ENSG00000005961,265
ENSG00000005981,1
ENSG00000006007,6535
ENSG00000006015,1104
ENSG00000006016,17733
ENSG00000006025,819
ENSG00000006042,5892
ENSG00000006047,258
ENSG00000006059,18
ENSG00000006062,1527
ENSG00000006071,12
ENSG00000006116,2
ENSG00000006118,8267
ENSG00000006125,43898
ENSG00000006128,0
ENSG00000006194,2535
ENSG00000006210,5601
ENSG00000006282,1451
ENSG00000006283,24
ENSG00000006327,4051
ENSG00000006377,3
ENSG00000006432,965
ENSG00000006451,5225
ENSG00000006453,3683
ENSG00000006459,3082
ENSG00000006468,1564
ENSG00000006530,1961
ENSG00000006534,203
ENSG00000006555,739
ENSG00000006576,1731
ENSG00000006606,6
ENSG00000006607,1931
ENSG00000006611,17
ENSG00000006625,9070
ENSG00000006634,1331
ENSG00000006638,147
ENSG00000006652,2021
ENSG00000006659,0
ENSG00000006695,1688
ENSG00000006704,2473
ENSG00000006712,5358
ENSG00000006715,3194
ENSG00000006740,1570
ENSG00000006744,5836
ENSG00000006747,104
