Gene stable ID,3a36d513-6e54-4f58-acb4-e7bda5135b99
ENSG00000000003,5890
ENSG00000000005,176
ENSG00000000419,1594
ENSG00000000457,1859
ENSG00000000460,569
ENSG00000000938,442
ENSG00000000971,2055
ENSG00000001036,3216
ENSG00000001084,1045
ENSG00000001167,1872
ENSG00000001460,705
ENSG00000001461,2522
ENSG00000001497,3298
ENSG00000001561,1047
ENSG00000001617,9565
ENSG00000001626,10
ENSG00000001629,2344
ENSG00000001630,133
ENSG00000001631,1673
ENSG00000002016,582
ENSG00000002079,12
ENSG00000002330,3605
ENSG00000002549,4994
ENSG00000002586,9652
ENSG00000002587,306
ENSG00000002726,7
ENSG00000002745,2
ENSG00000002746,4
ENSG00000002822,1728
ENSG00000002834,21041
ENSG00000002919,1785
ENSG00000002933,2373
ENSG00000003056,3690
ENSG00000003096,323
ENSG00000003137,254
ENSG00000003147,4232
ENSG00000003249,1383
ENSG00000003393,1010
ENSG00000003400,424
ENSG00000003402,3636
ENSG00000003436,1205
ENSG00000003509,646
ENSG00000003756,7963
ENSG00000003987,91
ENSG00000003989,417
ENSG00000004059,10503
ENSG00000004139,243
ENSG00000004142,6968
ENSG00000004399,10403
ENSG00000004455,6328
ENSG00000004468,124
ENSG00000004478,15564
ENSG00000004487,6444
ENSG00000004534,4590
ENSG00000004660,1406
ENSG00000004700,573
ENSG00000004766,1431
ENSG00000004776,2567
ENSG00000004777,1571
ENSG00000004779,2236
ENSG00000004799,4241
ENSG00000004809,2
ENSG00000004838,1740
ENSG00000004846,34
ENSG00000004848,0
ENSG00000004864,1146
ENSG00000004866,1408
ENSG00000004897,2409
ENSG00000004939,1
ENSG00000004948,12
ENSG00000004961,1102
ENSG00000004975,1906
ENSG00000005001,1046
ENSG00000005007,8624
ENSG00000005020,1080
ENSG00000005022,8141
ENSG00000005059,1442
ENSG00000005073,26
ENSG00000005075,2376
ENSG00000005100,918
ENSG00000005102,675
ENSG00000005108,204
ENSG00000005156,2524
ENSG00000005175,1381
ENSG00000005187,160
ENSG00000005189,369
ENSG00000005194,1578
ENSG00000005206,3146
ENSG00000005238,1135
ENSG00000005243,966
ENSG00000005249,1956
ENSG00000005302,1350
ENSG00000005339,6820
ENSG00000005379,3307
ENSG00000005381,11
ENSG00000005421,29
ENSG00000005436,1219
ENSG00000005448,1503
ENSG00000005469,1437
ENSG00000005471,80
ENSG00000005483,4307
ENSG00000005486,8173
ENSG00000005513,83
ENSG00000005700,2622
ENSG00000005801,1528
ENSG00000005810,2742
ENSG00000005812,4206
ENSG00000005844,1083
ENSG00000005882,1535
ENSG00000005884,4724
ENSG00000005889,2209
ENSG00000005893,7112
ENSG00000005961,108
ENSG00000005981,10
ENSG00000006007,6615
ENSG00000006015,1138
ENSG00000006016,259
ENSG00000006025,717
ENSG00000006042,7271
ENSG00000006047,94
ENSG00000006059,1
ENSG00000006062,1130
ENSG00000006071,604
ENSG00000006116,0
ENSG00000006118,4053
ENSG00000006125,17707
ENSG00000006128,30
ENSG00000006194,3395
ENSG00000006210,3041
ENSG00000006282,2884
ENSG00000006283,19
ENSG00000006327,1202
ENSG00000006377,6
ENSG00000006432,462
ENSG00000006451,3853
ENSG00000006453,2024
ENSG00000006459,1048
ENSG00000006468,455
ENSG00000006530,1510
ENSG00000006534,638
ENSG00000006555,514
ENSG00000006576,1432
ENSG00000006606,30
ENSG00000006607,1588
ENSG00000006611,6
ENSG00000006625,2353
ENSG00000006634,396
ENSG00000006638,226
ENSG00000006652,1300
ENSG00000006659,1
ENSG00000006695,576
ENSG00000006704,2709
ENSG00000006712,6805
ENSG00000006715,2615
ENSG00000006740,444
ENSG00000006744,3169
ENSG00000006747,74
ENSG00000006756,6790
ENSG00000006757,1311
ENSG00000006788,10
ENSG00000006831,5331
ENSG00000006837,60
ENSG00000007001,4
ENSG00000007038,14
ENSG00000007047,3267
ENSG00000007062,202
ENSG00000007080,3637
ENSG00000007129,70
ENSG00000007168,4786
ENSG00000007171,37
ENSG00000007174,43
ENSG00000007202,7179
ENSG00000007216,209
ENSG00000007237,2395
ENSG00000007255,2654
ENSG00000007264,283
ENSG00000007306,2
ENSG00000007312,269
ENSG00000007314,174
ENSG00000007341,785
ENSG00000007350,3
ENSG00000007372,148
ENSG00000007376,1871
ENSG00000007384,3398
ENSG00000007392,3884
ENSG00000007402,982
ENSG00000007516,1182
ENSG00000007520,3300
ENSG00000007541,6345
ENSG00000007545,1645
ENSG00000007866,2417
ENSG00000007908,378
ENSG00000007923,1563
ENSG00000007933,242
ENSG00000007944,2692
ENSG00000007952,100
ENSG00000007968,319
ENSG00000008018,8096
ENSG00000008056,62
ENSG00000008083,2590
ENSG00000008086,261
ENSG00000008118,10
ENSG00000008128,397
ENSG00000008130,3782
ENSG00000008196,8007
ENSG00000008197,0
ENSG00000008226,77
ENSG00000008256,3052
ENSG00000008277,904
ENSG00000008282,14000
ENSG00000008283,5597
ENSG00000008294,3135
ENSG00000008300,414
ENSG00000008311,347
ENSG00000008323,764
ENSG00000008324,1240
ENSG00000008382,1282
ENSG00000008394,4322
ENSG00000008405,1296
ENSG00000008438,3
ENSG00000008441,6752
ENSG00000008513,5377
ENSG00000008516,86
ENSG00000008517,2280
ENSG00000008710,4022
ENSG00000008735,2598
ENSG00000008838,6133
ENSG00000008853,1844
ENSG00000008869,2162
ENSG00000008952,7508
ENSG00000008988,66631
ENSG00000009307,29613
ENSG00000009335,4208
ENSG00000009413,835
ENSG00000009694,9
ENSG00000009709,0
ENSG00000009724,49
ENSG00000009765,6
ENSG00000009780,1073
ENSG00000009790,335
ENSG00000009830,1749
ENSG00000009844,2304
ENSG00000009950,345
ENSG00000009954,5997
ENSG00000010017,2469
ENSG00000010030,305
ENSG00000010072,590
ENSG00000010165,4145
ENSG00000010219,1255
ENSG00000010244,8353
ENSG00000010256,8318
ENSG00000010270,1621
ENSG00000010278,21705
ENSG00000010282,1
ENSG00000010292,4027
ENSG00000010295,612
ENSG00000010310,513
ENSG00000010318,345
ENSG00000010319,3383
ENSG00000010322,9326
ENSG00000010327,3077
ENSG00000010361,2037
ENSG00000010379,5
ENSG00000010404,7220
ENSG00000010438,3
ENSG00000010539,783
ENSG00000010610,2487
ENSG00000010626,529
ENSG00000010671,331
ENSG00000010704,570
ENSG00000010803,3466
ENSG00000010810,1477
ENSG00000010818,1007
ENSG00000010932,223
ENSG00000011007,3438
ENSG00000011009,4240
ENSG00000011021,1469
ENSG00000011028,5666
ENSG00000011052,59
ENSG00000011083,2
ENSG00000011105,6931
ENSG00000011114,1951
ENSG00000011132,1210
ENSG00000011143,1552
ENSG00000011198,655
ENSG00000011201,619
ENSG00000011243,6490
ENSG00000011258,1893
ENSG00000011260,2500
ENSG00000011275,3056
ENSG00000011295,1561
ENSG00000011304,17112
ENSG00000011332,28
ENSG00000011347,2299
ENSG00000011376,1501
ENSG00000011405,2300
ENSG00000011422,1046
ENSG00000011426,560
ENSG00000011451,6831
ENSG00000011454,3204
ENSG00000011465,37520
ENSG00000011478,1116
ENSG00000011485,3746
ENSG00000011523,2227
ENSG00000011566,1500
ENSG00000011590,20
ENSG00000011600,3273
ENSG00000011638,2252
ENSG00000011677,0
ENSG00000012048,689
ENSG00000012061,4892
ENSG00000012124,330
ENSG00000012171,2004
ENSG00000012174,1059
ENSG00000012211,508
ENSG00000012223,1683
ENSG00000012232,2021
ENSG00000012504,0
ENSG00000012660,10884
ENSG00000012779,991
ENSG00000012817,0
ENSG00000012822,7201
ENSG00000012963,3411
ENSG00000012983,1751
ENSG00000013016,966
ENSG00000013275,3908
ENSG00000013288,3330
ENSG00000013293,7
ENSG00000013297,985
ENSG00000013306,9115
ENSG00000013364,11157
ENSG00000013374,4519
ENSG00000013375,1403
ENSG00000013392,361
ENSG00000013441,6317
ENSG00000013503,595
ENSG00000013523,1707
ENSG00000013561,2754
ENSG00000013563,1087
ENSG00000013573,1303
ENSG00000013583,6247
ENSG00000013588,13830
ENSG00000013619,145
ENSG00000013725,681
ENSG00000013810,2806
ENSG00000014123,2158
ENSG00000014138,1320
ENSG00000014164,2169
ENSG00000014216,12971
ENSG00000014257,31
ENSG00000014641,6461
ENSG00000014824,4174
ENSG00000014914,1237
ENSG00000014919,2346
ENSG00000015133,4183
ENSG00000015153,787
ENSG00000015171,5948
ENSG00000015285,679
ENSG00000015413,1028
ENSG00000015475,1986
ENSG00000015479,226
ENSG00000015520,211
ENSG00000015532,3819
ENSG00000015568,0
ENSG00000015592,6
ENSG00000015676,8364
ENSG00000016082,4
