Gene stable ID,b7fda5e6-ac95-4d80-9d5d-653bf871b156
ENSG00000000003,8102
ENSG00000000005,1416
ENSG00000000419,2657
ENSG00000000457,2825
ENSG00000000460,651
ENSG00000000938,1021
ENSG00000000971,7599
ENSG00000001036,3798
ENSG00000001084,5022
ENSG00000001167,4259
ENSG00000001460,1062
ENSG00000001461,5706
ENSG00000001497,3720
ENSG00000001561,4762
ENSG00000001617,6515
ENSG00000001626,64
ENSG00000001629,7445
ENSG00000001630,333
ENSG00000001631,4498
ENSG00000002016,1349
ENSG00000002079,28
ENSG00000002330,1544
ENSG00000002549,8823
ENSG00000002586,10930
ENSG00000002587,844
ENSG00000002726,19
ENSG00000002745,8
ENSG00000002746,66
ENSG00000002822,1146
ENSG00000002834,20905
ENSG00000002919,1952
ENSG00000002933,2300
ENSG00000003056,7029
ENSG00000003096,3451
ENSG00000003137,908
ENSG00000003147,3624
ENSG00000003249,574
ENSG00000003393,3968
ENSG00000003400,2881
ENSG00000003402,22516
ENSG00000003436,13783
ENSG00000003509,1252
ENSG00000003756,13902
ENSG00000003987,283
ENSG00000003989,10503
ENSG00000004059,5476
ENSG00000004139,871
ENSG00000004142,5862
ENSG00000004399,19152
ENSG00000004455,8456
ENSG00000004468,318
ENSG00000004478,10634
ENSG00000004487,7522
ENSG00000004534,11199
ENSG00000004660,1344
ENSG00000004700,3333
ENSG00000004766,5221
ENSG00000004776,8347
ENSG00000004777,1008
ENSG00000004779,2192
ENSG00000004799,47726
ENSG00000004809,6
ENSG00000004838,183
ENSG00000004846,1428
ENSG00000004848,10
ENSG00000004864,2088
ENSG00000004866,2113
ENSG00000004897,7836
ENSG00000004939,14
ENSG00000004948,69
ENSG00000004961,1564
ENSG00000004975,3135
ENSG00000005001,473
ENSG00000005007,9653
ENSG00000005020,6788
ENSG00000005022,8876
ENSG00000005059,1159
ENSG00000005073,32
ENSG00000005075,1164
ENSG00000005100,3098
ENSG00000005102,5936
ENSG00000005108,2288
ENSG00000005156,2762
ENSG00000005175,3094
ENSG00000005187,905
ENSG00000005189,476
ENSG00000005194,2459
ENSG00000005206,2713
ENSG00000005238,1737
ENSG00000005243,1490
ENSG00000005249,16399
ENSG00000005302,2855
ENSG00000005339,17666
ENSG00000005379,3346
ENSG00000005381,24
ENSG00000005421,16
ENSG00000005436,2702
ENSG00000005448,644
ENSG00000005469,3147
ENSG00000005471,104
ENSG00000005483,18282
ENSG00000005486,4185
ENSG00000005513,400
ENSG00000005700,7045
ENSG00000005801,2497
ENSG00000005810,18280
ENSG00000005812,12020
ENSG00000005844,1329
ENSG00000005882,2554
ENSG00000005884,8603
ENSG00000005889,8193
ENSG00000005893,22633
ENSG00000005961,69
ENSG00000005981,45
ENSG00000006007,5664
ENSG00000006015,808
ENSG00000006016,289
ENSG00000006025,1322
ENSG00000006042,4828
ENSG00000006047,348
ENSG00000006059,10
ENSG00000006062,2059
ENSG00000006071,1165
ENSG00000006116,0
ENSG00000006118,1044
ENSG00000006125,30645
ENSG00000006128,101
ENSG00000006194,3657
ENSG00000006210,18829
ENSG00000006282,2959
ENSG00000006283,186
ENSG00000006327,757
ENSG00000006377,16
ENSG00000006432,1726
ENSG00000006451,6307
ENSG00000006453,2122
ENSG00000006459,7083
ENSG00000006468,2513
ENSG00000006530,2509
ENSG00000006534,797
ENSG00000006555,825
ENSG00000006576,2740
ENSG00000006606,15
ENSG00000006607,3474
ENSG00000006611,50
ENSG00000006625,1809
ENSG00000006634,710
ENSG00000006638,206
ENSG00000006652,5216
ENSG00000006659,2
ENSG00000006695,1065
ENSG00000006704,1676
ENSG00000006712,4837
ENSG00000006715,6235
ENSG00000006740,1071
ENSG00000006744,4958
ENSG00000006747,343
ENSG00000006756,11958
ENSG00000006757,1934
ENSG00000006788,28
ENSG00000006831,10656
ENSG00000006837,86
ENSG00000007001,25
ENSG00000007038,298
ENSG00000007047,2808
ENSG00000007062,7698
ENSG00000007080,1416
ENSG00000007129,92
ENSG00000007168,18688
ENSG00000007171,34
ENSG00000007174,149
ENSG00000007202,18605
ENSG00000007216,765
ENSG00000007237,5646
ENSG00000007255,908
ENSG00000007264,149
ENSG00000007306,17
ENSG00000007312,577
ENSG00000007314,2751
ENSG00000007341,1104
ENSG00000007350,15
ENSG00000007372,357
ENSG00000007376,832
ENSG00000007384,3132
ENSG00000007392,3528
ENSG00000007402,738
ENSG00000007516,1050
ENSG00000007520,1486
ENSG00000007541,2462
ENSG00000007545,2987
ENSG00000007866,3248
ENSG00000007908,5548
ENSG00000007923,2729
ENSG00000007933,484
ENSG00000007944,7130
ENSG00000007952,49
ENSG00000007968,73
ENSG00000008018,7676
ENSG00000008056,30
ENSG00000008083,3165
ENSG00000008086,3430
ENSG00000008118,33
ENSG00000008128,512
ENSG00000008130,4624
ENSG00000008196,4470
ENSG00000008197,0
ENSG00000008226,333
ENSG00000008256,6879
ENSG00000008277,1550
ENSG00000008282,15506
ENSG00000008283,6671
ENSG00000008294,14537
ENSG00000008300,326
ENSG00000008311,2283
ENSG00000008323,1292
ENSG00000008324,1074
ENSG00000008382,788
ENSG00000008394,15375
ENSG00000008405,2880
ENSG00000008438,11
ENSG00000008441,19752
ENSG00000008513,6616
ENSG00000008516,92
ENSG00000008517,992
ENSG00000008710,9215
ENSG00000008735,364
ENSG00000008838,5402
ENSG00000008853,2426
ENSG00000008869,6885
ENSG00000008952,21713
ENSG00000008988,56330
ENSG00000009307,82554
ENSG00000009335,9439
ENSG00000009413,8539
ENSG00000009694,269
ENSG00000009709,0
ENSG00000009724,466
ENSG00000009765,23
ENSG00000009780,2222
ENSG00000009790,516
ENSG00000009830,2726
ENSG00000009844,4125
ENSG00000009950,1782
ENSG00000009954,13003
ENSG00000010017,5286
ENSG00000010030,125
ENSG00000010072,1505
ENSG00000010165,3238
ENSG00000010219,964
ENSG00000010244,13938
ENSG00000010256,5994
ENSG00000010270,2562
ENSG00000010278,17827
ENSG00000010282,199
ENSG00000010292,5092
ENSG00000010295,1445
ENSG00000010310,264
ENSG00000010318,764
ENSG00000010319,16939
ENSG00000010322,13640
ENSG00000010327,9899
ENSG00000010361,1407
ENSG00000010379,3
ENSG00000010404,16966
ENSG00000010438,21
ENSG00000010539,987
ENSG00000010610,4299
ENSG00000010626,738
ENSG00000010671,521
ENSG00000010704,2100
ENSG00000010803,5294
ENSG00000010810,5826
ENSG00000010818,6824
ENSG00000010932,1629
ENSG00000011007,6051
ENSG00000011009,2621
ENSG00000011021,3796
ENSG00000011028,8198
ENSG00000011052,20
ENSG00000011083,7
ENSG00000011105,7913
ENSG00000011114,7565
ENSG00000011132,856
ENSG00000011143,1420
ENSG00000011198,2794
ENSG00000011201,2408
ENSG00000011243,3800
ENSG00000011258,4632
ENSG00000011260,2659
ENSG00000011275,6186
ENSG00000011295,6135
ENSG00000011304,15608
ENSG00000011332,27
ENSG00000011347,4632
ENSG00000011376,1848
ENSG00000011405,14466
ENSG00000011422,576
ENSG00000011426,146
ENSG00000011451,4222
ENSG00000011454,10568
ENSG00000011465,176481
ENSG00000011478,636
ENSG00000011485,3697
ENSG00000011523,11812
ENSG00000011566,5481
ENSG00000011590,28
ENSG00000011600,1686
ENSG00000011638,4126
ENSG00000011677,0
ENSG00000012048,786
ENSG00000012061,3574
ENSG00000012124,173
ENSG00000012171,1188
ENSG00000012174,2799
ENSG00000012211,576
ENSG00000012223,28518
ENSG00000012232,4989
ENSG00000012504,4
ENSG00000012660,25452
ENSG00000012779,2632
ENSG00000012817,0
ENSG00000012822,14286
ENSG00000012963,4908
ENSG00000012983,7642
ENSG00000013016,1890
ENSG00000013275,3351
ENSG00000013288,5915
ENSG00000013293,70
ENSG00000013297,5648
ENSG00000013306,4328
ENSG00000013364,8172
ENSG00000013374,8279
ENSG00000013375,3326
ENSG00000013392,711
ENSG00000013441,19386
ENSG00000013503,1308
ENSG00000013523,3643
ENSG00000013561,6404
ENSG00000013563,1481
ENSG00000013573,1469
ENSG00000013583,4647
ENSG00000013588,6756
ENSG00000013619,719
ENSG00000013725,377
ENSG00000013810,549
ENSG00000014123,5698
ENSG00000014138,1226
ENSG00000014164,1602
ENSG00000014216,10995
ENSG00000014257,254
ENSG00000014641,9143
ENSG00000014824,6550
ENSG00000014914,1316
ENSG00000014919,4182
ENSG00000015133,4505
ENSG00000015153,1569
ENSG00000015171,16327
ENSG00000015285,486
ENSG00000015413,10
ENSG00000015475,1545
ENSG00000015479,849
ENSG00000015520,80
ENSG00000015532,2579
ENSG00000015568,2
ENSG00000015592,12
ENSG00000015676,9040
ENSG00000016082,14
ENSG00000016391,6700
ENSG00000016402,4811
ENSG00000016490,0
ENSG00000016602,235
ENSG00000016864,4838
ENSG00000017260,11470
ENSG00000017427,776
ENSG00000017483,155
ENSG00000017797,10138
ENSG00000018189,4911
ENSG00000018236,3536
ENSG00000018280,108
ENSG00000018408,11775
ENSG00000018510,4707
ENSG00000018607,2
ENSG00000018610,2594
ENSG00000018625,4977
ENSG00000018699,2051
ENSG00000018869,531
ENSG00000019102,1279
ENSG00000019144,12247
ENSG00000019169,816
ENSG00000019186,89
ENSG00000019485,2610
ENSG00000019505,69
ENSG00000019549,3060
ENSG00000019582,125400
ENSG00000019991,1678
ENSG00000019995,3453
ENSG00000020129,1972
