Gene stable ID,2189e341-9ef9-4047-b588-55128b7985b6
ENSG00000000003,2124
ENSG00000000005,9
ENSG00000000419,2515
ENSG00000000457,1863
ENSG00000000460,605
ENSG00000000938,2170
ENSG00000000971,735
ENSG00000001036,4942
ENSG00000001084,13366
ENSG00000001167,8942
ENSG00000001460,1674
ENSG00000001461,8927
ENSG00000001497,2900
ENSG00000001561,3831
ENSG00000001617,13564
ENSG00000001626,7
ENSG00000001629,5218
ENSG00000001630,874
ENSG00000001631,3342
ENSG00000002016,922
ENSG00000002079,6
ENSG00000002330,4934
ENSG00000002549,9060
ENSG00000002586,6491
ENSG00000002587,189
ENSG00000002726,1
ENSG00000002745,2
ENSG00000002746,3
ENSG00000002822,1585
ENSG00000002834,68882
ENSG00000002919,2211
ENSG00000002933,87
ENSG00000003056,5667
ENSG00000003096,49
ENSG00000003137,470
ENSG00000003147,4817
ENSG00000003249,538
ENSG00000003393,2563
ENSG00000003400,711
ENSG00000003402,4440
ENSG00000003436,737
ENSG00000003509,1257
ENSG00000003756,9574
ENSG00000003987,101
ENSG00000003989,17041
ENSG00000004059,9998
ENSG00000004139,775
ENSG00000004142,8584
ENSG00000004399,17557
ENSG00000004455,6218
ENSG00000004468,83
ENSG00000004478,48532
ENSG00000004487,5895
ENSG00000004534,8447
ENSG00000004660,3803
ENSG00000004700,1989
ENSG00000004766,1923
ENSG00000004776,133
ENSG00000004777,1041
ENSG00000004779,3339
ENSG00000004799,3059
ENSG00000004809,19
ENSG00000004838,1233
ENSG00000004846,0
ENSG00000004848,3
ENSG00000004864,1281
ENSG00000004866,2257
ENSG00000004897,7541
ENSG00000004939,2
ENSG00000004948,54
ENSG00000004961,1390
ENSG00000004975,3174
ENSG00000005001,1490
ENSG00000005007,16811
ENSG00000005020,1610
ENSG00000005022,10588
ENSG00000005059,950
ENSG00000005073,12
ENSG00000005075,1709
ENSG00000005100,2379
ENSG00000005102,1
ENSG00000005108,676
ENSG00000005156,5138
ENSG00000005175,2741
ENSG00000005187,70
ENSG00000005189,573
ENSG00000005194,2496
ENSG00000005206,4324
ENSG00000005238,3114
ENSG00000005243,1726
ENSG00000005249,444
ENSG00000005302,1147
ENSG00000005339,12289
ENSG00000005379,2294
ENSG00000005381,0
ENSG00000005421,40
ENSG00000005436,2209
ENSG00000005448,325
ENSG00000005469,783
ENSG00000005471,334
ENSG00000005483,11852
ENSG00000005486,7026
ENSG00000005513,28
ENSG00000005700,13101
ENSG00000005801,853
ENSG00000005810,6961
ENSG00000005812,4188
ENSG00000005844,1117
ENSG00000005882,2944
ENSG00000005884,4712
ENSG00000005889,27808
ENSG00000005893,20998
ENSG00000005961,45
ENSG00000005981,199
ENSG00000006007,5572
ENSG00000006015,1636
ENSG00000006016,41
ENSG00000006025,302
ENSG00000006042,3557
ENSG00000006047,1428
ENSG00000006059,5
ENSG00000006062,1595
ENSG00000006071,206
ENSG00000006116,0
ENSG00000006118,630
ENSG00000006125,18891
ENSG00000006128,0
ENSG00000006194,2394
ENSG00000006210,2605
ENSG00000006282,6827
ENSG00000006283,11
ENSG00000006327,1126
ENSG00000006377,5
ENSG00000006432,1122
ENSG00000006451,4150
ENSG00000006453,907
ENSG00000006459,1965
ENSG00000006468,100
ENSG00000006530,2530
ENSG00000006534,1008
ENSG00000006555,732
ENSG00000006576,2504
ENSG00000006606,36
ENSG00000006607,3898
ENSG00000006611,0
ENSG00000006625,2208
ENSG00000006634,579
ENSG00000006638,519
ENSG00000006652,2149
ENSG00000006659,0
ENSG00000006695,984
ENSG00000006704,1298
ENSG00000006712,6575
ENSG00000006715,4273
ENSG00000006740,234
ENSG00000006744,5676
ENSG00000006747,173
ENSG00000006756,6860
ENSG00000006757,4139
ENSG00000006788,2
ENSG00000006831,10677
ENSG00000006837,104
ENSG00000007001,7
ENSG00000007038,12
ENSG00000007047,5626
ENSG00000007062,10
ENSG00000007080,3179
ENSG00000007129,52
ENSG00000007168,14974
ENSG00000007171,149
ENSG00000007174,38
ENSG00000007202,18744
ENSG00000007216,19
ENSG00000007237,1326
ENSG00000007255,2297
ENSG00000007264,72
ENSG00000007306,26
ENSG00000007312,89
ENSG00000007314,276
ENSG00000007341,1462
ENSG00000007350,0
ENSG00000007372,95
ENSG00000007376,2375
ENSG00000007384,4857
ENSG00000007392,3296
ENSG00000007402,6556
ENSG00000007516,514
ENSG00000007520,2414
ENSG00000007541,6005
ENSG00000007545,2143
ENSG00000007866,2398
ENSG00000007908,15
ENSG00000007923,2539
ENSG00000007933,1364
ENSG00000007944,3528
ENSG00000007952,70
ENSG00000007968,658
ENSG00000008018,8604
ENSG00000008056,25
ENSG00000008083,3351
ENSG00000008086,601
ENSG00000008118,83
ENSG00000008128,446
ENSG00000008130,9117
ENSG00000008196,1942
ENSG00000008197,0
ENSG00000008226,273
ENSG00000008256,1851
ENSG00000008277,65
ENSG00000008282,14619
ENSG00000008283,22065
ENSG00000008294,6990
ENSG00000008300,93
ENSG00000008311,687
ENSG00000008323,2157
ENSG00000008324,788
ENSG00000008382,1091
ENSG00000008394,6070
ENSG00000008405,2070
ENSG00000008438,9
ENSG00000008441,17613
ENSG00000008513,3920
ENSG00000008516,108
ENSG00000008517,226
ENSG00000008710,10403
ENSG00000008735,6157
ENSG00000008838,6053
ENSG00000008853,2170
ENSG00000008869,7945
ENSG00000008952,23816
ENSG00000008988,19874
ENSG00000009307,44298
ENSG00000009335,13041
ENSG00000009413,3607
ENSG00000009694,20
ENSG00000009709,1
ENSG00000009724,137
ENSG00000009765,124
ENSG00000009780,875
ENSG00000009790,334
ENSG00000009830,2663
ENSG00000009844,3879
ENSG00000009950,552
ENSG00000009954,15375
ENSG00000010017,6647
ENSG00000010030,27
ENSG00000010072,690
ENSG00000010165,2993
ENSG00000010219,958
ENSG00000010244,10857
ENSG00000010256,11002
ENSG00000010270,1620
ENSG00000010278,75794
ENSG00000010282,5
ENSG00000010292,5708
ENSG00000010295,780
ENSG00000010310,53
ENSG00000010318,1096
ENSG00000010319,10763
ENSG00000010322,15373
ENSG00000010327,16443
ENSG00000010361,1484
ENSG00000010379,3
ENSG00000010404,5881
ENSG00000010438,1
ENSG00000010539,686
ENSG00000010610,5550
ENSG00000010626,913
ENSG00000010671,1119
ENSG00000010704,2044
ENSG00000010803,4018
ENSG00000010810,1454
ENSG00000010818,1000
ENSG00000010932,8
ENSG00000011007,4929
ENSG00000011009,3438
ENSG00000011021,2040
ENSG00000011028,2179
ENSG00000011052,81
ENSG00000011083,5
ENSG00000011105,5763
ENSG00000011114,5199
ENSG00000011132,1584
ENSG00000011143,1544
ENSG00000011198,1812
ENSG00000011201,712
ENSG00000011243,5990
ENSG00000011258,2602
ENSG00000011260,3401
ENSG00000011275,7130
ENSG00000011295,5550
ENSG00000011304,23219
ENSG00000011332,40
ENSG00000011347,2565
ENSG00000011376,2449
ENSG00000011405,12740
ENSG00000011422,596
ENSG00000011426,1577
ENSG00000011451,6476
ENSG00000011454,7759
ENSG00000011465,180
ENSG00000011478,959
ENSG00000011485,5054
ENSG00000011523,4803
ENSG00000011566,7549
ENSG00000011590,77
ENSG00000011600,4142
ENSG00000011638,3209
ENSG00000011677,0
ENSG00000012048,2928
ENSG00000012061,3457
ENSG00000012124,3507
ENSG00000012171,17261
ENSG00000012174,3054
ENSG00000012211,716
ENSG00000012223,2688
ENSG00000012232,5314
ENSG00000012504,0
ENSG00000012660,82137
ENSG00000012779,1408
ENSG00000012817,0
ENSG00000012822,9889
ENSG00000012963,6210
ENSG00000012983,3357
ENSG00000013016,1389
ENSG00000013275,5491
ENSG00000013288,6933
ENSG00000013293,0
ENSG00000013297,43
ENSG00000013306,8620
ENSG00000013364,5389
ENSG00000013374,7014
ENSG00000013375,6288
ENSG00000013392,1798
ENSG00000013441,6801
ENSG00000013503,766
ENSG00000013523,4146
ENSG00000013561,7551
ENSG00000013563,2871
ENSG00000013573,1459
ENSG00000013583,12507
ENSG00000013588,1895
ENSG00000013619,168
ENSG00000013725,66
ENSG00000013810,4053
ENSG00000014123,8472
ENSG00000014138,2172
ENSG00000014164,2509
ENSG00000014216,22134
ENSG00000014257,64
ENSG00000014641,7361
ENSG00000014824,7942
ENSG00000014914,235
ENSG00000014919,4006
ENSG00000015133,15751
