Gene stable ID,dcff2072-c1f4-4b0f-9cda-8a57ef192499
ENSG00000000003,1278
ENSG00000000005,4
ENSG00000000419,3166
ENSG00000000457,2049
ENSG00000000460,1243
ENSG00000000938,1262
ENSG00000000971,3193
ENSG00000001036,4235
ENSG00000001084,1775
ENSG00000001167,2936
ENSG00000001460,1104
ENSG00000001461,3896
ENSG00000001497,5167
ENSG00000001561,1018
ENSG00000001617,9280
ENSG00000001626,3
ENSG00000001629,4170
ENSG00000001630,264
ENSG00000001631,2358
ENSG00000002016,690
ENSG00000002079,10
ENSG00000002330,3080
ENSG00000002549,16360
ENSG00000002586,27037
ENSG00000002587,835
ENSG00000002726,74
ENSG00000002745,7
ENSG00000002746,13
ENSG00000002822,2785
ENSG00000002834,35472
ENSG00000002919,3318
ENSG00000002933,3828
ENSG00000003056,7168
ENSG00000003096,78
ENSG00000003137,346
ENSG00000003147,3220
ENSG00000003249,4743
ENSG00000003393,2171
ENSG00000003400,492
ENSG00000003402,6289
ENSG00000003436,529
ENSG00000003509,913
ENSG00000003756,5056
ENSG00000003987,93
ENSG00000003989,3822
ENSG00000004059,11668
ENSG00000004139,959
ENSG00000004142,12527
ENSG00000004399,17002
ENSG00000004455,14285
ENSG00000004468,126
ENSG00000004478,54280
ENSG00000004487,8599
ENSG00000004534,4733
ENSG00000004660,771
ENSG00000004700,2003
ENSG00000004766,2048
ENSG00000004776,161
ENSG00000004777,860
ENSG00000004779,6429
ENSG00000004799,1303
ENSG00000004809,3
ENSG00000004838,3540
ENSG00000004846,20
ENSG00000004848,0
ENSG00000004864,2526
ENSG00000004866,2910
ENSG00000004897,5335
ENSG00000004939,2
ENSG00000004948,14
ENSG00000004961,3099
ENSG00000004975,2009
ENSG00000005001,1219
ENSG00000005007,10817
ENSG00000005020,2737
ENSG00000005022,26595
ENSG00000005059,2422
ENSG00000005073,46
ENSG00000005075,2253
ENSG00000005100,1440
ENSG00000005102,32
ENSG00000005108,148
ENSG00000005156,3823
ENSG00000005175,3164
ENSG00000005187,80
ENSG00000005189,669
ENSG00000005194,5202
ENSG00000005206,4028
ENSG00000005238,1349
ENSG00000005243,1333
ENSG00000005249,2045
ENSG00000005302,2029
ENSG00000005339,5798
ENSG00000005379,1195
ENSG00000005381,6
ENSG00000005421,12
ENSG00000005436,393
ENSG00000005448,1777
ENSG00000005469,792
ENSG00000005471,161
ENSG00000005483,4030
ENSG00000005486,7298
ENSG00000005513,15
ENSG00000005700,3661
ENSG00000005801,993
ENSG00000005810,2681
ENSG00000005812,2132
ENSG00000005844,1810
ENSG00000005882,2633
ENSG00000005884,3464
ENSG00000005889,3409
ENSG00000005893,15671
ENSG00000005961,86
ENSG00000005981,1
ENSG00000006007,11307
ENSG00000006015,1937
ENSG00000006016,169
ENSG00000006025,797
ENSG00000006042,2622
ENSG00000006047,1149
ENSG00000006059,0
ENSG00000006062,1505
ENSG00000006071,232
ENSG00000006116,0
ENSG00000006118,7125
ENSG00000006125,51084
ENSG00000006128,1
ENSG00000006194,3711
ENSG00000006210,411
ENSG00000006282,4219
ENSG00000006283,61
ENSG00000006327,4357
ENSG00000006377,2
ENSG00000006432,734
ENSG00000006451,9244
ENSG00000006453,3302
ENSG00000006459,2162
ENSG00000006468,1048
ENSG00000006530,2677
ENSG00000006534,1524
ENSG00000006555,549
ENSG00000006576,2389
ENSG00000006606,44
ENSG00000006607,3235
ENSG00000006611,23
ENSG00000006625,10520
ENSG00000006634,1304
ENSG00000006638,181
ENSG00000006652,2718
ENSG00000006659,0
ENSG00000006695,1213
ENSG00000006704,4183
ENSG00000006712,5619
ENSG00000006715,4884
ENSG00000006740,521
ENSG00000006744,5270
ENSG00000006747,14157
ENSG00000006756,4581
ENSG00000006757,3023
ENSG00000006788,47
ENSG00000006831,9284
ENSG00000006837,92
ENSG00000007001,3
ENSG00000007038,351
ENSG00000007047,2588
ENSG00000007062,20096
ENSG00000007080,5378
ENSG00000007129,100
ENSG00000007168,8294
ENSG00000007171,84
ENSG00000007174,11
ENSG00000007202,15302
ENSG00000007216,107
ENSG00000007237,2603
ENSG00000007255,3276
ENSG00000007264,368
ENSG00000007306,19
ENSG00000007312,109
ENSG00000007314,22
ENSG00000007341,680
ENSG00000007350,0
ENSG00000007372,134
ENSG00000007376,2296
ENSG00000007384,3695
ENSG00000007392,2636
ENSG00000007402,503
ENSG00000007516,1790
ENSG00000007520,4157
ENSG00000007541,5869
ENSG00000007545,1950
ENSG00000007866,2561
ENSG00000007908,222
ENSG00000007923,2612
ENSG00000007933,103
ENSG00000007944,2387
ENSG00000007952,125
ENSG00000007968,1479
ENSG00000008018,10688
ENSG00000008056,61
ENSG00000008083,1902
ENSG00000008086,888
ENSG00000008118,29
ENSG00000008128,152
ENSG00000008130,5438
ENSG00000008196,7924
ENSG00000008197,0
ENSG00000008226,58
ENSG00000008256,2766
ENSG00000008277,356
ENSG00000008282,11942
ENSG00000008283,13335
ENSG00000008294,4921
ENSG00000008300,3166
ENSG00000008311,109
ENSG00000008323,381
ENSG00000008324,1422
ENSG00000008382,1745
ENSG00000008394,17911
ENSG00000008405,1686
ENSG00000008438,0
ENSG00000008441,6700
ENSG00000008513,9497
ENSG00000008516,63
ENSG00000008517,3206
ENSG00000008710,3676
ENSG00000008735,8240
ENSG00000008838,7493
ENSG00000008853,1281
ENSG00000008869,2237
ENSG00000008952,9401
