Gene stable ID,7cae25ca-8566-449f-a361-534f0f4060eb
ENSG00000000003,5342
ENSG00000000005,19
ENSG00000000419,1772
ENSG00000000457,2663
ENSG00000000460,1092
ENSG00000000938,491
ENSG00000000971,4924
ENSG00000001036,3186
ENSG00000001084,2400
ENSG00000001167,3332
ENSG00000001460,808
ENSG00000001461,3372
ENSG00000001497,2574
ENSG00000001561,2598
ENSG00000001617,4617
ENSG00000001626,69
ENSG00000001629,6437
ENSG00000001630,302
ENSG00000001631,2587
ENSG00000002016,640
ENSG00000002079,7
ENSG00000002330,1398
ENSG00000002549,7542
ENSG00000002586,10514
ENSG00000002587,433
ENSG00000002726,27
ENSG00000002745,7
ENSG00000002746,45
ENSG00000002822,1216
ENSG00000002834,13976
ENSG00000002919,1820
ENSG00000002933,2158
ENSG00000003056,5453
ENSG00000003096,2142
ENSG00000003137,132
ENSG00000003147,2400
ENSG00000003249,1158
ENSG00000003393,2723
ENSG00000003400,702
ENSG00000003402,6884
ENSG00000003436,2689
ENSG00000003509,734
ENSG00000003756,5654
ENSG00000003987,169
ENSG00000003989,33204
ENSG00000004059,7286
ENSG00000004139,487
ENSG00000004142,4370
ENSG00000004399,11113
ENSG00000004455,6438
ENSG00000004468,143
ENSG00000004478,13622
ENSG00000004487,8206
ENSG00000004534,3363
ENSG00000004660,649
ENSG00000004700,2361
ENSG00000004766,2675
ENSG00000004776,701
ENSG00000004777,585
ENSG00000004779,2492
ENSG00000004799,8639
ENSG00000004809,9
ENSG00000004838,1055
ENSG00000004846,174
ENSG00000004848,8
ENSG00000004864,1460
ENSG00000004866,1759
ENSG00000004897,5064
ENSG00000004939,2
ENSG00000004948,7
ENSG00000004961,1145
ENSG00000004975,1945
ENSG00000005001,431
ENSG00000005007,9044
ENSG00000005020,2307
ENSG00000005022,16338
ENSG00000005059,2214
ENSG00000005073,24
ENSG00000005075,1571
ENSG00000005100,2016
ENSG00000005102,650
ENSG00000005108,869
ENSG00000005156,2477
ENSG00000005175,2423
ENSG00000005187,543
ENSG00000005189,378
ENSG00000005194,2082
ENSG00000005206,1822
ENSG00000005238,1131
ENSG00000005243,975
ENSG00000005249,6167
ENSG00000005302,2124
ENSG00000005339,12756
ENSG00000005379,2863
ENSG00000005381,20
ENSG00000005421,2
ENSG00000005436,1760
ENSG00000005448,912
ENSG00000005469,2341
ENSG00000005471,103
ENSG00000005483,11296
ENSG00000005486,4668
ENSG00000005513,69
ENSG00000005700,5371
ENSG00000005801,1952
ENSG00000005810,6002
ENSG00000005812,5006
ENSG00000005844,1525
ENSG00000005882,1873
ENSG00000005884,7862
ENSG00000005889,4809
ENSG00000005893,14030
ENSG00000005961,23
ENSG00000005981,18
ENSG00000006007,7702
ENSG00000006015,607
ENSG00000006016,235
ENSG00000006025,874
ENSG00000006042,5088
ENSG00000006047,95
ENSG00000006059,2
ENSG00000006062,1469
ENSG00000006071,381
ENSG00000006116,1
ENSG00000006118,1577
ENSG00000006125,27020
ENSG00000006128,55
ENSG00000006194,2729
ENSG00000006210,14473
ENSG00000006282,890
ENSG00000006283,221
ENSG00000006327,1369
ENSG00000006377,2
ENSG00000006432,602
ENSG00000006451,6148
ENSG00000006453,2542
ENSG00000006459,2882
ENSG00000006468,2763
ENSG00000006530,1811
ENSG00000006534,570
ENSG00000006555,960
ENSG00000006576,2055
ENSG00000006606,28
ENSG00000006607,2908
ENSG00000006611,37
ENSG00000006625,4762
ENSG00000006634,774
ENSG00000006638,167
ENSG00000006652,1740
ENSG00000006659,4
ENSG00000006695,902
ENSG00000006704,2986
ENSG00000006712,3772
ENSG00000006715,4376
ENSG00000006740,719
ENSG00000006744,3385
ENSG00000006747,661
ENSG00000006756,9189
ENSG00000006757,1843
ENSG00000006788,49
ENSG00000006831,6841
ENSG00000006837,77
ENSG00000007001,19
ENSG00000007038,45
ENSG00000007047,2413
ENSG00000007062,8962
ENSG00000007080,1308
ENSG00000007129,58
ENSG00000007168,8441
ENSG00000007171,54
ENSG00000007174,39
ENSG00000007202,9492
ENSG00000007216,462
ENSG00000007237,6642
ENSG00000007255,1159
ENSG00000007264,111
ENSG00000007306,46
ENSG00000007312,219
ENSG00000007314,170
ENSG00000007341,1175
ENSG00000007350,5
ENSG00000007372,187
ENSG00000007376,889
ENSG00000007384,2018
ENSG00000007392,1996
ENSG00000007402,483
ENSG00000007516,428
ENSG00000007520,1218
ENSG00000007541,3318
ENSG00000007545,1614
ENSG00000007866,2416
ENSG00000007908,419
ENSG00000007923,2233
ENSG00000007933,228
ENSG00000007944,5063
ENSG00000007952,55
ENSG00000007968,425
ENSG00000008018,7849
ENSG00000008056,64
ENSG00000008083,3272
ENSG00000008086,1658
ENSG00000008118,16
ENSG00000008128,245
ENSG00000008130,3157
ENSG00000008196,7551
ENSG00000008197,0
ENSG00000008226,91
ENSG00000008256,4702
ENSG00000008277,1666
ENSG00000008282,8885
ENSG00000008283,4358
ENSG00000008294,6805
ENSG00000008300,342
ENSG00000008311,1048
ENSG00000008323,578
ENSG00000008324,636
ENSG00000008382,857
ENSG00000008394,5919
ENSG00000008405,2132
ENSG00000008438,2
ENSG00000008441,10740
ENSG00000008513,4796
ENSG00000008516,70
ENSG00000008517,1187
ENSG00000008710,5193
ENSG00000008735,1034
ENSG00000008838,4861
ENSG00000008853,1800
ENSG00000008869,4915
ENSG00000008952,9943
ENSG00000008988,50773
ENSG00000009307,53207
ENSG00000009335,8084
ENSG00000009413,3414
ENSG00000009694,62
ENSG00000009709,3
ENSG00000009724,98
ENSG00000009765,29
ENSG00000009780,1125
ENSG00000009790,390
ENSG00000009830,2206
ENSG00000009844,3487
ENSG00000009950,30
ENSG00000009954,10173
ENSG00000010017,3802
ENSG00000010030,254
ENSG00000010072,1110
ENSG00000010165,3117
ENSG00000010219,655
ENSG00000010244,8729
ENSG00000010256,4650
ENSG00000010270,1739
ENSG00000010278,23076
ENSG00000010282,2
ENSG00000010292,7227
ENSG00000010295,547
ENSG00000010310,167
ENSG00000010318,307
ENSG00000010319,1915
ENSG00000010322,7600
ENSG00000010327,3370
ENSG00000010361,1852
ENSG00000010379,1
ENSG00000010404,11096
ENSG00000010438,51
ENSG00000010539,723
ENSG00000010610,3474
ENSG00000010626,505
ENSG00000010671,461
ENSG00000010704,1105
ENSG00000010803,3396
ENSG00000010810,2650
ENSG00000010818,2485
ENSG00000010932,549
ENSG00000011007,5006
ENSG00000011009,4307
ENSG00000011021,1781
ENSG00000011028,9709
ENSG00000011052,10
ENSG00000011083,27
ENSG00000011105,8184
ENSG00000011114,4738
ENSG00000011132,777
ENSG00000011143,2614
ENSG00000011198,1245
ENSG00000011201,2303
ENSG00000011243,1869
ENSG00000011258,2607
ENSG00000011260,2629
ENSG00000011275,4226
ENSG00000011295,1867
ENSG00000011304,19461
ENSG00000011332,36
ENSG00000011347,7497
ENSG00000011376,1517
ENSG00000011405,7136
ENSG00000011422,843
ENSG00000011426,2011
ENSG00000011451,5280
ENSG00000011454,6087
ENSG00000011465,52519
ENSG00000011478,832
ENSG00000011485,3337
ENSG00000011523,5198
ENSG00000011566,3503
ENSG00000011590,41
ENSG00000011600,1759
ENSG00000011638,2945
ENSG00000011677,0
ENSG00000012048,1012
ENSG00000012061,3777
ENSG00000012124,705
ENSG00000012171,908
ENSG00000012174,2274
ENSG00000012211,510
ENSG00000012223,20858
ENSG00000012232,2733
ENSG00000012504,1
ENSG00000012660,50207
ENSG00000012779,1197
ENSG00000012817,3
ENSG00000012822,6082
ENSG00000012963,4731
ENSG00000012983,4410
ENSG00000013016,1575
ENSG00000013275,3500
ENSG00000013288,4550
ENSG00000013293,8
ENSG00000013297,2286
ENSG00000013306,4192
ENSG00000013364,7568
ENSG00000013374,5289
ENSG00000013375,2305
ENSG00000013392,394
ENSG00000013441,5807
ENSG00000013503,1233
ENSG00000013523,1938
ENSG00000013561,4192
ENSG00000013563,1159
ENSG00000013573,694
ENSG00000013583,4008
ENSG00000013588,23588
ENSG00000013619,288
ENSG00000013725,472
ENSG00000013810,1888
ENSG00000014123,3678
ENSG00000014138,1509
ENSG00000014164,1605
ENSG00000014216,11911
ENSG00000014257,117
ENSG00000014641,6478
ENSG00000014824,5763
ENSG00000014914,1901
ENSG00000014919,3302
ENSG00000015133,5361
ENSG00000015153,889
ENSG00000015171,10006
ENSG00000015285,546
ENSG00000015413,116
ENSG00000015475,1323
ENSG00000015479,553
ENSG00000015520,47
ENSG00000015532,2240
ENSG00000015568,1
ENSG00000015592,16
ENSG00000015676,7711
ENSG00000016082,3
ENSG00000016391,3274
ENSG00000016402,2197
ENSG00000016490,0
ENSG00000016602,113
ENSG00000016864,3463
ENSG00000017260,9289
ENSG00000017427,317
ENSG00000017483,486
ENSG00000017797,6390
ENSG00000018189,2491
ENSG00000018236,1787
ENSG00000018280,139
ENSG00000018408,8302
ENSG00000018510,2885
ENSG00000018607,2
ENSG00000018610,1756
ENSG00000018625,218
ENSG00000018699,1796
ENSG00000018869,335
ENSG00000019102,340
ENSG00000019144,7502
ENSG00000019169,51
ENSG00000019186,20
ENSG00000019485,1059
ENSG00000019505,1617
ENSG00000019549,5147
ENSG00000019582,98881
ENSG00000019991,850
ENSG00000019995,2086
ENSG00000020129,2971
ENSG00000020181,4678
ENSG00000020219,2
ENSG00000020256,1549
ENSG00000020426,1266
ENSG00000020577,1066
ENSG00000020633,1176
ENSG00000020922,2253
ENSG00000021300,962
ENSG00000021355,7074
ENSG00000021461,1
ENSG00000021488,11
ENSG00000021574,2316
ENSG00000021645,375
ENSG00000021762,1739
ENSG00000021776,6338
ENSG00000021826,504
ENSG00000021852,3
ENSG00000022267,2406
ENSG00000022277,6321
ENSG00000022355,0
ENSG00000022556,2229
ENSG00000022567,1323
ENSG00000022840,11268
ENSG00000022976,652
ENSG00000023041,3289
ENSG00000023171,282
ENSG00000023191,7508
ENSG00000023228,7089
ENSG00000023287,6208
ENSG00000023318,3524
ENSG00000023330,1976
ENSG00000023445,2939
ENSG00000023516,5857
ENSG00000023572,440
ENSG00000023608,550
ENSG00000023697,1639
ENSG00000023734,8104
ENSG00000023839,83
ENSG00000023892,1111
ENSG00000023902,2379
ENSG00000023909,1829
ENSG00000024048,5834
ENSG00000024422,8134
ENSG00000024526,753
ENSG00000024862,1452
ENSG00000025039,905
ENSG00000025156,1118
ENSG00000025293,6897
ENSG00000025423,256
ENSG00000025434,1400
ENSG00000025708,3093
ENSG00000025770,2298
ENSG00000025772,2498
ENSG00000025796,9522
ENSG00000025800,7518
ENSG00000026025,59271
ENSG00000026036,84
ENSG00000026103,1443
ENSG00000026297,2002
ENSG00000026508,45459
ENSG00000026559,80
ENSG00000026652,668
ENSG00000026751,1062
ENSG00000026950,3498
ENSG00000027001,1299
ENSG00000027075,2760
ENSG00000027644,12
ENSG00000027697,6910
ENSG00000027847,1414
ENSG00000027869,151
ENSG00000028116,1326
ENSG00000028137,2509
ENSG00000028203,5979
ENSG00000028277,396
ENSG00000028310,2228
ENSG00000028528,9864
ENSG00000028839,847
ENSG00000029153,515
ENSG00000029363,12448
ENSG00000029364,11360
ENSG00000029534,57
ENSG00000029559,15
ENSG00000029639,741
ENSG00000029725,8815
ENSG00000029993,1704
ENSG00000030066,5411
ENSG00000030110,1215
ENSG00000030304,8
ENSG00000030419,2117
ENSG00000030582,13732
ENSG00000031003,4986
ENSG00000031081,3563
ENSG00000031691,434
ENSG00000031698,9709
ENSG00000031823,3352
ENSG00000032219,2517
ENSG00000032389,1417
ENSG00000032444,3207
ENSG00000032742,1076
ENSG00000033011,1388
ENSG00000033030,2101
ENSG00000033050,4040
ENSG00000033100,3661
ENSG00000033122,34
ENSG00000033170,4913
ENSG00000033178,3430
ENSG00000033327,3477
ENSG00000033627,3803
ENSG00000033800,3702
ENSG00000033867,7926
ENSG00000034053,189
ENSG00000034152,1564
ENSG00000034239,324
ENSG00000034510,48603
ENSG00000034533,801
ENSG00000034677,6050
ENSG00000034693,1209
ENSG00000034713,3832
ENSG00000034971,2
ENSG00000035115,6459
ENSG00000035141,2219
ENSG00000035403,15669
ENSG00000035499,319
ENSG00000035664,852
ENSG00000035681,2178
ENSG00000035687,7557
ENSG00000035720,45
ENSG00000035862,39571
ENSG00000035928,6488
ENSG00000036054,3211
ENSG00000036257,6607
ENSG00000036448,105
ENSG00000036473,5
ENSG00000036530,56
ENSG00000036549,5976
ENSG00000036565,4
ENSG00000036672,353
ENSG00000036828,1
