Gene stable ID,7ed0402e-b4e8-4b0c-aed0-5ffe04510dc0
ENSG00000000003,4689
ENSG00000000005,783
ENSG00000000419,1808
ENSG00000000457,1783
ENSG00000000460,413
ENSG00000000938,488
ENSG00000000971,4219
ENSG00000001036,2463
ENSG00000001084,4100
ENSG00000001167,2755
ENSG00000001460,728
ENSG00000001461,6052
ENSG00000001497,2115
ENSG00000001561,3210
ENSG00000001617,2685
ENSG00000001626,95
ENSG00000001629,5374
ENSG00000001630,173
ENSG00000001631,3138
ENSG00000002016,771
ENSG00000002079,12
ENSG00000002330,805
ENSG00000002549,5750
ENSG00000002586,7971
ENSG00000002587,396
ENSG00000002726,13
ENSG00000002745,6
ENSG00000002746,26
ENSG00000002822,605
ENSG00000002834,12103
ENSG00000002919,1645
ENSG00000002933,1235
ENSG00000003056,4727
ENSG00000003096,4321
ENSG00000003137,1277
ENSG00000003147,2178
ENSG00000003249,345
ENSG00000003393,2211
ENSG00000003400,1289
ENSG00000003402,16663
ENSG00000003436,3575
ENSG00000003509,779
ENSG00000003756,8875
ENSG00000003987,155
ENSG00000003989,3837
ENSG00000004059,3984
ENSG00000004139,531
ENSG00000004142,4960
ENSG00000004399,9182
ENSG00000004455,6387
ENSG00000004468,272
ENSG00000004478,7150
ENSG00000004487,5054
ENSG00000004534,6915
ENSG00000004660,461
ENSG00000004700,2197
ENSG00000004766,2511
ENSG00000004776,16374
ENSG00000004777,430
ENSG00000004779,1940
ENSG00000004799,27137
ENSG00000004809,4
ENSG00000004838,75
ENSG00000004846,128
ENSG00000004848,15
ENSG00000004864,1491
ENSG00000004866,1911
ENSG00000004897,5356
ENSG00000004939,8
ENSG00000004948,214
ENSG00000004961,1222
ENSG00000004975,1598
ENSG00000005001,243
ENSG00000005007,5090
ENSG00000005020,5681
ENSG00000005022,9647
ENSG00000005059,718
ENSG00000005073,26
ENSG00000005075,924
ENSG00000005100,1906
ENSG00000005102,1833
ENSG00000005108,1071
ENSG00000005156,1575
ENSG00000005175,2072
ENSG00000005187,1003
ENSG00000005189,414
ENSG00000005194,1897
ENSG00000005206,1385
ENSG00000005238,1309
ENSG00000005243,2060
ENSG00000005249,33283
ENSG00000005302,2363
ENSG00000005339,11630
ENSG00000005379,1280
ENSG00000005381,8
ENSG00000005421,9
ENSG00000005436,1951
ENSG00000005448,352
ENSG00000005469,1716
ENSG00000005471,79
ENSG00000005483,10889
ENSG00000005486,2842
ENSG00000005513,292
ENSG00000005700,5779
ENSG00000005801,1976
ENSG00000005810,15697
ENSG00000005812,7943
ENSG00000005844,790
ENSG00000005882,2780
ENSG00000005884,7573
ENSG00000005889,5743
ENSG00000005893,16989
ENSG00000005961,43
ENSG00000005981,44
ENSG00000006007,5217
ENSG00000006015,379
ENSG00000006016,73
ENSG00000006025,594
ENSG00000006042,3330
ENSG00000006047,449
ENSG00000006059,4
ENSG00000006062,1111
ENSG00000006071,308
ENSG00000006116,0
ENSG00000006118,564
ENSG00000006125,18674
ENSG00000006128,17
ENSG00000006194,2038
ENSG00000006210,25027
ENSG00000006282,2183
ENSG00000006283,23
ENSG00000006327,340
ENSG00000006377,11
ENSG00000006432,1209
ENSG00000006451,4868
ENSG00000006453,1635
ENSG00000006459,3964
ENSG00000006468,3304
ENSG00000006530,2114
ENSG00000006534,618
ENSG00000006555,804
ENSG00000006576,1818
ENSG00000006606,9
ENSG00000006607,2311
ENSG00000006611,28
ENSG00000006625,1449
ENSG00000006634,473
ENSG00000006638,86
ENSG00000006652,4020
ENSG00000006659,5
ENSG00000006695,1054
ENSG00000006704,1009
ENSG00000006712,2456
ENSG00000006715,5145
ENSG00000006740,803
ENSG00000006744,3974
ENSG00000006747,591
ENSG00000006756,5819
ENSG00000006757,1965
ENSG00000006788,21
ENSG00000006831,10358
ENSG00000006837,64
ENSG00000007001,31
ENSG00000007038,72
ENSG00000007047,1420
ENSG00000007062,10375
ENSG00000007080,679
ENSG00000007129,61
ENSG00000007168,14420
ENSG00000007171,87
ENSG00000007174,106
ENSG00000007202,13283
ENSG00000007216,2061
ENSG00000007237,2536
ENSG00000007255,483
ENSG00000007264,82
ENSG00000007306,6
ENSG00000007312,261
ENSG00000007314,1113
ENSG00000007341,842
ENSG00000007350,23
ENSG00000007372,278
ENSG00000007376,444
ENSG00000007384,1702
ENSG00000007392,2218
ENSG00000007402,434
ENSG00000007516,460
ENSG00000007520,777
ENSG00000007541,1380
ENSG00000007545,1682
ENSG00000007866,1960
ENSG00000007908,168
ENSG00000007923,1670
ENSG00000007933,213
ENSG00000007944,4284
ENSG00000007952,57
ENSG00000007968,174
ENSG00000008018,6706
ENSG00000008056,30
ENSG00000008083,1818
ENSG00000008086,2140
ENSG00000008118,8
ENSG00000008128,225
ENSG00000008130,3555
ENSG00000008196,2965
ENSG00000008197,1
ENSG00000008226,181
ENSG00000008256,3503
ENSG00000008277,1086
ENSG00000008282,11894
ENSG00000008283,3749
ENSG00000008294,9229
ENSG00000008300,164
ENSG00000008311,1767
ENSG00000008323,1513
ENSG00000008324,665
ENSG00000008382,474
ENSG00000008394,31236
ENSG00000008405,1467
ENSG00000008438,3
ENSG00000008441,19408
ENSG00000008513,4542
ENSG00000008516,73
ENSG00000008517,828
ENSG00000008710,4200
ENSG00000008735,214
ENSG00000008838,3658
ENSG00000008853,1081
ENSG00000008869,4994
ENSG00000008952,15268
ENSG00000008988,58046
ENSG00000009307,78949
ENSG00000009335,7059
ENSG00000009413,5358
ENSG00000009694,214
ENSG00000009709,0
ENSG00000009724,307
ENSG00000009765,8
ENSG00000009780,1593
ENSG00000009790,275
ENSG00000009830,1613
ENSG00000009844,3093
ENSG00000009950,2759
ENSG00000009954,8056
ENSG00000010017,3733
ENSG00000010030,61
ENSG00000010072,905
ENSG00000010165,1966
ENSG00000010219,798
ENSG00000010244,8925
ENSG00000010256,5146
ENSG00000010270,1852
ENSG00000010278,13337
ENSG00000010282,21
ENSG00000010292,4016
ENSG00000010295,660
ENSG00000010310,131
ENSG00000010318,486
ENSG00000010319,6615
ENSG00000010322,8697
ENSG00000010327,3046
ENSG00000010361,759
ENSG00000010379,4
ENSG00000010404,10838
ENSG00000010438,15
ENSG00000010539,667
ENSG00000010610,1738
ENSG00000010626,287
ENSG00000010671,268
ENSG00000010704,1720
ENSG00000010803,3828
ENSG00000010810,2637
ENSG00000010818,3753
ENSG00000010932,770
ENSG00000011007,4122
ENSG00000011009,1649
ENSG00000011021,2464
ENSG00000011028,2735
ENSG00000011052,10
ENSG00000011083,5
ENSG00000011105,3472
ENSG00000011114,5197
ENSG00000011132,369
ENSG00000011143,938
ENSG00000011198,2731
ENSG00000011201,1655
ENSG00000011243,1557
ENSG00000011258,3311
ENSG00000011260,1556
ENSG00000011275,3277
ENSG00000011295,3983
ENSG00000011304,9910
ENSG00000011332,10
ENSG00000011347,2460
ENSG00000011376,1341
ENSG00000011405,8445
ENSG00000011422,326
ENSG00000011426,329
ENSG00000011451,2779
ENSG00000011454,7456
ENSG00000011465,74105
ENSG00000011478,497
ENSG00000011485,2128
ENSG00000011523,6290
ENSG00000011566,4112
ENSG00000011590,15
ENSG00000011600,736
ENSG00000011638,4398
ENSG00000011677,4
ENSG00000012048,740
ENSG00000012061,2695
ENSG00000012124,55
ENSG00000012171,845
ENSG00000012174,2312
ENSG00000012211,420
ENSG00000012223,80505
ENSG00000012232,3181
ENSG00000012504,0
ENSG00000012660,21845
ENSG00000012779,988
ENSG00000012817,0
ENSG00000012822,9353
ENSG00000012963,2990
ENSG00000012983,5145
ENSG00000013016,2310
ENSG00000013275,2307
ENSG00000013288,4077
ENSG00000013293,65
ENSG00000013297,4089
ENSG00000013306,2835
ENSG00000013364,3966
ENSG00000013374,5822
ENSG00000013375,2710
ENSG00000013392,553
ENSG00000013441,12135
ENSG00000013503,1022
ENSG00000013523,2444
ENSG00000013561,5189
ENSG00000013563,894
ENSG00000013573,311
ENSG00000013583,3061
ENSG00000013588,1542
ENSG00000013619,861
ENSG00000013725,177
ENSG00000013810,399
ENSG00000014123,5108
ENSG00000014138,698
ENSG00000014164,815
ENSG00000014216,7478
ENSG00000014257,82
ENSG00000014641,18192
ENSG00000014824,5444
ENSG00000014914,924
ENSG00000014919,3984
ENSG00000015133,1512
ENSG00000015153,996
ENSG00000015171,10444
ENSG00000015285,261
ENSG00000015413,10
ENSG00000015475,1130
ENSG00000015479,772
ENSG00000015520,65
ENSG00000015532,1585
ENSG00000015568,0
ENSG00000015592,12
ENSG00000015676,6584
ENSG00000016082,43
ENSG00000016391,3005
ENSG00000016402,2012
ENSG00000016490,3
ENSG00000016602,466
ENSG00000016864,3221
ENSG00000017260,10059
ENSG00000017427,539
ENSG00000017483,110
ENSG00000017797,6229
ENSG00000018189,3077
ENSG00000018236,2162
ENSG00000018280,72
ENSG00000018408,9104
ENSG00000018510,4492
ENSG00000018607,1
ENSG00000018610,1939
ENSG00000018625,7512
ENSG00000018699,1670
ENSG00000018869,304
ENSG00000019102,406
ENSG00000019144,12002
ENSG00000019169,181
ENSG00000019186,42
ENSG00000019485,1456
ENSG00000019505,272
ENSG00000019549,2970
ENSG00000019582,56578
ENSG00000019991,707
ENSG00000019995,2297
ENSG00000020129,1042
ENSG00000020181,3318
ENSG00000020219,1
ENSG00000020256,1127
ENSG00000020426,1178
ENSG00000020577,2914
ENSG00000020633,1603
ENSG00000020922,3973
ENSG00000021300,2655
ENSG00000021355,3694
ENSG00000021461,29
ENSG00000021488,26
ENSG00000021574,2108
ENSG00000021645,170
ENSG00000021762,1419
ENSG00000021776,5129
ENSG00000021826,1025
ENSG00000021852,2
ENSG00000022267,79076
ENSG00000022277,5236
ENSG00000022355,1
ENSG00000022556,938
ENSG00000022567,1245
ENSG00000022840,9421
ENSG00000022976,618
ENSG00000023041,2556
ENSG00000023171,182
ENSG00000023191,4863
ENSG00000023228,9031
ENSG00000023287,7696
