Gene stable ID,1657dee0-dd38-4e2c-92e7-5caac19b9b97
ENSG00000000003,3414
ENSG00000000005,13
ENSG00000000419,2134
ENSG00000000457,2870
ENSG00000000460,1214
ENSG00000000938,253
ENSG00000000971,2432
ENSG00000001036,6504
ENSG00000001084,2021
ENSG00000001167,2983
ENSG00000001460,828
ENSG00000001461,2125
ENSG00000001497,5271
ENSG00000001561,716
ENSG00000001617,14030
ENSG00000001626,21
ENSG00000001629,3370
ENSG00000001630,330
ENSG00000001631,2471
ENSG00000002016,700
ENSG00000002079,25
ENSG00000002330,3563
ENSG00000002549,6751
ENSG00000002586,9555
ENSG00000002587,240
ENSG00000002726,12
ENSG00000002745,5
ENSG00000002746,10
ENSG00000002822,2534
ENSG00000002834,11380
ENSG00000002919,2117
ENSG00000002933,1925
ENSG00000003056,5061
ENSG00000003096,379
ENSG00000003137,143
ENSG00000003147,4803
ENSG00000003249,3107
ENSG00000003393,1164
ENSG00000003400,275
ENSG00000003402,2702
ENSG00000003436,610
ENSG00000003509,1257
ENSG00000003756,6931
ENSG00000003987,69
ENSG00000003989,33659
ENSG00000004059,14989
ENSG00000004139,271
ENSG00000004142,13413
ENSG00000004399,8773
ENSG00000004455,8901
ENSG00000004468,58
ENSG00000004478,56784
ENSG00000004487,7377
ENSG00000004534,5864
ENSG00000004660,2948
ENSG00000004700,1253
ENSG00000004766,2310
ENSG00000004776,749
ENSG00000004777,2112
ENSG00000004779,7192
ENSG00000004799,970
ENSG00000004809,2
ENSG00000004838,1526
ENSG00000004846,14
ENSG00000004848,6
ENSG00000004864,2235
ENSG00000004866,1591
ENSG00000004897,3934
ENSG00000004939,11
ENSG00000004948,5
ENSG00000004961,1775
ENSG00000004975,3452
ENSG00000005001,2190
ENSG00000005007,13392
ENSG00000005020,1091
ENSG00000005022,21524
ENSG00000005059,1548
ENSG00000005073,23
ENSG00000005075,3385
ENSG00000005100,2560
ENSG00000005102,291
ENSG00000005108,152
ENSG00000005156,4838
ENSG00000005175,2778
ENSG00000005187,368
ENSG00000005189,1396
ENSG00000005194,2473
ENSG00000005206,6638
