Gene stable ID,6260e131-1380-4f8b-b82d-8fc86e5725c9
ENSG00000000003,2709
ENSG00000000005,11
ENSG00000000419,1739
ENSG00000000457,3469
ENSG00000000460,2086
ENSG00000000938,722
ENSG00000000971,2502
ENSG00000001036,2124
ENSG00000001084,1517
ENSG00000001167,3653
ENSG00000001460,808
ENSG00000001461,2479
ENSG00000001497,3475
ENSG00000001561,1013
ENSG00000001617,11359
ENSG00000001626,14
ENSG00000001629,5017
ENSG00000001630,256
ENSG00000001631,2746
ENSG00000002016,923
ENSG00000002079,19
ENSG00000002330,1643
ENSG00000002549,6506
ENSG00000002586,13667
ENSG00000002587,266
ENSG00000002726,22
ENSG00000002745,1
ENSG00000002746,8
ENSG00000002822,1502
ENSG00000002834,19326
ENSG00000002919,1397
ENSG00000002933,980
ENSG00000003056,6462
ENSG00000003096,230
ENSG00000003137,212
ENSG00000003147,5301
ENSG00000003249,2102
ENSG00000003393,2718
ENSG00000003400,500
ENSG00000003402,8036
ENSG00000003436,901
ENSG00000003509,711
ENSG00000003756,10269
ENSG00000003987,58
ENSG00000003989,3951
ENSG00000004059,8100
ENSG00000004139,1094
ENSG00000004142,5564
ENSG00000004399,11876
ENSG00000004455,8045
ENSG00000004468,154
ENSG00000004478,11905
ENSG00000004487,6628
ENSG00000004534,6542
ENSG00000004660,621
ENSG00000004700,3070
ENSG00000004766,2545
ENSG00000004776,363
ENSG00000004777,2572
ENSG00000004779,2401
ENSG00000004799,8764
ENSG00000004809,1
ENSG00000004838,4821
ENSG00000004846,16
ENSG00000004848,27
ENSG00000004864,1532
ENSG00000004866,1716
ENSG00000004897,3873
ENSG00000004939,2
ENSG00000004948,9
ENSG00000004961,1209
ENSG00000004975,1791
ENSG00000005001,1153
ENSG00000005007,10171
ENSG00000005020,1180
ENSG00000005022,16770
ENSG00000005059,1581
ENSG00000005073,24
ENSG00000005075,1761
ENSG00000005100,1653
ENSG00000005102,284
ENSG00000005108,292
ENSG00000005156,2998
ENSG00000005175,2980
ENSG00000005187,229
ENSG00000005189,729
ENSG00000005194,1922
ENSG00000005206,3567
ENSG00000005238,1242
ENSG00000005243,907
ENSG00000005249,4669
ENSG00000005302,2039
ENSG00000005339,14203
ENSG00000005379,2600
ENSG00000005381,10
ENSG00000005421,15
ENSG00000005436,1636
ENSG00000005448,2057
ENSG00000005469,2920
ENSG00000005471,86
ENSG00000005483,8941
ENSG00000005486,5682
ENSG00000005513,15
ENSG00000005700,3385
ENSG00000005801,1444
ENSG00000005810,6636
ENSG00000005812,6220
ENSG00000005844,1525
ENSG00000005882,1323
ENSG00000005884,5371
ENSG00000005889,3992
ENSG00000005893,12821
ENSG00000005961,126
ENSG00000005981,24
ENSG00000006007,7776
ENSG00000006015,471
ENSG00000006016,289
ENSG00000006025,1154
ENSG00000006042,3061
ENSG00000006047,1340
ENSG00000006059,0
ENSG00000006062,2510
ENSG00000006071,1560
ENSG00000006116,0
ENSG00000006118,5924
ENSG00000006125,21330
ENSG00000006128,37
ENSG00000006194,4139
ENSG00000006210,1638
ENSG00000006282,5245
ENSG00000006283,89
ENSG00000006327,1724
ENSG00000006377,0
ENSG00000006432,825
ENSG00000006451,4976
ENSG00000006453,2490
ENSG00000006459,6864
ENSG00000006468,1012
ENSG00000006530,1978
ENSG00000006534,697
ENSG00000006555,839
ENSG00000006576,2503
ENSG00000006606,24
ENSG00000006607,5441
ENSG00000006611,2
ENSG00000006625,3732
ENSG00000006634,1219
ENSG00000006638,71
ENSG00000006652,1504
ENSG00000006659,7
ENSG00000006695,949
ENSG00000006704,3267
ENSG00000006712,4499
ENSG00000006715,4051
ENSG00000006740,231
ENSG00000006744,2839
ENSG00000006747,1241
ENSG00000006756,7790
ENSG00000006757,1722
ENSG00000006788,42
ENSG00000006831,14077
ENSG00000006837,76
ENSG00000007001,23
ENSG00000007038,156
ENSG00000007047,2685
ENSG00000007062,5302
ENSG00000007080,1893
ENSG00000007129,69
ENSG00000007168,8009
ENSG00000007171,39
ENSG00000007174,22
ENSG00000007202,13940
ENSG00000007216,950
ENSG00000007237,6190
ENSG00000007255,1337
ENSG00000007264,315
ENSG00000007306,10
ENSG00000007312,135
ENSG00000007314,107
ENSG00000007341,606
ENSG00000007350,1
ENSG00000007372,110
ENSG00000007376,1466
ENSG00000007384,4809
ENSG00000007392,3239
ENSG00000007402,1714
ENSG00000007516,776
ENSG00000007520,2333
ENSG00000007541,5644
ENSG00000007545,2217
ENSG00000007866,3390
ENSG00000007908,248
ENSG00000007923,2184
ENSG00000007933,66
ENSG00000007944,3251
ENSG00000007952,55
ENSG00000007968,883
ENSG00000008018,4954
ENSG00000008056,88
ENSG00000008083,4188
ENSG00000008086,1518
ENSG00000008118,14
ENSG00000008128,362
ENSG00000008130,3107
ENSG00000008196,12952
ENSG00000008197,0
ENSG00000008226,83
ENSG00000008256,2719
ENSG00000008277,662
ENSG00000008282,8616
ENSG00000008283,5894
ENSG00000008294,5550
ENSG00000008300,2899
ENSG00000008311,716
ENSG00000008323,794
ENSG00000008324,896
ENSG00000008382,1652
ENSG00000008394,2956
ENSG00000008405,2265
ENSG00000008438,6
ENSG00000008441,10283
ENSG00000008513,8947
ENSG00000008516,113
ENSG00000008517,1662
ENSG00000008710,6183
ENSG00000008735,727
ENSG00000008838,4528
ENSG00000008853,2142
ENSG00000008869,3862
ENSG00000008952,9043
ENSG00000008988,31228
ENSG00000009307,37230
ENSG00000009335,7361
ENSG00000009413,2032
ENSG00000009694,64
ENSG00000009709,0
ENSG00000009724,102
ENSG00000009765,4
ENSG00000009780,1012
ENSG00000009790,554
ENSG00000009830,1994
ENSG00000009844,2249
ENSG00000009950,112
ENSG00000009954,11780
ENSG00000010017,4076
ENSG00000010030,635
ENSG00000010072,1480
ENSG00000010165,4491
ENSG00000010219,1226
ENSG00000010244,11586
ENSG00000010256,8673
ENSG00000010270,1502
ENSG00000010278,45179
ENSG00000010282,6
ENSG00000010292,10659
ENSG00000010295,787
ENSG00000010310,393
ENSG00000010318,306
ENSG00000010319,955
ENSG00000010322,8605
ENSG00000010327,3045
ENSG00000010361,1486
ENSG00000010379,2
ENSG00000010404,7806
ENSG00000010438,2
ENSG00000010539,1041
ENSG00000010610,4828
ENSG00000010626,2413
ENSG00000010671,668
ENSG00000010704,1618
ENSG00000010803,3215
ENSG00000010810,1498
ENSG00000010818,1903
ENSG00000010932,482
ENSG00000011007,3504
ENSG00000011009,3462
ENSG00000011021,1383
ENSG00000011028,12658
ENSG00000011052,34
ENSG00000011083,12
ENSG00000011105,10229
ENSG00000011114,3085
ENSG00000011132,933
ENSG00000011143,1485
ENSG00000011198,1263
ENSG00000011201,1130
ENSG00000011243,5347
ENSG00000011258,2357
ENSG00000011260,1815
ENSG00000011275,4340
ENSG00000011295,2759
ENSG00000011304,22224
ENSG00000011332,37
ENSG00000011347,3910
ENSG00000011376,2456
ENSG00000011405,4836
ENSG00000011422,2071
ENSG00000011426,5013
ENSG00000011451,5956
ENSG00000011454,4799
ENSG00000011465,37872
ENSG00000011478,630
ENSG00000011485,4450
ENSG00000011523,2544
ENSG00000011566,3572
ENSG00000011590,32
ENSG00000011600,3009
ENSG00000011638,2872
ENSG00000011677,1
ENSG00000012048,2173
ENSG00000012061,4660
ENSG00000012124,494
ENSG00000012171,475
ENSG00000012174,2391
ENSG00000012211,701
ENSG00000012223,35878
ENSG00000012232,3311
ENSG00000012504,0
ENSG00000012660,18666
ENSG00000012779,2301
ENSG00000012817,0
ENSG00000012822,7316
ENSG00000012963,4922
ENSG00000012983,3330
ENSG00000013016,957
ENSG00000013275,4642
ENSG00000013288,5976
ENSG00000013293,3
ENSG00000013297,442
ENSG00000013306,7163
ENSG00000013364,13085
ENSG00000013374,6229
ENSG00000013375,1887
ENSG00000013392,291
ENSG00000013441,7408
ENSG00000013503,1611
ENSG00000013523,1273
ENSG00000013561,4511
ENSG00000013563,1004
ENSG00000013573,2625
ENSG00000013583,3497
ENSG00000013588,39993
ENSG00000013619,252
ENSG00000013725,635
ENSG00000013810,3593
ENSG00000014123,2444
ENSG00000014138,1885
ENSG00000014164,2152
ENSG00000014216,11374
ENSG00000014257,175
ENSG00000014641,6630
ENSG00000014824,4832
ENSG00000014914,2957
ENSG00000014919,2754
ENSG00000015133,3755
ENSG00000015153,1444
