Gene stable ID,0767ce65-90d9-430d-9a7f-842a9a262de0
ENSG00000000003,884
ENSG00000000005,9
ENSG00000000419,2630
ENSG00000000457,2063
ENSG00000000460,473
ENSG00000000938,219
ENSG00000000971,3844
ENSG00000001036,6519
ENSG00000001084,2615
ENSG00000001167,3459
ENSG00000001460,558
ENSG00000001461,2357
ENSG00000001497,3715
ENSG00000001561,1811
ENSG00000001617,5864
ENSG00000001626,31
ENSG00000001629,5252
ENSG00000001630,283
ENSG00000001631,2694
ENSG00000002016,391
ENSG00000002079,12
ENSG00000002330,1465
ENSG00000002549,4095
ENSG00000002586,13890
ENSG00000002587,272
ENSG00000002726,1075
ENSG00000002745,6
ENSG00000002746,228
ENSG00000002822,1231
ENSG00000002834,22350
ENSG00000002919,1073
ENSG00000002933,4552
ENSG00000003056,7070
ENSG00000003096,870
ENSG00000003137,237
ENSG00000003147,2136
ENSG00000003249,2786
ENSG00000003393,1415
ENSG00000003400,426
ENSG00000003402,4263
ENSG00000003436,2998
ENSG00000003509,816
ENSG00000003756,3511
ENSG00000003987,117
ENSG00000003989,48216
ENSG00000004059,6815
ENSG00000004139,273
ENSG00000004142,9116
ENSG00000004399,7661
ENSG00000004455,6146
ENSG00000004468,27
ENSG00000004478,44760
ENSG00000004487,5895
ENSG00000004534,3340
ENSG00000004660,915
ENSG00000004700,3345
ENSG00000004766,1819
ENSG00000004776,237
ENSG00000004777,222
ENSG00000004779,4923
ENSG00000004799,1687
ENSG00000004809,7
ENSG00000004838,268
ENSG00000004846,31
ENSG00000004848,350
ENSG00000004864,3739
ENSG00000004866,1734
ENSG00000004897,5344
ENSG00000004939,3
ENSG00000004948,45
ENSG00000004961,1694
ENSG00000004975,1332
ENSG00000005001,1369
ENSG00000005007,5731
ENSG00000005020,1795
ENSG00000005022,19281
ENSG00000005059,1188
ENSG00000005073,50
ENSG00000005075,1357
ENSG00000005100,1931
ENSG00000005102,26
ENSG00000005108,244
ENSG00000005156,5030
ENSG00000005175,2909
ENSG00000005187,152
ENSG00000005189,698
ENSG00000005194,3802
ENSG00000005206,729
ENSG00000005238,1121
ENSG00000005243,1542
ENSG00000005249,3286
ENSG00000005302,1697
ENSG00000005339,8462
ENSG00000005379,483
ENSG00000005381,8
ENSG00000005421,1
ENSG00000005436,1709
ENSG00000005448,1335
ENSG00000005469,806
ENSG00000005471,216
ENSG00000005483,5703
ENSG00000005486,5275
ENSG00000005513,21
ENSG00000005700,13827
ENSG00000005801,1216
ENSG00000005810,5246
ENSG00000005812,4435
ENSG00000005844,406
ENSG00000005882,1842
ENSG00000005884,13759
ENSG00000005889,4041
ENSG00000005893,23161
ENSG00000005961,38
ENSG00000005981,0
ENSG00000006007,12572
ENSG00000006015,410
ENSG00000006016,97
ENSG00000006025,345
ENSG00000006042,2037
ENSG00000006047,384
ENSG00000006059,4
ENSG00000006062,444
ENSG00000006071,102
ENSG00000006116,1
ENSG00000006118,8800
ENSG00000006125,29088
ENSG00000006128,15
ENSG00000006194,2961
ENSG00000006210,1355
ENSG00000006282,3947
ENSG00000006283,109
ENSG00000006327,3550
ENSG00000006377,1
ENSG00000006432,1041
ENSG00000006451,9253
ENSG00000006453,1126
ENSG00000006459,2634
