Gene stable ID,f7145906-96a0-4a8e-a148-032bbe563a93
ENSG00000000003,3462
ENSG00000000005,27
ENSG00000000419,1602
ENSG00000000457,636
ENSG00000000460,396
ENSG00000000938,191
ENSG00000000971,842
ENSG00000001036,3879
ENSG00000001084,1218
ENSG00000001167,1889
ENSG00000001460,369
ENSG00000001461,1617
ENSG00000001497,4449
ENSG00000001561,53
ENSG00000001617,12593
ENSG00000001626,7
ENSG00000001629,1294
ENSG00000001630,87
ENSG00000001631,811
ENSG00000002016,374
ENSG00000002079,14
ENSG00000002330,7126
ENSG00000002549,6728
ENSG00000002586,6946
ENSG00000002587,102
ENSG00000002726,8
ENSG00000002745,1
ENSG00000002746,32
ENSG00000002822,2762
ENSG00000002834,7779
ENSG00000002919,2139
ENSG00000002933,811
ENSG00000003056,960
ENSG00000003096,65
ENSG00000003137,25
ENSG00000003147,3445
ENSG00000003249,1563
ENSG00000003393,1195
ENSG00000003400,223
ENSG00000003402,3548
ENSG00000003436,304
ENSG00000003509,616
ENSG00000003756,4719
ENSG00000003987,29
ENSG00000003989,3654
ENSG00000004059,17659
ENSG00000004139,127
ENSG00000004142,8184
ENSG00000004399,4093
ENSG00000004455,3794
ENSG00000004468,92
ENSG00000004478,35761
ENSG00000004487,3915
ENSG00000004534,5417
ENSG00000004660,815
ENSG00000004700,186
ENSG00000004766,1000
ENSG00000004776,354
ENSG00000004777,1542
ENSG00000004779,5875
ENSG00000004799,547
ENSG00000004809,3
ENSG00000004838,1843
ENSG00000004846,25
ENSG00000004848,269
ENSG00000004864,811
ENSG00000004866,1091
ENSG00000004897,2090
ENSG00000004939,3
ENSG00000004948,5
ENSG00000004961,581
ENSG00000004975,1270
ENSG00000005001,1450
ENSG00000005007,7309
ENSG00000005020,450
ENSG00000005022,16667
ENSG00000005059,576
ENSG00000005073,8
ENSG00000005075,4532
ENSG00000005100,743
ENSG00000005102,332
ENSG00000005108,68
ENSG00000005156,2025
ENSG00000005175,1290
ENSG00000005187,92
ENSG00000005189,672
ENSG00000005194,1803
ENSG00000005206,10504
ENSG00000005238,1425
ENSG00000005243,927
ENSG00000005249,1226
ENSG00000005302,1477
ENSG00000005339,3874
ENSG00000005379,2434
ENSG00000005381,0
ENSG00000005421,2
ENSG00000005436,790
ENSG00000005448,2644
ENSG00000005469,4211
ENSG00000005471,98
ENSG00000005483,1912
ENSG00000005486,7570
ENSG00000005513,39
ENSG00000005700,2445
ENSG00000005801,1286
ENSG00000005810,593
ENSG00000005812,1270
ENSG00000005844,777
ENSG00000005882,983
ENSG00000005884,2264
ENSG00000005889,1088
ENSG00000005893,8445
ENSG00000005961,203
ENSG00000005981,0
ENSG00000006007,4439
ENSG00000006015,3566
ENSG00000006016,382
ENSG00000006025,362
ENSG00000006042,2046
ENSG00000006047,1702
ENSG00000006059,9
ENSG00000006062,719
ENSG00000006071,975
ENSG00000006116,0
ENSG00000006118,16435
ENSG00000006125,21989
ENSG00000006128,24
ENSG00000006194,4008
ENSG00000006210,1160
ENSG00000006282,3873
ENSG00000006283,16
ENSG00000006327,1159
ENSG00000006377,4
ENSG00000006432,697
ENSG00000006451,3203
ENSG00000006453,1438
ENSG00000006459,1353
ENSG00000006468,199
ENSG00000006530,890
ENSG00000006534,469
ENSG00000006555,16
ENSG00000006576,1082
ENSG00000006606,28
ENSG00000006607,1356
ENSG00000006611,2
ENSG00000006625,7313
ENSG00000006634,450
ENSG00000006638,160
ENSG00000006652,1186
ENSG00000006659,34
ENSG00000006695,456
ENSG00000006704,3136
ENSG00000006712,8327
ENSG00000006715,2936
ENSG00000006740,319
ENSG00000006744,2912
ENSG00000006747,1790
ENSG00000006756,5826
ENSG00000006757,866
ENSG00000006788,35
ENSG00000006831,24123
ENSG00000006837,107
ENSG00000007001,3
ENSG00000007038,3
ENSG00000007047,2680
ENSG00000007062,2118
ENSG00000007080,8375
ENSG00000007129,50
ENSG00000007168,3692
ENSG00000007171,19
ENSG00000007174,11
ENSG00000007202,9657
ENSG00000007216,491
ENSG00000007237,1261
ENSG00000007255,7183
ENSG00000007264,172
ENSG00000007306,4
ENSG00000007312,320
ENSG00000007314,77
