Gene stable ID,b36afb46-408d-4bd6-87d3-ce46449d287c
ENSG00000000003,1312
ENSG00000000005,9
ENSG00000000419,2277
ENSG00000000457,847
ENSG00000000460,478
ENSG00000000938,558
ENSG00000000971,5689
ENSG00000001036,6583
ENSG00000001084,1824
ENSG00000001167,3688
ENSG00000001460,1116
ENSG00000001461,1442
ENSG00000001497,8149
ENSG00000001561,1771
ENSG00000001617,8030
ENSG00000001626,82
ENSG00000001629,5165
ENSG00000001630,138
ENSG00000001631,1999
ENSG00000002016,2924
ENSG00000002079,15
ENSG00000002330,1890
ENSG00000002549,7409
ENSG00000002586,12286
ENSG00000002587,386
ENSG00000002726,17
ENSG00000002745,0
ENSG00000002746,77
ENSG00000002822,1937
ENSG00000002834,20651
ENSG00000002919,1426
ENSG00000002933,2282
ENSG00000003056,2314
ENSG00000003096,597
ENSG00000003137,185
ENSG00000003147,2923
ENSG00000003249,3321
ENSG00000003393,1826
ENSG00000003400,1172
ENSG00000003402,6169
ENSG00000003436,1130
ENSG00000003509,814
ENSG00000003756,4735
ENSG00000003987,259
ENSG00000003989,15080
ENSG00000004059,12905
ENSG00000004139,328
ENSG00000004142,5284
ENSG00000004399,9631
ENSG00000004455,5069
ENSG00000004468,619
ENSG00000004478,15325
ENSG00000004487,5735
ENSG00000004534,4789
ENSG00000004660,489
ENSG00000004700,1990
ENSG00000004766,1779
ENSG00000004776,72
ENSG00000004777,580
ENSG00000004779,3562
ENSG00000004799,589
ENSG00000004809,0
ENSG00000004838,520
ENSG00000004846,21
ENSG00000004848,9
ENSG00000004864,1371
ENSG00000004866,1303
ENSG00000004897,4389
ENSG00000004939,0
ENSG00000004948,58
ENSG00000004961,1071
ENSG00000004975,1242
ENSG00000005001,504
ENSG00000005007,7897
ENSG00000005020,1883
ENSG00000005022,13588
ENSG00000005059,985
ENSG00000005073,30
ENSG00000005075,1826
ENSG00000005100,1758
ENSG00000005102,30
ENSG00000005108,275
ENSG00000005156,1510
ENSG00000005175,1893
ENSG00000005187,98
ENSG00000005189,679
ENSG00000005194,2643
ENSG00000005206,1981
ENSG00000005238,1250
ENSG00000005243,917
ENSG00000005249,7061
ENSG00000005302,1808
ENSG00000005339,11136
ENSG00000005379,349
ENSG00000005381,2
ENSG00000005421,0
ENSG00000005436,2189
ENSG00000005448,1657
ENSG00000005469,3275
ENSG00000005471,65
ENSG00000005483,4221
ENSG00000005486,2346
ENSG00000005513,16
ENSG00000005700,5473
ENSG00000005801,2031
ENSG00000005810,3124
ENSG00000005812,3139
ENSG00000005844,959
ENSG00000005882,743
ENSG00000005884,2523
ENSG00000005889,2830
ENSG00000005893,14554
ENSG00000005961,152
ENSG00000005981,14
ENSG00000006007,3538
ENSG00000006015,1296
ENSG00000006016,253
ENSG00000006025,150
ENSG00000006042,2392
ENSG00000006047,488
ENSG00000006059,0
ENSG00000006062,711
ENSG00000006071,432
ENSG00000006116,0
ENSG00000006118,6459
ENSG00000006125,11170
ENSG00000006128,0
ENSG00000006194,4876
ENSG00000006210,1111
ENSG00000006282,2172
ENSG00000006283,17
ENSG00000006327,5842
ENSG00000006377,1
ENSG00000006432,1168
ENSG00000006451,7956
ENSG00000006453,1596
ENSG00000006459,2473
ENSG00000006468,1454
ENSG00000006530,1530
ENSG00000006534,611
ENSG00000006555,75
ENSG00000006576,3148
ENSG00000006606,26
ENSG00000006607,2430
ENSG00000006611,9
ENSG00000006625,5772
ENSG00000006634,1054
ENSG00000006638,183
ENSG00000006652,2390
ENSG00000006659,0
ENSG00000006695,618
ENSG00000006704,1297
ENSG00000006712,5749
ENSG00000006715,7467
ENSG00000006740,217
ENSG00000006744,3484
ENSG00000006747,474
ENSG00000006756,3500
ENSG00000006757,729
ENSG00000006788,93
ENSG00000006831,6694
ENSG00000006837,51
ENSG00000007001,6
ENSG00000007038,109
ENSG00000007047,3210
ENSG00000007062,58
ENSG00000007080,6051
ENSG00000007129,51
ENSG00000007168,7620
ENSG00000007171,78
ENSG00000007174,11
ENSG00000007202,7242
ENSG00000007216,154
ENSG00000007237,1999
ENSG00000007255,1454
ENSG00000007264,140
ENSG00000007306,83
ENSG00000007312,274
ENSG00000007314,53
ENSG00000007341,606
ENSG00000007350,0
ENSG00000007372,99
ENSG00000007376,4191
ENSG00000007384,4282
ENSG00000007392,5246
ENSG00000007402,363
ENSG00000007516,741
ENSG00000007520,5077
ENSG00000007541,7706
ENSG00000007545,3743
ENSG00000007866,2602
ENSG00000007908,29
ENSG00000007923,2788
ENSG00000007933,168
ENSG00000007944,2366
ENSG00000007952,92
ENSG00000007968,359
ENSG00000008018,9610
ENSG00000008056,60
ENSG00000008083,1802
ENSG00000008086,1512
ENSG00000008118,12
ENSG00000008128,469
ENSG00000008130,3287
ENSG00000008196,30
ENSG00000008197,0
ENSG00000008226,45
ENSG00000008256,3160
ENSG00000008277,340
ENSG00000008282,14867
ENSG00000008283,6085
ENSG00000008294,4352
ENSG00000008300,1177
ENSG00000008311,173
ENSG00000008323,91
ENSG00000008324,1265
ENSG00000008382,1403
ENSG00000008394,5194
ENSG00000008405,1865
ENSG00000008438,5
ENSG00000008441,1470
ENSG00000008513,15981
ENSG00000008516,76
ENSG00000008517,3334
ENSG00000008710,8038
ENSG00000008735,1617
ENSG00000008838,2799
ENSG00000008853,1014
ENSG00000008869,2318
ENSG00000008952,12854
ENSG00000008988,57869
ENSG00000009307,34189
ENSG00000009335,8574
ENSG00000009413,1294
ENSG00000009694,269
ENSG00000009709,2
ENSG00000009724,54
ENSG00000009765,351
ENSG00000009780,606
ENSG00000009790,363
ENSG00000009830,1048
ENSG00000009844,4796
ENSG00000009950,161
ENSG00000009954,17576
ENSG00000010017,4257
ENSG00000010030,475
ENSG00000010072,685
ENSG00000010165,1205
ENSG00000010219,644
ENSG00000010244,8387
ENSG00000010256,10893
ENSG00000010270,2016
ENSG00000010278,9776
ENSG00000010282,0
ENSG00000010292,5390
ENSG00000010295,782
ENSG00000010310,61
ENSG00000010318,271
ENSG00000010319,573
ENSG00000010322,6093
ENSG00000010327,2373
ENSG00000010361,267
ENSG00000010379,0
ENSG00000010404,6319
ENSG00000010438,9
ENSG00000010539,757
ENSG00000010610,3092
ENSG00000010626,647
ENSG00000010671,575
ENSG00000010704,463
ENSG00000010803,1690
ENSG00000010810,2077
ENSG00000010818,3218
ENSG00000010932,865
ENSG00000011007,2489
ENSG00000011009,4140
ENSG00000011021,701
ENSG00000011028,12798
ENSG00000011052,52
ENSG00000011083,2
ENSG00000011105,3641
ENSG00000011114,2284
ENSG00000011132,609
ENSG00000011143,532
ENSG00000011198,1190
ENSG00000011201,1389
ENSG00000011243,3441
ENSG00000011258,1923
ENSG00000011260,2149
ENSG00000011275,2661
ENSG00000011295,2166
ENSG00000011304,14009
ENSG00000011332,186
ENSG00000011347,1685
ENSG00000011376,1313
ENSG00000011405,3018
ENSG00000011422,3255
ENSG00000011426,1341
ENSG00000011451,3974
ENSG00000011454,4049
ENSG00000011465,54071
ENSG00000011478,423
ENSG00000011485,2774
ENSG00000011523,1861
ENSG00000011566,2855
ENSG00000011590,27
ENSG00000011600,2799
ENSG00000011638,1250
ENSG00000011677,325
ENSG00000012048,702
ENSG00000012061,1763
ENSG00000012124,71
ENSG00000012171,1375
ENSG00000012174,2445
ENSG00000012211,413
ENSG00000012223,1420
ENSG00000012232,2124
ENSG00000012504,10
ENSG00000012660,22698
ENSG00000012779,1187
ENSG00000012817,0
ENSG00000012822,2583
ENSG00000012963,2388
ENSG00000012983,4618
ENSG00000013016,1013
ENSG00000013275,6553
ENSG00000013288,4858
ENSG00000013293,3
ENSG00000013297,314
ENSG00000013306,8482
ENSG00000013364,13478
ENSG00000013374,3983
ENSG00000013375,3435
ENSG00000013392,807
ENSG00000013441,5980
ENSG00000013503,827
ENSG00000013523,1039
ENSG00000013561,3220
ENSG00000013563,1365
ENSG00000013573,1025
ENSG00000013583,1276
ENSG00000013588,8745
ENSG00000013619,454
ENSG00000013725,513
ENSG00000013810,3607
ENSG00000014123,3072
ENSG00000014138,1430
ENSG00000014164,2685
ENSG00000014216,7267
ENSG00000014257,189
ENSG00000014641,10694
ENSG00000014824,5116
ENSG00000014914,739
ENSG00000014919,2277
ENSG00000015133,1449
ENSG00000015153,1159
ENSG00000015171,5294
ENSG00000015285,669
ENSG00000015413,110
ENSG00000015475,1024
ENSG00000015479,594
ENSG00000015520,50
ENSG00000015532,1903
ENSG00000015568,2
ENSG00000015592,0
ENSG00000015676,10166
ENSG00000016082,11
ENSG00000016391,662
ENSG00000016402,1056
ENSG00000016490,0
ENSG00000016602,3
ENSG00000016864,4258
ENSG00000017260,5296
ENSG00000017427,71
ENSG00000017483,1667
ENSG00000017797,4404
ENSG00000018189,1297
ENSG00000018236,279
ENSG00000018280,895
ENSG00000018408,4602
ENSG00000018510,4852
ENSG00000018607,0
ENSG00000018610,2041
ENSG00000018625,6
ENSG00000018699,2016
ENSG00000018869,308
ENSG00000019102,47
ENSG00000019144,5594
ENSG00000019169,646
ENSG00000019186,12
ENSG00000019485,402
ENSG00000019505,164
ENSG00000019549,1802
ENSG00000019582,76176
ENSG00000019991,261
ENSG00000019995,785
ENSG00000020129,1356
ENSG00000020181,3299
ENSG00000020219,0
ENSG00000020256,1379
ENSG00000020426,1130
ENSG00000020577,1161
ENSG00000020633,1130
ENSG00000020922,1795
ENSG00000021300,2140
ENSG00000021355,2824
ENSG00000021461,0
ENSG00000021488,47
ENSG00000021574,1980
ENSG00000021645,565
ENSG00000021762,2670
ENSG00000021776,3319
ENSG00000021826,227
ENSG00000021852,0
ENSG00000022267,1472
ENSG00000022277,10573
ENSG00000022355,0
ENSG00000022556,170
ENSG00000022567,2363
ENSG00000022840,10357
ENSG00000022976,748
ENSG00000023041,3774
ENSG00000023171,207
ENSG00000023191,5789
ENSG00000023228,5237
ENSG00000023287,6527
ENSG00000023318,4120
ENSG00000023330,3512
ENSG00000023445,1057
ENSG00000023516,3009
ENSG00000023572,512
ENSG00000023608,1456
ENSG00000023697,1212
ENSG00000023734,4573
ENSG00000023839,30
ENSG00000023892,659
ENSG00000023902,3715
ENSG00000023909,2398
ENSG00000024048,3111
ENSG00000024422,4465
ENSG00000024526,360
ENSG00000024862,857
ENSG00000025039,1047
ENSG00000025156,2776
ENSG00000025293,4123
ENSG00000025423,1002
ENSG00000025434,1171
ENSG00000025708,7674
ENSG00000025770,2778
ENSG00000025772,2099
ENSG00000025796,6849
ENSG00000025800,3693
ENSG00000026025,56086
ENSG00000026036,224
ENSG00000026103,795
ENSG00000026297,62323
ENSG00000026508,11838
ENSG00000026559,0
ENSG00000026652,709
ENSG00000026751,2830
ENSG00000026950,1661
ENSG00000027001,4893
ENSG00000027075,1281
ENSG00000027644,5
ENSG00000027697,5194
ENSG00000027847,1734
ENSG00000027869,163
ENSG00000028116,1806
ENSG00000028137,2174
ENSG00000028203,4959
ENSG00000028277,919
ENSG00000028310,1441
ENSG00000028528,6045
ENSG00000028839,1120
ENSG00000029153,1229
ENSG00000029363,14752
ENSG00000029364,5251
ENSG00000029534,36
ENSG00000029559,800
ENSG00000029639,1013
ENSG00000029725,6245
ENSG00000029993,3494
ENSG00000030066,2639
ENSG00000030110,837
ENSG00000030304,0
ENSG00000030419,877
ENSG00000030582,19041
ENSG00000031003,2065
ENSG00000031081,2230
ENSG00000031691,503
ENSG00000031698,7163
ENSG00000031823,2725
ENSG00000032219,1434
ENSG00000032389,1215
ENSG00000032444,2493
ENSG00000032742,970
ENSG00000033011,2492
ENSG00000033030,2270
ENSG00000033050,3212
ENSG00000033100,3943
ENSG00000033122,89
ENSG00000033170,4972
ENSG00000033178,3752
ENSG00000033327,1117
ENSG00000033627,2318
ENSG00000033800,1637
ENSG00000033867,2516
ENSG00000034053,236
ENSG00000034152,2024
ENSG00000034239,22
ENSG00000034510,170420
ENSG00000034533,474
ENSG00000034677,6230
ENSG00000034693,1154
ENSG00000034713,5084
ENSG00000034971,0
ENSG00000035115,2314
ENSG00000035141,3627
ENSG00000035403,13020
ENSG00000035499,343
ENSG00000035664,710
ENSG00000035681,1095
ENSG00000035687,5477
ENSG00000035720,42
ENSG00000035862,37872
ENSG00000035928,2932
ENSG00000036054,3922
ENSG00000036257,4036
ENSG00000036448,80
ENSG00000036473,0
ENSG00000036530,18
ENSG00000036549,2336
ENSG00000036565,1
ENSG00000036672,83
ENSG00000036828,0
ENSG00000037042,638
ENSG00000037241,1763
ENSG00000037280,1114
ENSG00000037474,2740
ENSG00000037637,1696
ENSG00000037749,917
ENSG00000037757,1142
ENSG00000037897,779
ENSG00000037965,495
ENSG00000038002,1375
ENSG00000038210,1131
ENSG00000038219,4256
ENSG00000038274,3840
ENSG00000038295,139
ENSG00000038358,1840
ENSG00000038382,5094
ENSG00000038427,37094
ENSG00000038532,1923
ENSG00000038945,5159
ENSG00000039068,32931
ENSG00000039123,3574
ENSG00000039139,113
ENSG00000039319,2978
ENSG00000039523,3627
ENSG00000039537,0
ENSG00000039560,5389
ENSG00000039600,10
ENSG00000039650,1115
ENSG00000039987,0
ENSG00000040199,987
ENSG00000040275,1310
ENSG00000040341,3629
ENSG00000040487,918
ENSG00000040531,1011
ENSG00000040608,223
ENSG00000040633,2040
ENSG00000040731,0
ENSG00000040933,2210
ENSG00000041353,2559
ENSG00000041357,11192
ENSG00000041515,46
ENSG00000041802,3697
ENSG00000041880,768
ENSG00000041982,7383
ENSG00000041988,977
ENSG00000042062,424
ENSG00000042088,1232
ENSG00000042286,2211
ENSG00000042304,0
ENSG00000042317,606
ENSG00000042429,2484
ENSG00000042445,7545
ENSG00000042493,7102
ENSG00000042753,4035
ENSG00000042781,11
ENSG00000042813,0
ENSG00000042832,72
ENSG00000042980,788
ENSG00000043039,268
ENSG00000043093,3076
ENSG00000043143,1627
ENSG00000043355,88
ENSG00000043462,1781
ENSG00000043514,1183
ENSG00000043591,0
ENSG00000044012,0
ENSG00000044090,2531
ENSG00000044115,31621
ENSG00000044446,1808
