Gene stable ID,5d626ae7-a415-4c90-9b20-d8f38a1a8454
ENSG00000000003,4493
ENSG00000000005,11
ENSG00000000419,8055
ENSG00000000457,2413
ENSG00000000460,2046
ENSG00000000938,237
ENSG00000000971,2264
ENSG00000001036,8245
ENSG00000001084,3464
ENSG00000001167,6197
ENSG00000001460,1071
ENSG00000001461,2032
ENSG00000001497,8513
ENSG00000001561,1746
ENSG00000001617,12380
ENSG00000001626,94
ENSG00000001629,5848
ENSG00000001630,241
ENSG00000001631,2613
ENSG00000002016,1105
ENSG00000002079,15
ENSG00000002330,2570
ENSG00000002549,8254
ENSG00000002586,17468
ENSG00000002587,321
ENSG00000002726,42
ENSG00000002745,3
ENSG00000002746,65
ENSG00000002822,4496
ENSG00000002834,28071
ENSG00000002919,3121
ENSG00000002933,165
ENSG00000003056,6860
ENSG00000003096,469
ENSG00000003137,321
ENSG00000003147,6638
ENSG00000003249,3685
ENSG00000003393,3118
ENSG00000003400,220
ENSG00000003402,5436
ENSG00000003436,611
ENSG00000003509,1216
ENSG00000003756,5794
ENSG00000003987,96
ENSG00000003989,49931
ENSG00000004059,13284
ENSG00000004139,217
ENSG00000004142,18328
ENSG00000004399,35804
ENSG00000004455,11386
ENSG00000004468,58
ENSG00000004478,20731
ENSG00000004487,18449
ENSG00000004534,6468
ENSG00000004660,2257
ENSG00000004700,6924
ENSG00000004766,1735
ENSG00000004776,34
ENSG00000004777,2483
ENSG00000004779,3583
ENSG00000004799,1474
ENSG00000004809,83
ENSG00000004838,1411
ENSG00000004846,7
ENSG00000004848,26
ENSG00000004864,3914
ENSG00000004866,1778
ENSG00000004897,10290
ENSG00000004939,6
ENSG00000004948,11
ENSG00000004961,3818
ENSG00000004975,5442
ENSG00000005001,1373
ENSG00000005007,13854
ENSG00000005020,1030
ENSG00000005022,50394
ENSG00000005059,972
ENSG00000005073,194
ENSG00000005075,3129
ENSG00000005100,2692
ENSG00000005102,41
ENSG00000005108,577
ENSG00000005156,8699
ENSG00000005175,3160
ENSG00000005187,63
ENSG00000005189,1615
ENSG00000005194,4055
ENSG00000005206,2885
ENSG00000005238,2190
ENSG00000005243,1449
ENSG00000005249,917
ENSG00000005302,3401
ENSG00000005339,9052
ENSG00000005379,2964
ENSG00000005381,16
ENSG00000005421,25
ENSG00000005436,2788
ENSG00000005448,2237
ENSG00000005469,1287
ENSG00000005471,141
ENSG00000005483,6265
ENSG00000005486,5021
ENSG00000005513,18
ENSG00000005700,5662
ENSG00000005801,2201
ENSG00000005810,2592
ENSG00000005812,2463
ENSG00000005844,862
ENSG00000005882,4161
ENSG00000005884,5837
ENSG00000005889,4792
ENSG00000005893,38159
ENSG00000005961,1375
ENSG00000005981,31
ENSG00000006007,6239
ENSG00000006015,1726
ENSG00000006016,458
ENSG00000006025,1577
ENSG00000006042,8058
ENSG00000006047,2207
ENSG00000006059,6
ENSG00000006062,2833
ENSG00000006071,1031
ENSG00000006116,0
ENSG00000006118,14614
ENSG00000006125,57873
ENSG00000006128,0
ENSG00000006194,2882
ENSG00000006210,1198
ENSG00000006282,8370
ENSG00000006283,487
ENSG00000006327,4216
ENSG00000006377,2
ENSG00000006432,1273
ENSG00000006451,4595
ENSG00000006453,5949
ENSG00000006459,3203
ENSG00000006468,1032
ENSG00000006530,2584
ENSG00000006534,572
ENSG00000006555,610
ENSG00000006576,2904
ENSG00000006606,12
ENSG00000006607,3217
ENSG00000006611,352
ENSG00000006625,10702
ENSG00000006634,2472
ENSG00000006638,106
ENSG00000006652,2000
ENSG00000006659,0
ENSG00000006695,1538
ENSG00000006704,6854
ENSG00000006712,6757
ENSG00000006715,4180
ENSG00000006740,808
ENSG00000006744,6280
ENSG00000006747,8270
ENSG00000006756,7604
ENSG00000006757,1342
ENSG00000006788,25
ENSG00000006831,9196
ENSG00000006837,100
ENSG00000007001,7
ENSG00000007038,1
ENSG00000007047,3581
ENSG00000007062,10999
ENSG00000007080,10932
ENSG00000007129,36
ENSG00000007168,9762
ENSG00000007171,32
ENSG00000007174,11
ENSG00000007202,25151
ENSG00000007216,2114
ENSG00000007237,1674
ENSG00000007255,3455
ENSG00000007264,27
ENSG00000007306,459
ENSG00000007312,83
ENSG00000007314,25
ENSG00000007341,835
ENSG00000007350,2
ENSG00000007372,140
ENSG00000007376,2782
ENSG00000007384,3568
ENSG00000007392,2723
ENSG00000007402,6043
ENSG00000007516,2953
ENSG00000007520,3836
ENSG00000007541,5373
ENSG00000007545,1480
ENSG00000007866,5179
ENSG00000007908,114
ENSG00000007923,3668
ENSG00000007933,1434
ENSG00000007944,6464
ENSG00000007952,153
ENSG00000007968,2437
ENSG00000008018,20069
ENSG00000008056,27
ENSG00000008083,3215
ENSG00000008086,1891
ENSG00000008118,8
ENSG00000008128,540
ENSG00000008130,6419
ENSG00000008196,1719
ENSG00000008197,0
