Gene stable ID,7166dacc-d576-421c-b7cc-4b8cb3259d0b
ENSG00000000003,2310
ENSG00000000005,1
ENSG00000000419,3293
ENSG00000000457,2111
ENSG00000000460,936
ENSG00000000938,478
ENSG00000000971,7581
ENSG00000001036,4357
ENSG00000001084,5370
ENSG00000001167,2633
ENSG00000001460,819
ENSG00000001461,1783
ENSG00000001497,4289
ENSG00000001561,399
ENSG00000001617,5552
ENSG00000001626,38
ENSG00000001629,7297
ENSG00000001630,421
ENSG00000001631,3039
ENSG00000002016,381
ENSG00000002079,11
ENSG00000002330,999
ENSG00000002549,10626
ENSG00000002586,14932
ENSG00000002587,332
ENSG00000002726,34
ENSG00000002745,1
ENSG00000002746,208
ENSG00000002822,1509
ENSG00000002834,23438
ENSG00000002919,2163
ENSG00000002933,1771
ENSG00000003056,6937
ENSG00000003096,130
ENSG00000003137,558
ENSG00000003147,279
ENSG00000003249,760
ENSG00000003393,2463
ENSG00000003400,556
ENSG00000003402,5622
ENSG00000003436,766
ENSG00000003509,697
ENSG00000003756,5571
ENSG00000003987,171
ENSG00000003989,12969
ENSG00000004059,4648
ENSG00000004139,509
ENSG00000004142,7937
ENSG00000004399,11808
ENSG00000004455,6059
ENSG00000004468,74
ENSG00000004478,11763
ENSG00000004487,6220
ENSG00000004534,4685
ENSG00000004660,438
ENSG00000004700,4523
ENSG00000004766,1966
ENSG00000004776,312
ENSG00000004777,567
ENSG00000004779,3083
ENSG00000004799,983
ENSG00000004809,10
ENSG00000004838,698
ENSG00000004846,29
ENSG00000004848,1
ENSG00000004864,1888
ENSG00000004866,2003
ENSG00000004897,9158
ENSG00000004939,0
ENSG00000004948,38
ENSG00000004961,1748
ENSG00000004975,2114
ENSG00000005001,365
ENSG00000005007,8920
ENSG00000005020,3638
ENSG00000005022,14296
ENSG00000005059,1565
ENSG00000005073,50
ENSG00000005075,1598
ENSG00000005100,1684
ENSG00000005102,4
ENSG00000005108,192
ENSG00000005156,4589
ENSG00000005175,3614
ENSG00000005187,72
ENSG00000005189,303
ENSG00000005194,2380
ENSG00000005206,2046
ENSG00000005238,1251
ENSG00000005243,2591
ENSG00000005249,2669
ENSG00000005302,1745
ENSG00000005339,10393
ENSG00000005379,845
ENSG00000005381,2
ENSG00000005421,31
ENSG00000005436,1380
ENSG00000005448,1456
ENSG00000005469,2415
ENSG00000005471,193
ENSG00000005483,7995
ENSG00000005486,5648
ENSG00000005513,9
ENSG00000005700,7200
ENSG00000005801,1213
ENSG00000005810,6780
ENSG00000005812,6651
ENSG00000005844,1566
ENSG00000005882,2492
ENSG00000005884,7256
ENSG00000005889,5747
ENSG00000005893,21359
ENSG00000005961,146
ENSG00000005981,14
ENSG00000006007,8064
ENSG00000006015,710
ENSG00000006016,156
ENSG00000006025,847
ENSG00000006042,2388
ENSG00000006047,359
ENSG00000006059,10
ENSG00000006062,1293
ENSG00000006071,956
ENSG00000006116,1
ENSG00000006118,3496
ENSG00000006125,33938
ENSG00000006128,9
ENSG00000006194,2761
ENSG00000006210,1311
ENSG00000006282,4034
ENSG00000006283,160
ENSG00000006327,3329
ENSG00000006377,1
ENSG00000006432,721
ENSG00000006451,9338
ENSG00000006453,731
ENSG00000006459,3465
ENSG00000006468,1818
ENSG00000006530,1613
ENSG00000006534,1939
ENSG00000006555,101
ENSG00000006576,3894
ENSG00000006606,16
ENSG00000006607,2374
ENSG00000006611,4
ENSG00000006625,1971
ENSG00000006634,691
ENSG00000006638,211
ENSG00000006652,1252
ENSG00000006659,0
ENSG00000006695,875
ENSG00000006704,2824
ENSG00000006712,5652
ENSG00000006715,4934
ENSG00000006740,1238
ENSG00000006744,3215
ENSG00000006747,338
ENSG00000006756,4511
ENSG00000006757,1768
ENSG00000006788,121
ENSG00000006831,11146
ENSG00000006837,174
ENSG00000007001,8
ENSG00000007038,6
ENSG00000007047,2435
ENSG00000007062,177
ENSG00000007080,2190
ENSG00000007129,69
ENSG00000007168,11483
ENSG00000007171,50
ENSG00000007174,17
ENSG00000007202,17258
ENSG00000007216,3
ENSG00000007237,4185
ENSG00000007255,1368
ENSG00000007264,57
ENSG00000007306,7
ENSG00000007312,47
ENSG00000007314,12
ENSG00000007341,736
ENSG00000007350,1
ENSG00000007372,240
ENSG00000007376,930
ENSG00000007384,2656
ENSG00000007392,1745
ENSG00000007402,1213
ENSG00000007516,1445
ENSG00000007520,2310
ENSG00000007541,2938
ENSG00000007545,1362
ENSG00000007866,2196
ENSG00000007908,130
ENSG00000007923,1892
ENSG00000007933,129
ENSG00000007944,7410
ENSG00000007952,78
ENSG00000007968,524
ENSG00000008018,8936
ENSG00000008056,60
ENSG00000008083,3756
ENSG00000008086,3732
ENSG00000008118,7
ENSG00000008128,223
ENSG00000008130,3406
ENSG00000008196,24
ENSG00000008197,0
ENSG00000008226,31
ENSG00000008256,3530
ENSG00000008277,546
ENSG00000008282,5788
ENSG00000008283,10045
ENSG00000008294,11740
ENSG00000008300,1094
ENSG00000008311,304
ENSG00000008323,887
ENSG00000008324,890
ENSG00000008382,1114
ENSG00000008394,14678
ENSG00000008405,3259
ENSG00000008438,2
ENSG00000008441,4641
ENSG00000008513,30519
ENSG00000008516,32
ENSG00000008517,1589
ENSG00000008710,3628
ENSG00000008735,3711
ENSG00000008838,6184
ENSG00000008853,1302
ENSG00000008869,3374
ENSG00000008952,14143
ENSG00000008988,48757
ENSG00000009307,35305
ENSG00000009335,7897
ENSG00000009413,2107
ENSG00000009694,22
ENSG00000009709,0
ENSG00000009724,87
ENSG00000009765,123
ENSG00000009780,1720
ENSG00000009790,340
ENSG00000009830,1482
ENSG00000009844,3992
ENSG00000009950,7
ENSG00000009954,10319
ENSG00000010017,5027
ENSG00000010030,374
ENSG00000010072,1000
ENSG00000010165,2683
ENSG00000010219,774
ENSG00000010244,11331
ENSG00000010256,9220
ENSG00000010270,1962
ENSG00000010278,29962
ENSG00000010282,2
ENSG00000010292,4466
ENSG00000010295,1034
ENSG00000010310,187
ENSG00000010318,596
ENSG00000010319,423
ENSG00000010322,6406
ENSG00000010327,5597
ENSG00000010361,1594
ENSG00000010379,5
ENSG00000010404,15856
ENSG00000010438,1
ENSG00000010539,717
ENSG00000010610,5383
ENSG00000010626,1010
ENSG00000010671,699
ENSG00000010704,1278
ENSG00000010803,2699
ENSG00000010810,2104
ENSG00000010818,5658
ENSG00000010932,1367
ENSG00000011007,4375
ENSG00000011009,2913
ENSG00000011021,1213
ENSG00000011028,21135
ENSG00000011052,67
ENSG00000011083,6
ENSG00000011105,3367
ENSG00000011114,2586
ENSG00000011132,543
ENSG00000011143,888
ENSG00000011198,1583
ENSG00000011201,4446
ENSG00000011243,3295
ENSG00000011258,2068
ENSG00000011260,5075
ENSG00000011275,4630
