Gene stable ID,d45a9e29-bb66-4282-bd40-dbe273c93d6f
ENSG00000000003,6121
ENSG00000000005,215
ENSG00000000419,2039
ENSG00000000457,2890
ENSG00000000460,615
ENSG00000000938,614
ENSG00000000971,3507
ENSG00000001036,1991
ENSG00000001084,3624
ENSG00000001167,3870
ENSG00000001460,945
ENSG00000001461,5239
ENSG00000001497,3739
ENSG00000001561,1924
ENSG00000001617,4992
ENSG00000001626,149
ENSG00000001629,6621
ENSG00000001630,336
ENSG00000001631,4222
ENSG00000002016,1455
ENSG00000002079,27
ENSG00000002330,1303
ENSG00000002549,5225
ENSG00000002586,7179
ENSG00000002587,1253
ENSG00000002726,47
ENSG00000002745,4
ENSG00000002746,259
ENSG00000002822,1362
ENSG00000002834,17391
ENSG00000002919,1762
ENSG00000002933,2438
ENSG00000003056,6117
ENSG00000003096,8536
ENSG00000003137,173
ENSG00000003147,2459
ENSG00000003249,1307
ENSG00000003393,3628
ENSG00000003400,815
ENSG00000003402,12139
ENSG00000003436,6586
ENSG00000003509,1166
ENSG00000003756,12839
ENSG00000003987,193
ENSG00000003989,16837
ENSG00000004059,5644
ENSG00000004139,952
ENSG00000004142,5224
ENSG00000004399,8745
ENSG00000004455,6270
ENSG00000004468,153
ENSG00000004478,14260
ENSG00000004487,7375
ENSG00000004534,10039
ENSG00000004660,767
ENSG00000004700,2509
ENSG00000004766,2784
ENSG00000004776,1421
ENSG00000004777,1470
ENSG00000004779,1358
ENSG00000004799,17823
ENSG00000004809,40
ENSG00000004838,277
ENSG00000004846,853
ENSG00000004848,56
ENSG00000004864,1838
ENSG00000004866,1814
ENSG00000004897,5198
ENSG00000004939,16
ENSG00000004948,97
ENSG00000004961,882
ENSG00000004975,3300
ENSG00000005001,542
ENSG00000005007,11204
ENSG00000005020,4105
ENSG00000005022,8640
ENSG00000005059,692
ENSG00000005073,8
ENSG00000005075,1022
ENSG00000005100,2795
ENSG00000005102,939
ENSG00000005108,749
ENSG00000005156,2760
ENSG00000005175,2617
ENSG00000005187,3224
ENSG00000005189,508
ENSG00000005194,1948
ENSG00000005206,2695
ENSG00000005238,1129
ENSG00000005243,803
ENSG00000005249,2235
ENSG00000005302,1855
ENSG00000005339,17741
ENSG00000005379,4292
ENSG00000005381,40
ENSG00000005421,23
ENSG00000005436,2617
ENSG00000005448,595
ENSG00000005469,2851
ENSG00000005471,76
ENSG00000005483,14636
ENSG00000005486,4264
ENSG00000005513,346
ENSG00000005700,5666
ENSG00000005801,2032
ENSG00000005810,11085
ENSG00000005812,7875
ENSG00000005844,1080
ENSG00000005882,2421
ENSG00000005884,14349
ENSG00000005889,5796
ENSG00000005893,17652
ENSG00000005961,105
ENSG00000005981,62
ENSG00000006007,5157
ENSG00000006015,685
ENSG00000006016,611
ENSG00000006025,1485
ENSG00000006042,6256
ENSG00000006047,293
ENSG00000006059,5
ENSG00000006062,2126
ENSG00000006071,1602
ENSG00000006116,1
ENSG00000006118,1981
ENSG00000006125,27238
ENSG00000006128,176
ENSG00000006194,3235
ENSG00000006210,23370
ENSG00000006282,4388
ENSG00000006283,621
ENSG00000006327,981
ENSG00000006377,2
ENSG00000006432,1549
ENSG00000006451,4962
ENSG00000006453,1816
ENSG00000006459,4298
ENSG00000006468,4576
ENSG00000006530,1983
ENSG00000006534,627
ENSG00000006555,953
ENSG00000006576,2316
ENSG00000006606,8
ENSG00000006607,3356
ENSG00000006611,29
ENSG00000006625,1789
ENSG00000006634,539
ENSG00000006638,132
ENSG00000006652,3703
ENSG00000006659,0
ENSG00000006695,1066
ENSG00000006704,1942
ENSG00000006712,5438
ENSG00000006715,5926
ENSG00000006740,1034
ENSG00000006744,4514
ENSG00000006747,336
ENSG00000006756,12636
ENSG00000006757,1994
ENSG00000006788,28
ENSG00000006831,6237
ENSG00000006837,75
ENSG00000007001,38
ENSG00000007038,315
ENSG00000007047,3094
ENSG00000007062,5760
ENSG00000007080,1400
ENSG00000007129,67
ENSG00000007168,12254
ENSG00000007171,57
ENSG00000007174,59
ENSG00000007202,11432
ENSG00000007216,1595
ENSG00000007237,8080
ENSG00000007255,943
ENSG00000007264,178
ENSG00000007306,7
ENSG00000007312,214
ENSG00000007314,468
ENSG00000007341,1192
ENSG00000007350,5
ENSG00000007372,311
ENSG00000007376,760
ENSG00000007384,3063
ENSG00000007392,3449
ENSG00000007402,1972
ENSG00000007516,1270
ENSG00000007520,1403
ENSG00000007541,2874
ENSG00000007545,2214
ENSG00000007866,3545
ENSG00000007908,1716
ENSG00000007923,2316
ENSG00000007933,81
ENSG00000007944,7933
ENSG00000007952,45
ENSG00000007968,53
ENSG00000008018,5227
ENSG00000008056,64
ENSG00000008083,3013
ENSG00000008086,3041
ENSG00000008118,37
ENSG00000008128,470
ENSG00000008130,3090
ENSG00000008196,5829
ENSG00000008197,0
ENSG00000008226,228
ENSG00000008256,4691
ENSG00000008277,1010
ENSG00000008282,10264
ENSG00000008283,6315
ENSG00000008294,9528
ENSG00000008300,295
ENSG00000008311,1950
ENSG00000008323,630
ENSG00000008324,781
ENSG00000008382,705
ENSG00000008394,5046
ENSG00000008405,2225
ENSG00000008438,4
ENSG00000008441,18830
ENSG00000008513,3548
ENSG00000008516,129
ENSG00000008517,769
ENSG00000008710,7302
ENSG00000008735,453
ENSG00000008838,5641
ENSG00000008853,2015
ENSG00000008869,6837
ENSG00000008952,15279
ENSG00000008988,39013
ENSG00000009307,55308
ENSG00000009335,7247
ENSG00000009413,4741
ENSG00000009694,452
ENSG00000009709,4
ENSG00000009724,303
ENSG00000009765,103
ENSG00000009780,1215
ENSG00000009790,349
ENSG00000009830,2361
ENSG00000009844,3381
ENSG00000009950,72
ENSG00000009954,10811
ENSG00000010017,4031
ENSG00000010030,75
ENSG00000010072,1194
ENSG00000010165,2896
ENSG00000010219,1063
ENSG00000010244,10888
ENSG00000010256,5757
ENSG00000010270,1847
ENSG00000010278,17284
ENSG00000010282,27
ENSG00000010292,5559
ENSG00000010295,724
ENSG00000010310,220
ENSG00000010318,769
ENSG00000010319,5668
ENSG00000010322,14626
ENSG00000010327,3789
ENSG00000010361,1660
ENSG00000010379,3
ENSG00000010404,11756
ENSG00000010438,79
ENSG00000010539,728
ENSG00000010610,3059
ENSG00000010626,650
ENSG00000010671,390
ENSG00000010704,1962
ENSG00000010803,4220
ENSG00000010810,3073
ENSG00000010818,4713
ENSG00000010932,1690
ENSG00000011007,4100
ENSG00000011009,2372
ENSG00000011021,2577
ENSG00000011028,15457
ENSG00000011052,25
ENSG00000011083,10
ENSG00000011105,7561
ENSG00000011114,5107
ENSG00000011132,836
ENSG00000011143,1822
ENSG00000011198,1513
ENSG00000011201,3164
ENSG00000011243,4505
ENSG00000011258,4181
ENSG00000011260,1778
ENSG00000011275,5147
ENSG00000011295,4652
ENSG00000011304,13896
ENSG00000011332,48
ENSG00000011347,6704
ENSG00000011376,2255
ENSG00000011405,9530
ENSG00000011422,560
ENSG00000011426,164
ENSG00000011451,3781
ENSG00000011454,9029
ENSG00000011465,154688
ENSG00000011478,841
ENSG00000011485,3305
ENSG00000011523,6420
ENSG00000011566,4143
ENSG00000011590,23
ENSG00000011600,1207
ENSG00000011638,4355
ENSG00000011677,1
ENSG00000012048,844
ENSG00000012061,3989
ENSG00000012124,1728
ENSG00000012171,895
ENSG00000012174,2866
ENSG00000012211,503
ENSG00000012223,27550
ENSG00000012232,3446
ENSG00000012504,1
ENSG00000012660,20927
ENSG00000012779,857
ENSG00000012817,0
ENSG00000012822,14070
ENSG00000012963,3903
ENSG00000012983,5456
ENSG00000013016,2857
ENSG00000013275,2656
ENSG00000013288,6127
ENSG00000013293,64
ENSG00000013297,6497
ENSG00000013306,4040
ENSG00000013364,6592
ENSG00000013374,5945
ENSG00000013375,2614
ENSG00000013392,494
ENSG00000013441,15028
ENSG00000013503,1188
ENSG00000013523,2537
ENSG00000013561,4581
ENSG00000013563,1188
ENSG00000013573,2502
ENSG00000013583,3703
ENSG00000013588,4761
ENSG00000013619,537
ENSG00000013725,296
ENSG00000013810,481
ENSG00000014123,4179
ENSG00000014138,881
ENSG00000014164,1644
ENSG00000014216,11845
ENSG00000014257,171
ENSG00000014641,5705
ENSG00000014824,6401
ENSG00000014914,2264
ENSG00000014919,3685
ENSG00000015133,5510
ENSG00000015153,1203
ENSG00000015171,12870
ENSG00000015285,428
ENSG00000015413,10
ENSG00000015475,1079
ENSG00000015479,914
ENSG00000015520,116
ENSG00000015532,3086
ENSG00000015568,2
ENSG00000015592,97
ENSG00000015676,8300
ENSG00000016082,19
ENSG00000016391,6186
ENSG00000016402,4761
ENSG00000016490,1
ENSG00000016602,337
ENSG00000016864,4598
ENSG00000017260,11748
ENSG00000017427,851
ENSG00000017483,163
ENSG00000017797,8901
ENSG00000018189,4104
ENSG00000018236,4271
ENSG00000018280,128
ENSG00000018408,11213
ENSG00000018510,2830
ENSG00000018607,2
ENSG00000018610,2024
ENSG00000018625,1091
ENSG00000018699,2119
ENSG00000018869,491
ENSG00000019102,1913
ENSG00000019144,9563
ENSG00000019169,333
ENSG00000019186,102
ENSG00000019485,1759
ENSG00000019505,129
ENSG00000019549,7629
ENSG00000019582,58905
ENSG00000019991,1264
ENSG00000019995,2680
ENSG00000020129,3917
ENSG00000020181,6393
ENSG00000020219,5
ENSG00000020256,1543
ENSG00000020426,1069
ENSG00000020577,2116
ENSG00000020633,1645
ENSG00000020922,3550
ENSG00000021300,1659
ENSG00000021355,4397
ENSG00000021461,7
ENSG00000021488,26
ENSG00000021574,2263
ENSG00000021645,481
ENSG00000021762,3106
ENSG00000021776,6897
ENSG00000021826,968
ENSG00000021852,305
ENSG00000022267,8898
ENSG00000022277,5964
ENSG00000022355,0
ENSG00000022556,2381
ENSG00000022567,1592
ENSG00000022840,11582
ENSG00000022976,958
ENSG00000023041,3166
ENSG00000023171,866
ENSG00000023191,7643
ENSG00000023228,7784
ENSG00000023287,8490
ENSG00000023318,5160
ENSG00000023330,2325
ENSG00000023445,2048
ENSG00000023516,9573
ENSG00000023572,258
ENSG00000023608,660
ENSG00000023697,1525
ENSG00000023734,6768
ENSG00000023839,202
ENSG00000023892,1330
ENSG00000023902,1729
ENSG00000023909,2772
ENSG00000024048,7775
ENSG00000024422,11367
ENSG00000024526,67
ENSG00000024862,2285
ENSG00000025039,1197
ENSG00000025156,1329
ENSG00000025293,6722
ENSG00000025423,116
ENSG00000025434,2086
ENSG00000025708,1576
ENSG00000025770,2216
ENSG00000025772,2011
ENSG00000025796,11592
ENSG00000025800,7419
ENSG00000026025,82380
ENSG00000026036,178
ENSG00000026103,1892
ENSG00000026297,2030
ENSG00000026508,35796
ENSG00000026559,217
ENSG00000026652,1473
ENSG00000026751,609
ENSG00000026950,3388
ENSG00000027001,1650
ENSG00000027075,3369
ENSG00000027644,99
ENSG00000027697,7707
ENSG00000027847,1070
ENSG00000027869,98
ENSG00000028116,1430
ENSG00000028137,2644
ENSG00000028203,6025
ENSG00000028277,449
ENSG00000028310,2812
ENSG00000028528,15708
ENSG00000028839,1081
ENSG00000029153,389
ENSG00000029363,17365
ENSG00000029364,8791
ENSG00000029534,62
ENSG00000029559,9
ENSG00000029639,639
ENSG00000029725,23091
ENSG00000029993,720
ENSG00000030066,6239
ENSG00000030110,878
ENSG00000030304,15
ENSG00000030419,1255
ENSG00000030582,14208
ENSG00000031003,7306
ENSG00000031081,3793
ENSG00000031691,505
ENSG00000031698,10474
ENSG00000031823,4299
ENSG00000032219,5098
ENSG00000032389,993
ENSG00000032444,3159
ENSG00000032742,1589
ENSG00000033011,975
ENSG00000033030,2932
ENSG00000033050,3200
ENSG00000033100,3404
ENSG00000033122,76
ENSG00000033170,5458
ENSG00000033178,4373
ENSG00000033327,3275
ENSG00000033627,6024
ENSG00000033800,5744
ENSG00000033867,8360
ENSG00000034053,322
ENSG00000034152,2812
ENSG00000034239,447
ENSG00000034510,28750
ENSG00000034533,1130
ENSG00000034677,6307
ENSG00000034693,1593
ENSG00000034713,5732
ENSG00000034971,70
ENSG00000035115,4952
ENSG00000035141,2121
ENSG00000035403,18682
ENSG00000035499,28
ENSG00000035664,1278
ENSG00000035681,2804
ENSG00000035687,4831
ENSG00000035720,34
ENSG00000035862,48577
ENSG00000035928,7280
ENSG00000036054,3764
ENSG00000036257,7128
ENSG00000036448,616
ENSG00000036473,6
ENSG00000036530,192
ENSG00000036549,6940
ENSG00000036565,2
ENSG00000036672,585
ENSG00000036828,2
ENSG00000037042,1521
ENSG00000037241,592
ENSG00000037280,1953
ENSG00000037474,5254
ENSG00000037637,2637
ENSG00000037749,2171
ENSG00000037757,1977
ENSG00000037897,689
ENSG00000037965,150
ENSG00000038002,1951
ENSG00000038210,1086
ENSG00000038219,11651
ENSG00000038274,6738
ENSG00000038295,434
ENSG00000038358,4041
ENSG00000038382,13935
ENSG00000038427,15082
ENSG00000038532,3148
ENSG00000038945,930
ENSG00000039068,46916
ENSG00000039123,6049
ENSG00000039139,2083
ENSG00000039319,5736
ENSG00000039523,5288
ENSG00000039537,26
ENSG00000039560,3623
ENSG00000039600,42
ENSG00000039650,1547
ENSG00000039987,2
ENSG00000040199,1612
ENSG00000040275,797
ENSG00000040341,2976
ENSG00000040487,773
ENSG00000040531,1304
ENSG00000040608,161
ENSG00000040633,2072
ENSG00000040731,5
ENSG00000040933,2659
ENSG00000041353,10163
ENSG00000041357,4434
ENSG00000041515,17
ENSG00000041802,3377
ENSG00000041880,2272
ENSG00000041982,17186
ENSG00000041988,748
ENSG00000042062,402
ENSG00000042088,1695
ENSG00000042286,1354
ENSG00000042304,0
ENSG00000042317,1014
ENSG00000042429,3150
ENSG00000042445,6097
ENSG00000042493,5852
ENSG00000042753,2128
ENSG00000042781,51
ENSG00000042813,9
ENSG00000042832,37
ENSG00000042980,615
