Gene stable ID,e6d55cfa-4773-4130-9d1d-6959c7412a05
ENSG00000000003,2033
ENSG00000000005,9
ENSG00000000419,3391
ENSG00000000457,3446
ENSG00000000460,692
ENSG00000000938,119
ENSG00000000971,267
ENSG00000001036,4698
ENSG00000001084,1086
ENSG00000001167,3168
ENSG00000001460,505
ENSG00000001461,2186
ENSG00000001497,7797
ENSG00000001561,2001
ENSG00000001617,17633
ENSG00000001626,1
ENSG00000001629,1828
ENSG00000001630,181
ENSG00000001631,1705
ENSG00000002016,829
ENSG00000002079,24
ENSG00000002330,8392
ENSG00000002549,6530
ENSG00000002586,8857
ENSG00000002587,79
ENSG00000002726,3
ENSG00000002745,0
ENSG00000002746,2
ENSG00000002822,3087
ENSG00000002834,12466
ENSG00000002919,2777
ENSG00000002933,306
ENSG00000003056,3238
ENSG00000003096,162
ENSG00000003137,38
ENSG00000003147,7204
ENSG00000003249,3365
ENSG00000003393,1247
ENSG00000003400,127
ENSG00000003402,1584
ENSG00000003436,133
ENSG00000003509,495
ENSG00000003756,7159
ENSG00000003987,45
ENSG00000003989,4279
ENSG00000004059,25729
ENSG00000004139,162
ENSG00000004142,8245
ENSG00000004399,7142
ENSG00000004455,6843
ENSG00000004468,3
ENSG00000004478,50761
ENSG00000004487,3694
ENSG00000004534,4981
ENSG00000004660,2917
ENSG00000004700,757
ENSG00000004766,1763
ENSG00000004776,46
ENSG00000004777,568
ENSG00000004779,14050
ENSG00000004799,282
ENSG00000004809,2
ENSG00000004838,4124
ENSG00000004846,9
ENSG00000004848,98
ENSG00000004864,789
ENSG00000004866,2268
ENSG00000004897,2494
ENSG00000004939,1
ENSG00000004948,8
ENSG00000004961,1281
ENSG00000004975,2253
ENSG00000005001,3668
ENSG00000005007,6878
ENSG00000005020,1167
ENSG00000005022,13348
ENSG00000005059,490
ENSG00000005073,17
ENSG00000005075,6745
ENSG00000005100,1488
ENSG00000005102,54
ENSG00000005108,20
ENSG00000005156,3089
ENSG00000005175,2284
ENSG00000005187,65
ENSG00000005189,1147
ENSG00000005194,2331
ENSG00000005206,4337
ENSG00000005238,2142
ENSG00000005243,690
ENSG00000005249,1594
ENSG00000005302,892
ENSG00000005339,6051
ENSG00000005379,967
ENSG00000005381,5
ENSG00000005421,0
ENSG00000005436,741
ENSG00000005448,1384
ENSG00000005469,5631
ENSG00000005471,190
ENSG00000005483,1995
ENSG00000005486,21524
