Gene stable ID,92855612-674b-4a51-84fb-f8641c7921c2
ENSG00000000003,3565
ENSG00000000005,851
ENSG00000000419,1456
ENSG00000000457,869
ENSG00000000460,162
ENSG00000000938,178
ENSG00000000971,5909
ENSG00000001036,1815
ENSG00000001084,5078
ENSG00000001167,1863
ENSG00000001460,592
ENSG00000001461,2161
ENSG00000001497,1281
ENSG00000001561,2474
ENSG00000001617,829
ENSG00000001626,31
ENSG00000001629,3568
ENSG00000001630,93
ENSG00000001631,2101
ENSG00000002016,536
ENSG00000002079,7
ENSG00000002330,717
ENSG00000002549,3863
ENSG00000002586,8464
ENSG00000002587,165
ENSG00000002726,8
ENSG00000002745,9
ENSG00000002746,26
ENSG00000002822,353
ENSG00000002834,9633
ENSG00000002919,1175
ENSG00000002933,1268
ENSG00000003056,2700
ENSG00000003096,985
ENSG00000003137,606
ENSG00000003147,1393
ENSG00000003249,92
ENSG00000003393,1434
ENSG00000003400,896
ENSG00000003402,11569
ENSG00000003436,4648
ENSG00000003509,685
ENSG00000003756,4429
ENSG00000003987,57
ENSG00000003989,2981
ENSG00000004059,2779
ENSG00000004139,202
ENSG00000004142,4734
ENSG00000004399,6847
ENSG00000004455,4838
ENSG00000004468,435
ENSG00000004478,2481
ENSG00000004487,2932
ENSG00000004534,2907
ENSG00000004660,131
ENSG00000004700,1559
ENSG00000004766,1270
ENSG00000004776,18330
ENSG00000004777,172
ENSG00000004779,1925
ENSG00000004799,217881
ENSG00000004809,5
ENSG00000004838,24
ENSG00000004846,315
ENSG00000004848,16
ENSG00000004864,743
ENSG00000004866,1536
ENSG00000004897,3661
ENSG00000004939,0
ENSG00000004948,20
ENSG00000004961,683
ENSG00000004975,1030
ENSG00000005001,25
ENSG00000005007,3510
ENSG00000005020,3722
ENSG00000005022,9058
ENSG00000005059,632
ENSG00000005073,114
ENSG00000005075,833
ENSG00000005100,953
ENSG00000005102,1168
ENSG00000005108,692
ENSG00000005156,685
ENSG00000005175,966
ENSG00000005187,205
ENSG00000005189,421
ENSG00000005194,1160
ENSG00000005206,774
ENSG00000005238,831
ENSG00000005243,1929
ENSG00000005249,41861
ENSG00000005302,983
ENSG00000005339,6175
ENSG00000005379,353
ENSG00000005381,8
ENSG00000005421,20
ENSG00000005436,1564
ENSG00000005448,159
ENSG00000005469,713
ENSG00000005471,130
ENSG00000005483,5820
ENSG00000005486,1689
ENSG00000005513,61
ENSG00000005700,3877
ENSG00000005801,810
ENSG00000005810,13131
ENSG00000005812,5724
ENSG00000005844,258
ENSG00000005882,5658
ENSG00000005884,1539
ENSG00000005889,3620
ENSG00000005893,7937
ENSG00000005961,22
ENSG00000005981,50
ENSG00000006007,3753
