Gene stable ID,c3d72b35-1f12-4ba7-98ab-a9a72659f6ae
ENSG00000000003,881
ENSG00000000005,46
ENSG00000000419,2824
ENSG00000000457,1820
ENSG00000000460,434
ENSG00000000938,486
ENSG00000000971,4310
ENSG00000001036,4518
ENSG00000001084,2589
ENSG00000001167,3536
ENSG00000001460,459
ENSG00000001461,2174
ENSG00000001497,3371
ENSG00000001561,2665
ENSG00000001617,9686
ENSG00000001626,21
ENSG00000001629,7460
ENSG00000001630,771
ENSG00000001631,2339
ENSG00000002016,410
ENSG00000002079,10
ENSG00000002330,1680
ENSG00000002549,10921
ENSG00000002586,12076
ENSG00000002587,313
ENSG00000002726,39
ENSG00000002745,1
ENSG00000002746,49
ENSG00000002822,1519
ENSG00000002834,26000
ENSG00000002919,1925
ENSG00000002933,1512
ENSG00000003056,4876
ENSG00000003096,1043
ENSG00000003137,311
ENSG00000003147,2951
ENSG00000003249,8914
ENSG00000003393,2255
ENSG00000003400,692
ENSG00000003402,7252
ENSG00000003436,1295
ENSG00000003509,649
ENSG00000003756,5241
ENSG00000003987,83
ENSG00000003989,26150
ENSG00000004059,8730
ENSG00000004139,239
ENSG00000004142,4822
ENSG00000004399,18236
ENSG00000004455,7573
ENSG00000004468,198
ENSG00000004478,44858
ENSG00000004487,3822
ENSG00000004534,4527
ENSG00000004660,545
ENSG00000004700,2545
ENSG00000004766,2379
ENSG00000004776,464
ENSG00000004777,972
ENSG00000004779,2893
ENSG00000004799,1816
ENSG00000004809,11
ENSG00000004838,774
ENSG00000004846,46
ENSG00000004848,43
ENSG00000004864,2253
ENSG00000004866,1661
ENSG00000004897,4906
ENSG00000004939,2
ENSG00000004948,19
ENSG00000004961,1379
ENSG00000004975,1243
ENSG00000005001,1119
ENSG00000005007,11873
ENSG00000005020,2232
ENSG00000005022,15336
ENSG00000005059,1121
ENSG00000005073,51
ENSG00000005075,1664
ENSG00000005100,1309
ENSG00000005102,296
ENSG00000005108,671
ENSG00000005156,1768
ENSG00000005175,1898
ENSG00000005187,275
ENSG00000005189,231
ENSG00000005194,3167
ENSG00000005206,2417
ENSG00000005238,3453
ENSG00000005243,910
ENSG00000005249,5395
ENSG00000005302,1724
ENSG00000005339,9127
ENSG00000005379,317
ENSG00000005381,8
ENSG00000005421,2
ENSG00000005436,1058
ENSG00000005448,652
ENSG00000005469,4070
ENSG00000005471,166
ENSG00000005483,6572
ENSG00000005486,8396
ENSG00000005513,74
ENSG00000005700,6485
ENSG00000005801,711
ENSG00000005810,7037
ENSG00000005812,2766
ENSG00000005844,1706
ENSG00000005882,2094
ENSG00000005884,11163
ENSG00000005889,3648
ENSG00000005893,12267
ENSG00000005961,20
ENSG00000005981,2
ENSG00000006007,5282
ENSG00000006015,874
ENSG00000006016,288
ENSG00000006025,362
ENSG00000006042,1564
ENSG00000006047,32
ENSG00000006059,7
ENSG00000006062,2132
ENSG00000006071,73
ENSG00000006116,2
ENSG00000006118,11751
ENSG00000006125,21499
ENSG00000006128,53
ENSG00000006194,3131
ENSG00000006210,2777
ENSG00000006282,6179
ENSG00000006283,99
ENSG00000006327,2030
ENSG00000006377,5
ENSG00000006432,703
ENSG00000006451,4967
ENSG00000006453,2457
ENSG00000006459,2382
ENSG00000006468,1298
ENSG00000006530,2000
ENSG00000006534,794
ENSG00000006555,95
ENSG00000006576,2393
ENSG00000006606,13
ENSG00000006607,1627
ENSG00000006611,0
ENSG00000006625,4971
ENSG00000006634,492
ENSG00000006638,210
ENSG00000006652,1545
ENSG00000006659,1
ENSG00000006695,659
ENSG00000006704,3113
ENSG00000006712,4519
ENSG00000006715,5319
ENSG00000006740,497
ENSG00000006744,3901
ENSG00000006747,480
ENSG00000006756,11292
ENSG00000006757,2981
ENSG00000006788,31
ENSG00000006831,34374
ENSG00000006837,51
ENSG00000007001,22
ENSG00000007038,11
ENSG00000007047,5083
ENSG00000007062,631
ENSG00000007080,2709
ENSG00000007129,108
ENSG00000007168,8841
ENSG00000007171,174
ENSG00000007174,163
ENSG00000007202,10279
ENSG00000007216,79
ENSG00000007237,4671
ENSG00000007255,1237
ENSG00000007264,148
ENSG00000007306,45
ENSG00000007312,285
ENSG00000007314,186
ENSG00000007341,844
ENSG00000007350,1
ENSG00000007372,105
ENSG00000007376,1439
ENSG00000007384,3387
ENSG00000007392,1871
ENSG00000007402,1693
ENSG00000007516,1267
ENSG00000007520,2065
ENSG00000007541,6181
ENSG00000007545,1517
ENSG00000007866,3415
ENSG00000007908,1172
ENSG00000007923,1672
ENSG00000007933,112
ENSG00000007944,4128
ENSG00000007952,51
ENSG00000007968,370
ENSG00000008018,8013
ENSG00000008056,134
ENSG00000008083,3783
ENSG00000008086,2559
ENSG00000008118,21
ENSG00000008128,239
ENSG00000008130,3274
ENSG00000008196,142
ENSG00000008197,0
ENSG00000008226,49
ENSG00000008256,3276
ENSG00000008277,836
ENSG00000008282,7064
ENSG00000008283,13129
ENSG00000008294,6949
ENSG00000008300,514
ENSG00000008311,478
ENSG00000008323,749
ENSG00000008324,746
ENSG00000008382,943
ENSG00000008394,501
ENSG00000008405,1696
ENSG00000008438,6
ENSG00000008441,4657
ENSG00000008513,16318
ENSG00000008516,342
ENSG00000008517,1476
ENSG00000008710,4793
ENSG00000008735,7579
ENSG00000008838,3751
ENSG00000008853,1583
ENSG00000008869,4327
ENSG00000008952,13626
ENSG00000008988,19323
ENSG00000009307,41990
ENSG00000009335,7208
ENSG00000009413,2213
ENSG00000009694,45
ENSG00000009709,1
ENSG00000009724,65
ENSG00000009765,1006
ENSG00000009780,581
ENSG00000009790,524
ENSG00000009830,1123
ENSG00000009844,3052
ENSG00000009950,67
ENSG00000009954,15908
ENSG00000010017,6496
ENSG00000010030,277
ENSG00000010072,527
ENSG00000010165,3407
ENSG00000010219,486
ENSG00000010244,7378
ENSG00000010256,8893
ENSG00000010270,1718
ENSG00000010278,23402
ENSG00000010282,10
ENSG00000010292,3736
ENSG00000010295,777
ENSG00000010310,116
ENSG00000010318,378
ENSG00000010319,2798
ENSG00000010322,11202
ENSG00000010327,4571
ENSG00000010361,633
ENSG00000010379,4
ENSG00000010404,7391
ENSG00000010438,4
ENSG00000010539,661
ENSG00000010610,3866
ENSG00000010626,617
ENSG00000010671,541
ENSG00000010704,905
ENSG00000010803,3081
ENSG00000010810,2090
ENSG00000010818,3789
ENSG00000010932,644
ENSG00000011007,2908
ENSG00000011009,4588
ENSG00000011021,819
ENSG00000011028,14460
ENSG00000011052,48
ENSG00000011083,7
ENSG00000011105,10698
ENSG00000011114,2163
ENSG00000011132,742
ENSG00000011143,968
ENSG00000011198,2384
ENSG00000011201,2349
ENSG00000011243,3587
ENSG00000011258,1741
ENSG00000011260,1871
ENSG00000011275,3869
ENSG00000011295,3772
ENSG00000011304,16547
ENSG00000011332,41
ENSG00000011347,6542
ENSG00000011376,2165
ENSG00000011405,4733
ENSG00000011422,2418
ENSG00000011426,1236
ENSG00000011451,5088
ENSG00000011454,4735
ENSG00000011465,46836
ENSG00000011478,1217
ENSG00000011485,3786
ENSG00000011523,2146
ENSG00000011566,4004
ENSG00000011590,43
ENSG00000011600,2172
ENSG00000011638,4308
ENSG00000011677,0
ENSG00000012048,577
ENSG00000012061,3423
ENSG00000012124,1096
ENSG00000012171,3658
ENSG00000012174,2213
ENSG00000012211,590
ENSG00000012223,17462
ENSG00000012232,2389
ENSG00000012504,0
ENSG00000012660,19574
ENSG00000012779,1038
ENSG00000012817,1
ENSG00000012822,4340
ENSG00000012963,3659
ENSG00000012983,3079
ENSG00000013016,2115
ENSG00000013275,4963
ENSG00000013288,11322
ENSG00000013293,0
ENSG00000013297,638
ENSG00000013306,7736
ENSG00000013364,17601
ENSG00000013374,4561
ENSG00000013375,3297
ENSG00000013392,558
ENSG00000013441,2781
ENSG00000013503,1002
ENSG00000013523,1913
ENSG00000013561,6640
ENSG00000013563,1737
ENSG00000013573,1051
ENSG00000013583,6472
ENSG00000013588,22464
ENSG00000013619,339
ENSG00000013725,562
ENSG00000013810,1706
ENSG00000014123,3343
ENSG00000014138,892
ENSG00000014164,2672
ENSG00000014216,13335
ENSG00000014257,114
ENSG00000014641,6476
ENSG00000014824,6079
ENSG00000014914,850
ENSG00000014919,2882
ENSG00000015133,3579
ENSG00000015153,782
ENSG00000015171,8407
ENSG00000015285,569
ENSG00000015413,117
ENSG00000015475,1172
ENSG00000015479,346
ENSG00000015520,133
ENSG00000015532,4261
ENSG00000015568,0
ENSG00000015592,2
ENSG00000015676,8743
ENSG00000016082,9
ENSG00000016391,3240
ENSG00000016402,1543
ENSG00000016490,0
ENSG00000016602,16
ENSG00000016864,3549
ENSG00000017260,10128
ENSG00000017427,194
ENSG00000017483,338
ENSG00000017797,4463
ENSG00000018189,2427
ENSG00000018236,731
ENSG00000018280,297
ENSG00000018408,4752
ENSG00000018510,2491
ENSG00000018607,0
ENSG00000018610,1556
ENSG00000018625,138
ENSG00000018699,1308
ENSG00000018869,251
ENSG00000019102,163
ENSG00000019144,9167
ENSG00000019169,11
ENSG00000019186,40
ENSG00000019485,459
ENSG00000019505,4406
ENSG00000019549,2020
ENSG00000019582,98196
ENSG00000019991,442
ENSG00000019995,1648
ENSG00000020129,4696
ENSG00000020181,4259
ENSG00000020219,4
ENSG00000020256,2437
ENSG00000020426,524
ENSG00000020577,692
ENSG00000020633,749
ENSG00000020922,1392
ENSG00000021300,792
ENSG00000021355,4090
ENSG00000021461,4
ENSG00000021488,42
ENSG00000021574,1502
ENSG00000021645,154
ENSG00000021762,3226
ENSG00000021776,6633
ENSG00000021826,208
ENSG00000021852,9
ENSG00000022267,2655
ENSG00000022277,6629
ENSG00000022355,1
ENSG00000022556,4020
ENSG00000022567,1578
