Gene stable ID,438fdcf2-301b-4bc2-a4a3-166adf29e4cc
ENSG00000000003,4244
ENSG00000000005,7
ENSG00000000419,3656
ENSG00000000457,4513
ENSG00000000460,857
ENSG00000000938,531
ENSG00000000971,4157
ENSG00000001036,3144
ENSG00000001084,1408
ENSG00000001167,2630
ENSG00000001460,1407
ENSG00000001461,4281
ENSG00000001497,4509
ENSG00000001561,992
ENSG00000001617,8215
ENSG00000001626,130
ENSG00000001629,4241
ENSG00000001630,257
ENSG00000001631,3179
ENSG00000002016,720
ENSG00000002079,8
ENSG00000002330,2720
ENSG00000002549,7301
ENSG00000002586,17767
ENSG00000002587,343
ENSG00000002726,16
ENSG00000002745,20
ENSG00000002746,76
ENSG00000002822,2006
ENSG00000002834,14611
ENSG00000002919,1499
ENSG00000002933,2614
ENSG00000003056,6040
ENSG00000003096,1721
ENSG00000003137,153
ENSG00000003147,9757
ENSG00000003249,2402
ENSG00000003393,1612
ENSG00000003400,757
ENSG00000003402,5985
ENSG00000003436,1520
ENSG00000003509,739
ENSG00000003756,7439
ENSG00000003987,406
ENSG00000003989,72448
ENSG00000004059,13538
ENSG00000004139,390
ENSG00000004142,6511
ENSG00000004399,7538
ENSG00000004455,9476
ENSG00000004468,241
ENSG00000004478,13280
ENSG00000004487,8304
ENSG00000004534,4732
ENSG00000004660,1151
ENSG00000004700,1975
ENSG00000004766,16461
ENSG00000004776,1327
ENSG00000004777,414
ENSG00000004779,4595
ENSG00000004799,8587
ENSG00000004809,21
ENSG00000004838,5102
ENSG00000004846,23
ENSG00000004848,4
ENSG00000004864,1614
ENSG00000004866,3963
ENSG00000004897,3636
ENSG00000004939,1
ENSG00000004948,23
ENSG00000004961,2213
ENSG00000004975,2572
ENSG00000005001,958
ENSG00000005007,8947
ENSG00000005020,4803
ENSG00000005022,18516
ENSG00000005059,1532
ENSG00000005073,31
ENSG00000005075,2604
ENSG00000005100,1378
ENSG00000005102,727
ENSG00000005108,525
ENSG00000005156,3260
ENSG00000005175,3254
ENSG00000005187,371
ENSG00000005189,797
ENSG00000005194,2918
ENSG00000005206,2751
ENSG00000005238,1683
ENSG00000005243,1363
ENSG00000005249,941
ENSG00000005302,2132
ENSG00000005339,10262
ENSG00000005379,956
ENSG00000005381,14
ENSG00000005421,8
ENSG00000005436,1629
ENSG00000005448,1344
ENSG00000005469,2510
ENSG00000005471,96
