Gene stable ID,c46afcdd-d776-482c-9d23-5f17f8c9c106
ENSG00000000003,540
ENSG00000000005,1
ENSG00000000419,5168
ENSG00000000457,1191
ENSG00000000460,486
ENSG00000000938,251
ENSG00000000971,3257
ENSG00000001036,2513
ENSG00000001084,1584
ENSG00000001167,2690
ENSG00000001460,521
ENSG00000001461,1715
ENSG00000001497,3342
ENSG00000001561,430
ENSG00000001617,5098
ENSG00000001626,8
ENSG00000001629,2556
ENSG00000001630,162
ENSG00000001631,1083
ENSG00000002016,313
ENSG00000002079,12
ENSG00000002330,2286
ENSG00000002549,6916
ENSG00000002586,21607
ENSG00000002587,150
ENSG00000002726,16
ENSG00000002745,5
ENSG00000002746,63
ENSG00000002822,1516
ENSG00000002834,13203
ENSG00000002919,727
ENSG00000002933,1133
ENSG00000003056,3135
ENSG00000003096,118
ENSG00000003137,197
ENSG00000003147,1529
ENSG00000003249,1738
ENSG00000003393,878
ENSG00000003400,224
ENSG00000003402,2500
ENSG00000003436,362
ENSG00000003509,367
ENSG00000003756,3632
ENSG00000003987,132
ENSG00000003989,9292
ENSG00000004059,7744
ENSG00000004139,365
ENSG00000004142,34171
ENSG00000004399,10424
ENSG00000004455,5561
ENSG00000004468,60
ENSG00000004478,35216
ENSG00000004487,6199
ENSG00000004534,2741
ENSG00000004660,1326
ENSG00000004700,1603
ENSG00000004766,1018
ENSG00000004776,143
ENSG00000004777,517
ENSG00000004779,2730
ENSG00000004799,196
ENSG00000004809,6
ENSG00000004838,711
ENSG00000004846,10
ENSG00000004848,26
ENSG00000004864,1209
ENSG00000004866,1865
ENSG00000004897,2539
ENSG00000004939,1
ENSG00000004948,8
ENSG00000004961,1076
ENSG00000004975,930
ENSG00000005001,406
ENSG00000005007,7092
ENSG00000005020,1178
ENSG00000005022,18512
ENSG00000005059,1190
ENSG00000005073,105
ENSG00000005075,1398
ENSG00000005100,1286
ENSG00000005102,20
ENSG00000005108,96
ENSG00000005156,1826
ENSG00000005175,1614
ENSG00000005187,92
ENSG00000005189,863
ENSG00000005194,3333
ENSG00000005206,1834
ENSG00000005238,736
ENSG00000005243,1423
ENSG00000005249,427
ENSG00000005302,1391
ENSG00000005339,5032
ENSG00000005379,502
ENSG00000005381,10
ENSG00000005421,3
ENSG00000005436,852
ENSG00000005448,884
ENSG00000005469,1128
ENSG00000005471,112
ENSG00000005483,2450
ENSG00000005486,2726
ENSG00000005513,16
ENSG00000005700,3904
ENSG00000005801,1212
ENSG00000005810,2253
ENSG00000005812,2624
ENSG00000005844,329
ENSG00000005882,2204
ENSG00000005884,13289
ENSG00000005889,1888
ENSG00000005893,8492
ENSG00000005961,65
ENSG00000005981,1
ENSG00000006007,3491
ENSG00000006015,687
ENSG00000006016,343
ENSG00000006025,261
ENSG00000006042,1466
ENSG00000006047,586
ENSG00000006059,1
ENSG00000006062,322
ENSG00000006071,598
ENSG00000006116,0
ENSG00000006118,5775
ENSG00000006125,11068
ENSG00000006128,24
ENSG00000006194,1789
ENSG00000006210,921
ENSG00000006282,5899
ENSG00000006283,19
ENSG00000006327,2773
ENSG00000006377,0
ENSG00000006432,602
ENSG00000006451,5062
ENSG00000006453,1351
ENSG00000006459,899
ENSG00000006468,1491
ENSG00000006530,962
ENSG00000006534,689
ENSG00000006555,27
ENSG00000006576,1779
ENSG00000006606,14
ENSG00000006607,1357
ENSG00000006611,6
ENSG00000006625,3888
ENSG00000006634,839
ENSG00000006638,165
ENSG00000006652,737
ENSG00000006659,7
ENSG00000006695,1129
ENSG00000006704,1790
ENSG00000006712,4223
ENSG00000006715,2422
ENSG00000006740,546
ENSG00000006744,6422
ENSG00000006747,3265
ENSG00000006756,5481
ENSG00000006757,2360
ENSG00000006788,63
ENSG00000006831,5495
ENSG00000006837,29
ENSG00000007001,1
ENSG00000007038,2
ENSG00000007047,3266
ENSG00000007062,70
ENSG00000007080,4408
ENSG00000007129,66
ENSG00000007168,5226
ENSG00000007171,66
ENSG00000007174,7
ENSG00000007202,39452
ENSG00000007216,2
ENSG00000007237,1709
ENSG00000007255,1538
ENSG00000007264,712
ENSG00000007306,35
ENSG00000007312,57
ENSG00000007314,6
ENSG00000007341,603
ENSG00000007350,1
ENSG00000007372,154
ENSG00000007376,1305
ENSG00000007384,2295
ENSG00000007392,1380
ENSG00000007402,591
ENSG00000007516,51
ENSG00000007520,2276
ENSG00000007541,2091
ENSG00000007545,1073
ENSG00000007866,2508
ENSG00000007908,61
ENSG00000007923,1985
ENSG00000007933,201
ENSG00000007944,2752
ENSG00000007952,28
ENSG00000007968,1472
ENSG00000008018,8463
ENSG00000008056,61
ENSG00000008083,1772
ENSG00000008086,1244
ENSG00000008118,8
ENSG00000008128,188
ENSG00000008130,2864
ENSG00000008196,1434
ENSG00000008197,0
ENSG00000008226,7
ENSG00000008256,3229
ENSG00000008277,240
ENSG00000008282,6264
ENSG00000008283,6357
ENSG00000008294,11061
ENSG00000008300,805
ENSG00000008311,116
ENSG00000008323,166
ENSG00000008324,729
ENSG00000008382,1388
ENSG00000008394,8009
ENSG00000008405,1024
ENSG00000008438,0
ENSG00000008441,2084
ENSG00000008513,3285
ENSG00000008516,206
ENSG00000008517,2423
ENSG00000008710,2538
ENSG00000008735,1252
ENSG00000008838,2769
ENSG00000008853,1608
ENSG00000008869,1563
ENSG00000008952,6467
ENSG00000008988,61456
ENSG00000009307,35510
ENSG00000009335,5203
ENSG00000009413,1054
ENSG00000009694,13
ENSG00000009709,2
ENSG00000009724,28
ENSG00000009765,41
ENSG00000009780,735
ENSG00000009790,181
ENSG00000009830,1305
ENSG00000009844,3095
ENSG00000009950,14
ENSG00000009954,6212
ENSG00000010017,3796
ENSG00000010030,274
ENSG00000010072,470
ENSG00000010165,2187
ENSG00000010219,662
ENSG00000010244,5568
ENSG00000010256,11697
ENSG00000010270,1158
ENSG00000010278,18811
ENSG00000010282,1
ENSG00000010292,6984
ENSG00000010295,638
ENSG00000010310,4
ENSG00000010318,256
ENSG00000010319,252
ENSG00000010322,4426
ENSG00000010327,2114
ENSG00000010361,2080
ENSG00000010379,3
ENSG00000010404,4287
ENSG00000010438,96
ENSG00000010539,694
ENSG00000010610,2377
ENSG00000010626,566
ENSG00000010671,388
ENSG00000010704,363
ENSG00000010803,2353
ENSG00000010810,1917
ENSG00000010818,2261
ENSG00000010932,743
ENSG00000011007,2872
ENSG00000011009,3555
ENSG00000011021,672
ENSG00000011028,16533
ENSG00000011052,151
ENSG00000011083,2
ENSG00000011105,6090
ENSG00000011114,2021
ENSG00000011132,667
ENSG00000011143,1036
ENSG00000011198,1316
ENSG00000011201,1371
ENSG00000011243,2274
ENSG00000011258,2496
ENSG00000011260,5154
ENSG00000011275,2640
ENSG00000011295,4669
ENSG00000011304,18980
ENSG00000011332,52
ENSG00000011347,1763
ENSG00000011376,1648
ENSG00000011405,2336
ENSG00000011422,3865
ENSG00000011426,4060
ENSG00000011451,4390
ENSG00000011454,3367
ENSG00000011465,63036
ENSG00000011478,476
ENSG00000011485,3567
ENSG00000011523,1603
ENSG00000011566,1494
ENSG00000011590,16
ENSG00000011600,2388
ENSG00000011638,2138
ENSG00000011677,1
ENSG00000012048,782
ENSG00000012061,2522
ENSG00000012124,191
ENSG00000012171,973
ENSG00000012174,1327
