Gene stable ID,a850150c-8cf8-4a56-b8ef-f3598527923e
ENSG00000000003,5139
ENSG00000000005,1
ENSG00000000419,5468
ENSG00000000457,2041
ENSG00000000460,2043
ENSG00000000938,951
ENSG00000000971,5143
ENSG00000001036,7752
ENSG00000001084,2301
ENSG00000001167,4250
ENSG00000001460,716
ENSG00000001461,2120
ENSG00000001497,5051
ENSG00000001561,1458
ENSG00000001617,1702
ENSG00000001626,10
ENSG00000001629,9308
ENSG00000001630,580
ENSG00000001631,3055
ENSG00000002016,1689
ENSG00000002079,48
ENSG00000002330,749
ENSG00000002549,14577
ENSG00000002586,9765
ENSG00000002587,523
ENSG00000002726,70
ENSG00000002745,13
ENSG00000002746,118
ENSG00000002822,1021
ENSG00000002834,72393
ENSG00000002919,2207
ENSG00000002933,3313
ENSG00000003056,17974
ENSG00000003096,169
ENSG00000003137,166
ENSG00000003147,2662
ENSG00000003249,3591
ENSG00000003393,2730
ENSG00000003400,1127
ENSG00000003402,12443
ENSG00000003436,2132
ENSG00000003509,1216
ENSG00000003756,4527
ENSG00000003987,181
ENSG00000003989,666
ENSG00000004059,7007
ENSG00000004139,447
ENSG00000004142,7094
ENSG00000004399,13018
ENSG00000004455,16521
ENSG00000004468,1121
ENSG00000004478,39270
ENSG00000004487,13246
ENSG00000004534,4811
ENSG00000004660,216
ENSG00000004700,10123
ENSG00000004766,2835
ENSG00000004776,134
ENSG00000004777,781
ENSG00000004779,3533
ENSG00000004799,1095
ENSG00000004809,95
ENSG00000004838,18
ENSG00000004846,11
ENSG00000004848,5
ENSG00000004864,4395
ENSG00000004866,2524
ENSG00000004897,9049
ENSG00000004939,2
ENSG00000004948,15
ENSG00000004961,3106
ENSG00000004975,2429
ENSG00000005001,599
ENSG00000005007,8484
ENSG00000005020,4242
ENSG00000005022,29763
ENSG00000005059,2491
ENSG00000005073,80
ENSG00000005075,1120
ENSG00000005100,2950
ENSG00000005102,204
ENSG00000005108,390
ENSG00000005156,2730
ENSG00000005175,3539
ENSG00000005187,172
ENSG00000005189,409
ENSG00000005194,4771
ENSG00000005206,1181
ENSG00000005238,1323
ENSG00000005243,697
ENSG00000005249,526
ENSG00000005302,6035
ENSG00000005339,9752
ENSG00000005379,508
ENSG00000005381,15
ENSG00000005421,9
ENSG00000005436,3073
ENSG00000005448,911
ENSG00000005469,456
ENSG00000005471,150
ENSG00000005483,8036
ENSG00000005486,2531
ENSG00000005513,29
ENSG00000005700,10484
ENSG00000005801,2641
ENSG00000005810,12424
ENSG00000005812,6423
ENSG00000005844,2630
ENSG00000005882,758
ENSG00000005884,8119
ENSG00000005889,5199
ENSG00000005893,55170
ENSG00000005961,12
ENSG00000005981,8
ENSG00000006007,5196
ENSG00000006015,317
ENSG00000006016,78
ENSG00000006025,243
ENSG00000006042,4240
ENSG00000006047,175
ENSG00000006059,0
ENSG00000006062,2085
ENSG00000006071,2
ENSG00000006116,1
ENSG00000006118,3628
ENSG00000006125,20848
ENSG00000006128,1
ENSG00000006194,2336
ENSG00000006210,4872
ENSG00000006282,2373
ENSG00000006283,9
ENSG00000006327,3130
ENSG00000006377,2
ENSG00000006432,1779
ENSG00000006451,8612
ENSG00000006453,3611
ENSG00000006459,3637
ENSG00000006468,1098
ENSG00000006530,2252
ENSG00000006534,1083
ENSG00000006555,1495
ENSG00000006576,4013
ENSG00000006606,26
ENSG00000006607,2162
ENSG00000006611,4
ENSG00000006625,4247
ENSG00000006634,1840
ENSG00000006638,162
ENSG00000006652,2844
ENSG00000006659,0
ENSG00000006695,1671
ENSG00000006704,2773
ENSG00000006712,2530
ENSG00000006715,4861
ENSG00000006740,469
ENSG00000006744,5714
ENSG00000006747,442
ENSG00000006756,6796
ENSG00000006757,1178
ENSG00000006788,46
ENSG00000006831,29623
ENSG00000006837,47
ENSG00000007001,14
ENSG00000007038,4
ENSG00000007047,1079
ENSG00000007062,1976
ENSG00000007080,1260
ENSG00000007129,160
ENSG00000007168,17059
ENSG00000007171,110
ENSG00000007174,13
ENSG00000007202,20009
ENSG00000007216,3
ENSG00000007237,1873
ENSG00000007255,281
ENSG00000007264,355
ENSG00000007306,1
ENSG00000007312,249
ENSG00000007314,46
ENSG00000007341,1074
ENSG00000007350,1
ENSG00000007372,140
ENSG00000007376,1050
