Gene stable ID,a4ce3b73-9ab0-402f-8dc2-5b4344d4d356
ENSG00000000003,1703
ENSG00000000005,1
ENSG00000000419,1826
ENSG00000000457,2322
ENSG00000000460,590
ENSG00000000938,290
ENSG00000000971,2572
ENSG00000001036,6185
ENSG00000001084,2163
ENSG00000001167,3384
ENSG00000001460,610
ENSG00000001461,2818
ENSG00000001497,2995
ENSG00000001561,1240
ENSG00000001617,8466
ENSG00000001626,8
ENSG00000001629,6541
ENSG00000001630,630
ENSG00000001631,3467
ENSG00000002016,991
ENSG00000002079,9
ENSG00000002330,2540
ENSG00000002549,3921
ENSG00000002586,15647
ENSG00000002587,310
ENSG00000002726,94
ENSG00000002745,2
ENSG00000002746,41
ENSG00000002822,1317
ENSG00000002834,11552
ENSG00000002919,1311
ENSG00000002933,503
ENSG00000003056,5554
ENSG00000003096,148
ENSG00000003137,57
ENSG00000003147,761
ENSG00000003249,2942
ENSG00000003393,1447
ENSG00000003400,229
ENSG00000003402,4896
ENSG00000003436,228
ENSG00000003509,423
ENSG00000003756,3952
ENSG00000003987,28
ENSG00000003989,16028
ENSG00000004059,6959
ENSG00000004139,222
ENSG00000004142,4514
ENSG00000004399,9524
ENSG00000004455,6081
ENSG00000004468,42
ENSG00000004478,30838
ENSG00000004487,3872
ENSG00000004534,3464
ENSG00000004660,700
ENSG00000004700,2259
ENSG00000004766,2638
ENSG00000004776,158
ENSG00000004777,4092
ENSG00000004779,4566
ENSG00000004799,401
ENSG00000004809,10
ENSG00000004838,766
ENSG00000004846,8
ENSG00000004848,13
ENSG00000004864,904
ENSG00000004866,1758
ENSG00000004897,2927
ENSG00000004939,1
ENSG00000004948,4
ENSG00000004961,1708
ENSG00000004975,969
ENSG00000005001,1007
ENSG00000005007,6513
ENSG00000005020,695
ENSG00000005022,16485
ENSG00000005059,1016
ENSG00000005073,23
ENSG00000005075,1157
ENSG00000005100,1233
ENSG00000005102,58
ENSG00000005108,130
ENSG00000005156,2629
ENSG00000005175,1282
ENSG00000005187,35
ENSG00000005189,940
ENSG00000005194,2052
ENSG00000005206,3069
ENSG00000005238,1934
ENSG00000005243,1283
ENSG00000005249,3519
ENSG00000005302,1599
ENSG00000005339,9793
ENSG00000005379,3208
ENSG00000005381,15
ENSG00000005421,5
ENSG00000005436,1209
ENSG00000005448,386
ENSG00000005469,3413
ENSG00000005471,107
ENSG00000005483,4504
ENSG00000005486,8424
ENSG00000005513,14
ENSG00000005700,3716
ENSG00000005801,496
ENSG00000005810,2452
ENSG00000005812,3494
ENSG00000005844,1148
ENSG00000005882,1463
ENSG00000005884,1162
ENSG00000005889,6891
ENSG00000005893,25467
ENSG00000005961,112
ENSG00000005981,3
ENSG00000006007,7019
ENSG00000006015,990
ENSG00000006016,71
ENSG00000006025,220
ENSG00000006042,4933
ENSG00000006047,326
ENSG00000006059,1
ENSG00000006062,748
ENSG00000006071,3719
ENSG00000006116,0
ENSG00000006118,2513
ENSG00000006125,17585
ENSG00000006128,3
ENSG00000006194,2710
ENSG00000006210,500
ENSG00000006282,2431
ENSG00000006283,205
ENSG00000006327,2472
ENSG00000006377,1
ENSG00000006432,1200
ENSG00000006451,3020
ENSG00000006453,5049
ENSG00000006459,854
ENSG00000006468,563
ENSG00000006530,1603
ENSG00000006534,691
ENSG00000006555,523
ENSG00000006576,2575
ENSG00000006606,10
ENSG00000006607,1611
ENSG00000006611,59
ENSG00000006625,5097
ENSG00000006634,899
ENSG00000006638,228
ENSG00000006652,1087
ENSG00000006659,2
ENSG00000006695,402
ENSG00000006704,2894
ENSG00000006712,4363
ENSG00000006715,2394
ENSG00000006740,107
ENSG00000006744,1543
ENSG00000006747,238
ENSG00000006756,6729
ENSG00000006757,2444
ENSG00000006788,39
ENSG00000006831,8357
ENSG00000006837,60
ENSG00000007001,3
ENSG00000007038,1690
ENSG00000007047,3087
ENSG00000007062,4483
ENSG00000007080,2271
ENSG00000007129,38
ENSG00000007168,6519
ENSG00000007171,36
ENSG00000007174,10
ENSG00000007202,10050
ENSG00000007216,303
ENSG00000007237,2208
ENSG00000007255,1246
ENSG00000007264,57
ENSG00000007306,35
ENSG00000007312,63
ENSG00000007314,18
ENSG00000007341,790
ENSG00000007350,0
ENSG00000007372,213
ENSG00000007376,1854
ENSG00000007384,5428
ENSG00000007392,2161
ENSG00000007402,631
ENSG00000007516,5236
ENSG00000007520,2759
ENSG00000007541,8163
ENSG00000007545,1829
ENSG00000007866,3277
ENSG00000007908,186
ENSG00000007923,1451
ENSG00000007933,26
ENSG00000007944,3834
ENSG00000007952,40
ENSG00000007968,384
ENSG00000008018,13725
ENSG00000008056,81
ENSG00000008083,1777
ENSG00000008086,1184
ENSG00000008118,3
ENSG00000008128,201
ENSG00000008130,3069
ENSG00000008196,12718
ENSG00000008197,0
ENSG00000008226,90
ENSG00000008256,2260
ENSG00000008277,774
ENSG00000008282,4611
ENSG00000008283,6864
ENSG00000008294,3357
ENSG00000008300,200
ENSG00000008311,241
ENSG00000008323,1163
ENSG00000008324,533
ENSG00000008382,599
ENSG00000008394,9071
ENSG00000008405,1406
ENSG00000008438,4
ENSG00000008441,9573
ENSG00000008513,9075
ENSG00000008516,98
ENSG00000008517,926
ENSG00000008710,6599
ENSG00000008735,2066
ENSG00000008838,3417
ENSG00000008853,914
ENSG00000008869,1989
ENSG00000008952,15745
ENSG00000008988,30155
ENSG00000009307,34600
ENSG00000009335,5291
ENSG00000009413,1379
ENSG00000009694,19
ENSG00000009709,4582
ENSG00000009724,108
ENSG00000009765,808
ENSG00000009780,613
ENSG00000009790,186
ENSG00000009830,865
ENSG00000009844,4048
ENSG00000009950,296
ENSG00000009954,7117
ENSG00000010017,4351
ENSG00000010030,317
ENSG00000010072,1169
ENSG00000010165,2453
ENSG00000010219,805
ENSG00000010244,7771
ENSG00000010256,6397
ENSG00000010270,1524
ENSG00000010278,58729
ENSG00000010282,0
ENSG00000010292,6864
ENSG00000010295,600
ENSG00000010310,173
ENSG00000010318,286
ENSG00000010319,516
ENSG00000010322,6383
ENSG00000010327,3477
ENSG00000010361,1032
ENSG00000010379,32
ENSG00000010404,7231
ENSG00000010438,6
ENSG00000010539,555
ENSG00000010610,2294
ENSG00000010626,822
ENSG00000010671,264
ENSG00000010704,593
ENSG00000010803,2820
ENSG00000010810,976
ENSG00000010818,3431
ENSG00000010932,150
ENSG00000011007,3143
ENSG00000011009,2809
ENSG00000011021,861
ENSG00000011028,12475
ENSG00000011052,96
ENSG00000011083,49
ENSG00000011105,12268
ENSG00000011114,2142
ENSG00000011132,601
ENSG00000011143,616
ENSG00000011198,1300
ENSG00000011201,2436
ENSG00000011243,1915
ENSG00000011258,943
ENSG00000011260,1405
ENSG00000011275,2474
ENSG00000011295,1483
ENSG00000011304,16698
ENSG00000011332,110
