Gene stable ID,8ccfb23c-bf7a-4c16-a97d-f44a32ecc537
ENSG00000000003,129
ENSG00000000005,3
ENSG00000000419,1619
ENSG00000000457,1891
ENSG00000000460,807
ENSG00000000938,225
ENSG00000000971,1168
ENSG00000001036,4711
ENSG00000001084,2483
ENSG00000001167,3377
ENSG00000001460,455
ENSG00000001461,1623
ENSG00000001497,1772
ENSG00000001561,1139
ENSG00000001617,4877
ENSG00000001626,0
ENSG00000001629,3838
ENSG00000001630,484
ENSG00000001631,1643
ENSG00000002016,271
ENSG00000002079,0
ENSG00000002330,2745
ENSG00000002549,4231
ENSG00000002586,2591
ENSG00000002587,143
ENSG00000002726,47
ENSG00000002745,1
ENSG00000002746,10
ENSG00000002822,1965
ENSG00000002834,32471
ENSG00000002919,1244
ENSG00000002933,939
ENSG00000003056,4252
ENSG00000003096,17
ENSG00000003137,119
ENSG00000003147,3187
ENSG00000003249,3090
ENSG00000003393,1596
ENSG00000003400,232
ENSG00000003402,3533
ENSG00000003436,529
ENSG00000003509,335
ENSG00000003756,1581
ENSG00000003987,120
ENSG00000003989,720
ENSG00000004059,7528
ENSG00000004139,31
ENSG00000004142,10489
ENSG00000004399,4331
ENSG00000004455,7315
ENSG00000004468,226
ENSG00000004478,42995
ENSG00000004487,7310
ENSG00000004534,1521
ENSG00000004660,436
ENSG00000004700,1112
ENSG00000004766,1279
ENSG00000004776,56
ENSG00000004777,762
ENSG00000004779,3201
ENSG00000004799,744
ENSG00000004809,1
ENSG00000004838,186
ENSG00000004846,1
ENSG00000004848,204
ENSG00000004864,2077
ENSG00000004866,1614
ENSG00000004897,5787
ENSG00000004939,1
ENSG00000004948,18
ENSG00000004961,888
ENSG00000004975,1375
ENSG00000005001,223
ENSG00000005007,7604
ENSG00000005020,393
ENSG00000005022,7610
ENSG00000005059,1024
ENSG00000005073,17
ENSG00000005075,1548
ENSG00000005100,2364
ENSG00000005102,13
ENSG00000005108,80
ENSG00000005156,4029
ENSG00000005175,2759
ENSG00000005187,308
ENSG00000005189,747
ENSG00000005194,1251
ENSG00000005206,1603
ENSG00000005238,689
ENSG00000005243,190
ENSG00000005249,648
ENSG00000005302,986
ENSG00000005339,5720
ENSG00000005379,18
ENSG00000005381,6
ENSG00000005421,0
ENSG00000005436,1556
ENSG00000005448,570
ENSG00000005469,210
ENSG00000005471,36
ENSG00000005483,4842
ENSG00000005486,8179
ENSG00000005513,1
ENSG00000005700,8121
ENSG00000005801,1398
ENSG00000005810,2967
ENSG00000005812,2206
ENSG00000005844,699
ENSG00000005882,1347
ENSG00000005884,3352
ENSG00000005889,2483
ENSG00000005893,4472
ENSG00000005961,71
ENSG00000005981,0
ENSG00000006007,5881
ENSG00000006015,685
ENSG00000006016,115
ENSG00000006025,451
ENSG00000006042,2708
ENSG00000006047,107
ENSG00000006059,3
ENSG00000006062,338
ENSG00000006071,63
ENSG00000006116,0
ENSG00000006118,8427
ENSG00000006125,49190
ENSG00000006128,0
ENSG00000006194,2871
ENSG00000006210,402
ENSG00000006282,6976
ENSG00000006283,1
ENSG00000006327,1362
ENSG00000006377,0
ENSG00000006432,640
ENSG00000006451,3814
ENSG00000006453,1674
ENSG00000006459,1378
ENSG00000006468,338
ENSG00000006530,1958
ENSG00000006534,593
ENSG00000006555,7
ENSG00000006576,2073
ENSG00000006606,6
ENSG00000006607,3094
ENSG00000006611,27
ENSG00000006625,134
ENSG00000006634,1996
ENSG00000006638,91
ENSG00000006652,1055
ENSG00000006659,0
ENSG00000006695,1180
ENSG00000006704,1852
ENSG00000006712,6862
ENSG00000006715,3814
ENSG00000006740,558
ENSG00000006744,6653
ENSG00000006747,67
ENSG00000006756,6462
ENSG00000006757,1562
ENSG00000006788,10
ENSG00000006831,7577
ENSG00000006837,24
ENSG00000007001,1
ENSG00000007038,4
ENSG00000007047,2463
ENSG00000007062,1
ENSG00000007080,1812
ENSG00000007129,51
ENSG00000007168,11385
ENSG00000007171,7
ENSG00000007174,0
ENSG00000007202,25029
ENSG00000007216,6
ENSG00000007237,555
ENSG00000007255,2222
ENSG00000007264,638
ENSG00000007306,34
ENSG00000007312,97
ENSG00000007314,17
ENSG00000007341,637
ENSG00000007350,1
ENSG00000007372,108
ENSG00000007376,1739
ENSG00000007384,2837
ENSG00000007392,1165
ENSG00000007402,763
ENSG00000007516,556
ENSG00000007520,2049
ENSG00000007541,3361
ENSG00000007545,1064
ENSG00000007866,3010
ENSG00000007908,143
ENSG00000007923,2181
ENSG00000007933,169
ENSG00000007944,1691
ENSG00000007952,26
ENSG00000007968,606
ENSG00000008018,12179
ENSG00000008056,18
ENSG00000008083,3382
ENSG00000008086,454
ENSG00000008118,33
ENSG00000008128,172
ENSG00000008130,3502
ENSG00000008196,0
ENSG00000008197,0
ENSG00000008226,4
ENSG00000008256,563
ENSG00000008277,197
ENSG00000008282,5077
ENSG00000008283,27027
ENSG00000008294,5181
ENSG00000008300,140
ENSG00000008311,106
ENSG00000008323,686
ENSG00000008324,477
ENSG00000008382,754
ENSG00000008394,52
ENSG00000008405,756
ENSG00000008438,0
ENSG00000008441,4446
ENSG00000008513,8019
ENSG00000008516,750
ENSG00000008517,878
ENSG00000008710,1125
ENSG00000008735,344
ENSG00000008838,5450
ENSG00000008853,1196
ENSG00000008869,4293
ENSG00000008952,11288
ENSG00000008988,28985
ENSG00000009307,35413
ENSG00000009335,10554
ENSG00000009413,1789
ENSG00000009694,1
ENSG00000009709,69
ENSG00000009724,18
ENSG00000009765,1819
ENSG00000009780,451
ENSG00000009790,154
ENSG00000009830,1213
ENSG00000009844,4125
ENSG00000009950,42
ENSG00000009954,10144
ENSG00000010017,10245
ENSG00000010030,90
ENSG00000010072,1253
ENSG00000010165,3415
ENSG00000010219,599
ENSG00000010244,7973
ENSG00000010256,6929
ENSG00000010270,1758
ENSG00000010278,19017
ENSG00000010282,0
ENSG00000010292,9587
ENSG00000010295,162
ENSG00000010310,76
ENSG00000010318,80
ENSG00000010319,411
ENSG00000010322,1850
ENSG00000010327,973
ENSG00000010361,90
ENSG00000010379,0
ENSG00000010404,1721
ENSG00000010438,2
ENSG00000010539,816
ENSG00000010610,2330
ENSG00000010626,494
ENSG00000010671,242
ENSG00000010704,94
ENSG00000010803,1417
ENSG00000010810,574
ENSG00000010818,1783
ENSG00000010932,69
ENSG00000011007,4081
ENSG00000011009,3955
ENSG00000011021,355
ENSG00000011028,2472
ENSG00000011052,137
ENSG00000011083,4
ENSG00000011105,3152
ENSG00000011114,2231
ENSG00000011132,521
ENSG00000011143,818
ENSG00000011198,752
ENSG00000011201,1053
ENSG00000011243,1352
ENSG00000011258,2115
ENSG00000011260,2690
ENSG00000011275,3424
ENSG00000011295,7189
ENSG00000011304,17584
ENSG00000011332,49
ENSG00000011347,7292
ENSG00000011376,1249
ENSG00000011405,5142
ENSG00000011422,1198
ENSG00000011426,5941
ENSG00000011451,2684
ENSG00000011454,4163
ENSG00000011465,6356
ENSG00000011478,1179
ENSG00000011485,5773
ENSG00000011523,952
ENSG00000011566,2625
ENSG00000011590,10
ENSG00000011600,1801
ENSG00000011638,3195
ENSG00000011677,5
ENSG00000012048,2362
ENSG00000012061,2358
ENSG00000012124,133
ENSG00000012171,481
ENSG00000012174,2617
ENSG00000012211,780
ENSG00000012223,114
ENSG00000012232,1950
ENSG00000012504,0
ENSG00000012660,2306
ENSG00000012779,307
ENSG00000012817,0
ENSG00000012822,1230
ENSG00000012963,3991
ENSG00000012983,2419
ENSG00000013016,418
ENSG00000013275,6726
ENSG00000013288,4990
ENSG00000013293,2
ENSG00000013297,82
ENSG00000013306,17552
ENSG00000013364,4224
ENSG00000013374,3009
ENSG00000013375,4881
ENSG00000013392,476
ENSG00000013441,1476
ENSG00000013503,1342
ENSG00000013523,1739
ENSG00000013561,4796
ENSG00000013563,1037
ENSG00000013573,1015
ENSG00000013583,3229
ENSG00000013588,5482
ENSG00000013619,105
ENSG00000013725,201
ENSG00000013810,3495
ENSG00000014123,2709
ENSG00000014138,2350
ENSG00000014164,1636
ENSG00000014216,18148
ENSG00000014257,214
ENSG00000014641,7200
ENSG00000014824,7614
ENSG00000014914,521
ENSG00000014919,3044
ENSG00000015133,1970
ENSG00000015153,584
ENSG00000015171,5375
ENSG00000015285,296
ENSG00000015413,21
ENSG00000015475,1325
ENSG00000015479,199
ENSG00000015520,73
ENSG00000015532,2041
ENSG00000015568,0
ENSG00000015592,3
ENSG00000015676,6217
ENSG00000016082,0
ENSG00000016391,54
ENSG00000016402,5517
ENSG00000016490,2
ENSG00000016602,0
ENSG00000016864,1910
ENSG00000017260,5582
ENSG00000017427,19
ENSG00000017483,78
ENSG00000017797,3961
ENSG00000018189,1050
ENSG00000018236,21
ENSG00000018280,146
ENSG00000018408,1115
ENSG00000018510,619
ENSG00000018607,0
ENSG00000018610,692
ENSG00000018625,79
ENSG00000018699,2100
ENSG00000018869,533
ENSG00000019102,6
ENSG00000019144,1644
ENSG00000019169,90
ENSG00000019186,1
ENSG00000019485,521
ENSG00000019505,3217
ENSG00000019549,383
ENSG00000019582,56526
ENSG00000019991,117
ENSG00000019995,889
ENSG00000020129,2822
ENSG00000020181,837
ENSG00000020219,0
ENSG00000020256,1576
ENSG00000020426,830
ENSG00000020577,172
ENSG00000020633,258
ENSG00000020922,2866
ENSG00000021300,99
ENSG00000021355,3292
ENSG00000021461,0
ENSG00000021488,6
ENSG00000021574,2440
ENSG00000021645,14
ENSG00000021762,4776
ENSG00000021776,5328
ENSG00000021826,854
