Gene stable ID,9a800810-38ad-46fa-9dba-49eda8810728
ENSG00000000003,1293
ENSG00000000005,6
ENSG00000000419,2650
ENSG00000000457,3067
ENSG00000000460,863
ENSG00000000938,703
ENSG00000000971,4801
ENSG00000001036,4237
ENSG00000001084,3986
ENSG00000001167,3406
ENSG00000001460,909
ENSG00000001461,6986
ENSG00000001497,2356
ENSG00000001561,7112
ENSG00000001617,6328
ENSG00000001626,3
ENSG00000001629,4720
ENSG00000001630,128
ENSG00000001631,1930
ENSG00000002016,656
ENSG00000002079,5
ENSG00000002330,970
ENSG00000002549,10991
ENSG00000002586,9085
ENSG00000002587,598
ENSG00000002726,8
ENSG00000002745,1
ENSG00000002746,220
ENSG00000002822,1057
ENSG00000002834,33707
ENSG00000002919,2174
ENSG00000002933,1822
ENSG00000003056,6428
ENSG00000003096,47
ENSG00000003137,159
ENSG00000003147,8045
ENSG00000003249,711
ENSG00000003393,2561
ENSG00000003400,1033
ENSG00000003402,7128
ENSG00000003436,1472
ENSG00000003509,992
ENSG00000003756,7905
ENSG00000003987,90
ENSG00000003989,186
ENSG00000004059,3071
ENSG00000004139,1089
ENSG00000004142,6051
ENSG00000004399,10680
ENSG00000004455,8065
ENSG00000004468,129
ENSG00000004478,19078
ENSG00000004487,6747
ENSG00000004534,5809
ENSG00000004660,1110
ENSG00000004700,2736
ENSG00000004766,1974
ENSG00000004776,83
ENSG00000004777,245
ENSG00000004779,3561
ENSG00000004799,1055
ENSG00000004809,2
ENSG00000004838,1143
ENSG00000004846,6
ENSG00000004848,0
ENSG00000004864,982
ENSG00000004866,2013
ENSG00000004897,8048
ENSG00000004939,3
ENSG00000004948,46
ENSG00000004961,1671
ENSG00000004975,1656
ENSG00000005001,775
ENSG00000005007,7343
ENSG00000005020,3186
ENSG00000005022,10542
ENSG00000005059,2124
ENSG00000005073,59
ENSG00000005075,919
ENSG00000005100,2152
ENSG00000005102,15
ENSG00000005108,562
ENSG00000005156,2960
ENSG00000005175,3202
ENSG00000005187,137
ENSG00000005189,540
ENSG00000005194,1905
ENSG00000005206,1550
ENSG00000005238,1448
ENSG00000005243,1290
ENSG00000005249,3816
ENSG00000005302,2068
ENSG00000005339,13907
ENSG00000005379,689
ENSG00000005381,8
ENSG00000005421,26
ENSG00000005436,2060
ENSG00000005448,854
ENSG00000005469,1212
ENSG00000005471,196
ENSG00000005483,5798
ENSG00000005486,3677
ENSG00000005513,21
ENSG00000005700,11219
ENSG00000005801,2112
ENSG00000005810,7932
ENSG00000005812,8959
ENSG00000005844,2699
ENSG00000005882,1422
ENSG00000005884,5922
ENSG00000005889,6188
ENSG00000005893,15796
ENSG00000005961,11
ENSG00000005981,8
ENSG00000006007,11403
ENSG00000006015,436
ENSG00000006016,63
ENSG00000006025,765
ENSG00000006042,3695
ENSG00000006047,298
ENSG00000006059,1
ENSG00000006062,1163
ENSG00000006071,1275
ENSG00000006116,0
ENSG00000006118,554
ENSG00000006125,30009
ENSG00000006128,14
ENSG00000006194,3096
ENSG00000006210,686
ENSG00000006282,2623
ENSG00000006283,21
ENSG00000006327,1078
ENSG00000006377,3
ENSG00000006432,2308
ENSG00000006451,5969
ENSG00000006453,1105
ENSG00000006459,2993
ENSG00000006468,1705
ENSG00000006530,1449
ENSG00000006534,1312
ENSG00000006555,1110
ENSG00000006576,2808
ENSG00000006606,21
ENSG00000006607,2855
ENSG00000006611,0
ENSG00000006625,4017
ENSG00000006634,510
