Gene stable ID,4fccdc2a-15ab-44be-9b18-bf270415fd12
ENSG00000000003,1144
ENSG00000000005,13
ENSG00000000419,1529
ENSG00000000457,1769
ENSG00000000460,368
ENSG00000000938,835
ENSG00000000971,2221
ENSG00000001036,2953
ENSG00000001084,2172
ENSG00000001167,2362
ENSG00000001460,476
ENSG00000001461,1766
ENSG00000001497,2616
ENSG00000001561,1541
ENSG00000001617,4904
ENSG00000001626,3
ENSG00000001629,2898
ENSG00000001630,171
ENSG00000001631,1438
ENSG00000002016,323
ENSG00000002079,2
ENSG00000002330,3106
ENSG00000002549,7915
ENSG00000002586,7181
ENSG00000002587,183
ENSG00000002726,84
ENSG00000002745,7
ENSG00000002746,22
ENSG00000002822,2221
ENSG00000002834,31730
ENSG00000002919,1564
ENSG00000002933,2050
ENSG00000003056,3084
ENSG00000003096,189
ENSG00000003137,221
ENSG00000003147,2073
ENSG00000003249,2104
ENSG00000003393,1383
ENSG00000003400,1010
ENSG00000003402,4567
ENSG00000003436,585
ENSG00000003509,641
ENSG00000003756,2642
ENSG00000003987,98
ENSG00000003989,334
ENSG00000004059,6560
ENSG00000004139,128
ENSG00000004142,5759
ENSG00000004399,11060
ENSG00000004455,7104
ENSG00000004468,1797
ENSG00000004478,11894
ENSG00000004487,4203
ENSG00000004534,2723
ENSG00000004660,796
ENSG00000004700,811
ENSG00000004766,1479
ENSG00000004776,105
ENSG00000004777,995
ENSG00000004779,3095
ENSG00000004799,433
ENSG00000004809,1
ENSG00000004838,298
ENSG00000004846,2
ENSG00000004848,273
ENSG00000004864,1335
ENSG00000004866,1087
ENSG00000004897,3189
ENSG00000004939,1
ENSG00000004948,33
ENSG00000004961,892
ENSG00000004975,1396
ENSG00000005001,400
ENSG00000005007,7645
ENSG00000005020,1153
ENSG00000005022,9384
ENSG00000005059,1501
ENSG00000005073,7
ENSG00000005075,2571
ENSG00000005100,1227
ENSG00000005102,1049
ENSG00000005108,276
ENSG00000005156,1223
ENSG00000005175,1704
ENSG00000005187,113
ENSG00000005189,520
ENSG00000005194,1531
ENSG00000005206,2744
ENSG00000005238,1515
ENSG00000005243,323
ENSG00000005249,8179
ENSG00000005302,1230
ENSG00000005339,4092
ENSG00000005379,4615
ENSG00000005381,6
ENSG00000005421,0
ENSG00000005436,951
ENSG00000005448,868
ENSG00000005469,1435
ENSG00000005471,87
ENSG00000005483,4341
ENSG00000005486,7026
ENSG00000005513,160
ENSG00000005700,3998
