Gene stable ID,00a9fc98-9f19-4a73-ae62-048fd7923b66
ENSG00000000003,829
ENSG00000000005,3
ENSG00000000419,2643
ENSG00000000457,1373
ENSG00000000460,724
ENSG00000000938,445
ENSG00000000971,1501
ENSG00000001036,4828
ENSG00000001084,1210
ENSG00000001167,2628
ENSG00000001460,484
ENSG00000001461,939
ENSG00000001497,3238
ENSG00000001561,407
ENSG00000001617,5378
ENSG00000001626,3
ENSG00000001629,3958
ENSG00000001630,142
ENSG00000001631,1988
ENSG00000002016,549
ENSG00000002079,31
ENSG00000002330,2064
ENSG00000002549,5390
ENSG00000002586,20839
ENSG00000002587,165
ENSG00000002726,736
ENSG00000002745,9
ENSG00000002746,12
ENSG00000002822,1818
ENSG00000002834,13990
ENSG00000002919,1671
ENSG00000002933,1752
ENSG00000003056,2993
ENSG00000003096,69
ENSG00000003137,77
ENSG00000003147,1867
ENSG00000003249,2420
ENSG00000003393,1280
ENSG00000003400,256
ENSG00000003402,3245
ENSG00000003436,422
ENSG00000003509,577
ENSG00000003756,2270
ENSG00000003987,277
ENSG00000003989,12054
ENSG00000004059,10476
ENSG00000004139,218
ENSG00000004142,7686
ENSG00000004399,4020
ENSG00000004455,4754
ENSG00000004468,237
ENSG00000004478,51425
ENSG00000004487,4272
ENSG00000004534,3272
ENSG00000004660,224
ENSG00000004700,932
ENSG00000004766,1309
ENSG00000004776,121
ENSG00000004777,709
ENSG00000004779,3480
ENSG00000004799,1007
ENSG00000004809,0
ENSG00000004838,846
ENSG00000004846,0
ENSG00000004848,5
ENSG00000004864,1772
ENSG00000004866,1281
ENSG00000004897,4009
ENSG00000004939,1
ENSG00000004948,20
ENSG00000004961,701
ENSG00000004975,1355
ENSG00000005001,789
ENSG00000005007,5035
ENSG00000005020,897
ENSG00000005022,15644
ENSG00000005059,926
ENSG00000005073,36
ENSG00000005075,4944
ENSG00000005100,1047
ENSG00000005102,40
ENSG00000005108,105
ENSG00000005156,2902
ENSG00000005175,2577
ENSG00000005187,42
ENSG00000005189,781
ENSG00000005194,2720
ENSG00000005206,2116
ENSG00000005238,749
ENSG00000005243,553
ENSG00000005249,614
ENSG00000005302,974
ENSG00000005339,4374
ENSG00000005379,1196
ENSG00000005381,3
ENSG00000005421,68
ENSG00000005436,924
ENSG00000005448,1696
ENSG00000005469,1417
ENSG00000005471,89
ENSG00000005483,3490
ENSG00000005486,6541
ENSG00000005513,13
ENSG00000005700,2709
ENSG00000005801,1581
ENSG00000005810,1097
ENSG00000005812,1105
ENSG00000005844,2032
ENSG00000005882,1726
ENSG00000005884,4681
ENSG00000005889,973
ENSG00000005893,12807
ENSG00000005961,83
ENSG00000005981,16
ENSG00000006007,4253
ENSG00000006015,969
ENSG00000006016,79
ENSG00000006025,573
ENSG00000006042,2313
ENSG00000006047,840
ENSG00000006059,8
ENSG00000006062,778
ENSG00000006071,110
ENSG00000006116,0
ENSG00000006118,2160
ENSG00000006125,17474
ENSG00000006128,0
ENSG00000006194,1968
ENSG00000006210,639
ENSG00000006282,4419
ENSG00000006283,13
ENSG00000006327,2637
ENSG00000006377,1
ENSG00000006432,270
ENSG00000006451,3791
ENSG00000006453,762
ENSG00000006459,1890
ENSG00000006468,330
ENSG00000006530,1519
ENSG00000006534,1434
ENSG00000006555,44
ENSG00000006576,1552
ENSG00000006606,21
ENSG00000006607,900
ENSG00000006611,62
ENSG00000006625,7907
ENSG00000006634,1151
ENSG00000006638,130
ENSG00000006652,1195
ENSG00000006659,0
ENSG00000006695,644
ENSG00000006704,3272
ENSG00000006712,2121
ENSG00000006715,2541
ENSG00000006740,111
ENSG00000006744,2516
ENSG00000006747,99
ENSG00000006756,2058
ENSG00000006757,720
ENSG00000006788,7
ENSG00000006831,24316
ENSG00000006837,75
ENSG00000007001,19
ENSG00000007038,32
ENSG00000007047,1985
ENSG00000007062,40
ENSG00000007080,1814
ENSG00000007129,55
ENSG00000007168,6417
ENSG00000007171,18
ENSG00000007174,4
ENSG00000007202,4472
ENSG00000007216,89
ENSG00000007237,704
ENSG00000007255,1296
ENSG00000007264,176
ENSG00000007306,15
ENSG00000007312,200
ENSG00000007314,37
ENSG00000007341,508
ENSG00000007350,0
ENSG00000007372,91
ENSG00000007376,2136
ENSG00000007384,2821
ENSG00000007392,2498
ENSG00000007402,568
ENSG00000007516,1003
ENSG00000007520,2023
ENSG00000007541,3128
ENSG00000007545,1059
ENSG00000007866,1640
ENSG00000007908,189
ENSG00000007923,973
ENSG00000007933,322
ENSG00000007944,953
ENSG00000007952,186
ENSG00000007968,815
ENSG00000008018,11063
ENSG00000008056,3352
ENSG00000008083,1445
ENSG00000008086,347
ENSG00000008118,14
ENSG00000008128,376
ENSG00000008130,2770
ENSG00000008196,1
ENSG00000008197,1
ENSG00000008226,28
ENSG00000008256,1652
ENSG00000008277,203
ENSG00000008282,4504
ENSG00000008283,13654
ENSG00000008294,3844
ENSG00000008300,1125
ENSG00000008311,87
ENSG00000008323,495
ENSG00000008324,1041
ENSG00000008382,1307
ENSG00000008394,13681
ENSG00000008405,730
ENSG00000008438,1
ENSG00000008441,1534
ENSG00000008513,2379
ENSG00000008516,112
ENSG00000008517,2579
ENSG00000008710,2914
ENSG00000008735,1255
ENSG00000008838,12472
ENSG00000008853,527
ENSG00000008869,1459
ENSG00000008952,8262
ENSG00000008988,42458
ENSG00000009307,14362
ENSG00000009335,3140
ENSG00000009413,408
ENSG00000009694,11
ENSG00000009709,0
ENSG00000009724,23
ENSG00000009765,123
ENSG00000009780,498
ENSG00000009790,465
ENSG00000009830,1170
ENSG00000009844,3311
ENSG00000009950,233
ENSG00000009954,7680
ENSG00000010017,3978
ENSG00000010030,395
ENSG00000010072,815
ENSG00000010165,1567
ENSG00000010219,1363
ENSG00000010244,8381
ENSG00000010256,7670
ENSG00000010270,1795
ENSG00000010278,48491
ENSG00000010282,4
ENSG00000010292,7403
ENSG00000010295,449
ENSG00000010310,155
ENSG00000010318,182
ENSG00000010319,383
ENSG00000010322,2368
ENSG00000010327,1784
ENSG00000010361,1625
ENSG00000010379,4
ENSG00000010404,4317
ENSG00000010438,0
ENSG00000010539,524
ENSG00000010610,2841
ENSG00000010626,1929
ENSG00000010671,442
ENSG00000010704,374
ENSG00000010803,2698
ENSG00000010810,1313
ENSG00000010818,844
ENSG00000010932,461
ENSG00000011007,3019
ENSG00000011009,2799
ENSG00000011021,449
ENSG00000011028,3138
ENSG00000011052,60
ENSG00000011083,1
ENSG00000011105,2546
ENSG00000011114,885
ENSG00000011132,612
ENSG00000011143,1311
ENSG00000011198,667
ENSG00000011201,328
ENSG00000011243,2427
ENSG00000011258,1620
ENSG00000011260,3323
ENSG00000011275,2421
ENSG00000011295,2137
ENSG00000011304,18403
ENSG00000011332,36
ENSG00000011347,7031
ENSG00000011376,895
ENSG00000011405,1994
ENSG00000011422,1711
ENSG00000011426,2620
ENSG00000011451,3226
ENSG00000011454,2407
ENSG00000011465,15805
ENSG00000011478,646
ENSG00000011485,2519
ENSG00000011523,1065
