Gene stable ID,24856edc-df30-4377-ae5e-32db616ad8c6
ENSG00000000003,1960
ENSG00000000005,16
ENSG00000000419,2136
ENSG00000000457,2165
ENSG00000000460,791
ENSG00000000938,310
ENSG00000000971,1935
ENSG00000001036,4747
ENSG00000001084,3538
ENSG00000001167,5744
ENSG00000001460,872
ENSG00000001461,1640
ENSG00000001497,16891
ENSG00000001561,748
ENSG00000001617,5463
ENSG00000001626,201
ENSG00000001629,8673
ENSG00000001630,797
ENSG00000001631,2789
ENSG00000002016,554
ENSG00000002079,60
ENSG00000002330,1684
ENSG00000002549,5729
ENSG00000002586,19953
ENSG00000002587,360
ENSG00000002726,84
ENSG00000002745,6
ENSG00000002746,12
ENSG00000002822,1751
ENSG00000002834,13561
ENSG00000002919,1601
ENSG00000002933,1264
ENSG00000003056,7002
ENSG00000003096,122
ENSG00000003137,93
ENSG00000003147,2916
ENSG00000003249,2564
ENSG00000003393,2362
ENSG00000003400,1278
ENSG00000003402,7848
ENSG00000003436,506
ENSG00000003509,471
ENSG00000003756,3692
ENSG00000003987,79
ENSG00000003989,4389
ENSG00000004059,8658
ENSG00000004139,192
ENSG00000004142,5281
ENSG00000004399,9193
ENSG00000004455,4757
ENSG00000004468,228
ENSG00000004478,34040
ENSG00000004487,5390
ENSG00000004534,3691
ENSG00000004660,725
ENSG00000004700,1967
ENSG00000004766,2159
ENSG00000004776,1816
ENSG00000004777,565
ENSG00000004779,2823
ENSG00000004799,924
ENSG00000004809,4
ENSG00000004838,1851
ENSG00000004846,24
ENSG00000004848,1196
ENSG00000004864,2012
ENSG00000004866,1820
ENSG00000004897,3433
ENSG00000004939,2
ENSG00000004948,28
ENSG00000004961,1360
ENSG00000004975,1853
ENSG00000005001,1345
ENSG00000005007,9735
ENSG00000005020,2372
ENSG00000005022,17207
ENSG00000005059,576
ENSG00000005073,47
ENSG00000005075,2903
ENSG00000005100,1282
ENSG00000005102,315
ENSG00000005108,325
ENSG00000005156,2202
ENSG00000005175,1804
ENSG00000005187,271
ENSG00000005189,1114
ENSG00000005194,2100
ENSG00000005206,2127
ENSG00000005238,1311
ENSG00000005243,897
ENSG00000005249,5144
ENSG00000005302,3007
ENSG00000005339,11495
ENSG00000005379,699
ENSG00000005381,42
ENSG00000005421,14
ENSG00000005436,1693
ENSG00000005448,1233
ENSG00000005469,12883
ENSG00000005471,162
ENSG00000005483,6046
ENSG00000005486,7790
ENSG00000005513,25
ENSG00000005700,8157
ENSG00000005801,1043
ENSG00000005810,11457
ENSG00000005812,9493
ENSG00000005844,3073
ENSG00000005882,597
ENSG00000005884,1678
ENSG00000005889,3117
ENSG00000005893,22634
ENSG00000005961,83
ENSG00000005981,1
ENSG00000006007,13564
ENSG00000006015,790
ENSG00000006016,151
ENSG00000006025,528
ENSG00000006042,1821
ENSG00000006047,679
ENSG00000006059,17
ENSG00000006062,1178
ENSG00000006071,158
ENSG00000006116,0
ENSG00000006118,13768
ENSG00000006125,20004
ENSG00000006128,0
ENSG00000006194,4384
ENSG00000006210,2049
ENSG00000006282,1702
ENSG00000006283,26
ENSG00000006327,1848
ENSG00000006377,4
ENSG00000006432,1137
ENSG00000006451,5980
ENSG00000006453,3261
ENSG00000006459,4079
ENSG00000006468,597
ENSG00000006530,1601
ENSG00000006534,1858
ENSG00000006555,244
ENSG00000006576,3323
ENSG00000006606,8
ENSG00000006607,2541
ENSG00000006611,14
ENSG00000006625,5728
ENSG00000006634,1410
ENSG00000006638,80
ENSG00000006652,1098
ENSG00000006659,0
ENSG00000006695,784
ENSG00000006704,2860
ENSG00000006712,5169
ENSG00000006715,4327
ENSG00000006740,703
ENSG00000006744,3428
ENSG00000006747,801
ENSG00000006756,10107
ENSG00000006757,2054
ENSG00000006788,6
ENSG00000006831,7556
ENSG00000006837,47
ENSG00000007001,4
ENSG00000007038,22
ENSG00000007047,2897
ENSG00000007062,5239
ENSG00000007080,3407
ENSG00000007129,66
ENSG00000007168,5639
ENSG00000007171,44
ENSG00000007174,11
ENSG00000007202,11711
ENSG00000007216,128
ENSG00000007237,1728
ENSG00000007255,2375
ENSG00000007264,99
ENSG00000007306,245
ENSG00000007312,229
ENSG00000007314,45
ENSG00000007341,328
ENSG00000007350,99
ENSG00000007372,153
ENSG00000007376,2614
ENSG00000007384,4469
ENSG00000007392,3308
ENSG00000007402,1252
ENSG00000007516,1323
ENSG00000007520,2557
ENSG00000007541,10135
ENSG00000007545,2776
ENSG00000007866,3981
ENSG00000007908,357
ENSG00000007923,1652
ENSG00000007933,140
ENSG00000007944,3151
ENSG00000007952,34
ENSG00000007968,439
ENSG00000008018,10959
ENSG00000008056,26
ENSG00000008083,5054
ENSG00000008086,2151
ENSG00000008118,74
ENSG00000008128,261
ENSG00000008130,3213
ENSG00000008196,4117
ENSG00000008197,0
ENSG00000008226,26
ENSG00000008256,1792
ENSG00000008277,753
ENSG00000008282,11218
ENSG00000008283,13736
ENSG00000008294,4161
ENSG00000008300,2361
ENSG00000008311,271
ENSG00000008323,1165
ENSG00000008324,822
ENSG00000008382,1540
ENSG00000008394,25234
ENSG00000008405,1772
ENSG00000008438,4
ENSG00000008441,3330
ENSG00000008513,4054
ENSG00000008516,183
ENSG00000008517,1895
ENSG00000008710,4226
ENSG00000008735,3839
ENSG00000008838,9731
ENSG00000008853,1017
