Gene stable ID,3179153d-40c4-4905-ac71-4340d7c402ae
ENSG00000000003,2940
ENSG00000000005,77
ENSG00000000419,2373
ENSG00000000457,787
ENSG00000000460,446
ENSG00000000938,865
ENSG00000000971,1187
ENSG00000001036,3863
ENSG00000001084,1091
ENSG00000001167,1985
ENSG00000001460,710
ENSG00000001461,1623
ENSG00000001497,2757
ENSG00000001561,1551
ENSG00000001617,2406
ENSG00000001626,9
ENSG00000001629,3694
ENSG00000001630,54
ENSG00000001631,1998
ENSG00000002016,252
ENSG00000002079,150
ENSG00000002330,1369
ENSG00000002549,4768
ENSG00000002586,25943
ENSG00000002587,339
ENSG00000002726,87
ENSG00000002745,15
ENSG00000002746,35
ENSG00000002822,1894
ENSG00000002834,10270
ENSG00000002919,1108
ENSG00000002933,8647
ENSG00000003056,2130
ENSG00000003096,113
ENSG00000003137,846
ENSG00000003147,1808
ENSG00000003249,5305
ENSG00000003393,461
ENSG00000003400,998
ENSG00000003402,3243
ENSG00000003436,650
ENSG00000003509,566
ENSG00000003756,2621
ENSG00000003987,52
ENSG00000003989,284
ENSG00000004059,12611
ENSG00000004139,138
ENSG00000004142,4113
ENSG00000004399,5990
ENSG00000004455,10020
ENSG00000004468,1369
ENSG00000004478,9275
ENSG00000004487,5372
ENSG00000004534,3433
ENSG00000004660,548
ENSG00000004700,833
ENSG00000004766,1114
ENSG00000004776,554
ENSG00000004777,699
ENSG00000004779,2168
ENSG00000004799,3416
ENSG00000004809,25
ENSG00000004838,76
ENSG00000004846,9
ENSG00000004848,99
ENSG00000004864,1275
ENSG00000004866,2217
ENSG00000004897,3052
ENSG00000004939,14
ENSG00000004948,12
ENSG00000004961,1221
ENSG00000004975,1113
ENSG00000005001,150
ENSG00000005007,4556
ENSG00000005020,1723
ENSG00000005022,9754
ENSG00000005059,1081
ENSG00000005073,108
ENSG00000005075,3003
ENSG00000005100,899
ENSG00000005102,3543
ENSG00000005108,194
ENSG00000005156,1411
ENSG00000005175,1154
ENSG00000005187,63
ENSG00000005189,403
ENSG00000005194,2719
ENSG00000005206,2577
ENSG00000005238,1198
ENSG00000005243,1053
ENSG00000005249,1982
ENSG00000005302,5216
ENSG00000005339,3430
ENSG00000005379,954
ENSG00000005381,5
ENSG00000005421,7
ENSG00000005436,1018
ENSG00000005448,399
ENSG00000005469,338
ENSG00000005471,44
ENSG00000005483,2898
ENSG00000005486,4172
ENSG00000005513,7072
ENSG00000005700,2268
ENSG00000005801,801
ENSG00000005810,2488
ENSG00000005812,1003
ENSG00000005844,1563
ENSG00000005882,870
ENSG00000005884,1850
ENSG00000005889,1409
ENSG00000005893,22347
ENSG00000005961,91
ENSG00000005981,5
ENSG00000006007,2446
ENSG00000006015,869
ENSG00000006016,884
ENSG00000006025,444
ENSG00000006042,713
ENSG00000006047,234
ENSG00000006059,0
ENSG00000006062,805
ENSG00000006071,4
ENSG00000006116,2
ENSG00000006118,18115
ENSG00000006125,4960
ENSG00000006128,1
ENSG00000006194,1060
ENSG00000006210,4432
ENSG00000006282,2145
ENSG00000006283,11
ENSG00000006327,12114
ENSG00000006377,316
ENSG00000006432,598
ENSG00000006451,3833
ENSG00000006453,5294
ENSG00000006459,1830
ENSG00000006468,374
ENSG00000006530,2464
ENSG00000006534,1363
ENSG00000006555,946
ENSG00000006576,1950
ENSG00000006606,32
ENSG00000006607,828
ENSG00000006611,2
ENSG00000006625,5155
ENSG00000006634,1064
ENSG00000006638,195
ENSG00000006652,3296
ENSG00000006659,0
ENSG00000006695,464
ENSG00000006704,1269
ENSG00000006712,2569
ENSG00000006715,2202
ENSG00000006740,167
ENSG00000006744,2498
ENSG00000006747,328
ENSG00000006756,4393
ENSG00000006757,463
ENSG00000006788,19
ENSG00000006831,3822
ENSG00000006837,31
ENSG00000007001,4
ENSG00000007038,8
ENSG00000007047,1766
ENSG00000007062,27160
ENSG00000007080,4647
ENSG00000007129,109
ENSG00000007168,3935
ENSG00000007171,36
ENSG00000007174,7
ENSG00000007202,3492
ENSG00000007216,7
ENSG00000007237,2404
ENSG00000007255,806
ENSG00000007264,1208
ENSG00000007306,0
ENSG00000007312,1141
ENSG00000007314,87
ENSG00000007341,678
ENSG00000007350,7
ENSG00000007372,381
ENSG00000007376,2818
ENSG00000007384,3507
ENSG00000007392,2877
ENSG00000007402,87
ENSG00000007516,475
ENSG00000007520,2216
ENSG00000007541,2206
ENSG00000007545,889
ENSG00000007866,2552
ENSG00000007908,517
ENSG00000007923,1319
ENSG00000007933,155
ENSG00000007944,1098
ENSG00000007952,40
ENSG00000007968,1503
ENSG00000008018,4800
ENSG00000008056,39
ENSG00000008083,2967
ENSG00000008086,342
ENSG00000008118,16
ENSG00000008128,405
ENSG00000008130,2769
ENSG00000008196,74
ENSG00000008197,1
ENSG00000008226,49
ENSG00000008256,1448
ENSG00000008277,91
ENSG00000008282,6421
ENSG00000008283,11037
ENSG00000008294,3501
ENSG00000008300,393
ENSG00000008311,89
ENSG00000008323,1282
ENSG00000008324,1106
ENSG00000008382,665
ENSG00000008394,10393
ENSG00000008405,1277
ENSG00000008438,1
ENSG00000008441,4030
ENSG00000008513,2058
ENSG00000008516,395
ENSG00000008517,1835
ENSG00000008710,4130
ENSG00000008735,1126
ENSG00000008838,2416
ENSG00000008853,530
ENSG00000008869,1880
ENSG00000008952,7870
ENSG00000008988,52447
ENSG00000009307,29874
ENSG00000009335,7404
ENSG00000009413,1261
ENSG00000009694,32
ENSG00000009709,2
ENSG00000009724,73
ENSG00000009765,3
ENSG00000009780,1001
ENSG00000009790,643
ENSG00000009830,1057
ENSG00000009844,1987
ENSG00000009950,582
ENSG00000009954,6464
ENSG00000010017,2686
ENSG00000010030,404
ENSG00000010072,526
ENSG00000010165,1601
ENSG00000010219,1132
ENSG00000010244,6157
ENSG00000010256,9938
ENSG00000010270,1230
ENSG00000010278,16477
ENSG00000010282,0
ENSG00000010292,5931
ENSG00000010295,742
ENSG00000010310,65
ENSG00000010318,255
ENSG00000010319,2119
ENSG00000010322,2962
ENSG00000010327,3393
ENSG00000010361,604
ENSG00000010379,2
ENSG00000010404,5245
ENSG00000010438,32
ENSG00000010539,365
ENSG00000010610,5449
ENSG00000010626,504
ENSG00000010671,895
ENSG00000010704,575
ENSG00000010803,2934
ENSG00000010810,2009
ENSG00000010818,1235
ENSG00000010932,670
ENSG00000011007,3372
ENSG00000011009,6121
ENSG00000011021,798
ENSG00000011028,12372
ENSG00000011052,57
ENSG00000011083,10
ENSG00000011105,2618
ENSG00000011114,1506
ENSG00000011132,907
ENSG00000011143,622
ENSG00000011198,1269
ENSG00000011201,145
ENSG00000011243,1906
ENSG00000011258,713
ENSG00000011260,1716
ENSG00000011275,2755
ENSG00000011295,1374
ENSG00000011304,14588
ENSG00000011332,35
ENSG00000011347,4878
ENSG00000011376,904
ENSG00000011405,1355
ENSG00000011422,3476
ENSG00000011426,4523
ENSG00000011451,3159
ENSG00000011454,2056
ENSG00000011465,15512
ENSG00000011478,852
ENSG00000011485,2469
ENSG00000011523,869
ENSG00000011566,1008
ENSG00000011590,83
ENSG00000011600,4054
ENSG00000011638,1714
ENSG00000011677,0
ENSG00000012048,269
ENSG00000012061,1598
ENSG00000012124,465
ENSG00000012171,1138
ENSG00000012174,1067
ENSG00000012211,400
ENSG00000012223,32851
ENSG00000012232,2662
ENSG00000012504,0
ENSG00000012660,4680
ENSG00000012779,1243
ENSG00000012817,1
ENSG00000012822,2520
ENSG00000012963,2084
ENSG00000012983,1926
ENSG00000013016,846
ENSG00000013275,3728
ENSG00000013288,2188
ENSG00000013293,0
ENSG00000013297,144
ENSG00000013306,12500
ENSG00000013364,9826
ENSG00000013374,4038
ENSG00000013375,3664
ENSG00000013392,437
ENSG00000013441,2444
ENSG00000013503,571
ENSG00000013523,895
ENSG00000013561,1784
ENSG00000013563,1721
ENSG00000013573,1881
ENSG00000013583,2318
ENSG00000013588,10411
ENSG00000013619,579
ENSG00000013725,1150
ENSG00000013810,3569
ENSG00000014123,2097
ENSG00000014138,1340
ENSG00000014164,1703
ENSG00000014216,15206
ENSG00000014257,41
ENSG00000014641,7003
ENSG00000014824,1773
ENSG00000014914,1393
ENSG00000014919,1568
ENSG00000015133,1696
ENSG00000015153,479
ENSG00000015171,3332
ENSG00000015285,1298
ENSG00000015413,69
ENSG00000015475,1878
ENSG00000015479,133
ENSG00000015520,1
ENSG00000015532,1304
ENSG00000015568,1
ENSG00000015592,0
ENSG00000015676,3854
ENSG00000016082,0
ENSG00000016391,1419
ENSG00000016402,21
ENSG00000016490,0
ENSG00000016602,2
ENSG00000016864,2822
ENSG00000017260,5435
ENSG00000017427,313
ENSG00000017483,832
ENSG00000017797,4435
ENSG00000018189,1768
ENSG00000018236,257
ENSG00000018280,235
ENSG00000018408,3534
ENSG00000018510,1331
ENSG00000018607,0
ENSG00000018610,981
ENSG00000018625,94
ENSG00000018699,791
ENSG00000018869,62
ENSG00000019102,36
ENSG00000019144,2354
ENSG00000019169,683
ENSG00000019186,11
ENSG00000019485,680
ENSG00000019505,244
ENSG00000019549,845
ENSG00000019582,132119
ENSG00000019991,181
ENSG00000019995,626
ENSG00000020129,1504
ENSG00000020181,1813
ENSG00000020219,1
ENSG00000020256,728
ENSG00000020426,673
ENSG00000020577,511
ENSG00000020633,1536
ENSG00000020922,1392
ENSG00000021300,1409
ENSG00000021355,2028
ENSG00000021461,2
ENSG00000021488,11
ENSG00000021574,923
ENSG00000021645,23
ENSG00000021762,1170
ENSG00000021776,1764
ENSG00000021826,44
ENSG00000021852,0
ENSG00000022267,5194
ENSG00000022277,4933
ENSG00000022355,0
ENSG00000022556,161
ENSG00000022567,587
ENSG00000022840,8740
ENSG00000022976,259
ENSG00000023041,2230
ENSG00000023171,145
ENSG00000023191,5637
ENSG00000023228,2236
ENSG00000023287,3324
ENSG00000023318,4102
ENSG00000023330,3420
ENSG00000023445,1780
ENSG00000023516,1182
ENSG00000023572,878
ENSG00000023608,433
ENSG00000023697,1522
ENSG00000023734,4685
ENSG00000023839,99
ENSG00000023892,3504
ENSG00000023902,3210
ENSG00000023909,1108
ENSG00000024048,2672
ENSG00000024422,5724
ENSG00000024526,605
ENSG00000024862,734
ENSG00000025039,1966
ENSG00000025156,624
ENSG00000025293,858
ENSG00000025423,131
ENSG00000025434,1785
ENSG00000025708,8644
ENSG00000025770,4830
ENSG00000025772,2655
ENSG00000025796,8465
ENSG00000025800,3790
ENSG00000026025,82337
ENSG00000026036,188
ENSG00000026103,390
ENSG00000026297,2160
ENSG00000026508,46635
ENSG00000026559,5289
ENSG00000026652,603
ENSG00000026751,4471
ENSG00000026950,969
ENSG00000027001,409
ENSG00000027075,961
ENSG00000027644,12
ENSG00000027697,3074
ENSG00000027847,2095
ENSG00000027869,357
ENSG00000028116,964
ENSG00000028137,2644
ENSG00000028203,2053
ENSG00000028277,1538
ENSG00000028310,1410
ENSG00000028528,3723
ENSG00000028839,621
ENSG00000029153,485
ENSG00000029363,3988
ENSG00000029364,3044
ENSG00000029534,254
ENSG00000029559,472
ENSG00000029639,178
ENSG00000029725,1925
ENSG00000029993,5629
ENSG00000030066,2933
ENSG00000030110,1269
ENSG00000030304,3
ENSG00000030419,281
ENSG00000030582,21693
ENSG00000031003,800
ENSG00000031081,1846
ENSG00000031691,420
ENSG00000031698,5774
ENSG00000031823,2965
ENSG00000032219,584
ENSG00000032389,1198
ENSG00000032444,1835
ENSG00000032742,268
ENSG00000033011,1200
ENSG00000033030,1421
ENSG00000033050,4661
ENSG00000033100,5427
ENSG00000033122,27
ENSG00000033170,2253
ENSG00000033178,2936
ENSG00000033327,1750
ENSG00000033627,2225
ENSG00000033800,1418
ENSG00000033867,3330
ENSG00000034053,387
ENSG00000034152,2706
ENSG00000034239,3
ENSG00000034510,129577
ENSG00000034533,504
ENSG00000034677,1800
ENSG00000034693,331
ENSG00000034713,3211
ENSG00000034971,0
ENSG00000035115,3548
ENSG00000035141,3425
ENSG00000035403,6257
ENSG00000035499,517
ENSG00000035664,634
ENSG00000035681,1561
ENSG00000035687,2955
ENSG00000035720,149
ENSG00000035862,24464
ENSG00000035928,1457
ENSG00000036054,1653
ENSG00000036257,2119
ENSG00000036448,52
ENSG00000036473,0
ENSG00000036530,60
ENSG00000036549,1282
ENSG00000036565,13
ENSG00000036672,275
ENSG00000036828,0
ENSG00000037042,438
ENSG00000037241,1820
ENSG00000037280,3973
ENSG00000037474,2491
ENSG00000037637,1336
ENSG00000037749,281
ENSG00000037757,600
ENSG00000037897,1579
ENSG00000037965,455
ENSG00000038002,699
ENSG00000038210,1205
ENSG00000038219,1491
ENSG00000038274,2380
ENSG00000038295,163
ENSG00000038358,1465
ENSG00000038382,2526
ENSG00000038427,10474
ENSG00000038532,1439
ENSG00000038945,1497
ENSG00000039068,18342
ENSG00000039123,1685
ENSG00000039139,82
ENSG00000039319,1081
ENSG00000039523,4226
ENSG00000039537,147
ENSG00000039560,3475
ENSG00000039600,18
ENSG00000039650,1042
ENSG00000039987,2
ENSG00000040199,672
ENSG00000040275,931
ENSG00000040341,1877
ENSG00000040487,2025
ENSG00000040531,831
ENSG00000040608,1322
ENSG00000040633,1371
ENSG00000040731,0
ENSG00000040933,1550
ENSG00000041353,320
ENSG00000041357,6921
ENSG00000041515,18
ENSG00000041802,1825
ENSG00000041880,624
ENSG00000041982,8821
ENSG00000041988,638
ENSG00000042062,83
ENSG00000042088,970
ENSG00000042286,1753
ENSG00000042304,3
ENSG00000042317,279
ENSG00000042429,1456
ENSG00000042445,3665
ENSG00000042493,30435
ENSG00000042753,3899
