Gene stable ID,a9601a38-022a-4cfb-8028-5a9b9b31126b
ENSG00000000003,2030
ENSG00000000005,10
ENSG00000000419,4673
ENSG00000000457,2642
ENSG00000000460,1013
ENSG00000000938,622
ENSG00000000971,6302
ENSG00000001036,7670
ENSG00000001084,3214
ENSG00000001167,5139
ENSG00000001460,448
ENSG00000001461,2398
ENSG00000001497,5141
ENSG00000001561,1926
ENSG00000001617,11303
ENSG00000001626,27
ENSG00000001629,5748
ENSG00000001630,293
ENSG00000001631,2301
ENSG00000002016,474
ENSG00000002079,13
ENSG00000002330,1404
ENSG00000002549,21508
ENSG00000002586,8344
ENSG00000002587,289
ENSG00000002726,12
ENSG00000002745,4
ENSG00000002746,32
ENSG00000002822,1832
ENSG00000002834,34886
ENSG00000002919,1372
ENSG00000002933,1905
ENSG00000003056,4980
ENSG00000003096,1442
ENSG00000003137,340
ENSG00000003147,3604
ENSG00000003249,4172
ENSG00000003393,2004
ENSG00000003400,986
ENSG00000003402,6596
ENSG00000003436,3540
ENSG00000003509,1248
ENSG00000003756,7445
ENSG00000003987,112
ENSG00000003989,18304
ENSG00000004059,6474
ENSG00000004139,371
ENSG00000004142,6767
ENSG00000004399,14863
ENSG00000004455,7951
ENSG00000004468,599
ENSG00000004478,42262
ENSG00000004487,6786
ENSG00000004534,5081
ENSG00000004660,991
ENSG00000004700,1890
ENSG00000004766,2078
ENSG00000004776,425
ENSG00000004777,374
ENSG00000004779,3597
ENSG00000004799,2131
ENSG00000004809,5
ENSG00000004838,193
ENSG00000004846,109
ENSG00000004848,16
ENSG00000004864,2471
ENSG00000004866,1998
ENSG00000004897,4955
ENSG00000004939,1
ENSG00000004948,596
ENSG00000004961,2300
ENSG00000004975,1835
ENSG00000005001,1572
ENSG00000005007,11968
ENSG00000005020,2349
ENSG00000005022,21815
ENSG00000005059,1855
ENSG00000005073,12
ENSG00000005075,1835
ENSG00000005100,1472
ENSG00000005102,1370
ENSG00000005108,897
ENSG00000005156,7436
ENSG00000005175,3452
ENSG00000005187,193
ENSG00000005189,524
ENSG00000005194,4439
ENSG00000005206,2193
ENSG00000005238,1047
ENSG00000005243,666
ENSG00000005249,967
ENSG00000005302,1666
ENSG00000005339,10503
ENSG00000005379,1920
ENSG00000005381,17
ENSG00000005421,0
ENSG00000005436,1778
ENSG00000005448,856
