Gene stable ID,4111592c-f4a8-4fcf-b272-188c1103354e
ENSG00000000003,3132
ENSG00000000005,12
ENSG00000000419,3042
ENSG00000000457,2685
ENSG00000000460,1388
ENSG00000000938,524
ENSG00000000971,3965
ENSG00000001036,3327
ENSG00000001084,3637
ENSG00000001167,3799
ENSG00000001460,696
ENSG00000001461,4578
ENSG00000001497,4184
ENSG00000001561,5270
ENSG00000001617,8078
ENSG00000001626,17
ENSG00000001629,6552
ENSG00000001630,546
ENSG00000001631,3099
ENSG00000002016,858
ENSG00000002079,10
ENSG00000002330,2371
ENSG00000002549,13956
ENSG00000002586,9724
ENSG00000002587,394
ENSG00000002726,58
ENSG00000002745,8
ENSG00000002746,70
ENSG00000002822,1542
ENSG00000002834,32864
ENSG00000002919,2922
ENSG00000002933,2495
ENSG00000003056,10447
ENSG00000003096,206
ENSG00000003137,118
ENSG00000003147,4091
ENSG00000003249,3046
ENSG00000003393,3042
ENSG00000003400,463
ENSG00000003402,5156
ENSG00000003436,628
ENSG00000003509,671
ENSG00000003756,6953
ENSG00000003987,76
ENSG00000003989,31602
ENSG00000004059,10741
ENSG00000004139,929
ENSG00000004142,7089
ENSG00000004399,12507
ENSG00000004455,7712
ENSG00000004468,60
ENSG00000004478,59783
ENSG00000004487,8673
ENSG00000004534,4012
ENSG00000004660,1170
ENSG00000004700,2914
ENSG00000004766,2793
ENSG00000004776,437
ENSG00000004777,557
ENSG00000004779,5256
ENSG00000004799,2244
ENSG00000004809,5
ENSG00000004838,2118
ENSG00000004846,2
ENSG00000004848,21
ENSG00000004864,1498
ENSG00000004866,3118
ENSG00000004897,4160
ENSG00000004939,1
ENSG00000004948,16
ENSG00000004961,2008
ENSG00000004975,1847
ENSG00000005001,412
ENSG00000005007,11772
ENSG00000005020,1555
ENSG00000005022,21141
ENSG00000005059,1094
ENSG00000005073,74
ENSG00000005075,1597
ENSG00000005100,2038
ENSG00000005102,172
ENSG00000005108,323
ENSG00000005156,4086
ENSG00000005175,4863
ENSG00000005187,101
ENSG00000005189,616
ENSG00000005194,2848
ENSG00000005206,2951
ENSG00000005238,2539
ENSG00000005243,1357
ENSG00000005249,6478
ENSG00000005302,1836
ENSG00000005339,17154
ENSG00000005379,1267
ENSG00000005381,12
ENSG00000005421,29
ENSG00000005436,1141
ENSG00000005448,1175
ENSG00000005469,2102
ENSG00000005471,143
ENSG00000005483,7220
ENSG00000005486,7248
ENSG00000005513,156
ENSG00000005700,7582
ENSG00000005801,1472
ENSG00000005810,10869
ENSG00000005812,5134
ENSG00000005844,1895
ENSG00000005882,1379
ENSG00000005884,5427
ENSG00000005889,4979
ENSG00000005893,18403
ENSG00000005961,30
ENSG00000005981,2
ENSG00000006007,15181
ENSG00000006015,949
ENSG00000006016,347
ENSG00000006025,741
ENSG00000006042,3194
ENSG00000006047,107
ENSG00000006059,0
ENSG00000006062,1385
ENSG00000006071,2323
ENSG00000006116,0
ENSG00000006118,2610
ENSG00000006125,29019
ENSG00000006128,17
ENSG00000006194,4330
ENSG00000006210,1587
ENSG00000006282,1066
ENSG00000006283,67
ENSG00000006327,2127
ENSG00000006377,1
ENSG00000006432,1664
ENSG00000006451,4246
ENSG00000006453,2933
ENSG00000006459,2079
ENSG00000006468,747
ENSG00000006530,1917
ENSG00000006534,695
ENSG00000006555,367
ENSG00000006576,2749
ENSG00000006606,10
ENSG00000006607,3834
ENSG00000006611,6
ENSG00000006625,3512
ENSG00000006634,1128
ENSG00000006638,123
ENSG00000006652,1193
ENSG00000006659,1
ENSG00000006695,1350
ENSG00000006704,2474
ENSG00000006712,8326
ENSG00000006715,4395
ENSG00000006740,1302
ENSG00000006744,6185
ENSG00000006747,212
ENSG00000006756,9073
ENSG00000006757,2770
ENSG00000006788,18
ENSG00000006831,74725
ENSG00000006837,133
ENSG00000007001,2
ENSG00000007038,269
ENSG00000007047,3192
ENSG00000007062,561
ENSG00000007080,3287
ENSG00000007129,124
ENSG00000007168,13478
ENSG00000007171,100
ENSG00000007174,265
ENSG00000007202,13463
ENSG00000007216,785
ENSG00000007237,3381
ENSG00000007255,1369
ENSG00000007264,269
ENSG00000007306,40
ENSG00000007312,126
ENSG00000007314,95
ENSG00000007341,1070
ENSG00000007350,0
ENSG00000007372,169
ENSG00000007376,3179
ENSG00000007384,4195
ENSG00000007392,2668
ENSG00000007402,4470
ENSG00000007516,2825
ENSG00000007520,3179
ENSG00000007541,8910
ENSG00000007545,2342
ENSG00000007866,1726
ENSG00000007908,470
ENSG00000007923,2414
ENSG00000007933,218
ENSG00000007944,3387
ENSG00000007952,69
ENSG00000007968,512
ENSG00000008018,8387
ENSG00000008056,248
ENSG00000008083,3048
ENSG00000008086,1249
ENSG00000008118,29
ENSG00000008128,209
ENSG00000008130,4227
ENSG00000008196,42
ENSG00000008197,0
ENSG00000008226,54
ENSG00000008256,2402
ENSG00000008277,1894
ENSG00000008282,13919
ENSG00000008283,8106
ENSG00000008294,5671
ENSG00000008300,1395
ENSG00000008311,165
ENSG00000008323,708
ENSG00000008324,1139
ENSG00000008382,1407
ENSG00000008394,2871
ENSG00000008405,5289
ENSG00000008438,1
ENSG00000008441,16127
ENSG00000008513,25807
ENSG00000008516,179
ENSG00000008517,2225
ENSG00000008710,5793
ENSG00000008735,2763
ENSG00000008838,5743
ENSG00000008853,2060
ENSG00000008869,4380
ENSG00000008952,12956
ENSG00000008988,20365
ENSG00000009307,39153
ENSG00000009335,8910
ENSG00000009413,2293
ENSG00000009694,44
ENSG00000009709,30
ENSG00000009724,43
ENSG00000009765,31
ENSG00000009780,1055
ENSG00000009790,436
ENSG00000009830,2064
ENSG00000009844,3756
ENSG00000009950,157
ENSG00000009954,13350
ENSG00000010017,4340
ENSG00000010030,301
ENSG00000010072,1785
ENSG00000010165,6417
ENSG00000010219,1547
ENSG00000010244,10758
ENSG00000010256,10560
ENSG00000010270,1719
ENSG00000010278,72170
ENSG00000010282,1
ENSG00000010292,8149
ENSG00000010295,620
ENSG00000010310,438
ENSG00000010318,560
ENSG00000010319,1215
ENSG00000010322,8241
ENSG00000010327,3274
ENSG00000010361,1722
ENSG00000010379,3
ENSG00000010404,8408
ENSG00000010438,6
ENSG00000010539,1392
ENSG00000010610,3992
ENSG00000010626,1194
ENSG00000010671,536
ENSG00000010704,1111
ENSG00000010803,2579
ENSG00000010810,1483
ENSG00000010818,2325
ENSG00000010932,546
ENSG00000011007,5326
ENSG00000011009,3861
ENSG00000011021,1054
ENSG00000011028,9360
ENSG00000011052,56
ENSG00000011083,18
ENSG00000011105,6691
ENSG00000011114,3776
ENSG00000011132,1200
ENSG00000011143,1464
ENSG00000011198,2131
ENSG00000011201,5826
ENSG00000011243,3681
ENSG00000011258,2159
ENSG00000011260,2109
ENSG00000011275,4552
ENSG00000011295,4014
ENSG00000011304,23621
ENSG00000011332,138
ENSG00000011347,7402
ENSG00000011376,2690
ENSG00000011405,5610
ENSG00000011422,1686
ENSG00000011426,2022
ENSG00000011451,10461
ENSG00000011454,7849
ENSG00000011465,67669
ENSG00000011478,784
ENSG00000011485,4887
ENSG00000011523,2109
ENSG00000011566,3284
ENSG00000011590,37
ENSG00000011600,2601
ENSG00000011638,4131
ENSG00000011677,0
ENSG00000012048,1608
ENSG00000012061,4088
ENSG00000012124,855
ENSG00000012171,1056
ENSG00000012174,2658
ENSG00000012211,702
ENSG00000012223,289499
ENSG00000012232,3131
ENSG00000012504,0
ENSG00000012660,20338
ENSG00000012779,1220
ENSG00000012817,1
ENSG00000012822,7079
ENSG00000012963,6969
ENSG00000012983,3321
ENSG00000013016,1570
ENSG00000013275,6709
ENSG00000013288,7640
ENSG00000013293,1
ENSG00000013297,182
ENSG00000013306,6558
ENSG00000013364,17277
ENSG00000013374,6928
ENSG00000013375,3092
ENSG00000013392,554
ENSG00000013441,3349
ENSG00000013503,2046
ENSG00000013523,1695
ENSG00000013561,11658
ENSG00000013563,1077
ENSG00000013573,1491
ENSG00000013583,10200
ENSG00000013588,25786
ENSG00000013619,284
ENSG00000013725,574
ENSG00000013810,2617
ENSG00000014123,4729
ENSG00000014138,1988
ENSG00000014164,1643
ENSG00000014216,13141
ENSG00000014257,97
ENSG00000014641,7336
ENSG00000014824,6330
ENSG00000014914,920
ENSG00000014919,3500
ENSG00000015133,4794
ENSG00000015153,1764
ENSG00000015171,11127
ENSG00000015285,537
ENSG00000015413,139
ENSG00000015475,1833
ENSG00000015479,650
ENSG00000015520,174
ENSG00000015532,2499
ENSG00000015568,0
ENSG00000015592,45
ENSG00000015676,10526
ENSG00000016082,2
ENSG00000016391,3941
ENSG00000016402,556
ENSG00000016490,0
ENSG00000016602,11
ENSG00000016864,4772
ENSG00000017260,9700
ENSG00000017427,273
ENSG00000017483,542
ENSG00000017797,7544
ENSG00000018189,1912
ENSG00000018236,1346
ENSG00000018280,223
ENSG00000018408,4089
ENSG00000018510,4246
ENSG00000018607,0
ENSG00000018610,1854
ENSG00000018625,140
ENSG00000018699,1467
ENSG00000018869,546
ENSG00000019102,380
ENSG00000019144,4874
ENSG00000019169,107
ENSG00000019186,22
ENSG00000019485,516
ENSG00000019505,11783
ENSG00000019549,1375
ENSG00000019582,127053
ENSG00000019991,513
ENSG00000019995,2650
ENSG00000020129,3504
ENSG00000020181,2391
ENSG00000020219,0
ENSG00000020256,2889
ENSG00000020426,1321
ENSG00000020577,802
ENSG00000020633,750
ENSG00000020922,2338
ENSG00000021300,2158
ENSG00000021355,4864
ENSG00000021461,1
ENSG00000021488,8
ENSG00000021574,2290
ENSG00000021645,609
ENSG00000021762,2429
ENSG00000021776,5873
ENSG00000021826,564
ENSG00000021852,3
ENSG00000022267,1723
ENSG00000022277,11427
ENSG00000022355,3
ENSG00000022556,1077
ENSG00000022567,1351
ENSG00000022840,22166
ENSG00000022976,474
ENSG00000023041,2008
ENSG00000023171,513
ENSG00000023191,8150
ENSG00000023228,7681
ENSG00000023287,4512
ENSG00000023318,5660
ENSG00000023330,4542
ENSG00000023445,1957
ENSG00000023516,7478
ENSG00000023572,769
ENSG00000023608,405
ENSG00000023697,2628
ENSG00000023734,17065
ENSG00000023839,24
ENSG00000023892,1188
ENSG00000023902,2527
ENSG00000023909,1823
ENSG00000024048,5860
ENSG00000024422,5550
ENSG00000024526,566
ENSG00000024862,1261
ENSG00000025039,677
ENSG00000025156,1056
ENSG00000025293,9218
ENSG00000025423,666
ENSG00000025434,1003
ENSG00000025708,6148
ENSG00000025770,2362
ENSG00000025772,6958
ENSG00000025796,11678
ENSG00000025800,7349
ENSG00000026025,47823
ENSG00000026036,132
ENSG00000026103,801
ENSG00000026297,2037
ENSG00000026508,16177
ENSG00000026559,88
ENSG00000026652,431
ENSG00000026751,516
ENSG00000026950,2289
ENSG00000027001,3421
ENSG00000027075,2656
ENSG00000027644,191
ENSG00000027697,4675
ENSG00000027847,2859
ENSG00000027869,234
ENSG00000028116,2340
ENSG00000028137,2425
ENSG00000028203,8715
ENSG00000028277,518
ENSG00000028310,3638
ENSG00000028528,13417
ENSG00000028839,543
ENSG00000029153,1303
ENSG00000029363,14425
ENSG00000029364,10261
ENSG00000029534,85
ENSG00000029559,99
ENSG00000029639,837
ENSG00000029725,25062
ENSG00000029993,9691
ENSG00000030066,3427
ENSG00000030110,1340
ENSG00000030304,7
ENSG00000030419,2081
ENSG00000030582,29825
ENSG00000031003,4686
ENSG00000031081,2087
ENSG00000031691,481
ENSG00000031698,9819
ENSG00000031823,4685
ENSG00000032219,2198
ENSG00000032389,1457
ENSG00000032444,3851
ENSG00000032742,1837
ENSG00000033011,3348
ENSG00000033030,3203
ENSG00000033050,5067
ENSG00000033100,5349
ENSG00000033122,33
ENSG00000033170,4995
ENSG00000033178,2799
ENSG00000033327,3233
ENSG00000033627,6781
ENSG00000033800,3315
ENSG00000033867,5773
ENSG00000034053,254
ENSG00000034152,3167
ENSG00000034239,20
ENSG00000034510,32889
ENSG00000034533,936
ENSG00000034677,3176
ENSG00000034693,960
ENSG00000034713,6277
ENSG00000034971,40
ENSG00000035115,4212
ENSG00000035141,2199
ENSG00000035403,13586
ENSG00000035499,440
ENSG00000035664,1653
ENSG00000035681,2056
ENSG00000035687,8959
ENSG00000035720,27
ENSG00000035862,30040
ENSG00000035928,6759
ENSG00000036054,3033
ENSG00000036257,7488
ENSG00000036448,60
ENSG00000036473,0
ENSG00000036530,121
ENSG00000036549,3789
ENSG00000036565,4
ENSG00000036672,754
ENSG00000036828,1
ENSG00000037042,833
ENSG00000037241,2282
ENSG00000037280,940
ENSG00000037474,8561
ENSG00000037637,2518
ENSG00000037749,3537
ENSG00000037757,1214
ENSG00000037897,1898
ENSG00000037965,472
ENSG00000038002,1162
ENSG00000038210,1438
ENSG00000038219,5783
ENSG00000038274,8784
ENSG00000038295,515
ENSG00000038358,4146
ENSG00000038382,15077
ENSG00000038427,38326
ENSG00000038532,5210
ENSG00000038945,2909
ENSG00000039068,132688
ENSG00000039123,10090
ENSG00000039139,5179
ENSG00000039319,6645
ENSG00000039523,5417
ENSG00000039537,429
ENSG00000039560,4369
ENSG00000039600,11
ENSG00000039650,1939
ENSG00000039987,2
ENSG00000040199,2055
ENSG00000040275,1442
ENSG00000040341,5208
ENSG00000040487,813
ENSG00000040531,1174
ENSG00000040608,561
ENSG00000040633,3812
ENSG00000040731,5
ENSG00000040933,2264
ENSG00000041353,4944
ENSG00000041357,6798
ENSG00000041515,29
ENSG00000041802,4784
ENSG00000041880,2936
ENSG00000041982,25877
ENSG00000041988,596
ENSG00000042062,1187
ENSG00000042088,1600
ENSG00000042286,1784
ENSG00000042304,0
ENSG00000042317,568
ENSG00000042429,2055
ENSG00000042445,7639
ENSG00000042493,15252
ENSG00000042753,4836
ENSG00000042781,14
ENSG00000042813,0
ENSG00000042832,33
ENSG00000042980,489
ENSG00000043039,1702
ENSG00000043093,2661
ENSG00000043143,11467
ENSG00000043355,34
ENSG00000043462,1468
ENSG00000043514,935
ENSG00000043591,11
ENSG00000044012,0
ENSG00000044090,4833
ENSG00000044115,39366
ENSG00000044446,2024
ENSG00000044459,868
ENSG00000044524,522
ENSG00000044574,66964
ENSG00000046604,18900
ENSG00000046647,1450
ENSG00000046651,8007
ENSG00000046653,1137
ENSG00000046774,18
ENSG00000046889,466
ENSG00000047056,1882
ENSG00000047188,6219
ENSG00000047230,3484
ENSG00000047249,3831
ENSG00000047315,10404
ENSG00000047346,6902
ENSG00000047365,1478
ENSG00000047410,18373
ENSG00000047457,431
ENSG00000047578,5376
ENSG00000047579,1352
ENSG00000047597,52
ENSG00000047617,499
ENSG00000047621,2946
ENSG00000047634,637
ENSG00000047644,8322
ENSG00000047648,203
ENSG00000047662,64
ENSG00000047849,23974
ENSG00000047932,3268
ENSG00000047936,4
ENSG00000048028,2515
ENSG00000048052,567
ENSG00000048140,3719
ENSG00000048162,1189
ENSG00000048342,1539
ENSG00000048392,3338
ENSG00000048405,2654
ENSG00000048462,15
ENSG00000048471,4321
ENSG00000048540,618
ENSG00000048544,3431
ENSG00000048545,6
ENSG00000048649,6581
ENSG00000048707,10135
ENSG00000048740,1647
ENSG00000048828,29721
ENSG00000048991,2693
ENSG00000049089,344
ENSG00000049130,5020
ENSG00000049167,627
ENSG00000049192,244
ENSG00000049239,7219
ENSG00000049245,6666
ENSG00000049246,2764
ENSG00000049247,3
ENSG00000049249,146
ENSG00000049283,1440
ENSG00000049323,2144
ENSG00000049449,6999
ENSG00000049540,6242
ENSG00000049541,1762
ENSG00000049618,7963
ENSG00000049656,14281
ENSG00000049759,7623
ENSG00000049768,426
ENSG00000049769,223
ENSG00000049860,10879
ENSG00000049883,1614
ENSG00000050030,117
ENSG00000050130,3003
ENSG00000050165,4411
ENSG00000050327,1637
ENSG00000050344,1518
ENSG00000050393,2690
ENSG00000050405,21456
ENSG00000050426,3735
ENSG00000050438,3749
ENSG00000050555,123
ENSG00000050628,885
ENSG00000050730,13
ENSG00000050748,11265
ENSG00000050767,52
ENSG00000050820,4359
ENSG00000051009,2093
ENSG00000051108,8043
ENSG00000051128,1601
ENSG00000051180,371
ENSG00000051341,444
ENSG00000051382,3633
ENSG00000051523,4651
ENSG00000051596,760
ENSG00000051620,3742
ENSG00000051825,2599
ENSG00000052126,5237
ENSG00000052344,26048
ENSG00000052723,2321
ENSG00000052749,3893
ENSG00000052795,1777
ENSG00000052802,3941
ENSG00000052841,5161
ENSG00000052850,40
ENSG00000053108,656
ENSG00000053254,3817
ENSG00000053328,21
ENSG00000053371,3850
ENSG00000053372,2125
ENSG00000053438,141
ENSG00000053501,1511
ENSG00000053524,53
ENSG00000053702,281
ENSG00000053747,5483
ENSG00000053770,3366
ENSG00000053900,1531
ENSG00000053918,1344
ENSG00000054116,3656
ENSG00000054118,15133
ENSG00000054148,4229
ENSG00000054179,1289
ENSG00000054219,544
ENSG00000054267,7531
ENSG00000054277,248
ENSG00000054282,2316
ENSG00000054356,47
ENSG00000054392,4266
ENSG00000054523,4585
ENSG00000054598,304
ENSG00000054611,2091
ENSG00000054654,10236
ENSG00000054690,600
ENSG00000054793,28751
ENSG00000054796,0
ENSG00000054803,122
ENSG00000054938,40
ENSG00000054965,9745
ENSG00000054967,484
ENSG00000054983,1817
ENSG00000055044,4801
ENSG00000055070,8414
ENSG00000055118,876
ENSG00000055130,6678
ENSG00000055147,4492
ENSG00000055163,29275
ENSG00000055208,3872
ENSG00000055211,3153
ENSG00000055332,10430
ENSG00000055483,3864
ENSG00000055609,12388
ENSG00000055732,432
ENSG00000055813,86
ENSG00000055917,16415
ENSG00000055950,2858
ENSG00000055955,18
ENSG00000055957,1
ENSG00000056050,1194
ENSG00000056097,11088
ENSG00000056277,215
ENSG00000056291,83
ENSG00000056487,181
ENSG00000056558,790
ENSG00000056586,6866
ENSG00000056736,980
ENSG00000056972,2222
ENSG00000056998,1112
ENSG00000057019,1710
ENSG00000057149,0
ENSG00000057252,5398
ENSG00000057294,1494
ENSG00000057468,11
ENSG00000057593,1585
ENSG00000057608,19213
ENSG00000057657,1020
ENSG00000057663,2199
ENSG00000057704,670
ENSG00000057757,4582
ENSG00000057935,6338
ENSG00000058056,9613
ENSG00000058063,1326
ENSG00000058085,2945
ENSG00000058091,2447
ENSG00000058262,36221
ENSG00000058272,7606
ENSG00000058335,37
ENSG00000058404,2251
ENSG00000058453,1494
ENSG00000058600,5494
ENSG00000058668,14071
ENSG00000058673,14876
ENSG00000058729,3569
ENSG00000058799,3114
ENSG00000058804,3825
ENSG00000058866,31
ENSG00000059122,3074
ENSG00000059145,1366
ENSG00000059377,1220
ENSG00000059378,5623
ENSG00000059573,8925
ENSG00000059588,5607
ENSG00000059691,957
ENSG00000059728,1356
ENSG00000059758,5340
ENSG00000059769,1365
ENSG00000059804,890
ENSG00000059915,172
ENSG00000060069,2554
ENSG00000060138,2253
ENSG00000060140,90
ENSG00000060237,26712
ENSG00000060303,0
ENSG00000060339,6642
ENSG00000060491,5710
ENSG00000060558,666
ENSG00000060566,4
ENSG00000060642,1656
ENSG00000060656,3490
ENSG00000060688,3989
ENSG00000060709,107
ENSG00000060718,32619
ENSG00000060749,4986
ENSG00000060762,1412
ENSG00000060971,3106
ENSG00000060982,1372
ENSG00000061273,8436
ENSG00000061337,788
ENSG00000061455,256
ENSG00000061492,0
ENSG00000061656,212
ENSG00000061676,14120
ENSG00000061794,8884
ENSG00000061918,961
ENSG00000061936,4358
ENSG00000061938,3124
ENSG00000061987,5911
ENSG00000062038,716
ENSG00000062096,1
ENSG00000062194,14170
ENSG00000062282,1313
ENSG00000062370,963
ENSG00000062485,25239
ENSG00000062524,5
ENSG00000062582,315
ENSG00000062598,13926
ENSG00000062650,7159
ENSG00000062716,7393
ENSG00000062725,5132
ENSG00000062822,1928
ENSG00000063015,2492
ENSG00000063046,36178
ENSG00000063127,30
ENSG00000063169,1404
ENSG00000063176,1337
ENSG00000063177,29312
ENSG00000063180,845
ENSG00000063241,3228
ENSG00000063244,10911
ENSG00000063245,7633
ENSG00000063322,7711
ENSG00000063438,152
ENSG00000063515,0
ENSG00000063587,2466
ENSG00000063601,2873
ENSG00000063660,6162
ENSG00000063761,702
ENSG00000063854,4034
ENSG00000063978,5429
ENSG00000064012,1567
ENSG00000064042,7060
ENSG00000064102,3376
ENSG00000064115,8350
ENSG00000064195,254
ENSG00000064199,1594
ENSG00000064201,28
ENSG00000064205,2934
ENSG00000064218,39
ENSG00000064225,341
ENSG00000064270,1786
ENSG00000064300,355
ENSG00000064309,4487
ENSG00000064313,3124
ENSG00000064393,13474
ENSG00000064419,5997
ENSG00000064489,32
ENSG00000064490,3583
ENSG00000064545,2255
ENSG00000064547,1021
ENSG00000064601,11227
ENSG00000064607,7846
ENSG00000064651,10897
ENSG00000064652,657
ENSG00000064655,830
ENSG00000064666,6059
ENSG00000064687,1975
ENSG00000064692,145
ENSG00000064703,2353
ENSG00000064726,5995
ENSG00000064763,2016
ENSG00000064787,10342
ENSG00000064835,4
ENSG00000064886,1109
ENSG00000064932,6583
ENSG00000064933,1266
ENSG00000064961,6978
ENSG00000064989,2144
ENSG00000064995,2025
ENSG00000064999,2816
ENSG00000065000,18178
ENSG00000065029,1678
ENSG00000065054,8641
ENSG00000065057,1702
ENSG00000065060,6047
ENSG00000065135,7194
ENSG00000065150,13333
ENSG00000065154,13104
ENSG00000065183,3620
ENSG00000065243,5314
ENSG00000065268,2495
ENSG00000065308,3888
ENSG00000065320,4836
ENSG00000065325,6
ENSG00000065328,353
ENSG00000065357,1560
ENSG00000065361,62949
ENSG00000065371,5
ENSG00000065413,927
ENSG00000065427,8596
ENSG00000065457,2913
ENSG00000065485,2057
ENSG00000065491,1554
ENSG00000065518,5690
ENSG00000065526,8393
ENSG00000065534,4680
ENSG00000065548,4655
ENSG00000065559,6821
ENSG00000065600,698
ENSG00000065609,6
ENSG00000065613,8468
ENSG00000065615,1179
ENSG00000065618,636
ENSG00000065621,997
ENSG00000065665,842
ENSG00000065675,108
ENSG00000065717,2370
ENSG00000065802,1376
ENSG00000065809,5353
ENSG00000065833,488
ENSG00000065882,4574
ENSG00000065883,5103
ENSG00000065911,3748
ENSG00000065923,3682
ENSG00000065970,4962
ENSG00000065978,11779
ENSG00000065989,3434
ENSG00000066027,11617
ENSG00000066032,12
ENSG00000066044,9007
ENSG00000066056,1465
ENSG00000066084,9525
ENSG00000066117,7210
ENSG00000066135,6341
ENSG00000066136,3611
ENSG00000066185,175
ENSG00000066230,54
ENSG00000066248,420
ENSG00000066279,1809
ENSG00000066294,1234
ENSG00000066322,4557
ENSG00000066336,1275
ENSG00000066379,820
ENSG00000066382,121
ENSG00000066405,8
ENSG00000066422,2979
ENSG00000066427,1847
ENSG00000066455,4922
ENSG00000066468,2179
ENSG00000066557,998
ENSG00000066583,2382
ENSG00000066629,2106
ENSG00000066651,400
ENSG00000066654,9043
ENSG00000066697,1132
ENSG00000066735,400
ENSG00000066739,4780
ENSG00000066777,14551
ENSG00000066813,2
ENSG00000066827,1066
ENSG00000066855,1140
ENSG00000066923,142
ENSG00000066926,6396
ENSG00000066933,1803
ENSG00000067048,0
ENSG00000067057,3274
ENSG00000067064,3757
ENSG00000067066,6441
ENSG00000067082,7453
ENSG00000067113,1646
ENSG00000067141,9442
ENSG00000067167,12316
ENSG00000067177,2625
ENSG00000067182,9000
ENSG00000067191,410
ENSG00000067208,1359
ENSG00000067221,791
ENSG00000067225,59118
ENSG00000067248,8768
ENSG00000067334,4956
ENSG00000067365,797
ENSG00000067369,7626
ENSG00000067445,358
ENSG00000067533,3068
ENSG00000067560,34067
ENSG00000067596,5785
ENSG00000067601,147
ENSG00000067606,1243
ENSG00000067646,0
ENSG00000067704,19124
ENSG00000067715,10624
ENSG00000067798,505
ENSG00000067829,2176
ENSG00000067836,4404
ENSG00000067840,555
ENSG00000067842,73
ENSG00000067900,7452
ENSG00000067955,3965
ENSG00000067992,1371
ENSG00000068001,2740
ENSG00000068024,1980
ENSG00000068028,2549
ENSG00000068078,1796
ENSG00000068079,4895
ENSG00000068097,1350
ENSG00000068120,6343
ENSG00000068137,3095
ENSG00000068305,3063
ENSG00000068308,4470
ENSG00000068323,4381
ENSG00000068354,1409
ENSG00000068366,1509
ENSG00000068383,1487
ENSG00000068394,1963
ENSG00000068400,4433
ENSG00000068438,2340
ENSG00000068489,504
ENSG00000068615,1824
ENSG00000068650,2842
ENSG00000068654,5950
ENSG00000068697,35137
ENSG00000068724,1289
ENSG00000068745,5266
ENSG00000068781,6
ENSG00000068784,2272
ENSG00000068796,5333
ENSG00000068831,144
ENSG00000068878,13121
ENSG00000068885,898
ENSG00000068903,3392
ENSG00000068912,7163
ENSG00000068971,1204
ENSG00000068976,30
ENSG00000068985,0
ENSG00000069011,3683
ENSG00000069018,13
ENSG00000069020,14163
ENSG00000069122,1971
ENSG00000069188,1465
ENSG00000069206,0
ENSG00000069248,12746
ENSG00000069275,56880
ENSG00000069329,12497
ENSG00000069345,7658
ENSG00000069399,3362
ENSG00000069424,1426
ENSG00000069431,452
ENSG00000069482,70
ENSG00000069493,599
ENSG00000069509,1489
ENSG00000069535,9227
ENSG00000069667,1374
ENSG00000069696,68
ENSG00000069702,1895
ENSG00000069712,505
ENSG00000069764,77
ENSG00000069812,114
ENSG00000069849,5070
ENSG00000069869,1612
ENSG00000069943,621
ENSG00000069956,3454
ENSG00000069966,1625
ENSG00000069974,2044
ENSG00000069998,2267
ENSG00000070010,2942
ENSG00000070018,11393
ENSG00000070019,148
ENSG00000070031,58
ENSG00000070047,3628
ENSG00000070061,10580
ENSG00000070081,15020
ENSG00000070087,2654
ENSG00000070159,5243
ENSG00000070182,100
ENSG00000070190,743
ENSG00000070193,345
ENSG00000070214,30256
ENSG00000070269,2315
ENSG00000070366,2860
ENSG00000070367,4373
ENSG00000070371,192
ENSG00000070388,8
ENSG00000070404,1988
ENSG00000070413,10707
ENSG00000070423,1550
ENSG00000070444,2175
ENSG00000070476,3218
ENSG00000070495,950
ENSG00000070501,2738
ENSG00000070526,37
ENSG00000070540,1639
ENSG00000070601,373
ENSG00000070610,5124
ENSG00000070614,17763
ENSG00000070669,1661
ENSG00000070718,2938
ENSG00000070729,0
ENSG00000070731,3427
