Gene stable ID,3d79a31d-f4b7-4450-8a9a-48d5d0acbd92
ENSG00000000003,3399
ENSG00000000005,115
ENSG00000000419,2642
ENSG00000000457,1740
ENSG00000000460,1195
ENSG00000000938,1986
ENSG00000000971,8010
ENSG00000001036,7182
ENSG00000001084,5461
ENSG00000001167,7899
ENSG00000001460,499
ENSG00000001461,2477
ENSG00000001497,3228
ENSG00000001561,1812
ENSG00000001617,4483
ENSG00000001626,10
ENSG00000001629,11124
ENSG00000001630,292
ENSG00000001631,3249
ENSG00000002016,622
ENSG00000002079,7
ENSG00000002330,1167
ENSG00000002549,15271
ENSG00000002586,13062
ENSG00000002587,1150
ENSG00000002726,82
ENSG00000002745,5
ENSG00000002746,32
ENSG00000002822,979
ENSG00000002834,18700
ENSG00000002919,2153
ENSG00000002933,1706
ENSG00000003056,9427
ENSG00000003096,1136
ENSG00000003137,200
ENSG00000003147,4793
ENSG00000003249,1510
ENSG00000003393,3151
ENSG00000003400,1039
ENSG00000003402,8108
ENSG00000003436,1795
ENSG00000003509,905
ENSG00000003756,4437
ENSG00000003987,45
ENSG00000003989,2761
ENSG00000004059,6548
ENSG00000004139,358
ENSG00000004142,4597
ENSG00000004399,22009
ENSG00000004455,9054
ENSG00000004468,386
ENSG00000004478,25083
ENSG00000004487,7275
ENSG00000004534,4426
ENSG00000004660,742
ENSG00000004700,3936
ENSG00000004766,2995
ENSG00000004776,561
ENSG00000004777,289
ENSG00000004779,1785
ENSG00000004799,13724
ENSG00000004809,13
ENSG00000004838,160
ENSG00000004846,45
ENSG00000004848,0
ENSG00000004864,2834
ENSG00000004866,3305
ENSG00000004897,6486
ENSG00000004939,3
ENSG00000004948,22
ENSG00000004961,1527
ENSG00000004975,1338
ENSG00000005001,264
ENSG00000005007,21455
ENSG00000005020,3801
ENSG00000005022,24750
ENSG00000005059,1739
ENSG00000005073,73
ENSG00000005075,1562
ENSG00000005100,2600
ENSG00000005102,248
ENSG00000005108,818
ENSG00000005156,3870
ENSG00000005175,3614
ENSG00000005187,63
ENSG00000005189,274
ENSG00000005194,2063
ENSG00000005206,1171
ENSG00000005238,1350
ENSG00000005243,908
ENSG00000005249,4912
ENSG00000005302,2702
ENSG00000005339,12317
ENSG00000005379,1290
ENSG00000005381,20
ENSG00000005421,5
ENSG00000005436,1611
ENSG00000005448,304
ENSG00000005469,3690
ENSG00000005471,154
ENSG00000005483,13480
ENSG00000005486,4442
ENSG00000005513,28
ENSG00000005700,9180
ENSG00000005801,1544
ENSG00000005810,11806
ENSG00000005812,6742
ENSG00000005844,2486
ENSG00000005882,1465
ENSG00000005884,4302
ENSG00000005889,6144
ENSG00000005893,31317
ENSG00000005961,22
ENSG00000005981,6
ENSG00000006007,5457
ENSG00000006015,1096
ENSG00000006016,269
ENSG00000006025,451
ENSG00000006042,1212
ENSG00000006047,23
ENSG00000006059,4
ENSG00000006062,1065
ENSG00000006071,893
ENSG00000006116,0
ENSG00000006118,3957
ENSG00000006125,30595
ENSG00000006128,8
ENSG00000006194,2527
ENSG00000006210,904
ENSG00000006282,3549
ENSG00000006283,190
ENSG00000006327,1556
ENSG00000006377,2
ENSG00000006432,2418
ENSG00000006451,6933
ENSG00000006453,2697
ENSG00000006459,5349
ENSG00000006468,1090
ENSG00000006530,2221
ENSG00000006534,1206
ENSG00000006555,2187
ENSG00000006576,6061
ENSG00000006606,54
ENSG00000006607,4974
ENSG00000006611,31
ENSG00000006625,5164
ENSG00000006634,1722
ENSG00000006638,131
ENSG00000006652,2693
ENSG00000006659,0
ENSG00000006695,987
ENSG00000006704,2419
ENSG00000006712,2757
ENSG00000006715,7292
ENSG00000006740,257
ENSG00000006744,4271
ENSG00000006747,5780
ENSG00000006756,4437
ENSG00000006757,555
ENSG00000006788,31
ENSG00000006831,13853
ENSG00000006837,41
ENSG00000007001,5
ENSG00000007038,471
ENSG00000007047,2399
ENSG00000007062,12985
ENSG00000007080,3297
ENSG00000007129,114
ENSG00000007168,10006
ENSG00000007171,57
ENSG00000007174,11
ENSG00000007202,14711
ENSG00000007216,43
ENSG00000007237,5609
ENSG00000007255,557
ENSG00000007264,375
ENSG00000007306,4
ENSG00000007312,188
ENSG00000007314,229
ENSG00000007341,866
ENSG00000007350,6
ENSG00000007372,101
ENSG00000007376,1612
ENSG00000007384,2153
ENSG00000007392,1941
ENSG00000007402,744
ENSG00000007516,508
ENSG00000007520,1428
ENSG00000007541,2624
ENSG00000007545,1815
ENSG00000007866,3002
ENSG00000007908,666
ENSG00000007923,1931
ENSG00000007933,161
ENSG00000007944,2119
ENSG00000007952,31
ENSG00000007968,727
ENSG00000008018,10293
ENSG00000008056,69
ENSG00000008083,4548
ENSG00000008086,3364
ENSG00000008118,22
ENSG00000008128,173
ENSG00000008130,3749
ENSG00000008196,33
ENSG00000008197,0
ENSG00000008226,27
ENSG00000008256,2196
ENSG00000008277,395
ENSG00000008282,12312
ENSG00000008283,12450
ENSG00000008294,8870
ENSG00000008300,119
ENSG00000008311,286
ENSG00000008323,548
ENSG00000008324,906
ENSG00000008382,499
ENSG00000008394,7518
ENSG00000008405,2021
ENSG00000008438,1
ENSG00000008441,12192
ENSG00000008513,18584
ENSG00000008516,105
ENSG00000008517,3597
ENSG00000008710,3519
ENSG00000008735,106
ENSG00000008838,5095
ENSG00000008853,759
ENSG00000008869,4356
ENSG00000008952,13449
ENSG00000008988,70299
ENSG00000009307,45587
ENSG00000009335,10081
ENSG00000009413,4195
ENSG00000009694,107
ENSG00000009709,11
ENSG00000009724,24
ENSG00000009765,8
ENSG00000009780,740
ENSG00000009790,734
ENSG00000009830,2362
ENSG00000009844,6535
ENSG00000009950,80
ENSG00000009954,14288
ENSG00000010017,6250
ENSG00000010030,209
ENSG00000010072,1347
ENSG00000010165,3146
ENSG00000010219,1157
ENSG00000010244,10294
ENSG00000010256,4969
ENSG00000010270,2857
ENSG00000010278,37682
ENSG00000010282,0
ENSG00000010292,10208
ENSG00000010295,885
ENSG00000010310,26
ENSG00000010318,176
ENSG00000010319,1795
ENSG00000010322,4044
ENSG00000010327,8943
ENSG00000010361,685
ENSG00000010379,4
ENSG00000010404,9633
ENSG00000010438,8
ENSG00000010539,993
ENSG00000010610,12812
ENSG00000010626,445
ENSG00000010671,1806
ENSG00000010704,1631
ENSG00000010803,3984
ENSG00000010810,2098
ENSG00000010818,6235
ENSG00000010932,1048
ENSG00000011007,4330
ENSG00000011009,2811
ENSG00000011021,1251
ENSG00000011028,9365
ENSG00000011052,23
ENSG00000011083,13
ENSG00000011105,6358
ENSG00000011114,5279
ENSG00000011132,480
ENSG00000011143,1312
ENSG00000011198,1387
ENSG00000011201,1143
ENSG00000011243,4521
ENSG00000011258,3181
ENSG00000011260,2757
ENSG00000011275,4356
ENSG00000011295,3279
ENSG00000011304,18629
ENSG00000011332,15
ENSG00000011347,9928
ENSG00000011376,1448
ENSG00000011405,11528
ENSG00000011422,4162
ENSG00000011426,4055
ENSG00000011451,13044
ENSG00000011454,6654
ENSG00000011465,58290
ENSG00000011478,592
ENSG00000011485,3114
ENSG00000011523,2874
ENSG00000011566,3385
ENSG00000011590,22
ENSG00000011600,6907
ENSG00000011638,3076
ENSG00000011677,395
ENSG00000012048,1754
ENSG00000012061,2932
ENSG00000012124,1097
ENSG00000012171,186
ENSG00000012174,3447
ENSG00000012211,658
ENSG00000012223,949
ENSG00000012232,2521
ENSG00000012504,0
ENSG00000012660,47942
ENSG00000012779,3041
ENSG00000012817,0
ENSG00000012822,4548
ENSG00000012963,4823
ENSG00000012983,6215
ENSG00000013016,1682
ENSG00000013275,4566
ENSG00000013288,4980
ENSG00000013293,2
ENSG00000013297,184
ENSG00000013306,9420
ENSG00000013364,6112
ENSG00000013374,4822
ENSG00000013375,6122
ENSG00000013392,890
ENSG00000013441,6112
ENSG00000013503,1215
ENSG00000013523,2908
ENSG00000013561,3551
ENSG00000013563,1144
ENSG00000013573,1865
ENSG00000013583,4145
ENSG00000013588,57609
ENSG00000013619,376
ENSG00000013725,679
ENSG00000013810,4411
ENSG00000014123,5206
ENSG00000014138,1637
ENSG00000014164,2147
ENSG00000014216,11600
ENSG00000014257,164
ENSG00000014641,7051
ENSG00000014824,7967
ENSG00000014914,924
ENSG00000014919,4096
ENSG00000015133,6428
ENSG00000015153,1225
ENSG00000015171,12977
ENSG00000015285,1110
ENSG00000015413,42
ENSG00000015475,2463
ENSG00000015479,570
ENSG00000015520,38
ENSG00000015532,2278
ENSG00000015568,1
ENSG00000015592,3
ENSG00000015676,6945
ENSG00000016082,0
ENSG00000016391,1328
ENSG00000016402,1061
ENSG00000016490,0
ENSG00000016602,3
ENSG00000016864,3067
ENSG00000017260,14966
ENSG00000017427,399
ENSG00000017483,1362
ENSG00000017797,9664
ENSG00000018189,3229
ENSG00000018236,324
ENSG00000018280,1932
ENSG00000018408,7139
ENSG00000018510,3090
ENSG00000018607,1
ENSG00000018610,1990
ENSG00000018625,76
ENSG00000018699,2782
ENSG00000018869,171
ENSG00000019102,26
ENSG00000019144,6188
ENSG00000019169,238
ENSG00000019186,3
ENSG00000019485,1080
ENSG00000019505,3745
ENSG00000019549,1163
ENSG00000019582,150272
ENSG00000019991,729
ENSG00000019995,4182
ENSG00000020129,3490
ENSG00000020181,2318
ENSG00000020219,0
ENSG00000020256,2231
ENSG00000020426,1483
ENSG00000020577,1377
ENSG00000020633,1184
ENSG00000020922,2981
ENSG00000021300,354
ENSG00000021355,5006
ENSG00000021461,2
ENSG00000021488,32
ENSG00000021574,3792
ENSG00000021645,97
ENSG00000021762,1831
ENSG00000021776,4594
ENSG00000021826,83
ENSG00000021852,0
ENSG00000022267,5673
ENSG00000022277,4196
ENSG00000022355,0
ENSG00000022556,5798
ENSG00000022567,2480
ENSG00000022840,9253
ENSG00000022976,603
ENSG00000023041,5410
ENSG00000023171,442
ENSG00000023191,6033
ENSG00000023228,9840
ENSG00000023287,16021
ENSG00000023318,5878
ENSG00000023330,3511
ENSG00000023445,4023
ENSG00000023516,7871
ENSG00000023572,566
ENSG00000023608,699
ENSG00000023697,1787
ENSG00000023734,12984
ENSG00000023839,71
ENSG00000023892,1478
ENSG00000023902,3437
ENSG00000023909,2515
ENSG00000024048,7226
ENSG00000024422,5785
ENSG00000024526,2231
ENSG00000024862,1140
ENSG00000025039,1148
ENSG00000025156,1223
ENSG00000025293,6799
ENSG00000025423,562
ENSG00000025434,4132
ENSG00000025708,4346
ENSG00000025770,1761
ENSG00000025772,1755
ENSG00000025796,18233
ENSG00000025800,10512
ENSG00000026025,80260
ENSG00000026036,129
ENSG00000026103,1041
ENSG00000026297,2665
ENSG00000026508,41364
ENSG00000026559,2
ENSG00000026652,786
ENSG00000026751,1024
ENSG00000026950,3889
ENSG00000027001,1472
ENSG00000027075,2646
ENSG00000027644,32
ENSG00000027697,8179
ENSG00000027847,1198
ENSG00000027869,281
ENSG00000028116,1670
ENSG00000028137,4354
ENSG00000028203,5276
ENSG00000028277,526
ENSG00000028310,1696
ENSG00000028528,7914
ENSG00000028839,1277
ENSG00000029153,805
ENSG00000029363,11441
ENSG00000029364,12451
ENSG00000029534,111
ENSG00000029559,309
ENSG00000029639,715
ENSG00000029725,10352
ENSG00000029993,6389
ENSG00000030066,8312
ENSG00000030110,1792
ENSG00000030304,0
ENSG00000030419,1328
ENSG00000030582,35601
ENSG00000031003,3095
ENSG00000031081,4863
ENSG00000031691,560
ENSG00000031698,7033
ENSG00000031823,2509
ENSG00000032219,3197
ENSG00000032389,1424
ENSG00000032444,3132
ENSG00000032742,1156
ENSG00000033011,1518
ENSG00000033030,1459
ENSG00000033050,5186
ENSG00000033100,5908
ENSG00000033122,40
ENSG00000033170,5464
ENSG00000033178,6778
ENSG00000033327,4095
ENSG00000033627,6333
ENSG00000033800,3013
ENSG00000033867,7813
ENSG00000034053,105
ENSG00000034152,2541
ENSG00000034239,4
ENSG00000034510,55407
ENSG00000034533,717
ENSG00000034677,12373
ENSG00000034693,1498
ENSG00000034713,3954
ENSG00000034971,43
ENSG00000035115,3946
ENSG00000035141,3350
ENSG00000035403,20029
ENSG00000035499,530
ENSG00000035664,987
ENSG00000035681,5824
ENSG00000035687,7995
ENSG00000035720,113
ENSG00000035862,51926
ENSG00000035928,8213
ENSG00000036054,4638
ENSG00000036257,7427
ENSG00000036448,103
ENSG00000036473,3
ENSG00000036530,49
ENSG00000036549,5015
ENSG00000036565,6
ENSG00000036672,416
ENSG00000036828,0
ENSG00000037042,702
ENSG00000037241,777
ENSG00000037280,724
ENSG00000037474,3855
ENSG00000037637,1937
ENSG00000037749,2747
ENSG00000037757,4460
ENSG00000037897,1487
ENSG00000037965,486
ENSG00000038002,1360
ENSG00000038210,1678
ENSG00000038219,9004
ENSG00000038274,4966
ENSG00000038295,593
ENSG00000038358,2383
ENSG00000038382,8961
ENSG00000038427,76111
ENSG00000038532,2613
ENSG00000038945,21425
ENSG00000039068,19559
ENSG00000039123,4880
ENSG00000039139,904
ENSG00000039319,4788
ENSG00000039523,4934
ENSG00000039537,221
ENSG00000039560,6287
ENSG00000039600,5
ENSG00000039650,928
ENSG00000039987,2
ENSG00000040199,1118
ENSG00000040275,1161
ENSG00000040341,7483
ENSG00000040487,776
ENSG00000040531,1656
ENSG00000040608,268
ENSG00000040633,2407
ENSG00000040731,0
ENSG00000040933,3713
ENSG00000041353,2302
ENSG00000041357,8530
ENSG00000041515,12
ENSG00000041802,3772
ENSG00000041880,867
ENSG00000041982,49060
ENSG00000041988,422
ENSG00000042062,398
ENSG00000042088,2605
ENSG00000042286,2913
ENSG00000042304,0
ENSG00000042317,664
ENSG00000042429,2773
ENSG00000042445,5357
ENSG00000042493,20208
ENSG00000042753,4086
ENSG00000042781,5
ENSG00000042813,1
ENSG00000042832,206
ENSG00000042980,1131
ENSG00000043039,1210
ENSG00000043093,5426
ENSG00000043143,2319
ENSG00000043355,1
ENSG00000043462,4346
ENSG00000043514,2593
ENSG00000043591,57
ENSG00000044012,0
ENSG00000044090,3747
ENSG00000044115,27463
ENSG00000044446,2250
ENSG00000044459,659
ENSG00000044524,1256
