Gene stable ID,afd61b19-7af6-44b5-bbba-14db3fb74e8f
ENSG00000000003,2242
ENSG00000000005,3
ENSG00000000419,1290
ENSG00000000457,490
ENSG00000000460,244
ENSG00000000938,792
ENSG00000000971,887
ENSG00000001036,1688
ENSG00000001084,835
ENSG00000001167,382
ENSG00000001460,345
ENSG00000001461,1037
ENSG00000001497,2810
ENSG00000001561,106
ENSG00000001617,3507
ENSG00000001626,1
ENSG00000001629,716
ENSG00000001630,40
ENSG00000001631,393
ENSG00000002016,205
ENSG00000002079,4
ENSG00000002330,1726
ENSG00000002549,4946
ENSG00000002586,8030
ENSG00000002587,58
ENSG00000002726,51
ENSG00000002745,7
ENSG00000002746,66
ENSG00000002822,2220
ENSG00000002834,5846
ENSG00000002919,1606
ENSG00000002933,2140
ENSG00000003056,1115
ENSG00000003096,26
ENSG00000003137,37
ENSG00000003147,1042
ENSG00000003249,2264
ENSG00000003393,316
ENSG00000003400,1178
ENSG00000003402,3216
ENSG00000003436,322
ENSG00000003509,463
ENSG00000003756,2601
ENSG00000003987,32
ENSG00000003989,147
ENSG00000004059,5359
ENSG00000004139,183
ENSG00000004142,4057
ENSG00000004399,5812
ENSG00000004455,3984
ENSG00000004468,956
ENSG00000004478,19374
ENSG00000004487,3532
ENSG00000004534,4150
ENSG00000004660,422
ENSG00000004700,207
ENSG00000004766,321
ENSG00000004776,129
ENSG00000004777,731
ENSG00000004779,3796
ENSG00000004799,663
ENSG00000004809,22
ENSG00000004838,1945
ENSG00000004846,2
ENSG00000004848,18
ENSG00000004864,512
ENSG00000004866,654
ENSG00000004897,1716
ENSG00000004939,5
ENSG00000004948,2
ENSG00000004961,935
ENSG00000004975,1426
ENSG00000005001,428
ENSG00000005007,5071
ENSG00000005020,405
ENSG00000005022,15638
ENSG00000005059,817
ENSG00000005073,5
ENSG00000005075,2092
ENSG00000005100,460
ENSG00000005102,52
ENSG00000005108,45
ENSG00000005156,950
ENSG00000005175,594
ENSG00000005187,103
ENSG00000005189,541
ENSG00000005194,1446
ENSG00000005206,3845
ENSG00000005238,643
ENSG00000005243,565
ENSG00000005249,768
ENSG00000005302,941
ENSG00000005339,1858
ENSG00000005379,1063
ENSG00000005381,6
