Gene stable ID,cf037f12-6d3b-42ff-a3b4-fde3f65d9dab
ENSG00000000003,6760
ENSG00000000005,13
ENSG00000000419,1508
ENSG00000000457,2460
ENSG00000000460,1124
ENSG00000000938,417
ENSG00000000971,2193
ENSG00000001036,2759
ENSG00000001084,5128
ENSG00000001167,2465
ENSG00000001460,807
ENSG00000001461,4076
ENSG00000001497,3375
ENSG00000001561,505
ENSG00000001617,5277
ENSG00000001626,28
ENSG00000001629,4468
ENSG00000001630,622
ENSG00000001631,1874
ENSG00000002016,326
ENSG00000002079,8
ENSG00000002330,1092
ENSG00000002549,7391
ENSG00000002586,10735
ENSG00000002587,282
ENSG00000002726,17
ENSG00000002745,2
ENSG00000002746,67
ENSG00000002822,987
ENSG00000002834,32554
ENSG00000002919,1923
ENSG00000002933,1055
ENSG00000003056,5440
ENSG00000003096,116
ENSG00000003137,266
ENSG00000003147,3435
ENSG00000003249,866
ENSG00000003393,2095
ENSG00000003400,277
ENSG00000003402,3575
ENSG00000003436,534
ENSG00000003509,493
ENSG00000003756,5359
ENSG00000003987,100
ENSG00000003989,5215
ENSG00000004059,6622
ENSG00000004139,715
ENSG00000004142,7610
ENSG00000004399,6457
ENSG00000004455,7006
ENSG00000004468,30
ENSG00000004478,39330
ENSG00000004487,7394
ENSG00000004534,2787
ENSG00000004660,1286
ENSG00000004700,1683
ENSG00000004766,3153
ENSG00000004776,292
ENSG00000004777,120
ENSG00000004779,3327
ENSG00000004799,1590
ENSG00000004809,32
ENSG00000004838,1528
ENSG00000004846,1
ENSG00000004848,0
ENSG00000004864,1317
ENSG00000004866,2693
ENSG00000004897,4967
ENSG00000004939,1
ENSG00000004948,15
ENSG00000004961,1261
ENSG00000004975,3924
ENSG00000005001,252
ENSG00000005007,6133
ENSG00000005020,1426
ENSG00000005022,10813
ENSG00000005059,1769
ENSG00000005073,37
ENSG00000005075,1190
ENSG00000005100,2084
ENSG00000005102,82
ENSG00000005108,151
ENSG00000005156,3265
ENSG00000005175,2399
ENSG00000005187,78
ENSG00000005189,538
ENSG00000005194,1533
ENSG00000005206,963
ENSG00000005238,1610
ENSG00000005243,1519
ENSG00000005249,7420
ENSG00000005302,1251
ENSG00000005339,9393
ENSG00000005379,1129
ENSG00000005381,7
ENSG00000005421,17
ENSG00000005436,1482
ENSG00000005448,770
ENSG00000005469,2050
ENSG00000005471,75
ENSG00000005483,6532
ENSG00000005486,6468
ENSG00000005513,29
ENSG00000005700,5512
ENSG00000005801,1316
ENSG00000005810,5473
ENSG00000005812,8343
ENSG00000005844,706
ENSG00000005882,1357
ENSG00000005884,9497
ENSG00000005889,3652
ENSG00000005893,14385
ENSG00000005961,18
ENSG00000005981,5
ENSG00000006007,11227
ENSG00000006015,309
ENSG00000006016,146
ENSG00000006025,242
ENSG00000006042,5811
ENSG00000006047,191
ENSG00000006059,0
ENSG00000006062,319
ENSG00000006071,1507
ENSG00000006116,1
ENSG00000006118,2110
ENSG00000006125,27516
ENSG00000006128,17
ENSG00000006194,2586
ENSG00000006210,1074
ENSG00000006282,3352
ENSG00000006283,97
ENSG00000006327,2521
ENSG00000006377,2
ENSG00000006432,1921
ENSG00000006451,3632
ENSG00000006453,2384
ENSG00000006459,1384
ENSG00000006468,518
ENSG00000006530,1829
ENSG00000006534,673
ENSG00000006555,734
ENSG00000006576,2195
ENSG00000006606,10
ENSG00000006607,3741
ENSG00000006611,1
ENSG00000006625,2366
ENSG00000006634,654
ENSG00000006638,111
ENSG00000006652,622
ENSG00000006659,64
ENSG00000006695,926
ENSG00000006704,1494
ENSG00000006712,5321
ENSG00000006715,3997
ENSG00000006740,158
ENSG00000006744,4735
ENSG00000006747,187
ENSG00000006756,10953
ENSG00000006757,2254
ENSG00000006788,15
ENSG00000006831,8432
ENSG00000006837,58
ENSG00000007001,8
ENSG00000007038,558
ENSG00000007047,1676
ENSG00000007062,854
ENSG00000007080,1238
ENSG00000007129,36
ENSG00000007168,10146
ENSG00000007171,35
ENSG00000007174,9
ENSG00000007202,20163
ENSG00000007216,719
ENSG00000007237,3343
ENSG00000007255,1460
ENSG00000007264,137
ENSG00000007306,6
ENSG00000007312,49
ENSG00000007314,100
ENSG00000007341,791
ENSG00000007350,2
ENSG00000007372,130
ENSG00000007376,1452
ENSG00000007384,2794
ENSG00000007392,1523
ENSG00000007402,1473
ENSG00000007516,2206
ENSG00000007520,2507
ENSG00000007541,3808
ENSG00000007545,1540
ENSG00000007866,1691
ENSG00000007908,332
ENSG00000007923,1696
ENSG00000007933,134
ENSG00000007944,1680
ENSG00000007952,75
ENSG00000007968,245
ENSG00000008018,8791
ENSG00000008056,31
ENSG00000008083,2772
ENSG00000008086,923
ENSG00000008118,3
ENSG00000008128,211
ENSG00000008130,3123
ENSG00000008196,10483
ENSG00000008197,0
ENSG00000008226,52
ENSG00000008256,1742
ENSG00000008277,217
ENSG00000008282,17180
ENSG00000008283,8524
ENSG00000008294,4625
ENSG00000008300,222
ENSG00000008311,673
ENSG00000008323,475
ENSG00000008324,910
ENSG00000008382,1186
ENSG00000008394,1415
ENSG00000008405,1720
ENSG00000008438,0
ENSG00000008441,10131
ENSG00000008513,9223
ENSG00000008516,147
ENSG00000008517,3208
ENSG00000008710,2374
ENSG00000008735,460
ENSG00000008838,4453
ENSG00000008853,1972
ENSG00000008869,3891
ENSG00000008952,13070
ENSG00000008988,33313
ENSG00000009307,44807
ENSG00000009335,9137
ENSG00000009413,1228
ENSG00000009694,10
ENSG00000009709,0
ENSG00000009724,78
ENSG00000009765,0
ENSG00000009780,1067
ENSG00000009790,119
ENSG00000009830,2887
ENSG00000009844,4021
ENSG00000009950,456
ENSG00000009954,8303
ENSG00000010017,3166
ENSG00000010030,184
ENSG00000010072,1463
ENSG00000010165,5386
ENSG00000010219,697
ENSG00000010244,9056
ENSG00000010256,9161
ENSG00000010270,1453
ENSG00000010278,19242
ENSG00000010282,2
ENSG00000010292,4376
ENSG00000010295,444
ENSG00000010310,95
ENSG00000010318,378
ENSG00000010319,1715
ENSG00000010322,5947
ENSG00000010327,2096
ENSG00000010361,1055
ENSG00000010379,0
ENSG00000010404,6739
ENSG00000010438,3
ENSG00000010539,832
ENSG00000010610,2977
ENSG00000010626,482
