Gene stable ID,754e6f3e-9441-423b-8530-b4d95a93253f
ENSG00000000003,5645
ENSG00000000005,6
ENSG00000000419,4926
ENSG00000000457,2271
ENSG00000000460,675
ENSG00000000938,410
ENSG00000000971,3863
ENSG00000001036,8884
ENSG00000001084,1315
ENSG00000001167,3257
ENSG00000001460,712
ENSG00000001461,6015
ENSG00000001497,4870
ENSG00000001561,2398
ENSG00000001617,3823
ENSG00000001626,13
ENSG00000001629,5143
ENSG00000001630,400
ENSG00000001631,2876
ENSG00000002016,642
ENSG00000002079,3
ENSG00000002330,1861
ENSG00000002549,5830
ENSG00000002586,17393
ENSG00000002587,199
ENSG00000002726,27
ENSG00000002745,4
ENSG00000002746,33
ENSG00000002822,1705
ENSG00000002834,33823
ENSG00000002919,2136
ENSG00000002933,1297
ENSG00000003056,8989
ENSG00000003096,430
ENSG00000003137,123
ENSG00000003147,4824
ENSG00000003249,2266
ENSG00000003393,3100
ENSG00000003400,1323
ENSG00000003402,10608
ENSG00000003436,816
ENSG00000003509,1116
ENSG00000003756,5720
ENSG00000003987,43
ENSG00000003989,15717
ENSG00000004059,7787
ENSG00000004139,812
ENSG00000004142,6088
ENSG00000004399,9738
ENSG00000004455,7816
ENSG00000004468,84
ENSG00000004478,57693
ENSG00000004487,6037
ENSG00000004534,4562
ENSG00000004660,537
ENSG00000004700,3629
ENSG00000004766,1785
ENSG00000004776,287
ENSG00000004777,867
ENSG00000004779,5233
ENSG00000004799,515
ENSG00000004809,2
ENSG00000004838,873
ENSG00000004846,4
ENSG00000004848,596
ENSG00000004864,1300
ENSG00000004866,3752
ENSG00000004897,5248
ENSG00000004939,9
ENSG00000004948,34
ENSG00000004961,1952
ENSG00000004975,1329
ENSG00000005001,1019
ENSG00000005007,13738
ENSG00000005020,4043
ENSG00000005022,34546
ENSG00000005059,1057
ENSG00000005073,93
ENSG00000005075,1273
ENSG00000005100,1667
ENSG00000005102,61
ENSG00000005108,644
ENSG00000005156,2896
ENSG00000005175,3052
ENSG00000005187,1348
ENSG00000005189,414
ENSG00000005194,5313
ENSG00000005206,2912
ENSG00000005238,1962
ENSG00000005243,2339
ENSG00000005249,2102
ENSG00000005302,2277
ENSG00000005339,12065
ENSG00000005379,569
ENSG00000005381,2
ENSG00000005421,2
ENSG00000005436,1977
ENSG00000005448,527
ENSG00000005469,2940
ENSG00000005471,185
ENSG00000005483,6299
ENSG00000005486,6933
ENSG00000005513,28
ENSG00000005700,6713
ENSG00000005801,1174
ENSG00000005810,6537
ENSG00000005812,3497
ENSG00000005844,2313
ENSG00000005882,1457
ENSG00000005884,6717
ENSG00000005889,6388
ENSG00000005893,25715
ENSG00000005961,12
ENSG00000005981,4
ENSG00000006007,11057
ENSG00000006015,477
ENSG00000006016,286
ENSG00000006025,581
ENSG00000006042,2354
ENSG00000006047,253
ENSG00000006059,0
ENSG00000006062,951
ENSG00000006071,1263
ENSG00000006116,0
ENSG00000006118,2775
ENSG00000006125,46229
ENSG00000006128,12
ENSG00000006194,3039
ENSG00000006210,1051
ENSG00000006282,5158
ENSG00000006283,269
ENSG00000006327,2187
ENSG00000006377,8
ENSG00000006432,3471
ENSG00000006451,8478
ENSG00000006453,1968
ENSG00000006459,1946
ENSG00000006468,654
ENSG00000006530,1728
ENSG00000006534,810
ENSG00000006555,59
ENSG00000006576,2555
ENSG00000006606,5
ENSG00000006607,4926
ENSG00000006611,308
ENSG00000006625,7802
ENSG00000006634,509
ENSG00000006638,123
ENSG00000006652,1180
ENSG00000006659,15
ENSG00000006695,905
ENSG00000006704,1803
ENSG00000006712,7005
ENSG00000006715,7162
ENSG00000006740,1227
ENSG00000006744,4274
ENSG00000006747,320
ENSG00000006756,15261
ENSG00000006757,3970
ENSG00000006788,103
ENSG00000006831,41020
ENSG00000006837,88
ENSG00000007001,20
ENSG00000007038,15
ENSG00000007047,4014
ENSG00000007062,160
ENSG00000007080,2780
ENSG00000007129,63
ENSG00000007168,13155
ENSG00000007171,69
ENSG00000007174,102
ENSG00000007202,13024
ENSG00000007216,3330
ENSG00000007237,6532
ENSG00000007255,844
ENSG00000007264,47
ENSG00000007306,66
ENSG00000007312,92
ENSG00000007314,83
ENSG00000007341,581
ENSG00000007350,0
ENSG00000007372,238
ENSG00000007376,1123
ENSG00000007384,4196
ENSG00000007392,2560
ENSG00000007402,3774
ENSG00000007516,159
ENSG00000007520,2299
ENSG00000007541,5813
ENSG00000007545,1821
ENSG00000007866,2223
ENSG00000007908,151
ENSG00000007923,2521
ENSG00000007933,90
ENSG00000007944,3722
ENSG00000007952,79
ENSG00000007968,176
