Gene stable ID,ebfd4135-c5a4-4c1f-8a32-10cfc6f220fc
ENSG00000000003,504
ENSG00000000005,12
ENSG00000000419,3249
ENSG00000000457,4695
ENSG00000000460,1660
ENSG00000000938,220
ENSG00000000971,1402
ENSG00000001036,3612
ENSG00000001084,1261
ENSG00000001167,10243
ENSG00000001460,637
ENSG00000001461,3031
ENSG00000001497,4474
ENSG00000001561,3718
ENSG00000001617,25783
ENSG00000001626,101
ENSG00000001629,13406
ENSG00000001630,1144
ENSG00000001631,6626
ENSG00000002016,793
ENSG00000002079,21
ENSG00000002330,1297
ENSG00000002549,8950
ENSG00000002586,5939
ENSG00000002587,109
ENSG00000002726,9
ENSG00000002745,1
ENSG00000002746,108
ENSG00000002822,2394
ENSG00000002834,44201
ENSG00000002919,2096
ENSG00000002933,329
ENSG00000003056,7125
ENSG00000003096,324
ENSG00000003137,806
ENSG00000003147,4358
ENSG00000003249,3653
ENSG00000003393,4639
ENSG00000003400,260
ENSG00000003402,3000
ENSG00000003436,508
ENSG00000003509,1004
ENSG00000003756,7950
ENSG00000003987,845
ENSG00000003989,27395
ENSG00000004059,14699
ENSG00000004139,2982
ENSG00000004142,12955
ENSG00000004399,39654
ENSG00000004455,4361
ENSG00000004468,25
ENSG00000004478,81061
ENSG00000004487,5675
ENSG00000004534,6389
ENSG00000004660,972
ENSG00000004700,2751
ENSG00000004766,7190
ENSG00000004776,180
ENSG00000004777,1267
ENSG00000004779,5116
ENSG00000004799,694
ENSG00000004809,0
ENSG00000004838,706
ENSG00000004846,7
ENSG00000004848,5
ENSG00000004864,3397
ENSG00000004866,2511
ENSG00000004897,9107
ENSG00000004939,3
ENSG00000004948,8
ENSG00000004961,1993
ENSG00000004975,3448
ENSG00000005001,304
ENSG00000005007,14428
ENSG00000005020,2370
ENSG00000005022,15061
ENSG00000005059,753
ENSG00000005073,18
ENSG00000005075,2493
ENSG00000005100,3418
ENSG00000005102,290
ENSG00000005108,227
ENSG00000005156,11499
ENSG00000005175,4811
ENSG00000005187,78
ENSG00000005189,604
ENSG00000005194,2063
ENSG00000005206,5003
ENSG00000005238,4139
ENSG00000005243,398
ENSG00000005249,39242
ENSG00000005302,1243
ENSG00000005339,16173
ENSG00000005379,2618
ENSG00000005381,1
ENSG00000005421,3
ENSG00000005436,3113
ENSG00000005448,1248
ENSG00000005469,1824
ENSG00000005471,289
ENSG00000005483,13203
ENSG00000005486,14423
ENSG00000005513,44
ENSG00000005700,7785
ENSG00000005801,2969
ENSG00000005810,6979
ENSG00000005812,3072
ENSG00000005844,1224
ENSG00000005882,2299
ENSG00000005884,4325
ENSG00000005889,20776
ENSG00000005893,21349
ENSG00000005961,12
ENSG00000005981,1
ENSG00000006007,12377
ENSG00000006015,502
ENSG00000006016,65
ENSG00000006025,109
ENSG00000006042,1827
ENSG00000006047,1261
ENSG00000006059,120
ENSG00000006062,649
ENSG00000006071,11779
ENSG00000006116,0
ENSG00000006118,19157
ENSG00000006125,40879
ENSG00000006128,14
ENSG00000006194,5746
ENSG00000006210,1173
ENSG00000006282,13415
ENSG00000006283,292
ENSG00000006327,986
ENSG00000006377,2
ENSG00000006432,3567
ENSG00000006451,8138
ENSG00000006453,13771
ENSG00000006459,2587
ENSG00000006468,1244
ENSG00000006530,5227
ENSG00000006534,331
ENSG00000006555,27
ENSG00000006576,7245
ENSG00000006606,7
ENSG00000006607,4903
ENSG00000006611,88
ENSG00000006625,5801
ENSG00000006634,1744
ENSG00000006638,129
ENSG00000006652,3104
ENSG00000006659,2
ENSG00000006695,1778
ENSG00000006704,3895
ENSG00000006712,6968
ENSG00000006715,11969
ENSG00000006740,2493
ENSG00000006744,6188
ENSG00000006747,267
ENSG00000006756,23216
ENSG00000006757,8843
ENSG00000006788,28
ENSG00000006831,14883
ENSG00000006837,67
ENSG00000007001,22
ENSG00000007038,2
ENSG00000007047,6074
ENSG00000007062,360
ENSG00000007080,2474
ENSG00000007129,89
ENSG00000007168,25023
ENSG00000007171,10
ENSG00000007174,532
ENSG00000007202,59442
ENSG00000007216,78
ENSG00000007237,2623
ENSG00000007255,1349
ENSG00000007264,964
ENSG00000007306,39
ENSG00000007312,45
ENSG00000007314,25
ENSG00000007341,1464
ENSG00000007350,2
ENSG00000007372,188
ENSG00000007376,3364
ENSG00000007384,4074
ENSG00000007392,3190
ENSG00000007402,10183
ENSG00000007516,4863
ENSG00000007520,2918
ENSG00000007541,8325
ENSG00000007545,3034
ENSG00000007866,2725
ENSG00000007908,306
ENSG00000007923,2546
ENSG00000007933,86
ENSG00000007944,6009
ENSG00000007952,110
ENSG00000007968,1111
ENSG00000008018,4763
ENSG00000008056,2705
ENSG00000008083,3482
ENSG00000008086,5175
ENSG00000008118,4
ENSG00000008128,406
ENSG00000008130,5783
ENSG00000008196,76
ENSG00000008197,0
ENSG00000008226,33
ENSG00000008256,4453
ENSG00000008277,1937
ENSG00000008282,7402
ENSG00000008283,23907
ENSG00000008294,11567
ENSG00000008300,6570
ENSG00000008311,257
ENSG00000008323,55
ENSG00000008324,997
ENSG00000008382,1169
ENSG00000008394,1159
ENSG00000008405,1439
ENSG00000008438,6
ENSG00000008441,2359
ENSG00000008513,22938
ENSG00000008516,4920
ENSG00000008517,363
ENSG00000008710,9108
ENSG00000008735,16688
ENSG00000008838,6541
ENSG00000008853,1362
ENSG00000008869,10533
ENSG00000008952,21311
ENSG00000008988,42280
ENSG00000009307,106962
ENSG00000009335,19135
ENSG00000009413,2308
ENSG00000009694,653
ENSG00000009709,114
ENSG00000009724,94
ENSG00000009765,251
ENSG00000009780,699
ENSG00000009790,133
ENSG00000009830,2915
ENSG00000009844,2792
ENSG00000009950,311
ENSG00000009954,26794
ENSG00000010017,10214
ENSG00000010030,28
ENSG00000010072,534
ENSG00000010165,4918
ENSG00000010219,1599
ENSG00000010244,10785
ENSG00000010256,12603
ENSG00000010270,3302
ENSG00000010278,41424
ENSG00000010282,9
ENSG00000010292,6544
ENSG00000010295,283
ENSG00000010310,31
ENSG00000010318,610
ENSG00000010319,731
ENSG00000010322,7670
ENSG00000010327,1601
ENSG00000010361,1806
ENSG00000010379,3
ENSG00000010404,8898
ENSG00000010438,0
ENSG00000010539,1478
ENSG00000010610,1325
ENSG00000010626,1534
ENSG00000010671,263
ENSG00000010704,189
ENSG00000010803,2792
ENSG00000010810,1145
ENSG00000010818,3359
ENSG00000010932,113
ENSG00000011007,7041
ENSG00000011009,1571
ENSG00000011021,989
ENSG00000011028,4202
ENSG00000011052,24
ENSG00000011083,2
ENSG00000011105,7215
ENSG00000011114,4992
ENSG00000011132,648
ENSG00000011143,1469
ENSG00000011198,2559
ENSG00000011201,6937
ENSG00000011243,7195
ENSG00000011258,3676
ENSG00000011260,5011
ENSG00000011275,9024
ENSG00000011295,15042
ENSG00000011304,23662
ENSG00000011332,92
ENSG00000011347,48143
ENSG00000011376,4950
ENSG00000011405,19789
ENSG00000011422,613
ENSG00000011426,3403
ENSG00000011451,11522
ENSG00000011454,10615
ENSG00000011465,16151
ENSG00000011478,1153
ENSG00000011485,6074
ENSG00000011523,5859
ENSG00000011566,6023
ENSG00000011590,41
ENSG00000011600,868
ENSG00000011638,3655
ENSG00000011677,0
ENSG00000012048,4448
ENSG00000012061,3446
ENSG00000012124,276
ENSG00000012171,756
ENSG00000012174,9626
ENSG00000012211,758
ENSG00000012223,1333
ENSG00000012232,4497
ENSG00000012504,0
ENSG00000012660,19404
ENSG00000012779,649
ENSG00000012817,0
ENSG00000012822,4549
ENSG00000012963,14878
ENSG00000012983,4818
ENSG00000013016,2815
ENSG00000013275,5935
ENSG00000013288,10000
ENSG00000013293,4
ENSG00000013297,364
ENSG00000013306,15841
ENSG00000013364,5397
ENSG00000013374,11414
ENSG00000013375,3354
ENSG00000013392,837
ENSG00000013441,4949
ENSG00000013503,1203
ENSG00000013523,4525
ENSG00000013561,11015
ENSG00000013563,1923
ENSG00000013573,2093
ENSG00000013583,48290
ENSG00000013588,43148
ENSG00000013619,643
ENSG00000013725,99
ENSG00000013810,3783
ENSG00000014123,3829
ENSG00000014138,1598
ENSG00000014164,2186
ENSG00000014216,8058
ENSG00000014257,159
ENSG00000014641,7735
ENSG00000014824,15667
ENSG00000014914,255
ENSG00000014919,7696
ENSG00000015133,10095
ENSG00000015153,1252
ENSG00000015171,8942
ENSG00000015285,361
ENSG00000015413,24
ENSG00000015475,1444
ENSG00000015479,479
ENSG00000015520,26
ENSG00000015532,2146
ENSG00000015568,2
ENSG00000015592,3
ENSG00000015676,14320
ENSG00000016082,0
ENSG00000016391,4745
ENSG00000016402,2879
ENSG00000016490,0
ENSG00000016602,16
ENSG00000016864,5678
ENSG00000017260,17276
ENSG00000017427,49
ENSG00000017483,45
ENSG00000017797,8836
ENSG00000018189,3060
ENSG00000018236,405
ENSG00000018280,119
ENSG00000018408,2201
ENSG00000018510,4894
ENSG00000018607,0
ENSG00000018610,2243
ENSG00000018625,125
ENSG00000018699,3008
ENSG00000018869,294
ENSG00000019102,28
ENSG00000019144,4167
ENSG00000019169,1
ENSG00000019186,8
ENSG00000019485,3538
ENSG00000019505,69247
ENSG00000019549,1495
ENSG00000019582,39027
ENSG00000019991,231
ENSG00000019995,2281
ENSG00000020129,6654
ENSG00000020181,3566
ENSG00000020219,0
ENSG00000020256,2911
ENSG00000020426,3018
ENSG00000020577,995
ENSG00000020633,320
ENSG00000020922,2961
ENSG00000021300,57
ENSG00000021355,5547
ENSG00000021461,6
ENSG00000021488,36
ENSG00000021574,2967
ENSG00000021645,52
ENSG00000021762,5824
ENSG00000021776,8369
ENSG00000021826,1705
ENSG00000021852,1
ENSG00000022267,951
ENSG00000022277,10896
ENSG00000022355,355
ENSG00000022556,56
ENSG00000022567,361
ENSG00000022840,16427
ENSG00000022976,1657
ENSG00000023041,4333
ENSG00000023171,76
ENSG00000023191,14426
ENSG00000023228,18419
ENSG00000023287,21961
ENSG00000023318,4807
ENSG00000023330,3844
ENSG00000023445,319
ENSG00000023516,7412
ENSG00000023572,721
ENSG00000023608,658
ENSG00000023697,1435
ENSG00000023734,16129
ENSG00000023839,18
ENSG00000023892,1694
ENSG00000023902,2015
ENSG00000023909,3184
ENSG00000024048,10230
ENSG00000024422,7226
ENSG00000024526,1811
ENSG00000024862,777
ENSG00000025039,809
ENSG00000025156,1218
ENSG00000025293,10134
ENSG00000025423,689
ENSG00000025434,1140
ENSG00000025708,2229
ENSG00000025770,4392
ENSG00000025772,4536
ENSG00000025796,8722
ENSG00000025800,8554
ENSG00000026025,26334
ENSG00000026036,332
ENSG00000026103,323
ENSG00000026297,1556
ENSG00000026508,32465
ENSG00000026559,1422
ENSG00000026652,241
ENSG00000026751,248
ENSG00000026950,819
ENSG00000027001,1975
ENSG00000027075,2019
ENSG00000027644,39
ENSG00000027697,3046
ENSG00000027847,2235
ENSG00000027869,41
ENSG00000028116,1824
ENSG00000028137,1049
ENSG00000028203,8462
ENSG00000028277,213
ENSG00000028310,1679
ENSG00000028528,17532
ENSG00000028839,378
ENSG00000029153,1210
ENSG00000029363,15083
ENSG00000029364,34974
ENSG00000029534,68117
ENSG00000029559,55
ENSG00000029639,221
ENSG00000029725,20629
ENSG00000029993,1367
ENSG00000030066,9440
ENSG00000030110,850
ENSG00000030304,3
ENSG00000030419,134
ENSG00000030582,17641
ENSG00000031003,6834
ENSG00000031081,1529
ENSG00000031691,762
ENSG00000031698,18788
ENSG00000031823,5543
ENSG00000032219,3342
ENSG00000032389,1883
ENSG00000032444,4057
ENSG00000032742,1681
ENSG00000033011,2653
ENSG00000033030,2659
ENSG00000033050,9401
ENSG00000033100,7883
ENSG00000033122,42
ENSG00000033170,6922
ENSG00000033178,5150
ENSG00000033327,1768
ENSG00000033627,12068
ENSG00000033800,5807
ENSG00000033867,3920
ENSG00000034053,187
ENSG00000034152,1868
ENSG00000034239,28
ENSG00000034510,17200
ENSG00000034533,914
ENSG00000034677,11839
ENSG00000034693,941
ENSG00000034713,6209
ENSG00000034971,1
ENSG00000035115,5441
ENSG00000035141,3490
ENSG00000035403,10510
ENSG00000035499,348
ENSG00000035664,1634
ENSG00000035681,4772
ENSG00000035687,2880
ENSG00000035720,28
ENSG00000035862,16355
ENSG00000035928,11924
ENSG00000036054,4129
ENSG00000036257,13161
ENSG00000036448,251
ENSG00000036473,0
ENSG00000036530,200
ENSG00000036549,9966
ENSG00000036565,3
ENSG00000036672,270
ENSG00000036828,0
ENSG00000037042,2072
ENSG00000037241,1464
ENSG00000037280,696
ENSG00000037474,9889
ENSG00000037637,1981
ENSG00000037749,3249
ENSG00000037757,399
ENSG00000037897,2145
ENSG00000037965,181
ENSG00000038002,2892
ENSG00000038210,1425
ENSG00000038219,12054
ENSG00000038274,3598
ENSG00000038295,62
ENSG00000038358,2991
ENSG00000038382,13576
ENSG00000038427,22552
ENSG00000038532,3032
ENSG00000038945,1422
ENSG00000039068,45744
ENSG00000039123,8469
ENSG00000039139,2165
ENSG00000039319,11164
ENSG00000039523,7328
ENSG00000039537,32
ENSG00000039560,4247
ENSG00000039600,1
ENSG00000039650,2056
ENSG00000039987,2
ENSG00000040199,2416
ENSG00000040275,1490
ENSG00000040341,18173
ENSG00000040487,787
ENSG00000040531,1607
ENSG00000040608,345
ENSG00000040633,3610
ENSG00000040731,1
ENSG00000040933,3985
ENSG00000041353,15384
ENSG00000041357,6610
ENSG00000041515,43
ENSG00000041802,6736
ENSG00000041880,2099
ENSG00000041982,9396
ENSG00000041988,559
ENSG00000042062,89
ENSG00000042088,2555
ENSG00000042286,1264
ENSG00000042304,0
ENSG00000042317,670
ENSG00000042429,1883
ENSG00000042445,15405
ENSG00000042493,5126
ENSG00000042753,4606
ENSG00000042781,6
ENSG00000042813,0
ENSG00000042832,27
ENSG00000042980,383
ENSG00000043039,1516
ENSG00000043093,3365
ENSG00000043143,4733
ENSG00000043355,501
ENSG00000043462,655
ENSG00000043514,941
ENSG00000043591,7
ENSG00000044012,0
ENSG00000044090,8616
ENSG00000044115,65614
ENSG00000044446,5718
