Gene stable ID,d13061a4-f0c4-4797-8842-62ac30e8f1fb
ENSG00000000003,4207
ENSG00000000005,1
ENSG00000000419,2157
ENSG00000000457,2379
ENSG00000000460,642
ENSG00000000938,334
ENSG00000000971,17143
ENSG00000001036,3013
ENSG00000001084,1556
ENSG00000001167,1809
ENSG00000001460,820
ENSG00000001461,2129
ENSG00000001497,3531
ENSG00000001561,278
ENSG00000001617,5794
ENSG00000001626,77
ENSG00000001629,2943
ENSG00000001630,226
ENSG00000001631,2423
ENSG00000002016,402
ENSG00000002079,51
ENSG00000002330,2584
ENSG00000002549,4053
ENSG00000002586,11940
ENSG00000002587,138
ENSG00000002726,162
ENSG00000002745,1
ENSG00000002746,550
ENSG00000002822,7239
ENSG00000002834,11458
ENSG00000002919,1209
ENSG00000002933,8280
ENSG00000003056,3422
ENSG00000003096,70
ENSG00000003137,352
ENSG00000003147,4552
ENSG00000003249,3372
ENSG00000003393,1792
ENSG00000003400,199
ENSG00000003402,3626
ENSG00000003436,9692
ENSG00000003509,1036
ENSG00000003756,4547
ENSG00000003987,63
ENSG00000003989,7306
ENSG00000004059,7408
ENSG00000004139,1452
ENSG00000004142,11653
ENSG00000004399,7278
ENSG00000004455,5719
ENSG00000004468,176
ENSG00000004478,33290
ENSG00000004487,3612
ENSG00000004534,4090
ENSG00000004660,299
ENSG00000004700,785
ENSG00000004766,723
ENSG00000004776,2620
ENSG00000004777,471
ENSG00000004779,3581
ENSG00000004799,6223
ENSG00000004809,2
ENSG00000004838,680
ENSG00000004846,4
ENSG00000004848,8
ENSG00000004864,999
ENSG00000004866,1072
ENSG00000004897,2965
ENSG00000004939,14
ENSG00000004948,12
ENSG00000004961,1330
ENSG00000004975,1375
ENSG00000005001,5272
ENSG00000005007,8693
ENSG00000005020,2393
ENSG00000005022,17835
ENSG00000005059,937
ENSG00000005073,0
ENSG00000005075,3149
ENSG00000005100,701
ENSG00000005102,8
ENSG00000005108,278
ENSG00000005156,2518
ENSG00000005175,1375
ENSG00000005187,104
ENSG00000005189,357
ENSG00000005194,2505
ENSG00000005206,3673
ENSG00000005238,1545
ENSG00000005243,412
ENSG00000005249,1610
ENSG00000005302,876
ENSG00000005339,8172
ENSG00000005379,814
ENSG00000005381,5
ENSG00000005421,246
ENSG00000005436,1146
ENSG00000005448,2033
ENSG00000005469,567
ENSG00000005471,1442
ENSG00000005483,3863
ENSG00000005486,13647
ENSG00000005513,11
ENSG00000005700,2737
ENSG00000005801,1416
ENSG00000005810,3176
ENSG00000005812,3247
ENSG00000005844,2139
ENSG00000005882,421
ENSG00000005884,9868
ENSG00000005889,1007
ENSG00000005893,17426
ENSG00000005961,121
ENSG00000005981,6
ENSG00000006007,8696
ENSG00000006015,2944
ENSG00000006016,760
ENSG00000006025,1149
ENSG00000006042,1905
ENSG00000006047,127
ENSG00000006059,4
ENSG00000006062,487
ENSG00000006071,2559
ENSG00000006116,0
ENSG00000006118,5234
ENSG00000006125,24985
ENSG00000006128,3
ENSG00000006194,3146
ENSG00000006210,18535
ENSG00000006282,5537
ENSG00000006283,16
ENSG00000006327,7632
ENSG00000006377,13
ENSG00000006432,815
ENSG00000006451,4402
ENSG00000006453,4732
ENSG00000006459,1819
ENSG00000006468,841
ENSG00000006530,1427
ENSG00000006534,4947
ENSG00000006555,413
ENSG00000006576,2538
ENSG00000006606,25
ENSG00000006607,1375
ENSG00000006611,186
ENSG00000006625,3783
ENSG00000006634,361
ENSG00000006638,248
ENSG00000006652,3775
ENSG00000006659,3
ENSG00000006695,340
ENSG00000006704,3900
ENSG00000006712,4197
ENSG00000006715,4334
ENSG00000006740,376
ENSG00000006744,1855
ENSG00000006747,32
ENSG00000006756,10673
ENSG00000006757,2068
ENSG00000006788,1
ENSG00000006831,6632
ENSG00000006837,124
ENSG00000007001,32
ENSG00000007038,41
ENSG00000007047,11962
ENSG00000007062,146
ENSG00000007080,3937
ENSG00000007129,44
ENSG00000007168,4489
ENSG00000007171,38
ENSG00000007174,16
ENSG00000007202,11653
ENSG00000007216,111
ENSG00000007237,546
ENSG00000007255,4330
ENSG00000007264,316
ENSG00000007306,6
ENSG00000007312,97
ENSG00000007314,62
ENSG00000007341,570
ENSG00000007350,0
ENSG00000007372,37
ENSG00000007376,1533
ENSG00000007384,3829
ENSG00000007392,3109
ENSG00000007402,526
ENSG00000007516,14401
ENSG00000007520,2978
ENSG00000007541,7842
ENSG00000007545,1391
ENSG00000007866,4150
ENSG00000007908,27
ENSG00000007923,1096
ENSG00000007933,1240
ENSG00000007944,1241
ENSG00000007952,57
ENSG00000007968,54
ENSG00000008018,9011
ENSG00000008056,338
ENSG00000008083,918
ENSG00000008086,603
ENSG00000008118,32
ENSG00000008128,352
ENSG00000008130,3343
ENSG00000008196,8
ENSG00000008197,1
ENSG00000008226,121
ENSG00000008256,1556
ENSG00000008277,341
ENSG00000008282,7794
ENSG00000008283,12742
ENSG00000008294,4578
ENSG00000008300,2098
ENSG00000008311,494
ENSG00000008323,775
ENSG00000008324,712
ENSG00000008382,918
ENSG00000008394,12725
ENSG00000008405,1590
ENSG00000008438,2
ENSG00000008441,2377
ENSG00000008513,16176
ENSG00000008516,4329
ENSG00000008517,8149
ENSG00000008710,2728
ENSG00000008735,2001
ENSG00000008838,4780
ENSG00000008853,817
ENSG00000008869,2585
ENSG00000008952,5845
ENSG00000008988,78794
ENSG00000009307,29348
ENSG00000009335,4830
ENSG00000009413,1194
ENSG00000009694,21
ENSG00000009709,1
ENSG00000009724,3478
ENSG00000009765,52
ENSG00000009780,439
ENSG00000009790,36
ENSG00000009830,1594
ENSG00000009844,2000
ENSG00000009950,1028
ENSG00000009954,5964
ENSG00000010017,2750
ENSG00000010030,279
ENSG00000010072,603
ENSG00000010165,2044
ENSG00000010219,1084
ENSG00000010244,7274
ENSG00000010256,10840
ENSG00000010270,3003
ENSG00000010278,26151
ENSG00000010282,3
ENSG00000010292,2935
ENSG00000010295,238
ENSG00000010310,1918
ENSG00000010318,518
ENSG00000010319,396
ENSG00000010322,3990
ENSG00000010327,2560
ENSG00000010361,3233
ENSG00000010379,20
ENSG00000010404,19327
ENSG00000010438,39
ENSG00000010539,454
ENSG00000010610,979
ENSG00000010626,854
ENSG00000010671,63
ENSG00000010704,173
ENSG00000010803,2907
ENSG00000010810,991
ENSG00000010818,1665
ENSG00000010932,61
ENSG00000011007,2187
ENSG00000011009,4864
ENSG00000011021,813
ENSG00000011028,1552
ENSG00000011052,103
ENSG00000011083,21
ENSG00000011105,9599
ENSG00000011114,1537
ENSG00000011132,955
ENSG00000011143,1338
ENSG00000011198,1046
ENSG00000011201,95
ENSG00000011243,6316
ENSG00000011258,1052
ENSG00000011260,2479
ENSG00000011275,2291
ENSG00000011295,2655
ENSG00000011304,18991
ENSG00000011332,27
ENSG00000011347,18448
ENSG00000011376,618
ENSG00000011405,3149
ENSG00000011422,1894
ENSG00000011426,775
ENSG00000011451,3114
ENSG00000011454,3544
ENSG00000011465,20269
ENSG00000011478,1763
ENSG00000011485,2553
ENSG00000011523,2675
ENSG00000011566,2973
ENSG00000011590,5
ENSG00000011600,1285
ENSG00000011638,4288
ENSG00000011677,91
ENSG00000012048,340
ENSG00000012061,5909
ENSG00000012124,3693
ENSG00000012171,7594
ENSG00000012174,2181
ENSG00000012211,1877
ENSG00000012223,85
ENSG00000012232,1310
ENSG00000012504,1173
ENSG00000012660,18420
ENSG00000012779,533
ENSG00000012817,0
ENSG00000012822,5107
ENSG00000012963,3234
ENSG00000012983,2338
ENSG00000013016,992
ENSG00000013275,5266
ENSG00000013288,3912
ENSG00000013293,6
ENSG00000013297,1167
ENSG00000013306,9344
ENSG00000013364,13623
ENSG00000013374,5485
ENSG00000013375,1059
ENSG00000013392,174
ENSG00000013441,7484
ENSG00000013503,340
ENSG00000013523,2744
ENSG00000013561,4334
ENSG00000013563,2418
ENSG00000013573,1659
ENSG00000013583,3688
ENSG00000013588,13003
ENSG00000013619,206
ENSG00000013725,50
ENSG00000013810,1326
ENSG00000014123,1633
ENSG00000014138,514
ENSG00000014164,5129
ENSG00000014216,16810
ENSG00000014257,47
ENSG00000014641,7270
ENSG00000014824,5966
ENSG00000014914,2803
ENSG00000014919,3048
ENSG00000015133,1857
ENSG00000015153,817
ENSG00000015171,6222
ENSG00000015285,309
ENSG00000015413,101
ENSG00000015475,1333
ENSG00000015479,286
ENSG00000015520,418
ENSG00000015532,3758
ENSG00000015568,1
ENSG00000015592,175
ENSG00000015676,9497
ENSG00000016082,0
ENSG00000016391,1068
ENSG00000016402,4285
ENSG00000016490,0
ENSG00000016602,4
ENSG00000016864,2452
ENSG00000017260,4424
ENSG00000017427,362
ENSG00000017483,75
ENSG00000017797,5416
ENSG00000018189,1789
ENSG00000018236,47
ENSG00000018280,1638
ENSG00000018408,1066
ENSG00000018510,4194
ENSG00000018607,0
ENSG00000018610,1665
ENSG00000018625,36
ENSG00000018699,524
ENSG00000018869,66
ENSG00000019102,153
ENSG00000019144,1963
ENSG00000019169,1061
ENSG00000019186,836
ENSG00000019485,155
ENSG00000019505,178
ENSG00000019549,392
ENSG00000019582,29144
ENSG00000019991,2063
ENSG00000019995,809
ENSG00000020129,1527
ENSG00000020181,1059
ENSG00000020219,1
ENSG00000020256,1506
ENSG00000020426,1356
ENSG00000020577,483
ENSG00000020633,91
ENSG00000020922,865
ENSG00000021300,281
ENSG00000021355,5018
ENSG00000021461,7
ENSG00000021488,114
ENSG00000021574,1516
ENSG00000021645,1021
ENSG00000021762,4219
ENSG00000021776,2479
ENSG00000021826,10496
ENSG00000021852,8075
ENSG00000022267,965
ENSG00000022277,9975
ENSG00000022355,2
ENSG00000022556,13
ENSG00000022567,820
ENSG00000022840,13935
ENSG00000022976,639
ENSG00000023041,1420
ENSG00000023171,243
ENSG00000023191,11223
ENSG00000023228,5043
ENSG00000023287,5225
ENSG00000023318,4509
ENSG00000023330,2396
ENSG00000023445,1533
ENSG00000023516,5730
ENSG00000023572,732
ENSG00000023608,475
ENSG00000023697,2216
ENSG00000023734,6409
ENSG00000023839,160
ENSG00000023892,1332
ENSG00000023902,1997
ENSG00000023909,852
ENSG00000024048,2455
ENSG00000024422,4541
ENSG00000024526,191
ENSG00000024862,1930
ENSG00000025039,756
ENSG00000025156,846
ENSG00000025293,4853
ENSG00000025423,414
ENSG00000025434,1237
ENSG00000025708,4719
ENSG00000025770,2214
ENSG00000025772,3123
ENSG00000025796,6893
ENSG00000025800,3399
ENSG00000026025,15923
ENSG00000026036,349
ENSG00000026103,687
ENSG00000026297,855
ENSG00000026508,34653
ENSG00000026559,65
ENSG00000026652,737
ENSG00000026751,9
ENSG00000026950,1045
ENSG00000027001,787
ENSG00000027075,372
ENSG00000027644,5
ENSG00000027697,7965
ENSG00000027847,1162
ENSG00000027869,459
ENSG00000028116,881
ENSG00000028137,2227
ENSG00000028203,5694
ENSG00000028277,183
ENSG00000028310,3568
ENSG00000028528,8453
ENSG00000028839,828
ENSG00000029153,228
ENSG00000029363,4924
ENSG00000029364,7583
ENSG00000029534,694
ENSG00000029559,2
ENSG00000029639,424
ENSG00000029725,1981
ENSG00000029993,4221
ENSG00000030066,2042
ENSG00000030110,566
ENSG00000030304,0
ENSG00000030419,725
ENSG00000030582,14238
ENSG00000031003,1281
ENSG00000031081,247
ENSG00000031691,187
ENSG00000031698,9055
ENSG00000031823,3389
ENSG00000032219,1521
ENSG00000032389,1606
ENSG00000032444,1861
ENSG00000032742,967
ENSG00000033011,1118
ENSG00000033030,2294
ENSG00000033050,3531
ENSG00000033100,2381
ENSG00000033122,24
ENSG00000033170,1742
ENSG00000033178,3087
ENSG00000033327,11709
ENSG00000033627,4532
ENSG00000033800,1873
ENSG00000033867,1886
ENSG00000034053,227
ENSG00000034152,2462
ENSG00000034239,11
ENSG00000034510,37562
ENSG00000034533,180
ENSG00000034677,5265
ENSG00000034693,580
ENSG00000034713,7889
ENSG00000034971,3
ENSG00000035115,4890
ENSG00000035141,2850
ENSG00000035403,4805
ENSG00000035499,113
ENSG00000035664,686
ENSG00000035681,2724
ENSG00000035687,8758
ENSG00000035720,0
ENSG00000035862,34914
ENSG00000035928,3912
ENSG00000036054,1622
ENSG00000036257,2660
ENSG00000036448,271
ENSG00000036473,87
ENSG00000036530,61
ENSG00000036549,1715
ENSG00000036565,4
ENSG00000036672,72
ENSG00000036828,19
ENSG00000037042,4304
ENSG00000037241,1089
ENSG00000037280,936
ENSG00000037474,5471
ENSG00000037637,1254
ENSG00000037749,929
ENSG00000037757,1653
ENSG00000037897,509
ENSG00000037965,63
ENSG00000038002,1985
ENSG00000038210,893
ENSG00000038219,3330
ENSG00000038274,4305
ENSG00000038295,32
ENSG00000038358,2388
ENSG00000038382,6202
ENSG00000038427,2517
ENSG00000038532,2398
ENSG00000038945,674
ENSG00000039068,67686
ENSG00000039123,2040
ENSG00000039139,2863
ENSG00000039319,1801
ENSG00000039523,7523
ENSG00000039537,3897
ENSG00000039560,7426
ENSG00000039600,12
ENSG00000039650,6266
ENSG00000039987,1
ENSG00000040199,759
ENSG00000040275,562
ENSG00000040341,5685
ENSG00000040487,913
ENSG00000040531,1083
ENSG00000040608,272
ENSG00000040633,1404
ENSG00000040731,0
ENSG00000040933,1927
ENSG00000041353,1044
ENSG00000041357,5377
ENSG00000041515,158
ENSG00000041802,1267
ENSG00000041880,1650
ENSG00000041982,15027
ENSG00000041988,1554
ENSG00000042062,798
ENSG00000042088,749
ENSG00000042286,1834
ENSG00000042304,1
ENSG00000042317,517
ENSG00000042429,1228
ENSG00000042445,3915
ENSG00000042493,16642
ENSG00000042753,2096
ENSG00000042781,28
ENSG00000042813,2
ENSG00000042832,393
ENSG00000042980,2112
ENSG00000043039,14
ENSG00000043093,1071
ENSG00000043143,3095
ENSG00000043355,0
ENSG00000043462,409
ENSG00000043514,1045
ENSG00000043591,44
ENSG00000044012,2
ENSG00000044090,3054
ENSG00000044115,35872
ENSG00000044446,2403
ENSG00000044459,436
ENSG00000044524,242
ENSG00000044574,27538
ENSG00000046604,10237
ENSG00000046647,1881
ENSG00000046651,2201
ENSG00000046653,60
ENSG00000046774,2
ENSG00000046889,136
ENSG00000047056,1037
ENSG00000047188,1868
ENSG00000047230,3490
ENSG00000047249,5726
ENSG00000047315,3235
ENSG00000047346,5246
ENSG00000047365,364
ENSG00000047410,10275
ENSG00000047457,22464
ENSG00000047578,2802
ENSG00000047579,1308
ENSG00000047597,100
ENSG00000047617,85
ENSG00000047621,702
ENSG00000047634,510
ENSG00000047644,3628
ENSG00000047648,117
ENSG00000047662,16
ENSG00000047849,14062
ENSG00000047932,1705
ENSG00000047936,5
ENSG00000048028,667
ENSG00000048052,72
ENSG00000048140,2314
ENSG00000048162,750
ENSG00000048342,1056
ENSG00000048392,12328
ENSG00000048405,775
ENSG00000048462,0
ENSG00000048471,2102
ENSG00000048540,100
ENSG00000048544,3545
ENSG00000048545,1
ENSG00000048649,3045
ENSG00000048707,3001
ENSG00000048740,192
ENSG00000048828,10520
ENSG00000048991,2205
ENSG00000049089,64
ENSG00000049130,309
ENSG00000049167,582
ENSG00000049192,70
ENSG00000049239,5843
ENSG00000049245,4085
ENSG00000049246,973
ENSG00000049247,5
ENSG00000049249,16
ENSG00000049283,4984
ENSG00000049323,1239
ENSG00000049449,4967
ENSG00000049540,1489
ENSG00000049541,2277
ENSG00000049618,3198
ENSG00000049656,9522
ENSG00000049759,1881
ENSG00000049768,142
ENSG00000049769,1043
ENSG00000049860,6270
ENSG00000049883,572
ENSG00000050030,79
ENSG00000050130,2545
ENSG00000050165,1862
ENSG00000050327,1221
ENSG00000050344,147
ENSG00000050393,2685
ENSG00000050405,2773
ENSG00000050426,8325
ENSG00000050438,3433
ENSG00000050555,2240
ENSG00000050628,71
ENSG00000050730,10
ENSG00000050748,4108
ENSG00000050767,65
ENSG00000050820,6062
ENSG00000051009,1799
ENSG00000051108,6230
ENSG00000051128,2774
ENSG00000051180,110
ENSG00000051341,83
ENSG00000051382,1958
ENSG00000051523,3098
ENSG00000051596,243
ENSG00000051620,5695
ENSG00000051825,746
ENSG00000052126,3248
ENSG00000052344,18829
ENSG00000052723,1281
ENSG00000052749,1852
ENSG00000052795,1521
ENSG00000052802,4162
ENSG00000052841,7453
ENSG00000052850,455
ENSG00000053108,562
ENSG00000053254,2627
ENSG00000053328,10
ENSG00000053371,2019
ENSG00000053372,1522
ENSG00000053438,13
ENSG00000053501,1454
ENSG00000053524,36
ENSG00000053702,313
ENSG00000053747,1012
ENSG00000053770,1572
ENSG00000053900,1509
ENSG00000053918,294
ENSG00000054116,2690
ENSG00000054118,5394
ENSG00000054148,4848
ENSG00000054179,1244
ENSG00000054219,298
ENSG00000054267,4781
ENSG00000054277,925
ENSG00000054282,3584
ENSG00000054356,199
ENSG00000054392,2519
ENSG00000054523,5038
ENSG00000054598,187
ENSG00000054611,1574
ENSG00000054654,10671
ENSG00000054690,1411
ENSG00000054793,7040
ENSG00000054796,0
ENSG00000054803,0
ENSG00000054938,270
ENSG00000054965,4504
ENSG00000054967,857
ENSG00000054983,1979
ENSG00000055044,3430
ENSG00000055070,5154
ENSG00000055118,1723
ENSG00000055130,3138
ENSG00000055147,1460
ENSG00000055163,2969
ENSG00000055208,4343
ENSG00000055211,3200
ENSG00000055332,3021
ENSG00000055483,8662
ENSG00000055609,4544
ENSG00000055732,34
ENSG00000055813,17
ENSG00000055917,9928
ENSG00000055950,4962
ENSG00000055955,1146
ENSG00000055957,9749
ENSG00000056050,907
ENSG00000056097,10005
ENSG00000056277,432
ENSG00000056291,2
ENSG00000056487,612
ENSG00000056558,421
ENSG00000056586,2743
ENSG00000056736,443
ENSG00000056972,2428
ENSG00000056998,570
ENSG00000057019,745
ENSG00000057149,23
ENSG00000057252,1233
ENSG00000057294,942
ENSG00000057468,4
ENSG00000057593,322
ENSG00000057608,19917
ENSG00000057657,185
ENSG00000057663,1811
ENSG00000057704,213
ENSG00000057757,2710
ENSG00000057935,7086
ENSG00000058056,794
ENSG00000058063,540
ENSG00000058085,6493
ENSG00000058091,1141
ENSG00000058262,15839
ENSG00000058272,2590
ENSG00000058335,139
ENSG00000058404,460
ENSG00000058453,1682
ENSG00000058600,3605
ENSG00000058668,16569
ENSG00000058673,10293
ENSG00000058729,1364
ENSG00000058799,2849
ENSG00000058804,909
ENSG00000058866,153
ENSG00000059122,3668
ENSG00000059145,1765
ENSG00000059377,329
ENSG00000059378,2238
ENSG00000059573,2711
ENSG00000059588,3562
ENSG00000059691,1046
ENSG00000059728,15644
ENSG00000059758,1421
ENSG00000059769,620
ENSG00000059804,7641
ENSG00000059915,1794
ENSG00000060069,1216
ENSG00000060138,12844
ENSG00000060140,983
ENSG00000060237,21485
ENSG00000060303,0
ENSG00000060339,3835
ENSG00000060491,5914
ENSG00000060558,2231
ENSG00000060566,11844
ENSG00000060642,1302
ENSG00000060656,7819
ENSG00000060688,1371
ENSG00000060709,12
ENSG00000060718,373
ENSG00000060749,2258
ENSG00000060762,2585
ENSG00000060971,2146
ENSG00000060982,252
ENSG00000061273,6272
ENSG00000061337,279
ENSG00000061455,32
ENSG00000061492,0
ENSG00000061656,2177
ENSG00000061676,14369
ENSG00000061794,2705
ENSG00000061918,1054
ENSG00000061936,4876
ENSG00000061938,7507
ENSG00000061987,1834
ENSG00000062038,701
ENSG00000062096,14
ENSG00000062194,5004
ENSG00000062282,566
ENSG00000062370,176
ENSG00000062485,13984
ENSG00000062524,73
ENSG00000062582,991
ENSG00000062598,5286
ENSG00000062650,3690
ENSG00000062716,15379
ENSG00000062725,2400
ENSG00000062822,1936
ENSG00000063015,29
ENSG00000063046,41339
ENSG00000063127,46
ENSG00000063169,750
ENSG00000063176,556
ENSG00000063177,36006
ENSG00000063180,1911
ENSG00000063241,6068
ENSG00000063244,12872
ENSG00000063245,17334
ENSG00000063322,5485
ENSG00000063438,117
ENSG00000063515,0
ENSG00000063587,885
ENSG00000063601,2150
ENSG00000063660,8767
ENSG00000063761,370
ENSG00000063854,4742
ENSG00000063978,4488
ENSG00000064012,930
ENSG00000064042,3029
ENSG00000064102,1970
ENSG00000064115,2933
ENSG00000064195,1155
ENSG00000064199,384
ENSG00000064201,554
ENSG00000064205,610
ENSG00000064218,0
ENSG00000064225,871
ENSG00000064270,531
ENSG00000064300,856
ENSG00000064309,1759
ENSG00000064313,3857
ENSG00000064393,6476
ENSG00000064419,2639
ENSG00000064489,52
ENSG00000064490,2220
ENSG00000064545,2476
ENSG00000064547,722
ENSG00000064601,8823
ENSG00000064607,2300
ENSG00000064651,1113
ENSG00000064652,840
ENSG00000064655,72
ENSG00000064666,6040
ENSG00000064687,1010
ENSG00000064692,40
ENSG00000064703,395
ENSG00000064726,4229
ENSG00000064763,390
ENSG00000064787,1106
ENSG00000064835,0
ENSG00000064886,95
ENSG00000064932,11418
ENSG00000064933,647
ENSG00000064961,4164
ENSG00000064989,516
ENSG00000064995,1066
ENSG00000064999,2510
ENSG00000065000,8311
ENSG00000065029,1945
ENSG00000065054,6059
ENSG00000065057,2137
ENSG00000065060,1211
ENSG00000065135,3567
ENSG00000065150,6978
ENSG00000065154,4296
ENSG00000065183,2265
ENSG00000065243,1864
ENSG00000065268,1459
ENSG00000065308,1566
ENSG00000065320,76
ENSG00000065325,42
ENSG00000065328,83
ENSG00000065357,3118
ENSG00000065361,21788
ENSG00000065371,0
ENSG00000065413,303
ENSG00000065427,9183
ENSG00000065457,1622
ENSG00000065485,1485
ENSG00000065491,593
ENSG00000065518,6034
ENSG00000065526,3769
ENSG00000065534,1694
ENSG00000065548,4409
ENSG00000065559,923
ENSG00000065600,1139
ENSG00000065609,79
ENSG00000065613,4715
ENSG00000065615,893
ENSG00000065618,179
ENSG00000065621,3888
ENSG00000065665,740
ENSG00000065675,29
ENSG00000065717,1336
ENSG00000065802,1685
ENSG00000065809,2388
ENSG00000065833,665
ENSG00000065882,2362
ENSG00000065883,2245
ENSG00000065911,7901
ENSG00000065923,3488
ENSG00000065970,2871
ENSG00000065978,14290
ENSG00000065989,944
ENSG00000066027,9133
ENSG00000066032,1507
ENSG00000066044,4546
ENSG00000066056,1262
ENSG00000066084,3219
ENSG00000066117,4059
ENSG00000066135,1854
ENSG00000066136,2547
ENSG00000066185,144
ENSG00000066230,27
ENSG00000066248,422
ENSG00000066279,273
ENSG00000066294,31
ENSG00000066322,3984
ENSG00000066336,300
ENSG00000066379,1457
ENSG00000066382,708
ENSG00000066405,4
ENSG00000066422,965
ENSG00000066427,1022
ENSG00000066455,3848
ENSG00000066468,972
ENSG00000066557,522
ENSG00000066583,1594
ENSG00000066629,645
ENSG00000066651,829
ENSG00000066654,2692
ENSG00000066697,1050
ENSG00000066735,82
ENSG00000066739,2381
ENSG00000066777,12080
ENSG00000066813,641
ENSG00000066827,540
ENSG00000066855,3426
ENSG00000066923,199
ENSG00000066926,747
ENSG00000066933,1245
ENSG00000067048,0
ENSG00000067057,17255
ENSG00000067064,2153
ENSG00000067066,5777
ENSG00000067082,7309
ENSG00000067113,1814
ENSG00000067141,5231
ENSG00000067167,16006
ENSG00000067177,1535
ENSG00000067182,11780
ENSG00000067191,744
ENSG00000067208,1507
ENSG00000067221,904
ENSG00000067225,58746
ENSG00000067248,1566
ENSG00000067334,2505
ENSG00000067365,835
ENSG00000067369,2428
ENSG00000067445,182
ENSG00000067533,846
ENSG00000067560,24473
ENSG00000067596,3580
ENSG00000067601,102
ENSG00000067606,608
ENSG00000067646,0
ENSG00000067704,10761
ENSG00000067715,10739
ENSG00000067798,156
ENSG00000067829,5616
ENSG00000067836,4479
ENSG00000067840,1662
ENSG00000067842,4
ENSG00000067900,2012
ENSG00000067955,4200
ENSG00000067992,1174
ENSG00000068001,3624
ENSG00000068024,1180
ENSG00000068028,2144
ENSG00000068078,480
ENSG00000068079,2596
ENSG00000068097,1213
ENSG00000068120,7964
ENSG00000068137,3313
ENSG00000068305,3578
ENSG00000068308,4671
ENSG00000068323,8875
ENSG00000068354,1564
ENSG00000068366,3699
ENSG00000068383,771
ENSG00000068394,2603
ENSG00000068400,7985
ENSG00000068438,2404
ENSG00000068489,452
ENSG00000068615,56
ENSG00000068650,3433
ENSG00000068654,2123
ENSG00000068697,36052
ENSG00000068724,1688
ENSG00000068745,3868
ENSG00000068781,16
ENSG00000068784,1041
