Gene stable ID,e47ded12-ac91-4443-981a-94832d0b3593
ENSG00000000003,2295
ENSG00000000005,47
ENSG00000000419,2622
ENSG00000000457,3714
ENSG00000000460,1321
ENSG00000000938,655
ENSG00000000971,2567
ENSG00000001036,9697
ENSG00000001084,6597
ENSG00000001167,5314
ENSG00000001460,568
ENSG00000001461,1881
ENSG00000001497,2846
ENSG00000001561,5491
ENSG00000001617,10536
ENSG00000001626,15
ENSG00000001629,6471
ENSG00000001630,358
ENSG00000001631,3788
ENSG00000002016,435
ENSG00000002079,7
ENSG00000002330,1754
ENSG00000002549,7024
ENSG00000002586,9689
ENSG00000002587,304
ENSG00000002726,70
ENSG00000002745,0
ENSG00000002746,109
ENSG00000002822,723
ENSG00000002834,42837
ENSG00000002919,2701
ENSG00000002933,1311
ENSG00000003056,4842
ENSG00000003096,388
ENSG00000003137,110
ENSG00000003147,6600
ENSG00000003249,2265
ENSG00000003393,2568
ENSG00000003400,2210
ENSG00000003402,10982
ENSG00000003436,935
ENSG00000003509,946
ENSG00000003756,7304
ENSG00000003987,237
ENSG00000003989,44468
ENSG00000004059,7733
ENSG00000004139,523
ENSG00000004142,8604
ENSG00000004399,6754
ENSG00000004455,7097
ENSG00000004468,95
ENSG00000004478,14291
ENSG00000004487,5846
ENSG00000004534,4074
ENSG00000004660,1262
ENSG00000004700,1573
ENSG00000004766,4473
ENSG00000004776,667
ENSG00000004777,474
ENSG00000004779,6035
ENSG00000004799,1352
ENSG00000004809,12
ENSG00000004838,780
ENSG00000004846,14
ENSG00000004848,13
ENSG00000004864,2557
ENSG00000004866,5136
ENSG00000004897,8729
ENSG00000004939,0
ENSG00000004948,29
ENSG00000004961,1727
ENSG00000004975,1406
ENSG00000005001,1467
ENSG00000005007,7472
ENSG00000005020,4293
ENSG00000005022,16987
ENSG00000005059,2684
ENSG00000005073,10
ENSG00000005075,2454
ENSG00000005100,2324
ENSG00000005102,255
ENSG00000005108,562
ENSG00000005156,4107
ENSG00000005175,4336
ENSG00000005187,167
ENSG00000005189,1139
ENSG00000005194,2319
ENSG00000005206,1751
ENSG00000005238,2483
ENSG00000005243,271
ENSG00000005249,12008
ENSG00000005302,1743
ENSG00000005339,16993
ENSG00000005379,203
