Gene stable ID,45c126d9-a2a0-4614-955c-27b1a8bbd032
ENSG00000000003,3955
ENSG00000000005,9
ENSG00000000419,2115
ENSG00000000457,2140
ENSG00000000460,479
ENSG00000000938,333
ENSG00000000971,1689
ENSG00000001036,2861
ENSG00000001084,3116
ENSG00000001167,2657
ENSG00000001460,674
ENSG00000001461,4851
ENSG00000001497,4359
ENSG00000001561,1007
ENSG00000001617,8996
ENSG00000001626,10
ENSG00000001629,3190
ENSG00000001630,437
ENSG00000001631,2752
ENSG00000002016,595
ENSG00000002079,8
ENSG00000002330,3581
ENSG00000002549,8005
ENSG00000002586,6868
ENSG00000002587,82
ENSG00000002726,15
ENSG00000002745,7
ENSG00000002746,4
ENSG00000002822,2936
ENSG00000002834,16711
ENSG00000002919,1904
ENSG00000002933,1464
ENSG00000003056,6081
ENSG00000003096,408
ENSG00000003137,128
ENSG00000003147,4306
ENSG00000003249,3022
ENSG00000003393,2165
ENSG00000003400,207
ENSG00000003402,4978
ENSG00000003436,522
ENSG00000003509,755
ENSG00000003756,8476
ENSG00000003987,141
ENSG00000003989,24374
ENSG00000004059,10316
ENSG00000004139,724
ENSG00000004142,9015
ENSG00000004399,14542
ENSG00000004455,9916
ENSG00000004468,55
ENSG00000004478,38401
ENSG00000004487,7490
ENSG00000004534,5276
ENSG00000004660,715
ENSG00000004700,1130
ENSG00000004766,2678
ENSG00000004776,264
ENSG00000004777,1411
ENSG00000004779,3528
ENSG00000004799,7145
ENSG00000004809,5
ENSG00000004838,1539
ENSG00000004846,2
ENSG00000004848,13
ENSG00000004864,1934
ENSG00000004866,2135
ENSG00000004897,2922
ENSG00000004939,3
ENSG00000004948,88
ENSG00000004961,1438
ENSG00000004975,3604
ENSG00000005001,816
ENSG00000005007,14627
ENSG00000005020,1606
ENSG00000005022,16027
ENSG00000005059,890
ENSG00000005073,2
ENSG00000005075,2507
ENSG00000005100,1906
ENSG00000005102,253
ENSG00000005108,139
ENSG00000005156,4226
ENSG00000005175,2119
ENSG00000005187,649
ENSG00000005189,411
ENSG00000005194,3335
ENSG00000005206,4682
ENSG00000005238,1255
ENSG00000005243,272
ENSG00000005249,4494
ENSG00000005302,1283
ENSG00000005339,8046
ENSG00000005379,5107
ENSG00000005381,9
ENSG00000005421,5
ENSG00000005436,1696
ENSG00000005448,2561
ENSG00000005469,2406
ENSG00000005471,50
ENSG00000005483,4978
ENSG00000005486,11972
ENSG00000005513,33
ENSG00000005700,5181
ENSG00000005801,1638
ENSG00000005810,6041
ENSG00000005812,8782
ENSG00000005844,661
ENSG00000005882,1888
ENSG00000005884,11372
ENSG00000005889,3540
ENSG00000005893,10404
ENSG00000005961,36
ENSG00000005981,12
ENSG00000006007,7736
ENSG00000006015,2630
ENSG00000006016,301
ENSG00000006025,1405
ENSG00000006042,2514
ENSG00000006047,269
ENSG00000006059,37
ENSG00000006062,877
ENSG00000006071,12025
ENSG00000006116,0
ENSG00000006118,6563
ENSG00000006125,29519
ENSG00000006128,17
ENSG00000006194,3241
ENSG00000006210,3733
ENSG00000006282,5299
ENSG00000006283,28
ENSG00000006327,1908
ENSG00000006377,2
ENSG00000006432,488
ENSG00000006451,3071
ENSG00000006453,1756
ENSG00000006459,1007
ENSG00000006468,441
ENSG00000006530,2409
ENSG00000006534,2015
ENSG00000006555,1613
ENSG00000006576,1330
ENSG00000006606,5
ENSG00000006607,2046
ENSG00000006611,36
ENSG00000006625,3431
ENSG00000006634,543
ENSG00000006638,88
ENSG00000006652,1952
ENSG00000006659,3
ENSG00000006695,1290
ENSG00000006704,2329
ENSG00000006712,7895
ENSG00000006715,3719
ENSG00000006740,2590
ENSG00000006744,6565
ENSG00000006747,678
ENSG00000006756,12261
ENSG00000006757,3966
ENSG00000006788,4
ENSG00000006831,17009
ENSG00000006837,74
ENSG00000007001,8
ENSG00000007038,7
ENSG00000007047,4436
ENSG00000007062,2001
ENSG00000007080,4809
ENSG00000007129,12
ENSG00000007168,9201
ENSG00000007171,33
ENSG00000007174,62
ENSG00000007202,11352
ENSG00000007216,31
ENSG00000007237,916
ENSG00000007255,4039
ENSG00000007264,369
ENSG00000007306,7
ENSG00000007312,212
ENSG00000007314,84
ENSG00000007341,1356
ENSG00000007350,3
ENSG00000007372,167
ENSG00000007376,2452
ENSG00000007384,4122
ENSG00000007392,3522
ENSG00000007402,3411
ENSG00000007516,2013
ENSG00000007520,3545
ENSG00000007541,7382
ENSG00000007545,1422
ENSG00000007866,3598
ENSG00000007908,59
ENSG00000007923,2560
ENSG00000007933,38
ENSG00000007944,1602
ENSG00000007952,99
ENSG00000007968,170
ENSG00000008018,5142
ENSG00000008056,38
ENSG00000008083,1979
ENSG00000008086,1018
ENSG00000008118,6
ENSG00000008128,548
ENSG00000008130,5006
ENSG00000008196,12788
ENSG00000008197,0
ENSG00000008226,135
ENSG00000008256,6612
ENSG00000008277,271
ENSG00000008282,8844
ENSG00000008283,12424
ENSG00000008294,2946
ENSG00000008300,450
ENSG00000008311,375
ENSG00000008323,474
ENSG00000008324,1489
ENSG00000008382,2558
ENSG00000008394,8106
ENSG00000008405,1692
ENSG00000008438,1
ENSG00000008441,3785
ENSG00000008513,23110
ENSG00000008516,723
ENSG00000008517,417
ENSG00000008710,3782
ENSG00000008735,2590
ENSG00000008838,8765
ENSG00000008853,1430
ENSG00000008869,3517
ENSG00000008952,10027
ENSG00000008988,74046
ENSG00000009307,40078
ENSG00000009335,6410
ENSG00000009413,965
ENSG00000009694,31
ENSG00000009709,1
ENSG00000009724,112
ENSG00000009765,19
ENSG00000009780,1042
ENSG00000009790,83
ENSG00000009830,3389
ENSG00000009844,1745
ENSG00000009950,162
ENSG00000009954,7900
ENSG00000010017,2116
ENSG00000010030,119
ENSG00000010072,714
ENSG00000010165,3025
ENSG00000010219,1361
ENSG00000010244,9126
ENSG00000010256,14426
ENSG00000010270,2077
ENSG00000010278,18319
ENSG00000010282,9
ENSG00000010292,4198
ENSG00000010295,306
ENSG00000010310,500
ENSG00000010318,752
ENSG00000010319,3014
ENSG00000010322,10107
ENSG00000010327,2575
ENSG00000010361,3697
ENSG00000010379,4
ENSG00000010404,6850
ENSG00000010438,9
ENSG00000010539,699
ENSG00000010610,1773
ENSG00000010626,1299
ENSG00000010671,200
ENSG00000010704,766
ENSG00000010803,5093
ENSG00000010810,689
ENSG00000010818,847
ENSG00000010932,59
ENSG00000011007,3711
ENSG00000011009,5884
ENSG00000011021,1913
ENSG00000011028,4958
ENSG00000011052,184
ENSG00000011083,3
ENSG00000011105,9979
ENSG00000011114,1772
ENSG00000011132,1331
ENSG00000011143,1305
ENSG00000011198,1386
ENSG00000011201,324
ENSG00000011243,5580
ENSG00000011258,1776
ENSG00000011260,3165
ENSG00000011275,4000
ENSG00000011295,6185
ENSG00000011304,25156
ENSG00000011332,55
ENSG00000011347,14757
ENSG00000011376,3066
ENSG00000011405,3418
ENSG00000011422,1105
ENSG00000011426,524
ENSG00000011451,5736
ENSG00000011454,6750
ENSG00000011465,23484
ENSG00000011478,2038
ENSG00000011485,5989
ENSG00000011523,2380
ENSG00000011566,2734
ENSG00000011590,44
ENSG00000011600,1405
ENSG00000011638,1729
ENSG00000011677,0
ENSG00000012048,727
ENSG00000012061,5245
ENSG00000012124,301
ENSG00000012171,5614
ENSG00000012174,1797
ENSG00000012211,1037
ENSG00000012223,1950
ENSG00000012232,1633
ENSG00000012504,0
ENSG00000012660,23940
ENSG00000012779,2020
ENSG00000012817,0
ENSG00000012822,6327
ENSG00000012963,3374
ENSG00000012983,3909
ENSG00000013016,1081
ENSG00000013275,6278
ENSG00000013288,8381
ENSG00000013293,5
ENSG00000013297,942
ENSG00000013306,13687
ENSG00000013364,12239
ENSG00000013374,5819
ENSG00000013375,1623
ENSG00000013392,474
ENSG00000013441,8660
ENSG00000013503,835
ENSG00000013523,2239
ENSG00000013561,5104
ENSG00000013563,1849
ENSG00000013573,1881
ENSG00000013583,11707
ENSG00000013588,5926
ENSG00000013619,1434
ENSG00000013725,86
ENSG00000013810,1090
ENSG00000014123,1423
ENSG00000014138,1738
ENSG00000014164,4806
ENSG00000014216,19266
ENSG00000014257,167
ENSG00000014641,8744
ENSG00000014824,6160
ENSG00000014914,818
ENSG00000014919,2834
ENSG00000015133,12079
ENSG00000015153,1065
ENSG00000015171,9174
ENSG00000015285,306
ENSG00000015413,11
ENSG00000015475,1096
ENSG00000015479,330
ENSG00000015520,147
ENSG00000015532,4732
ENSG00000015568,0
ENSG00000015592,2
ENSG00000015676,8802
ENSG00000016082,1
ENSG00000016391,5629
ENSG00000016402,343
ENSG00000016490,0
ENSG00000016602,8
ENSG00000016864,4729
ENSG00000017260,8860
ENSG00000017427,120
ENSG00000017483,59
ENSG00000017797,7752
ENSG00000018189,2226
ENSG00000018236,118
ENSG00000018280,130
ENSG00000018408,2882
ENSG00000018510,790
ENSG00000018607,0
ENSG00000018610,1925
ENSG00000018625,216
ENSG00000018699,1542
ENSG00000018869,225
ENSG00000019102,2847
ENSG00000019144,5142
ENSG00000019169,48
ENSG00000019186,28
ENSG00000019485,773
ENSG00000019505,93
ENSG00000019549,409
ENSG00000019582,45592
ENSG00000019991,115
ENSG00000019995,1553
ENSG00000020129,6018
ENSG00000020181,1099
ENSG00000020219,1
ENSG00000020256,1798
ENSG00000020426,3144
ENSG00000020577,508
ENSG00000020633,268
ENSG00000020922,2121
ENSG00000021300,1103
ENSG00000021355,3349
ENSG00000021461,4
ENSG00000021488,39
ENSG00000021574,1166
ENSG00000021645,1480
ENSG00000021762,4504
ENSG00000021776,3939
