Gene stable ID,426bae83-15fe-4b2b-9e29-5d36c09a4361
ENSG00000000003,3383
ENSG00000000005,7
ENSG00000000419,3472
ENSG00000000457,2726
ENSG00000000460,2315
ENSG00000000938,1244
ENSG00000000971,3412
ENSG00000001036,10229
ENSG00000001084,4616
ENSG00000001167,7041
ENSG00000001460,1160
ENSG00000001461,2987
ENSG00000001497,5333
ENSG00000001561,2163
ENSG00000001617,9126
ENSG00000001626,20
ENSG00000001629,11984
ENSG00000001630,414
ENSG00000001631,4281
ENSG00000002016,830
ENSG00000002079,23
ENSG00000002330,2882
ENSG00000002549,14073
ENSG00000002586,9401
ENSG00000002587,691
ENSG00000002726,170
ENSG00000002745,18
ENSG00000002746,11
ENSG00000002822,1504
ENSG00000002834,20847
ENSG00000002919,2633
ENSG00000002933,2619
ENSG00000003056,9924
ENSG00000003096,481
ENSG00000003137,555
ENSG00000003147,2704
ENSG00000003249,6259
ENSG00000003393,4823
ENSG00000003400,801
ENSG00000003402,11703
ENSG00000003436,775
ENSG00000003509,1026
ENSG00000003756,5736
ENSG00000003987,49
ENSG00000003989,591
ENSG00000004059,11020
ENSG00000004139,409
ENSG00000004142,11903
ENSG00000004399,12258
ENSG00000004455,11391
ENSG00000004468,813
ENSG00000004478,17931
ENSG00000004487,12663
ENSG00000004534,8297
ENSG00000004660,1206
ENSG00000004700,4561
ENSG00000004766,3096
ENSG00000004776,139
ENSG00000004777,1183
ENSG00000004779,3312
ENSG00000004799,979
ENSG00000004809,9
ENSG00000004838,1353
ENSG00000004846,24
ENSG00000004848,69
ENSG00000004864,4206
ENSG00000004866,2156
ENSG00000004897,6056
ENSG00000004939,4
ENSG00000004948,7
ENSG00000004961,1235
ENSG00000004975,2665
ENSG00000005001,382
ENSG00000005007,11709
ENSG00000005020,1458
ENSG00000005022,32004
ENSG00000005059,2554
ENSG00000005073,4
ENSG00000005075,2614
ENSG00000005100,2806
ENSG00000005102,341
ENSG00000005108,463
ENSG00000005156,8795
ENSG00000005175,3916
ENSG00000005187,477
ENSG00000005189,1987
ENSG00000005194,4148
ENSG00000005206,3074
ENSG00000005238,2441
ENSG00000005243,367
ENSG00000005249,7908
ENSG00000005302,2290
ENSG00000005339,11196
ENSG00000005379,4521
ENSG00000005381,179
ENSG00000005421,29
ENSG00000005436,2248
ENSG00000005448,1109
ENSG00000005469,6163
ENSG00000005471,162
ENSG00000005483,11635
ENSG00000005486,5960
ENSG00000005513,34
ENSG00000005700,8286
ENSG00000005801,2782
ENSG00000005810,6671
ENSG00000005812,3534
ENSG00000005844,5098
ENSG00000005882,1649
ENSG00000005884,2670
ENSG00000005889,4199
ENSG00000005893,28205
ENSG00000005961,749
ENSG00000005981,114
ENSG00000006007,7281
ENSG00000006015,998
ENSG00000006016,136
ENSG00000006025,822
ENSG00000006042,4899
ENSG00000006047,463
ENSG00000006059,3
ENSG00000006062,2084
ENSG00000006071,1615
ENSG00000006116,2
ENSG00000006118,11067
ENSG00000006125,50799
ENSG00000006128,2
ENSG00000006194,2629
ENSG00000006210,10547
ENSG00000006282,3328
ENSG00000006283,45
ENSG00000006327,1295
ENSG00000006377,4
ENSG00000006432,1099
ENSG00000006451,5780
ENSG00000006453,3527
ENSG00000006459,6526
ENSG00000006468,533
ENSG00000006530,3146
ENSG00000006534,820
ENSG00000006555,1094
ENSG00000006576,5000
ENSG00000006606,7
ENSG00000006607,3122
ENSG00000006611,31
ENSG00000006625,6935
ENSG00000006634,2617
ENSG00000006638,86
ENSG00000006652,3377
ENSG00000006659,2
ENSG00000006695,1295
ENSG00000006704,3654
ENSG00000006712,5667
ENSG00000006715,6395
ENSG00000006740,1197
ENSG00000006744,4777
ENSG00000006747,658
ENSG00000006756,3087
ENSG00000006757,444
ENSG00000006788,35
ENSG00000006831,8700
ENSG00000006837,56
ENSG00000007001,15
ENSG00000007038,155
ENSG00000007047,3444
ENSG00000007062,11530
ENSG00000007080,3170
ENSG00000007129,198
ENSG00000007168,8962
ENSG00000007171,32
ENSG00000007174,6
ENSG00000007202,23404
ENSG00000007216,29
ENSG00000007237,2730
ENSG00000007255,1830
ENSG00000007264,402
ENSG00000007306,136
ENSG00000007312,723
ENSG00000007314,26
ENSG00000007341,1049
ENSG00000007350,6
ENSG00000007372,120
ENSG00000007376,1352
ENSG00000007384,1507
ENSG00000007392,1551
ENSG00000007402,1217
ENSG00000007516,531
ENSG00000007520,1827
ENSG00000007541,2877
ENSG00000007545,1649
ENSG00000007866,4903
ENSG00000007908,1380
ENSG00000007923,3291
ENSG00000007933,129
ENSG00000007944,3076
ENSG00000007952,44
ENSG00000007968,2142
ENSG00000008018,14436
ENSG00000008056,132
ENSG00000008083,7708
ENSG00000008086,2240
ENSG00000008118,40
ENSG00000008128,517
ENSG00000008130,5796
ENSG00000008196,38202
ENSG00000008197,1
ENSG00000008226,58
ENSG00000008256,1436
ENSG00000008277,2939
ENSG00000008282,12012
ENSG00000008283,12691
ENSG00000008294,7101
ENSG00000008300,2331
ENSG00000008311,192
ENSG00000008323,1458
ENSG00000008324,1522
ENSG00000008382,1491
ENSG00000008394,11936
ENSG00000008405,3425
ENSG00000008438,4
ENSG00000008441,8679
ENSG00000008513,3580
ENSG00000008516,286
ENSG00000008517,3388
ENSG00000008710,3168
ENSG00000008735,1356
ENSG00000008838,7160
ENSG00000008853,1353
ENSG00000008869,5259
ENSG00000008952,11163
ENSG00000008988,31182
ENSG00000009307,54341
ENSG00000009335,16834
ENSG00000009413,8645
ENSG00000009694,58
ENSG00000009709,2614
ENSG00000009724,43
ENSG00000009765,20
ENSG00000009780,1634
ENSG00000009790,1574
ENSG00000009830,1497
ENSG00000009844,9165
ENSG00000009950,28
ENSG00000009954,22371
ENSG00000010017,7909
ENSG00000010030,995
ENSG00000010072,1746
ENSG00000010165,5502
ENSG00000010219,1131
ENSG00000010244,14532
ENSG00000010256,11340
ENSG00000010270,2053
ENSG00000010278,41917
ENSG00000010282,13
ENSG00000010292,21033
ENSG00000010295,700
ENSG00000010310,63
ENSG00000010318,491
ENSG00000010319,519
ENSG00000010322,7618
ENSG00000010327,1815
ENSG00000010361,1370
ENSG00000010379,15
ENSG00000010404,11532
ENSG00000010438,9
ENSG00000010539,901
ENSG00000010610,7394
ENSG00000010626,842
ENSG00000010671,998
ENSG00000010704,1077
ENSG00000010803,4016
ENSG00000010810,3846
ENSG00000010818,7333
ENSG00000010932,4443
ENSG00000011007,5212
ENSG00000011009,4918
ENSG00000011021,1339
ENSG00000011028,5720
ENSG00000011052,39
ENSG00000011083,44
ENSG00000011105,10241
ENSG00000011114,5186
ENSG00000011132,998
ENSG00000011143,2501
ENSG00000011198,3334
ENSG00000011201,565
ENSG00000011243,3414
ENSG00000011258,3469
ENSG00000011260,3154
ENSG00000011275,2846
ENSG00000011295,3594
ENSG00000011304,27611
ENSG00000011332,231
ENSG00000011347,8712
ENSG00000011376,2875
ENSG00000011405,9143
ENSG00000011422,1920
ENSG00000011426,3306
ENSG00000011451,6534
ENSG00000011454,8788
ENSG00000011465,21354
ENSG00000011478,794
ENSG00000011485,6139
ENSG00000011523,3400
ENSG00000011566,3399
ENSG00000011590,315
ENSG00000011600,2835
ENSG00000011638,3939
ENSG00000011677,26
ENSG00000012048,4131
ENSG00000012061,2654
ENSG00000012124,675
ENSG00000012171,728
ENSG00000012174,3047
ENSG00000012211,700
ENSG00000012223,6135
ENSG00000012232,2157
ENSG00000012504,0
ENSG00000012660,15115
ENSG00000012779,1783
ENSG00000012817,3
ENSG00000012822,6322
ENSG00000012963,7913
ENSG00000012983,3096
ENSG00000013016,1169
ENSG00000013275,6373
ENSG00000013288,5435
ENSG00000013293,7
ENSG00000013297,538
ENSG00000013306,15333
ENSG00000013364,8526
ENSG00000013374,5643
ENSG00000013375,6902
ENSG00000013392,804
ENSG00000013441,7192
ENSG00000013503,1628
ENSG00000013523,2245
ENSG00000013561,3458
ENSG00000013563,1866
ENSG00000013573,5071
ENSG00000013583,4187
ENSG00000013588,44956
ENSG00000013619,218
ENSG00000013725,2584
ENSG00000013810,5473
ENSG00000014123,6365
ENSG00000014138,4705
ENSG00000014164,1474
ENSG00000014216,19704
ENSG00000014257,326
ENSG00000014641,8717
ENSG00000014824,6840
ENSG00000014914,1817
ENSG00000014919,4101
ENSG00000015133,9790
ENSG00000015153,1359
ENSG00000015171,11628
ENSG00000015285,1286
ENSG00000015413,68
ENSG00000015475,2717
ENSG00000015479,659
ENSG00000015520,85
ENSG00000015532,2438
ENSG00000015568,3
ENSG00000015592,3
ENSG00000015676,7907
ENSG00000016082,11
ENSG00000016391,2336
ENSG00000016402,479
ENSG00000016490,2
ENSG00000016602,7
ENSG00000016864,3457
ENSG00000017260,20530
ENSG00000017427,109
ENSG00000017483,334
ENSG00000017797,6646
ENSG00000018189,3150
ENSG00000018236,1360
ENSG00000018280,174
ENSG00000018408,7520
ENSG00000018510,5944
ENSG00000018607,0
ENSG00000018610,2771
ENSG00000018625,46
ENSG00000018699,1683
ENSG00000018869,229
ENSG00000019102,171
ENSG00000019144,8034
ENSG00000019169,333
ENSG00000019186,17
ENSG00000019485,1007
ENSG00000019505,6981
ENSG00000019549,622
ENSG00000019582,169323
ENSG00000019991,204
ENSG00000019995,4607
ENSG00000020129,6495
ENSG00000020181,1683
ENSG00000020219,2
ENSG00000020256,1584
ENSG00000020426,1427
ENSG00000020577,763
ENSG00000020633,2561
ENSG00000020922,4747
ENSG00000021300,912
ENSG00000021355,2915
ENSG00000021461,3
ENSG00000021488,63
ENSG00000021574,3208
ENSG00000021645,161
ENSG00000021762,2733
ENSG00000021776,3357
ENSG00000021826,3307
ENSG00000021852,5
ENSG00000022267,983
ENSG00000022277,4865
ENSG00000022355,0
ENSG00000022556,93
ENSG00000022567,976
ENSG00000022840,13302
ENSG00000022976,905
ENSG00000023041,6378
ENSG00000023171,515
ENSG00000023191,11398
ENSG00000023228,10158
ENSG00000023287,8009
ENSG00000023318,5104
ENSG00000023330,6319
ENSG00000023445,5897
ENSG00000023516,4195
ENSG00000023572,587
ENSG00000023608,576
ENSG00000023697,4508
ENSG00000023734,13281
ENSG00000023839,288
ENSG00000023892,2625
ENSG00000023902,6308
ENSG00000023909,2921
ENSG00000024048,6490
ENSG00000024422,3139
ENSG00000024526,2363
ENSG00000024862,2643
