Gene stable ID,f3734e3e-de35-402a-8632-28b419e8334c
ENSG00000000003,344
ENSG00000000005,12
ENSG00000000419,526
ENSG00000000457,1534
ENSG00000000460,736
ENSG00000000938,195
ENSG00000000971,1363
ENSG00000001036,484
ENSG00000001084,1271
ENSG00000001167,1311
ENSG00000001460,143
ENSG00000001461,1012
ENSG00000001497,406
ENSG00000001561,1881
ENSG00000001617,1356
ENSG00000001626,24
ENSG00000001629,3409
ENSG00000001630,33
ENSG00000001631,2058
ENSG00000002016,692
ENSG00000002079,69
ENSG00000002330,103
ENSG00000002549,2019
ENSG00000002586,1040
ENSG00000002587,153
ENSG00000002726,18
ENSG00000002745,12
ENSG00000002746,93
ENSG00000002822,335
ENSG00000002834,3741
ENSG00000002919,477
ENSG00000002933,196
ENSG00000003056,1338
ENSG00000003096,181
ENSG00000003137,23
ENSG00000003147,1261
ENSG00000003249,152
ENSG00000003393,1380
ENSG00000003400,430
ENSG00000003402,5973
ENSG00000003436,1140
ENSG00000003509,456
ENSG00000003756,5697
ENSG00000003987,210
ENSG00000003989,8062
ENSG00000004059,312
ENSG00000004139,382
ENSG00000004142,939
ENSG00000004399,2505
ENSG00000004455,1942
ENSG00000004468,319
ENSG00000004478,2829
ENSG00000004487,1479
ENSG00000004534,3011
ENSG00000004660,218
ENSG00000004700,625
ENSG00000004766,1796
ENSG00000004776,10
ENSG00000004777,181
ENSG00000004779,360
ENSG00000004799,2339
ENSG00000004809,6
ENSG00000004838,49
ENSG00000004846,106
ENSG00000004848,6
ENSG00000004864,568
ENSG00000004866,713
ENSG00000004897,3719
ENSG00000004939,8
ENSG00000004948,16
ENSG00000004961,232
ENSG00000004975,493
ENSG00000005001,120
ENSG00000005007,1435
ENSG00000005020,1153
ENSG00000005022,834
ENSG00000005059,511
ENSG00000005073,5
ENSG00000005075,100
ENSG00000005100,1226
ENSG00000005102,12
ENSG00000005108,349
ENSG00000005156,1516
ENSG00000005175,1143
ENSG00000005187,241
ENSG00000005189,144
ENSG00000005194,323
ENSG00000005206,607
ENSG00000005238,247
ENSG00000005243,115
