Gene stable ID,79772e12-1b75-4da3-80c7-be2315e360d6
ENSG00000000003,4498
ENSG00000000005,14
ENSG00000000419,1933
ENSG00000000457,1800
ENSG00000000460,436
ENSG00000000938,429
ENSG00000000971,5549
ENSG00000001036,2469
ENSG00000001084,2132
ENSG00000001167,3029
ENSG00000001460,861
ENSG00000001461,3893
ENSG00000001497,2356
ENSG00000001561,1842
ENSG00000001617,4287
ENSG00000001626,12
ENSG00000001629,6236
ENSG00000001630,400
ENSG00000001631,2572
ENSG00000002016,555
ENSG00000002079,3
ENSG00000002330,1712
ENSG00000002549,6619
ENSG00000002586,12606
ENSG00000002587,219
ENSG00000002726,25
ENSG00000002745,8
ENSG00000002746,64
ENSG00000002822,1450
ENSG00000002834,32871
ENSG00000002919,1755
ENSG00000002933,2344
ENSG00000003056,6321
ENSG00000003096,1104
ENSG00000003137,172
ENSG00000003147,2580
ENSG00000003249,1406
ENSG00000003393,2278
ENSG00000003400,525
ENSG00000003402,5371
ENSG00000003436,1265
ENSG00000003509,658
ENSG00000003756,4023
ENSG00000003987,304
ENSG00000003989,12153
ENSG00000004059,5995
ENSG00000004139,716
ENSG00000004142,5190
ENSG00000004399,13966
ENSG00000004455,4335
ENSG00000004468,312
ENSG00000004478,22396
ENSG00000004487,6171
ENSG00000004534,4034
ENSG00000004660,579
ENSG00000004700,2404
ENSG00000004766,2059
ENSG00000004776,334
ENSG00000004777,698
ENSG00000004779,2531
ENSG00000004799,1671
ENSG00000004809,8
ENSG00000004838,646
ENSG00000004846,23
ENSG00000004848,15
ENSG00000004864,656
ENSG00000004866,1551
ENSG00000004897,5220
ENSG00000004939,2
ENSG00000004948,231
ENSG00000004961,974
ENSG00000004975,1805
ENSG00000005001,1479
ENSG00000005007,11707
ENSG00000005020,3487
ENSG00000005022,11303
ENSG00000005059,933
ENSG00000005073,63
ENSG00000005075,1293
ENSG00000005100,1594
ENSG00000005102,263
ENSG00000005108,442
ENSG00000005156,3702
ENSG00000005175,2541
ENSG00000005187,315
ENSG00000005189,157
ENSG00000005194,2248
ENSG00000005206,2829
ENSG00000005238,1642
ENSG00000005243,1251
ENSG00000005249,3984
ENSG00000005302,1655
ENSG00000005339,16622
ENSG00000005379,1537
ENSG00000005381,14
ENSG00000005421,14
ENSG00000005436,948
ENSG00000005448,913
ENSG00000005469,2395
ENSG00000005471,117
ENSG00000005483,8963
ENSG00000005486,4781
ENSG00000005513,61
ENSG00000005700,4746
