Gene stable ID,63434097-5ed0-435b-9df5-940154e4a72a
ENSG00000000003,1014
ENSG00000000005,249
ENSG00000000419,1540
ENSG00000000457,1809
ENSG00000000460,486
ENSG00000000938,970
ENSG00000000971,4633
ENSG00000001036,2427
ENSG00000001084,1387
ENSG00000001167,1779
ENSG00000001460,485
ENSG00000001461,3120
ENSG00000001497,2723
ENSG00000001561,2606
ENSG00000001617,8217
ENSG00000001626,29
ENSG00000001629,3484
ENSG00000001630,202
ENSG00000001631,2155
ENSG00000002016,456
ENSG00000002079,7
ENSG00000002330,1432
ENSG00000002549,7408
ENSG00000002586,9992
ENSG00000002587,595
ENSG00000002726,21
ENSG00000002745,2
ENSG00000002746,19
ENSG00000002822,1034
ENSG00000002834,35151
ENSG00000002919,2009
ENSG00000002933,1480
ENSG00000003056,4933
ENSG00000003096,301
ENSG00000003137,650
ENSG00000003147,4695
ENSG00000003249,2429
ENSG00000003393,1853
ENSG00000003400,1002
ENSG00000003402,6079
ENSG00000003436,1383
ENSG00000003509,847
ENSG00000003756,5413
ENSG00000003987,58
ENSG00000003989,17233
ENSG00000004059,7043
ENSG00000004139,1081
ENSG00000004142,8418
ENSG00000004399,12929
ENSG00000004455,4383
ENSG00000004468,147
ENSG00000004478,15459
ENSG00000004487,3204
ENSG00000004534,4791
ENSG00000004660,373
ENSG00000004700,1476
ENSG00000004766,1759
ENSG00000004776,1463
ENSG00000004777,602
ENSG00000004779,2510
ENSG00000004799,1828
ENSG00000004809,9
ENSG00000004838,834
ENSG00000004846,21
ENSG00000004848,242
ENSG00000004864,1112
ENSG00000004866,2239
ENSG00000004897,6070
ENSG00000004939,0
ENSG00000004948,15
ENSG00000004961,1118
ENSG00000004975,1596
ENSG00000005001,1322
ENSG00000005007,8339
ENSG00000005020,3172
ENSG00000005022,7804
ENSG00000005059,1094
ENSG00000005073,50
ENSG00000005075,1725
ENSG00000005100,1148
ENSG00000005102,702
ENSG00000005108,647
ENSG00000005156,3226
ENSG00000005175,1860
ENSG00000005187,100
ENSG00000005189,238
ENSG00000005194,1714
ENSG00000005206,1771
ENSG00000005238,1680
ENSG00000005243,1000
ENSG00000005249,5890
ENSG00000005302,1374
ENSG00000005339,7400
ENSG00000005379,1582
ENSG00000005381,2
ENSG00000005421,3
ENSG00000005436,1275
ENSG00000005448,500
ENSG00000005469,2353
ENSG00000005471,126
ENSG00000005483,6002
ENSG00000005486,7505
ENSG00000005513,98
ENSG00000005700,3009
ENSG00000005801,948
ENSG00000005810,7093
ENSG00000005812,4574
ENSG00000005844,1156
ENSG00000005882,1750
ENSG00000005884,12057
ENSG00000005889,3262
ENSG00000005893,16774
ENSG00000005961,8
ENSG00000005981,2
ENSG00000006007,7716
ENSG00000006015,783
ENSG00000006016,197
ENSG00000006025,1038
ENSG00000006042,1321
ENSG00000006047,630
ENSG00000006059,2
ENSG00000006062,1894
ENSG00000006071,2103
ENSG00000006116,1
ENSG00000006118,2608
ENSG00000006125,24766
ENSG00000006128,80
ENSG00000006194,3518
ENSG00000006210,4414
ENSG00000006282,5302
ENSG00000006283,40
ENSG00000006327,3420
ENSG00000006377,5
ENSG00000006432,509
ENSG00000006451,4609
ENSG00000006453,1511
ENSG00000006459,2005
ENSG00000006468,655
ENSG00000006530,1645
ENSG00000006534,603
ENSG00000006555,141
ENSG00000006576,2537
ENSG00000006606,20
ENSG00000006607,2275
ENSG00000006611,3
ENSG00000006625,2384
ENSG00000006634,600
ENSG00000006638,253
ENSG00000006652,1357
ENSG00000006659,5
ENSG00000006695,665
ENSG00000006704,1696
ENSG00000006712,4225
ENSG00000006715,3502
ENSG00000006740,349
ENSG00000006744,2644
ENSG00000006747,392
ENSG00000006756,3735
ENSG00000006757,2567
ENSG00000006788,28
ENSG00000006831,77766
ENSG00000006837,59
ENSG00000007001,2
ENSG00000007038,10
ENSG00000007047,2459
ENSG00000007062,1081
ENSG00000007080,2042
ENSG00000007129,104
ENSG00000007168,7156
ENSG00000007171,106
ENSG00000007174,22
ENSG00000007202,12196
ENSG00000007216,341
ENSG00000007237,2746
ENSG00000007255,1257
ENSG00000007264,124
ENSG00000007306,8
ENSG00000007312,199
ENSG00000007314,176
ENSG00000007341,863
ENSG00000007350,9
ENSG00000007372,145
ENSG00000007376,1556
ENSG00000007384,3968
ENSG00000007392,2420
ENSG00000007402,1711
ENSG00000007516,148
ENSG00000007520,2523
ENSG00000007541,4862
ENSG00000007545,1625
ENSG00000007866,1937
ENSG00000007908,2226
ENSG00000007923,951
ENSG00000007933,576
ENSG00000007944,2588
ENSG00000007952,115
ENSG00000007968,185
ENSG00000008018,5565
ENSG00000008056,540
ENSG00000008083,1390
ENSG00000008086,731
ENSG00000008118,27
ENSG00000008128,168
ENSG00000008130,2179
ENSG00000008196,227
ENSG00000008197,0
ENSG00000008226,45
ENSG00000008256,2073
ENSG00000008277,1071
ENSG00000008282,8539
ENSG00000008283,13060
ENSG00000008294,6863
ENSG00000008300,1480
ENSG00000008311,265
ENSG00000008323,1790
ENSG00000008324,1003
ENSG00000008382,1046
ENSG00000008394,4999
ENSG00000008405,1493
ENSG00000008438,6
ENSG00000008441,4691
ENSG00000008513,6156
ENSG00000008516,118
ENSG00000008517,1769
ENSG00000008710,4854
ENSG00000008735,5095
ENSG00000008838,5666
ENSG00000008853,1470
ENSG00000008869,3020
ENSG00000008952,20316
ENSG00000008988,30497
ENSG00000009307,35128
ENSG00000009335,5757
ENSG00000009413,1272
ENSG00000009694,31
ENSG00000009709,6
ENSG00000009724,47
ENSG00000009765,4
ENSG00000009780,679
ENSG00000009790,385
ENSG00000009830,1224
ENSG00000009844,2130
ENSG00000009950,348
ENSG00000009954,7970
ENSG00000010017,4257
ENSG00000010030,170
ENSG00000010072,694
ENSG00000010165,2398
ENSG00000010219,1040
ENSG00000010244,9185
ENSG00000010256,7233
ENSG00000010270,1743
ENSG00000010278,24199
ENSG00000010282,0
ENSG00000010292,3056
ENSG00000010295,676
ENSG00000010310,584
ENSG00000010318,325
ENSG00000010319,3230
ENSG00000010322,5861
ENSG00000010327,4325
ENSG00000010361,883
ENSG00000010379,12
ENSG00000010404,7426
ENSG00000010438,4
ENSG00000010539,833
ENSG00000010610,3743
ENSG00000010626,886
ENSG00000010671,629
ENSG00000010704,1431
ENSG00000010803,2217
ENSG00000010810,1950
ENSG00000010818,2546
ENSG00000010932,108
ENSG00000011007,2350
ENSG00000011009,2250
ENSG00000011021,938
ENSG00000011028,7123
ENSG00000011052,77
ENSG00000011083,7
ENSG00000011105,3963
ENSG00000011114,1706
ENSG00000011132,588
ENSG00000011143,1146
ENSG00000011198,1057
ENSG00000011201,3130
ENSG00000011243,3541
ENSG00000011258,1794
ENSG00000011260,2575
ENSG00000011275,3936
ENSG00000011295,2746
ENSG00000011304,14410
ENSG00000011332,35
ENSG00000011347,6679
ENSG00000011376,1491
ENSG00000011405,5904
ENSG00000011422,2237
ENSG00000011426,668
ENSG00000011451,4188
ENSG00000011454,4300
ENSG00000011465,39105
ENSG00000011478,816
ENSG00000011485,2783
ENSG00000011523,2551
ENSG00000011566,3144
ENSG00000011590,67
ENSG00000011600,3029
ENSG00000011638,2560
ENSG00000011677,0
ENSG00000012048,1095
ENSG00000012061,3554
ENSG00000012124,385
ENSG00000012171,1807
ENSG00000012174,2329
ENSG00000012211,514
ENSG00000012223,11941
ENSG00000012232,2774
ENSG00000012504,0
ENSG00000012660,10338
ENSG00000012779,1197
ENSG00000012817,0
ENSG00000012822,5249
ENSG00000012963,2559
ENSG00000012983,3620
ENSG00000013016,1705
ENSG00000013275,3769
ENSG00000013288,6315
ENSG00000013293,5
ENSG00000013297,684
ENSG00000013306,7785
ENSG00000013364,13516
ENSG00000013374,4327
ENSG00000013375,2034
ENSG00000013392,490
ENSG00000013441,4459
ENSG00000013503,607
ENSG00000013523,1200
ENSG00000013561,3930
ENSG00000013563,1226
ENSG00000013573,803
ENSG00000013583,22830
ENSG00000013588,152739
ENSG00000013619,384
ENSG00000013725,493
ENSG00000013810,1212
ENSG00000014123,2423
ENSG00000014138,642
ENSG00000014164,1708
ENSG00000014216,7742
ENSG00000014257,124
ENSG00000014641,6211
ENSG00000014824,5384
ENSG00000014914,697
ENSG00000014919,2909
ENSG00000015133,814
ENSG00000015153,899
ENSG00000015171,6537
ENSG00000015285,720
ENSG00000015413,88
ENSG00000015475,1576
ENSG00000015479,490
ENSG00000015520,32
ENSG00000015532,2704
ENSG00000015568,3
ENSG00000015592,6
ENSG00000015676,8527
ENSG00000016082,12
ENSG00000016391,622
ENSG00000016402,186
ENSG00000016490,1
ENSG00000016602,116
ENSG00000016864,3707
ENSG00000017260,9327
ENSG00000017427,220
ENSG00000017483,315
ENSG00000017797,5401
ENSG00000018189,1631
ENSG00000018236,392
ENSG00000018280,345
ENSG00000018408,5156
ENSG00000018510,3647
ENSG00000018607,1
ENSG00000018610,1506
ENSG00000018625,817
ENSG00000018699,1410
ENSG00000018869,151
ENSG00000019102,78
ENSG00000019144,5789
ENSG00000019169,92
ENSG00000019186,204
ENSG00000019485,504
ENSG00000019505,4231
ENSG00000019549,1048
ENSG00000019582,128681
ENSG00000019991,715
ENSG00000019995,1245
ENSG00000020129,3159
ENSG00000020181,2361
ENSG00000020219,1
ENSG00000020256,954
ENSG00000020426,1140
ENSG00000020577,989
ENSG00000020633,835
ENSG00000020922,1438
ENSG00000021300,279
ENSG00000021355,5748
ENSG00000021461,3
ENSG00000021488,16
ENSG00000021574,1614
ENSG00000021645,40
ENSG00000021762,1802
ENSG00000021776,3968
ENSG00000021826,129
ENSG00000021852,0
ENSG00000022267,5963
ENSG00000022277,5354
ENSG00000022355,0
ENSG00000022556,154
ENSG00000022567,375
ENSG00000022840,9381
ENSG00000022976,354
ENSG00000023041,2506
ENSG00000023171,137
ENSG00000023191,5641
ENSG00000023228,5076
ENSG00000023287,3936
ENSG00000023318,3851
ENSG00000023330,3498
ENSG00000023445,3047
ENSG00000023516,4262
ENSG00000023572,286
ENSG00000023608,367
ENSG00000023697,1378
ENSG00000023734,6512
ENSG00000023839,34
ENSG00000023892,1268
ENSG00000023902,2704
ENSG00000023909,3830
ENSG00000024048,2973
ENSG00000024422,9534
ENSG00000024526,86
ENSG00000024862,905
ENSG00000025039,684
ENSG00000025156,702
ENSG00000025293,3284
ENSG00000025423,226
ENSG00000025434,886
ENSG00000025708,4023
ENSG00000025770,2191
ENSG00000025772,2361
ENSG00000025796,5913
ENSG00000025800,4105
ENSG00000026025,73086
ENSG00000026036,121
ENSG00000026103,796
ENSG00000026297,2174
ENSG00000026508,20950
ENSG00000026559,25
ENSG00000026652,562
ENSG00000026751,873
ENSG00000026950,1957
ENSG00000027001,1713
ENSG00000027075,2100
ENSG00000027644,11
ENSG00000027697,5240
ENSG00000027847,1379
ENSG00000027869,143
ENSG00000028116,931
ENSG00000028137,3359
ENSG00000028203,4644
ENSG00000028277,963
ENSG00000028310,1804
ENSG00000028528,8973
ENSG00000028839,636
ENSG00000029153,915
ENSG00000029363,7261
ENSG00000029364,6629
ENSG00000029534,40
ENSG00000029559,174
ENSG00000029639,345
ENSG00000029725,6634
ENSG00000029993,959
ENSG00000030066,2152
ENSG00000030110,841
ENSG00000030304,0
ENSG00000030419,1004
ENSG00000030582,28550
ENSG00000031003,2314
ENSG00000031081,3949
ENSG00000031691,247
ENSG00000031698,8119
ENSG00000031823,3743
ENSG00000032219,1534
ENSG00000032389,981
ENSG00000032444,2734
ENSG00000032742,878
ENSG00000033011,1551
ENSG00000033030,1592
ENSG00000033050,3505
ENSG00000033100,4304
ENSG00000033122,31
