Gene stable ID,24799fef-5e6d-48b2-90f9-2ef807459d70
ENSG00000000003,2092
ENSG00000000005,36
ENSG00000000419,1184
ENSG00000000457,824
ENSG00000000460,268
ENSG00000000938,250
ENSG00000000971,1782
ENSG00000001036,1972
ENSG00000001084,673
ENSG00000001167,747
ENSG00000001460,339
ENSG00000001461,728
ENSG00000001497,4255
ENSG00000001561,316
ENSG00000001617,7166
ENSG00000001626,9
ENSG00000001629,896
ENSG00000001630,127
ENSG00000001631,482
ENSG00000002016,286
ENSG00000002079,10
ENSG00000002330,7797
ENSG00000002549,4815
ENSG00000002586,23927
ENSG00000002587,137
ENSG00000002726,21
ENSG00000002745,5
ENSG00000002746,36
ENSG00000002822,3209
ENSG00000002834,6451
ENSG00000002919,1125
ENSG00000002933,6297
ENSG00000003056,226
ENSG00000003096,130
ENSG00000003137,554
ENSG00000003147,2460
ENSG00000003249,2832
ENSG00000003393,508
ENSG00000003400,451
ENSG00000003402,3372
ENSG00000003436,832
ENSG00000003509,557
ENSG00000003756,5173
ENSG00000003987,45
ENSG00000003989,10575
ENSG00000004059,13635
ENSG00000004139,136
ENSG00000004142,5943
ENSG00000004399,6646
ENSG00000004455,7136
ENSG00000004468,143
ENSG00000004478,15711
ENSG00000004487,5107
ENSG00000004534,4252
ENSG00000004660,1653
ENSG00000004700,98
ENSG00000004766,610
ENSG00000004776,1468
ENSG00000004777,1933
ENSG00000004779,5932
ENSG00000004799,497
ENSG00000004809,0
ENSG00000004838,2279
ENSG00000004846,31
ENSG00000004848,1
ENSG00000004864,629
ENSG00000004866,1202
ENSG00000004897,1483
ENSG00000004939,2
ENSG00000004948,5
ENSG00000004961,700
ENSG00000004975,1372
ENSG00000005001,929
ENSG00000005007,5372
ENSG00000005020,590
ENSG00000005022,9246
ENSG00000005059,1565
ENSG00000005073,117
ENSG00000005075,7771
ENSG00000005100,752
ENSG00000005102,417
ENSG00000005108,124
ENSG00000005156,940
ENSG00000005175,918
ENSG00000005187,148
ENSG00000005189,658
ENSG00000005194,1676
ENSG00000005206,4710
ENSG00000005238,1656
ENSG00000005243,4609
ENSG00000005249,1385
ENSG00000005302,1135
ENSG00000005339,3101
ENSG00000005379,601
ENSG00000005381,9
ENSG00000005421,6
ENSG00000005436,775
ENSG00000005448,1141
ENSG00000005469,1072
ENSG00000005471,86
ENSG00000005483,1259
ENSG00000005486,8144
ENSG00000005513,82
ENSG00000005700,1587
ENSG00000005801,863
ENSG00000005810,1154
ENSG00000005812,1796
ENSG00000005844,1808
ENSG00000005882,462
ENSG00000005884,4400
ENSG00000005889,750
ENSG00000005893,4477
ENSG00000005961,38
ENSG00000005981,5
ENSG00000006007,3997
ENSG00000006015,6363
ENSG00000006016,560
ENSG00000006025,809
ENSG00000006042,3006
ENSG00000006047,263
ENSG00000006059,0
ENSG00000006062,1114
ENSG00000006071,434
ENSG00000006116,2
ENSG00000006118,3792
ENSG00000006125,10871
ENSG00000006128,51
ENSG00000006194,3325
ENSG00000006210,3273
ENSG00000006282,3276
ENSG00000006283,183
ENSG00000006327,5006
ENSG00000006377,0
ENSG00000006432,241
ENSG00000006451,3409
ENSG00000006453,2225
ENSG00000006459,946
ENSG00000006468,460
ENSG00000006530,763
ENSG00000006534,476
ENSG00000006555,447
ENSG00000006576,1013
ENSG00000006606,19
ENSG00000006607,512
ENSG00000006611,5
ENSG00000006625,7537
ENSG00000006634,411
ENSG00000006638,211
ENSG00000006652,1210
ENSG00000006659,3
ENSG00000006695,606
ENSG00000006704,1283
ENSG00000006712,12290
ENSG00000006715,1907
ENSG00000006740,252
ENSG00000006744,3451
ENSG00000006747,91
ENSG00000006756,5507
ENSG00000006757,1895
ENSG00000006788,37
ENSG00000006831,2770
ENSG00000006837,90
ENSG00000007001,9
ENSG00000007038,55
ENSG00000007047,2830
ENSG00000007062,676
ENSG00000007080,7879
ENSG00000007129,128
ENSG00000007168,4019
ENSG00000007171,20
ENSG00000007174,35
ENSG00000007202,2410
ENSG00000007216,70
ENSG00000007237,3668
ENSG00000007255,10891
ENSG00000007264,1585
ENSG00000007306,1
ENSG00000007312,1190
ENSG00000007314,66
ENSG00000007341,563
ENSG00000007350,0
ENSG00000007372,81
ENSG00000007376,3800
ENSG00000007384,3633
ENSG00000007392,4162
ENSG00000007402,412
ENSG00000007516,947
ENSG00000007520,8588
ENSG00000007541,8966
ENSG00000007545,649
ENSG00000007866,1486
ENSG00000007908,212
ENSG00000007923,283
ENSG00000007933,261
ENSG00000007944,912
ENSG00000007952,90
ENSG00000007968,114
ENSG00000008018,12647
ENSG00000008056,119
ENSG00000008083,722
ENSG00000008086,363
ENSG00000008118,7
ENSG00000008128,236
ENSG00000008130,1600
ENSG00000008196,2743
ENSG00000008197,0
ENSG00000008226,29
ENSG00000008256,2292
ENSG00000008277,232
ENSG00000008282,4828
ENSG00000008283,4468
ENSG00000008294,1870
ENSG00000008300,161
ENSG00000008311,88
ENSG00000008323,330
ENSG00000008324,2004
ENSG00000008382,3435
ENSG00000008394,2958
ENSG00000008405,569
ENSG00000008438,0
ENSG00000008441,7143
ENSG00000008513,1143
ENSG00000008516,493
ENSG00000008517,9344
ENSG00000008710,4633
ENSG00000008735,935
ENSG00000008838,3102
ENSG00000008853,1507
ENSG00000008869,577
ENSG00000008952,5871
ENSG00000008988,149712
ENSG00000009307,14670
ENSG00000009335,1824
ENSG00000009413,215
ENSG00000009694,14
ENSG00000009709,0
ENSG00000009724,4
ENSG00000009765,0
ENSG00000009780,365
ENSG00000009790,528
ENSG00000009830,1122
ENSG00000009844,1085
ENSG00000009950,1027
ENSG00000009954,3618
ENSG00000010017,740
ENSG00000010030,568
ENSG00000010072,367
ENSG00000010165,2687
ENSG00000010219,1334
ENSG00000010244,3896
ENSG00000010256,14524
ENSG00000010270,997
ENSG00000010278,8811
ENSG00000010282,0
ENSG00000010292,1093
ENSG00000010295,1108
ENSG00000010310,418
ENSG00000010318,281
ENSG00000010319,891
ENSG00000010322,5194
ENSG00000010327,5448
ENSG00000010361,2245
ENSG00000010379,0
ENSG00000010404,3057
ENSG00000010438,13
ENSG00000010539,337
ENSG00000010610,1443
ENSG00000010626,723
ENSG00000010671,309
ENSG00000010704,332
ENSG00000010803,1501
ENSG00000010810,1735
ENSG00000010818,655
ENSG00000010932,177
ENSG00000011007,1695
ENSG00000011009,5611
ENSG00000011021,569
ENSG00000011028,15500
ENSG00000011052,21
ENSG00000011083,4
ENSG00000011105,6639
ENSG00000011114,715
ENSG00000011132,1046
ENSG00000011143,687
ENSG00000011198,356
ENSG00000011201,244
ENSG00000011243,3990
ENSG00000011258,429
ENSG00000011260,1699
